t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.1,1.2231813733545524e-13,-5.363216720234189e-13,-1.1760876899636653e-12,1.0157856272698801e-14,6.85494277443896e-15,1.8319628583216008e-16,1.6662832138386596e-17,2.577114682680154e-15,1.2124165332718512e-14,-1.3612097899047028e-12,-6.743196096176216e-12,-1.1705641135757207e-12,4.461212080092078e-14,1.8817074092479513e-15,-6.76000054544712e-17
0.11,7.930753222109427e-14,-1.3825231243028493e-12,-7.812263341658646e-13,-1.369500351880784e-13,-3.8566426528025e-16,2.3189729216749333e-16,4.107770981004455e-17,2.5618342083116863e-16,-8.537757360902593e-14,-7.66759607737956e-13,1.1619852961232933e-11,-1.0990056114506055e-12,-5.4295665728211484e-14,2.6404659708711975e-15,1.4878641938290138e-16
0.12,-7.786582115849525e-14,-3.6297109388223545e-13,7.585762055940977e-13,-7.969768914912675e-14,-9.420571690354346e-15,-3.8613182746713437e-16,-2.230678207253145e-16,-4.6119182149466365e-15,-4.760183539660387e-14,1.4089934256768417e-12,1.0110682968210872e-11,1.0151011501095993e-12,-8.950500253067026e-14,-1.2809509854737333e-15,3.5744790374131474e-16
0.13,-1.4838368570966806e-13,1.1562949016785846e-12,1.1393084894018198e-12,1.1933271889088062e-13,-4.394698309689166e-15,-7.517790101378707e-16,-1.5156468744989549e-16,-2.215885623862296e-15,1.0391059350857781e-13,1.332181984354825e-12,-8.736630227590674e-12,1.6600222241193625e-12,3.443565013217312e-14,-5.040557543838781e-15,3.211948935988307e-17
0.14,-3.547780558915692e-14,1.1226790981241908e-12,-1.6925968005648828e-13,1.4893023880108158e-13,1.0492366524228469e-14,3.5453411040275995e-17,-1.485356976305141e-17,6.1451494934305906e-15,9.883142481487139e-14,-1.256732673655947e-12,-1.264188959678586e-11,-6.055635051564756e-13,1.3646245591858452e-13,-9.569846000714866e-16,-2.926397188809937e-16
0.15,1.3111273134899792e-13,-4.3918108082532936e-13,-1.1925229141847293e-12,-6.115014094046356e-14,1.1264155840712275e-14,8.003038336201751e-16,3.9437854024160224e-16,5.683550418494887e-15,-1.0687788544808119e-13,-1.9126417572130905e-12,5.120002458027656e-12,-2.128018681407662e-12,1.4422219928728053e-14,6.84001466577655e-15,-3.558216004825865e-16
0.16,1.5201710468768295e-13,-1.414646360936491e-12,-4.2807442567896134e-13,-1.9638475822749898e-13,-7.45255501191297e-15,6.312563861389509e-16,2.6349500923186775e-16,-6.985914396875209e-15,-1.6356595846636277e-13,8.84824365740642e-13,1.412460212945341e-11,-4.043534035163762e-14,-1.708704453428321e-13,5.2290325389982295e-15,8.961608581950498e-17
0.17,-2.2123904271087458e-14,-4.745397868058387e-13,9.427154152794048e-13,-2.5607229010848886e-14,-1.768995106649074e-14,-7.451721531492872e-16,-5.005761430365574e-16,-1.0699015458304206e-14,8.74399294290007e-14,2.431355789443701e-12,-1.079818092580842e-12,2.399153900718709e-12,-9.128152877665996e-14,-6.8985480305636115e-15,4.468878067077908e-16
0.18,-1.7969475327216447e-13,1.1184335182707998e-12,8.781396223784925e-13,2.0240237844039097e-13,1.1813941209852519e-15,-1.1361964429197624e-15,-6.105752296987899e-16,6.250256117789482e-15,2.343525154209318e-13,-2.9955200239783e-13,-1.4434171909203253e-11,8.618955633292284e-13,1.7629782589302298e-13,-1.0799446460794254e-14,1.6469708626412616e-16
0.19,-1.182158212466311e-13,1.2012287323691362e-12,-4.768178582005567e-13,1.2364626466795925e-13,2.1262885115808094e-14,2.0334211744965636e-16,4.2191727542273405e-16,1.7018884131830836e-14,-3.8768088132107303e-14,-2.809923138353404e-12,-3.0418632565067105e-12,-2.3880415331821447e-12,1.8647832843859957e-13,3.675242076818519e-15,-4.305502352211499e-16
0.2,8.675047171499001e-14,-3.526202902804157e-13,-1.0797192268952385e-12,-1.592888283297525e-13,8.798937598496204e-15,1.8114714372616247e-15,1.1557459633423917e-15,-2.9234562904170702e-15,-3.020275137844211e-13,-4.656039144729576e-13,1.3550049848972366e-11,-1.761355126962856e-12,-1.3870874663712146e-13,1.636261655682536e-14,-4.58536203798432e-16
0.21,1.8832454855548936e-13,-1.4369864483445086e-12,-6.974679351862828e-14,-2.0824711584061656e-13,-2.1368825220587084e-14,5.025683645284995e-16,-1.0909784360635388e-17,-2.3965706264124365e-14,-4.155059814010126e-14,2.978020323288026e-12,6.895035689863209e-12,2.0438941202493774e-12,-2.8247124420326813e-13,3.4078236109749693e-15,3.5888447161985804e-16
