t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.75,0.12374224772709129,0.0,0.9176986519670378,0.3299998794499581,0.10061543284403897,0.018876159703625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.1122135575748773,0.0,0.917009332188135,0.32185521802664385,0.09933256310213948,0.019357031568400608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.10322192319098913,0.0,0.9186502758333421,0.32065983477958887,0.10145210101036953,0.022027797513479573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.09846832880862541,0.0,0.9224126743273214,0.32238741537424664,0.1010830804980606,0.020307687155233897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.09657698558945757,0.0,0.9253673253233579,0.31562771719578747,0.09934089599964852,0.020405737516623997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.08862086820140903,0.0,0.9258985156482592,0.3095083159871025,0.10021404190984137,0.023111657836101886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.07495374462366881,0.0,0.9268545135588236,0.3088415794200155,0.10074003426960147,0.021732980491679987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.06431865485515999,0.0,0.9288790404949324,0.3077297841137921,0.09943092304599714,0.021555327454936664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8300000000000001,0.05833352971441795,0.0,0.9310941402785733,0.3018082061944692,0.09926891348800228,0.024149192865751196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.05498556776553107,0.0,0.9331001179626423,0.2972559841019724,0.09981132171385282,0.023115747605225317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.04451885768223154,0.0,0.9348671203551874,0.29522813967924655,0.09928733567568132,0.022791461879287538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.029628870163678055,0.0,0.935750198179852,0.292831339114185,0.098554471288852,0.025187770560483005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.018247153854654165,0.0,0.9361816200834412,0.28847733860999736,0.09857227620119133,0.02443616001075181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.01147121428915446,0.0,0.9375169482186658,0.28350076595051016,0.0986827474416971,0.024087452257056073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89,0.00644580467049781,0.0,0.939852193262803,0.2800151076826487,0.09790308616556188,0.026264713722884594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.9408034944937939,0.2781339583796739,0.09718537940825309,0.025674065671358756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.00046854988408753437,0.0,0.9394497119916061,0.2738974358169088,0.097497055802909,0.025381002373060388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.006382578714951687,0.0,0.9387635427992169,0.2675352961904618,0.0970948820984937,0.027381660617093573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.020467472544149542,0.0,0.9395798440793637,0.263968890382163,0.09572980033786198,0.02682344090208262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.03550854168722461,0.0,0.9403735298143087,0.26229028747574495,0.09573695341052427,0.026588413556318483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0443555273941768,0.0,0.938256040594746,0.25645910231102187,0.09583599296334047,0.028488619874121733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.05159815954756833,0.0,0.9354415205980996,0.24984671935198377,0.09415376359888251,0.02786982897928553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0.06191147675577255,0.0,0.93362530514851,0.24676359026433062,0.09353193699237093,0.027623461036141567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.0754452166481268,0.0,0.9322580889186034,0.2435661032468032,0.09390293812024184,0.02949786234129747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.08937031988700309,0.0,0.929766596802727,0.23645761119790387,0.09227393692162879,0.028789027523105762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.09802497446218218,0.0,0.9258714405540491,0.2306612615332946,0.09099539688535675,0.028418370184992492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
