t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13
0.0,1.0000000000000002,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
0.02,0.9992027117435407,-0.9984036269400882,0.9984059813151378,0.9984342449730159,0.9984665156317348,0.9984792638911404,0.9984850890414191,0.9984875887887524,0.9984878540497412,0.9984860046894548,0.9984813238160507,0.9984712959279425,0.9984459270476553,0.9992133802274534
0.04,0.9968433125886897,-0.9936579866133137,0.9936951282367306,0.9941265350163551,0.9946089255011052,0.9947912695141451,0.994873145039627,0.9949080238521576,0.9949117237052889,0.9948859664850426,0.9948203931131854,0.994678015642091,0.9943045405956649,0.9970095405458939
0.06,0.9930177513336974,-0.9858917664113469,0.9860760154141047,0.9880965669372299,0.9902775984261221,0.9910399746829315,0.991371926156152,0.9915115467405466,0.9915263502276382,0.9914235777132175,0.9911592802165194,0.9905718732105683,0.9889283972992328,0.9938237586040031
0.08,0.9878805138085726,-0.9753125252778936,0.975879352101892,0.9816139052194847,0.9875005796745183,0.9893239832778374,0.9900814348009991,0.9903939032297107,0.9904270143250499,0.9901981969649762,0.9896005986448353,0.9882251318317617,0.983970335870661,0.9902807028975948
0.1,0.9816384477937653,-0.962198132584993,0.9635340501541249,0.9757528347043753,0.9874943737547119,0.9905350382889982,0.9917134141322865,0.9921854305272031,0.9922353922651571,0.9918926069773426,0.9909758554794004,0.9887572818219006,0.9807724097485357,0.9870695387624274
0.12,0.9745405499455161,-0.9468829132827585,0.949535211823691,0.9710663753274357,0.990112543117554,0.9938879244672417,0.9952042477992077,0.9957056278990267,0.9957584681011813,0.9953998815076756,0.9943997233550391,0.9917948532953085,0.9799341735040583,0.9848105412823737
0.14,0.9668677056076723,-0.9297424666118923,0.9344048392672843,0.967501696579979,0.9939776108429588,0.9974168065329362,0.9984144469246815,0.9987507431859276,0.9987853671219784,0.9985543994138238,0.9978354919821736,0.9957175426344738,0.9812175493004783,0.9839375435670769
0.16,0.9589206936434119,-0.9111766458708995,0.9186481590462312,0.9645734808614977,0.9971918823299918,0.99911135852438,0.9994385926175214,0.9994700369051932,0.9994708650785906,0.999467131722944,0.9992977835362062,0.9985239403620326,0.9837871679587633,0.9846158293094072
0.18,0.9510083230072562,-0.8915923902874245,0.9027095380202113,0.9617061625021847,0.9982539446832108,0.9980301712421262,0.997719079946733,0.9974687666296113,0.9974379999219385,0.9976382504517772,0.9979789300741501,0.9988486271144619,0.9866442309959319,0.9867098707111113
0.2,0.94343157592672,-0.8713839560733884,0.886936107002469,0.9585898198046806,0.9967351769624452,0.9947794476783259,0.9943217864313637,0.993994676496984,0.9939558998412226,0.9942031742349206,0.9946682612976518,0.996614334540381,0.9890440429552747,0.9898083843911517
0.22,0.9364731546374058,-0.8509200709370318,0.8715559149819088,0.9553922798771807,0.9934131587970211,0.9911252875503624,0.9912541265160939,0.9911405136558206,0.9911295619381588,0.9912092892041525,0.9912603106782737,0.9930133833841372,0.9907161896732677,0.9933038298960156
0.24,0.9303847369053881,-0.8305302753254141,0.856674004853654,0.9527347577021631,0.9898359072177384,0.9889918731625637,0.9902644455817801,0.9905737160542268,0.9906196287161958,0.9903866230876682,0.9896629788198721,0.9898628733167895,0.9918151768411979,0.9965113401789937
0.26,0.925377454640326,-0.8104962877312829,0.8422853370455755,0.9514435207053284,0.9875601364055266,0.9894167227438161,0.991838101453484,0.9925587177567773,0.9926642550748946,0.9921457403271566,0.9907327075171043,0.9886845336227907,0.9926643606332635,0.9988031206912875
0.28,0.9216148840307206,-0.7910459448098202,0.8282974198260161,0.952185929094134,0.9874386400070717,0.9920259382986003,0.9949591299394576,0.9958369290938291,0.9959708381035082,0.9953737642274479,0.9938205008861641,0.9899724375220559,0.9934497398288081,0.999731135465836
0.3,0.9192055626919847,-0.7723473959753293,0.8145555773652147,0.9551467516315095,0.9892788232383519,0.9952865860828887,0.9977449517348219,0.9984086035180535,0.9985174721167654,0.998120412116983,0.9971581998915483,0.992992645042081,0.9940318242112277,0.999114439574372
0.32,0.9181997826163731,-0.7545066569439005,0.8008645445470971,0.9598817039818242,0.9920022225784539,0.9973722762635969,0.998561884151849,0.9987334551358108,0.9987701687672668,0.9987554466679502,0.998855582864312,0.9961869897603302,0.9939750314666277,0.9970748111094627
0.34,0.9185843442360198,-0.7375632473551492,0.7870046918999821,0.9654125119969945,0.9942014713293318,0.9971618049035753,0.9969691335726474,0.9966367715837494,0.9965910106754412,0.9969207404208767,0.9979554213767025,0.9979642553140335,0.9927827570574902,0.994013496100548
0.36,0.9202858485925063,-0.7214937773068099,0.7727440999337019,0.9705295718072137,0.994816279493593,0.9948309493558423,0.9939508061662624,0.9933943282408285,0.9933059410168954,0.9937268045894215,0.9949644550680966,0.9974830288566147,0.9902230556466868,0.9905323036017373
0.38,0.9231683561488812,-0.7062125295637222,0.7578507902704976,0.9741819020094097,0.9936050834701776,0.9917217516452632,0.9913112422399746,0.9909552950354567,0.9908982518061871,0.9910816118275484,0.991561413793593,0.9950401216029174,0.9865794173512697,0.9873136481165949
0.4,0.9270453726731079,-0.691585917019999,0.7421059026250089,0.9757955855699417,0.9911962546369596,0.9895710656528631,0.9905971360302864,0.9907689317773563,0.9908100578292687,0.9905481530667866,0.9896410800816311,0.9918783982798233,0.9826869512002651,0.9849837696449697
0.42,0.9316833773521804,-0.677442019848706,0.7253210405584164,0.9753914397127091,0.98871591289702,0.9895381428872889,0.9921891117814867,0.9929178420837891,0.993072421351625,0.9924135981384952,0.990237923807494,0.9895266901071168,0.9797083088515314,0.9839883800625218
0.44,0.9368151605865768,-0.6635892462611889,0.7073572896876199,0.9734597883697659,0.9872014479378031,0.9915800489822348,0.9951010111273813,0.9960803699968765,0.9962941146643395,0.995532071193755,0.9929500658421614,0.9890259912833467,0.9787232808680045,0.9845069164009135
0.46,0.9421510604724438,-0.6498321761188736,0.6881440790626048,0.9706559484032301,0.9871074049060883,0.9945142969473033,0.997593501070544,0.9983426717865925,0.9985175805527787,0.9980323776653623,0.9961929190743916,0.9904449668783649,0.9802959790265063,0.9864221502082537
0.48,0.9473914824920671,-0.635987048024263,0.667696664084289,0.9674564231928217,0.9881430687459127,0.9967076649775796,0.9982172836866078,0.9983601444664917,0.9984137313484875,0.9984508614470881,0.998123399930848,0.9929174433798732,0.9842019380769993,0.9893490045182891
