t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13
0.2,-0.9608017335230642,0.08487638865644453,-0.16028064828302643,-0.9613265878666589,-0.9978694691335118,-0.9991611122114816,-0.9996927826112234,-0.9998577044188138,-0.9998787061989535,-0.9997967318731763,-0.9994784787181477,-0.9986827991134225,-0.9978918377937406,-0.9987898783809042
0.22,-0.9535300165960946,0.10074226271639294,-0.19044033902928498,-0.9546969843713459,-0.9986607430369034,-0.999704904449124,-0.9994044660807064,-0.9991659981881855,-0.9991258365955069,-0.9992851509289421,-0.99961341416325,-0.9997624741042549,-0.9985686913774623,-0.9986618188454824
0.24,-0.9451802141809723,0.11796158955579263,-0.22326346144878922,-0.9484842214520266,-0.9983988860586995,-0.998514921954272,-0.9982383202333975,-0.9982579549121299,-0.9982686312331848,-0.9982216999257436,-0.9982966940038169,-0.9988872718927118,-0.9993282766463905,-0.9995982538360849
0.26,-0.9362968622612747,0.1361407185178911,-0.2575609199214182,-0.9411908150489499,-0.997417031980416,-0.9984305599306615,-0.9990602054309222,-0.999404801440344,-0.9994581568321603,-0.9992466427692,-0.9987088798497583,-0.998118689766347,-0.9988647679450972,-0.9998878643413003
0.28,-0.9276171022243234,0.15479044456895658,-0.2920927581748283,-0.9330420788581532,-0.9972678509967796,-0.9995390272649317,-0.999785569606763,-0.9996790452914808,-0.99965274006501,-0.9997628238160619,-0.9997920003779801,-0.9991106902407763,-0.9982845684932539,-0.9989982286043106
0.3,-0.9193024525013086,0.17369808175953333,-0.32718122627557805,-0.9253975307627146,-0.9973232642878589,-0.9992236791280659,-0.9986776474760821,-0.998439847560487,-0.9984074713124363,-0.9985286527138236,-0.9989693239732859,-0.999569301719408,-0.9985193294516456,-0.9985406019382327
0.32,-0.9108891276200963,0.19304401530888732,-0.36373627169456757,-0.9184702385975668,-0.9966034617541628,-0.998329988798665,-0.9985097778635683,-0.9988249338598322,-0.9988828778510598,-0.9986432208197065,-0.9982826453717267,-0.9985726967327766,-0.9989007757952322,-0.9993431109630319
0.34,-0.9019885211805527,0.21315079048731655,-0.4013339726328461,-0.9113989584792784,-0.9958738934201949,-0.9989118354239953,-0.999630088278764,-0.9998115505219447,-0.9998291788531237,-0.9997689332083307,-0.999332681471013,-0.998406253716514,-0.9988895604097655,-0.9999399568305491
0.36,-0.892869498408355,0.23405691645245041,-0.438532915088118,-0.9038913819735857,-0.9955365982203133,-0.999480973694215,-0.9992772175898637,-0.9989403988003714,-0.9988825441623629,-0.9991160909755668,-0.9995627442081851,-0.9993352224042532,-0.9987031787480788,-0.999234534855006
0.38,-0.8842383732701573,0.2553626913083668,-0.47484358698475954,-0.8965712213880644,-0.9947955881036293,-0.998736580597423,-0.9983944626343902,-0.9984505815434577,-0.9984728547753972,-0.9983620979458734,-0.9984925995542281,-0.9992739987339975,-0.9984779698252075,-0.9985021416334333
