t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13
0.32,-0.8960052456470425,-0.003929240618089253,-0.1930507603728892,-0.9078511295516292,-0.996836901451832,-0.999495067164795,-0.9996212417209567,-0.9996115789179466,-0.9994320539023371,-0.9943469411172553,-0.8156304282097147,0.6234937250147013,-0.8165650461350497,-0.9945973587355129
0.34,-0.8828840355667547,-0.006167776459463931,-0.2152794209602769,-0.8984297697803529,-0.9967089958083644,-0.9996029342205122,-0.9995627862769787,-0.9995719116331251,-0.9995915811256294,-0.9937016090815084,-0.795223741572425,0.5795414646624808,-0.7960125319810636,-0.9933992391438401
0.36,-0.8690727444742429,-0.008646072833911615,-0.23739685387747894,-0.8875404205834262,-0.9951426287181927,-0.9988790343208394,-0.9989643332737683,-0.9989583378000094,-0.9988144131516067,-0.9913616987186376,-0.7733953093123199,0.5339261077045737,-0.7753070142468017,-0.9924019383349949
0.38,-0.8540537424882667,-0.011449251979554268,-0.2605389936183913,-0.8772785275025898,-0.9947986448292852,-0.9996311739799005,-0.9997793045033374,-0.9997731384211872,-0.9995278810439747,-0.9900309507971647,-0.7515364604412852,0.4868488460086242,-0.7531737761829629,-0.9901451816952893
0.4,-0.8387218023299692,-0.015165879681963711,-0.28426653704919347,-0.8672124271788932,-0.9939544386272328,-0.9992996712464447,-0.9993057082563724,-0.999314763960662,-0.9992318434118571,-0.9883205135471637,-0.7295358899852723,0.43858949637642397,-0.7312503083085843,-0.9882526141360106
0.42,-0.8227015606663388,-0.019211284109367167,-0.3075909374470903,-0.8560436193640816,-0.992188667748207,-0.9989293839367596,-0.9991462293840029,-0.9991340585368724,-0.9987645177898673,-0.9853006271169599,-0.7065349383319915,0.38914415317024076,-0.7094495869851786,-0.9864682672578484
0.44,-0.8055447080942684,-0.02378282977366107,-0.3317887963119674,-0.8458764829019495,-0.9915589432385499,-0.999586337480933,-0.9997856580557335,-0.9997843520248382,-0.9993967631986758,-0.9832940896393979,-0.6839672859097439,0.3387574125231641,-0.6865794029840864,-0.9834032209745077
0.46,-0.7881429729900488,-0.029322086405726543,-0.35604664949901943,-0.8356726752246277,-0.989982651236704,-0.9989793846584837,-0.9991291731636506,-0.9991327282702702,-0.9987765951431333,-0.9803650206827094,-0.6612947187420769,0.2877029872051144,-0.6642130514221348,-0.9806584216567532
0.48,-0.7700708244935461,-0.03528104346070543,-0.3796799810411318,-0.8248343871348142,-0.9880307551955296,-0.9989600366633548,-0.9993620542165652,-0.999345102869401,-0.9986217364575487,-0.9765947470943073,-0.6381309979901713,0.23595757641656,-0.6422438707837651,-0.9779342966113037
0.5,-0.7509534962996345,-0.04192998428864642,-0.4039850603441586,-0.8152011667468388,-0.9868947653124935,-0.9993321054465917,-0.999667880451471,-0.999668709067229,-0.9989631515920502,-0.9736057548870157,-0.6157511861447628,0.18379844902216014,-0.6195612174664052,-0.9739234504183488
0.52,-0.7316751948657761,-0.04956783884017944,-0.42784616548261595,-0.8053841133921098,-0.9846467494935817,-0.9986492725788854,-0.9990727179122169,-0.9990653792530672,-0.9981902832220605,-0.969386380501107,-0.5933550100151506,0.1314751145491577,-0.5976536227478507,-0.9701948774923919
0.54,-0.7117619200760407,-0.05770454491610712,-0.4509324465047828,-0.7954248592125389,-0.9824576580697294,-0.998854129345479,-0.9995273308038949,-0.99950611040207,-0.9982234761658673,-0.9647522755914258,-0.5710052778538643,0.07895569124819526,-0.5764009705992515,-0.966408794170089
