{0., 0.9999833334165986, 0.9999833334165986, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.}
{0.00009997532020022959, 0.9996833764134072, 0.9996833633996061, 0.00009998583399006833, 2.499800366706495*^-9, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1.9984014443252818*^-13, 1.9984014443252818*^-13, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1.9984014443252818*^-13, 0., 0., 0., 0., 0., 0., 0., 0.}
{0.00039962522822012403, 0.998783961197991, 0.9987837530640031, 0.00039979337400630754, 3.9987013700226726*^-8, 1.8207657603852567*^-12, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 0., 0., 0., 0., 0., 0., 0.}
{0.0008981223559967333, 0.9972864540539916, 0.9972854010943943, 0.0008989729421982062, 2.023555989438819*^-7, 2.1005419625907962*^-11, 7.993605777301127*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 0., 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 0., 3.9968028886505635*^-13, 3.9968028886505635*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13}
{0.0015940903898004066, 0.995193128461791, 0.9951898037722007, 0.001596775773582415, 6.391935869487497*^-7, 1.142197447734361*^-10, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 0., 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 0., 1.9984014443252818*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13}
{0.0024856080031998573, 0.9925071596224022, 0.9924990526885891, 0.0024921550656031854, 1.5594386004735838*^-6, 4.3358650003710864*^-10, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13}
{0.0035702143559968036, 0.9892326168122079, 0.9892158315505939, 0.003583767440207275, 3.230884781935117*^-6, 1.29360966383274*^-9, 5.995204332975845*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 0., 1.9984014443252818*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13, 1.9984014443252818*^-13}
{0.00484491613221838, 0.9853744535935904, 0.985343412085804, 0.004869974820587153, 5.979560602220602*^-6, 3.2593927556945346*^-9, 1.3988810110276972*^-12, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 0., 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 0., 1.9984014443252818*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13}
{0.006306196096406147, 0.9809384959052148, 0.9808856490609918, 0.006348846721393464, 0.0000101889629844365, 7.255995804200666*^-9, 3.397282455352979*^-12, 3.9968028886505635*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 0., 3.9968028886505635*^-13, 3.9968028886505635*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 3.9968028886505635*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 3.9968028886505635*^-13, 5.995204332975845*^-13, 3.9968028886505635*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 0., 3.9968028886505635*^-13, 3.9968028886505635*^-13, 5.995204332975845*^-13, 3.9968028886505635*^-13, 3.9968028886505635*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13}
{0.00795002314981641, 0.9759314280701981, 0.9758469744159948, 0.00801816294260238, 0.00001629916159817668, 1.4695400452069407*^-8, 7.993605777301127*^-12, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 0., 5.995204332975845*^-13, 5.995204332975845*^-13, 3.9968028886505635*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 0., 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13, 5.995204332975845*^-13}
{0.009771863844787454, 0.9703607767634015, 0.9702323905377952, 0.009875416669391512, 0.000024805766396518436, 2.7622415466055372*^-8, 1.8385293287792592*^-11, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 0., 9.992007221626409*^-13, 7.993605777301127*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 1.199040866595169*^-12, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 1.199040866595169*^-12, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 0., 9.992007221626409*^-13, 7.993605777301127*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 1.199040866595169*^-12, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13, 9.992007221626409*^-13}
