{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009999000049798477 + 0.*I, 0.999700025024947 + 0.*I, 0.9997000250261668 + 0.*I, 0.00009998749944795103 + 0.*I, 2.4998060288439206*^-9 + 0.*I, 2.8976820942716586*^-14 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I}
{0.00039984002690007786 + 0.*I, 0.9988004003532719 + 0.*I, 0.9988004003716469 + 0.*I, 0.0003998000191800521 + 0.*I, 3.9987550937148335*^-8 + 0.*I, 1.773026170326375*^-12 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 0. + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 0. + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I}
{0.0008991902957790064 + 0.*I, 0.9973020264011059 + 0.*I, 0.9973020264847449 + 0.*I, 0.0008989878336149725 + 0.*I, 2.0235826392323017*^-7 + 0.*I, 2.02340366683984*^-11 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 0. + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 0. + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I}
{0.0015974416408419676 + 0.*I, 0.9952064027148209 + 0.*I, 0.9952064029375999 + 0.*I, 0.001596802100520933 + 0.*I, 6.392038360836237*^-7 + 0.*I, 1.1367096153236389*^-10 + 0.*I, 6.106226635438361*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 1.9992689942111435*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 0. + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I, 4.884981308350688*^-15 + 0.*I}
{0.0024937562214210063 + 0.*I, 0.9925156262517069 + 0.*I, 0.9925156266652209 + 0.*I, 0.0024921959106349863 + 0.*I, 1.5594637740035109*^-6 + 0.*I, 4.334140824013843*^-10 + 0.*I, 6.405986852087153*^-14 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.998537988422287*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I, 2.8865798640254066*^-15 + 0.*I}
{0.003587058513152996 + 0.*I, 0.9892323889759149 + 0.*I, 0.989232389503269 + 0.*I, 0.003583825755033021 + 0.*I, 3.2309370920913234*^-6 + 0.*I, 1.2933759618860563*^-9 + 0.*I, 2.8999025403209084*^-13 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 9.051936698856914*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 0. + 0.*I, 9.996344971055717*^-16 + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I}
{0.0048760365796309815 + 0.*I, 0.985359974772574 + 0.*I, 0.985359975027682 + 0.*I, 0.004870053408195907 + 0.*I, 5.979656292010026*^-6 + 0.*I, 3.2590280474309452*^-9 + 0.*I, 9.959810753912277*^-13 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-14 + 0.*I, 1.4994083593873868*^-14 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 0. + 0.*I, 1.9992689942111435*^-15 + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I, 8.881784197001252*^-16 + 0.*I}
{0.006359143623455909 + 0.*I, 0.980902255683879 + 0.*I, 0.9809022547001779 + 0.*I, 0.006348948224146 + 0.*I, 0.000010189124503900969 + 0.*I, 7.255598011290942*^-9 + 0.*I, 2.9030111647898593*^-12 + 0.*I, 0. + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.7985612998927536*^-14 + 0.*I, 2.704437660023642*^-14 + 0.*I, 8.992806499463768*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 2.9993373916189974*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I}
{0.008034599814808916 + 0.*I, 0.9758636874718378 + 0.*I, 0.975863683324533 + 0.*I, 0.008018289842357973 + 0.*I, 0.000016299417183951445 + 0.*I, 1.4695106909101694*^-8 + 0.*I, 7.444045380111673*^-12 + 0.*I, 9.992007221626407*^-16 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.097522238704187*^-14 + 0.*I, 4.203757292761972*^-14 + 0.*I, 1.7985612998927536*^-14 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 6.0544086019740755*^-15 + 0.*I, 0. + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I}
{0.009900394395262024 + 0.*I, 0.9702493045130309 + 0.*I, 0.9702492938193671 + 0.*I, 0.009875571299718054 + 0.*I, 0.000024806150015987957 + 0.*I, 2.7621875009486985*^-8 + 0.*I, 1.7278956043753624*^-11 + 0.*I, 9.992007221626407*^-16 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.796163466380676*^-14 + 0.*I, 6.397313695694563*^-14 + 0.*I, 2.69784194983913*^-14 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 8.996276615418193*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I}
