{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.600499770341593 + 0.*I, 0.47306422038008195 + 0.*I, 0.09878602774415501 + 0.*I, 0.13930969836064 + 0.*I, 0.005107328126853994 + 0.*I, 0.005107173462343017 + 0.*I, 0.00003394970962899979 + 0.*I, 0.000024073213543918115 + 0.*I, 5.584097995114945*^-8 + 0.*I, 5.582368400869342*^-8 + 0.*I, 5.665501401352912*^-11 + 0.*I, 8.024092501557333*^-11 + 0.*I, 7.993605777301126*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I}
{3.996802888650563*^-15 + 0.*I, 0.5891353880692519 + 0.*I, 0.454824782605035 + 0.*I, 0.10047290952308607 + 0.*I, 0.14402675249123797 + 0.*I, 0.005756897785500037 + 0.*I, 0.005756679103623985 + 0.*I, 0.00004195806617601771 + 0.*I, 0.000029275727617017463 + 0.*I, 7.522164491291504*^-8 + 0.*I, 7.519456093896258*^-8 + 0.*I, 8.518896699172272*^-11 + 0.*I, 1.2258893899996792*^-10 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{3.996802888650563*^-15 + 0.*I, 0.577770523418087 + 0.*I, 0.436664930076271 + 0.*I, 0.10193677300349001 + 0.*I, 0.14858671201115892 + 0.*I, 0.006450318752970085 + 0.*I, 0.0064500139268599535 + 0.*I, 0.0000514152507209431 + 0.*I, 0.000035291458790998036 + 0.*I, 1.002473219990918*^-7 + 0.*I, 1.0020572396851611*^-7 + 0.*I, 1.2652001668556068*^-10 + 0.*I, 1.8504797694163242*^-10 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{0. + 0.*I, 0.566388283973291 + 0.*I, 0.41860800945665094 + 0.*I, 0.103185306115103 + 0.*I, 0.15300140078286906 + 0.*I, 0.0071859110673430085 + 0.*I, 0.007185491990128966 + 0.*I, 0.00006248910529704776 + 0.*I, 0.00004218322404503372 + 0.*I, 1.3222188899320028*^-7 + 0.*I, 1.3215916402908865*^-7 + 0.*I, 1.857179965369937*^-10 + 0.*I, 2.761300077480655*^-10 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{9.992007221626407*^-16 + 0.*I, 0.554971625842434 + 0.*I, 0.40067800938992504 + 0.*I, 0.10422682382257696 + 0.*I, 0.15728553051163793 + 0.*I, 0.007961580838844906 + 0.*I, 0.007961012366352048 + 0.*I, 0.00007535032954897325 + 0.*I, 0.000050006967387994365 + 0.*I, 1.7265694396417783*^-7 + 0.*I, 1.725640539629314*^-7 + 0.*I, 2.695470513458531*^-10 + 0.*I, 4.075519921542536*^-10 + 0.*I, 1.598721155460225*^-14 + 0.*I, 1.7985612998927536*^-14 + 0.*I}
{9.992007221626409*^-15 + 0.*I, 0.5435036752971648 + 0.*I, 0.3828995015274659 + 0.*I, 0.10506978901870899 + 0.*I, 0.16145595412878297 + 0.*I, 0.00877488390713499 + 0.*I, 0.00877412278155798 + 0.*I, 0.00009016985377807707 + 0.*I, 0.00005880949377501387 + 0.*I, 2.232823990144794*^-7 + 0.*I, 2.2314724301697453*^-7 + 0.*I, 3.869760067942707*^-10 + 0.*I, 5.952259796160319*^-10 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{4.9960036108132044*^-15 + 0.*I, 0.531968033170126 + 0.*I, 0.36529753835224094 + 0.*I, 0.10572237074428502 + 0.*I, 0.16553088075913802 + 0.*I, 0.009623100434533072 + 0.*I, 0.009622094243738942 + 0.*I, 0.00010711597161106035 + 0.*I, 0.00006862623075198915 + 0.*I, 2.860522290148992*^-7 + 0.*I, 2.8585893496746445*^-7 + 0.*I, 5.497929889131115*^-10 + 0.*I, 8.606449997117237*^-10 + 0.*I, 9.992007221626409*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I}
{2.9976021664879227*^-15 + 0.*I, 0.52034905657445 + 0.*I, 0.34789751103087396 + 0.*I, 0.10619205306947598 + 0.*I, 0.169529080691595 + 0.*I, 0.010503317623005048 + 0.*I, 0.010502003864262031 + 0.*I, 0.0001263512763139962 + 0.*I, 0.00007947910526895362 + 0.*I, 3.6314423301764265*^-7 + 0.*I, 3.6287243398991365*^-7 + 0.*I, 7.732389173398245*^-10 + 0.*I, 1.2324750109371505*^-9 + 0.*I, 1.2101430968414205*^-14 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{1.4988010832439613*^-14 + 0.*I, 0.5086321129918919 + 0.*I, 0.330724972311934 + 0.*I, 0.10648530551761091 + 0.*I, 0.17346910649939493 + 0.*I, 0.01141251755725403 + 0.*I, 0.011410822887592096 + 0.*I, 0.00014802944728398157 + 0.*I, 0.00009137462557395892 + 0.*I, 4.569525589026568*^-7 + 0.*I, 4.565766460185028*^-7 + 0.*I, 1.0769010128086618*^-9 + 0.*I, 1.7487129522208988*^-9 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{6.9944050551384854*^-15 + 0.*I, 0.49680380240941596 + 0.*I, 0.313805431065793 + 0.*I, 0.10660732313375897 + 0.*I, 0.177368553315243 + 0.*I, 0.012347667167785901 + 0.*I, 0.012345506935231952 + 0.*I, 0.00017229193445200683 + 0.*I, 0.00010430225692203975 + 0.*I, 5.700718770373924*^-7 + 0.*I, 5.695604119726472*^-7 + 0.*I, 1.4857090002706739*^-9 + 0.*I, 2.459305092905595*^-9 + 0.*I, 1.7985612998927536*^-14 + 0.*I, 1.3100631690576847*^-14 + 0.*I}
{1.3988810110276971*^-14 + 0.*I, 0.484852143968366 + 0.*I, 0.29716412635284795 + 0.*I, 0.10656184132026901 + 0.*I, 0.181243377627147 + 0.*I, 0.013305807453311001 + 0.*I, 0.013303085613331933 + 0.*I, 0.00019926459038999145 + 0.*I, 0.00011823317227699358 + 0.*I, 7.052724559919454*^-7 + 0.*I, 7.045876400102457*^-7 + 0.*I, 2.0309840476073755*^-9 + 0.*I, 3.4293289319364813*^-9 + 0.*I, 1.199040866595169*^-14 + 0.*I, 5.995204332975845*^-15 + 0.*I}
{1.199040866595169*^-14 + 0.*I, 0.47276672451183893 + 0.*I, 0.28082578985129103 + 0.*I, 0.10635102751193902 + 0.*I, 0.18510729016978797 + 0.*I, 0.014284139367296998 + 0.*I, 0.014280748895132088 + 0.*I, 0.00022905430379605018 + 0.*I, 0.00013311944933991346 + 0.*I, 8.654650549555497*^-7 + 0.*I, 8.64562606978092*^-7 + 0.*I, 2.751841976511571*^-9 + 0.*I, 4.743019976771733*^-9 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{1.3988810110276971*^-14 + 0.*I, 0.4605388074543679 + 0.*I, 0.26481440602413997 + 0.*I, 0.10597544878214704 + 0.*I, 0.18897123483051403 + 0.*I, 0.015280104109719026 + 0.*I, 0.015275928023288032 + 0.*I, 0.0002617456939600915 + 0.*I, 0.00014889376899496207 + 0.*I, 1.0536557359941412*^-6 + 0.*I, 1.0524849989590468*^-6 + 0.*I, 3.696561945432108*^-9 + 0.*I, 6.508510064229256*^-9 + 0.*I, 1.1102230246251565*^-14 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{1.199040866595169*^-14 + 0.*I, 0.448161401524394 + 0.*I, 0.24915297953377297 + 0.*I, 0.10543411169147898 + 0.*I, 0.19284296217494998 + 0.*I, 0.016291455926760068 + 0.*I, 0.016286369034869016 + 0.*I, 0.0002973979351270639 + 0.*I, 0.0001654696523869514 + 0.*I, 1.2728898479696937*^-6 + 0.*I, 1.2713945099496191*^-6 + 0.*I, 4.924228025338095*^-9 + 0.*I, 8.86369599939485*^-9 + 0.*I, 1.4988010832439613*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{4.9960036108132044*^-15 + 0.*I, 0.4356292901082519 + 0.*I, 0.233863319111521 + 0.*I, 0.10472456823279895 + 0.*I, 0.19672670333704398 + 0.*I, 0.01731632585928 + 0.*I, 0.01731019734769401 + 0.*I, 0.0003360417917279701 + 0.*I, 0.00018274225235503927 + 0.*I, 1.526186087952297*^-6 + 0.*I, 1.524305305006246*^-6 + 0.*I, 6.5064890142352275*^-9 + 0.*I, 1.1983060987930116*^-8 + 0.*I, 1.609823385706477*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.4229390231108379 + 0.*I, 0.2189658463758849 + 0.*I, 0.10384307969054794 + 0.*I, 0.200622947633319 + 0.*I, 0.018353275160210902 + 0.*I, 0.018345972123889994 + 0.*I, 0.0003776769596869345 + 0.*I, 0.00020058969296599116 + 0.*I, 1.816460684977983*^-6 + 0.*I, 1.8141309399977157*^-6 + 0.*I, 8.529412065527708*^-9 + 0.*I, 1.6085845988556002*^-8 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.42292625297017505 + 0.*I, 0.218951151630023 + 0.*I, 0.10384211061325799 + 0.*I, 0.20062684933460692 + 0.*I, 0.018354317791505977 + 0.*I, 0.01834701351454504 + 0.*I, 0.00037772008365699605 + 0.*I, 0.0002006077835160491 + 0.*I, 1.8167703990101811*^-6 + 0.*I, 1.8144401739972338*^-6 + 0.*I, 8.531694017932523*^-9 + 0.*I, 1.609053401629978*^-8 + 0.*I, 1.7985612998927536*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{3.996802888650563*^-15 + 0.*I, 0.410063013582548 + 0.*I, 0.20445088786233798 + 0.*I, 0.10278253140690695 + 0.*I, 0.204536140998649 + 0.*I, 0.019403444160761004 + 0.*I, 0.019394833450254056 + 0.*I, 0.0004223619334770001 + 0.*I, 0.00021891183926703306 + 0.*I, 2.147144613995344*^-6 + 0.*I, 2.144300996015369*^-6 + 0.*I, 1.11012400383359*^-8 + 0.*I, 2.1457807086733283*^-8 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{4.9960036108132044*^-15 + 0.*I, 0.397052589199858 + 0.*I, 0.19039362371116395 + 0.*I, 0.10154150052139699 + 0.*I, 0.20844340471424402 + 0.*I, 0.020462175610996055 + 0.*I, 0.02045213754308306 + 0.*I, 0.00046984955155304764 + 0.*I, 0.00023748540115597902 + 0.*I, 2.519373021092619*^-6 + 0.*I, 2.5159551800546516*^-6 + 0.*I, 1.4332799946892292*^-8 + 0.*I, 2.8416916930673605*^-8 + 0.*I, 1.7985612998927536*^-14 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{1.0991207943789048*^-14 + 0.*I, 0.38388369051474996 + 0.*I, 0.17678012623791203 + 0.*I, 0.10011184795557192 + 0.*I, 0.21234151262659093 + 0.*I, 0.021531609248933044 + 0.*I, 0.021520036887062055 + 0.*I, 0.000520121322917011 + 0.*I, 0.0002561865452349598 + 0.*I, 2.9358412420021907*^-6 + 0.*I, 2.93179353702544*^-6 + 0.*I, 1.836997198800816*^-8 + 0.*I, 3.7389274010202194*^-8 + 0.*I, 5.995204332975845*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{8.992806499463768*^-15 + 0.*I, 0.370559233759532 + 0.*I, 0.16362407975623006 + 0.*I, 0.09848711101318196 + 0.*I, 0.216215845183045 + 0.*I, 0.022612319663478982 + 0.*I, 0.02259912964956001 + 0.*I, 0.0005730362479939853 + 0.*I, 0.0002748482002989938 + 0.*I, 3.39815040695246*^-6 + 0.*I, 3.393425978936992*^-6 + 0.*I, 2.337639104510458*^-8 + 0.*I, 4.888354898646696*^-8 + 0.*I, 8.992806499463768*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{6.9944050551384854*^-15 + 0.*I, 0.35708343972588996 + 0.*I, 0.15093740441982903 + 0.*I, 0.09666086036009602 + 0.*I, 0.22004847832324792 + 0.*I, 0.023705388311327954 + 0.*I, 0.023690530695753997 + 0.*I, 0.0006284177971109806 + 0.*I, 0.0002932995102529201 + 0.*I, 3.907326608043604*^-6 + 0.*I, 3.901890020002741*^-6 + 0.*I, 2.9539681922763347*^-8 + 0.*I, 6.351586301356349*^-8 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{3.996802888650563*^-15 + 0.*I, 0.3434616965551 + 0.*I, 0.13873031327955995 + 0.*I, 0.09462699001734698 + 0.*I, 0.22381855712141097 + 0.*I, 0.02481237408757608 + 0.*I, 0.024795843776256987 + 0.*I, 0.000686055695365062 + 0.*I, 0.0003113692260180434 + 0.*I, 4.463722763081712*^-6 + 0.*I, 4.457551725040032*^-6 + 0.*I, 3.70728500120876*^-8 + 0.*I, 8.202691403891292*^-8 + 0.*I, 9.992007221626409*^-15 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{1.9984014443252814*^-15 + 0.*I, 0.3297004225722359 + 0.*I, 0.12701141013170497 + 0.*I, 0.09237999346769699 + 0.*I, 0.22750274886461305 + 0.*I, 0.025935266919140054 + 0.*I, 0.025917116899129008 + 0.*I, 0.00074570884894809 + 0.*I, 0.0003288891124180182 + 0.*I, 5.066926005992122*^-6 + 0.*I, 5.060011455976231*^-6 + 0.*I, 4.62151870106453*^-8 + 0.*I, 1.0530010097209441*^-7 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{2.9976021664879227*^-15 + 0.*I, 0.315806935444729 + 0.*I, 0.11578782308318901 + 0.*I, 0.08991521868489094 + 0.*I, 0.2310757646545569 + 0.*I, 0.027076423842120056 + 0.*I, 0.027056780374890007 + 0.*I, 0.0008071094552489776 + 0.*I, 0.000345697266268985 + 0.*I, 5.7156735651098245*^-6 + 0.*I, 5.708017619010519*^-6 + 0.*I, 5.723265505963581*^-8 + 0.*I, 1.343807219944537*^-7 + 0.*I, 9.992007221626409*^-15 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{0. + 0.*I, 0.3017893333715499 + 0.*I, 0.10506536724747495 + 0.*I, 0.08722909636499998 + 0.*I, 0.23451093637317194 + 0.*I, 0.02823848745350199 + 0.*I, 0.028217567452644917 + 0.*I, 0.0008699682839190537 + 0.*I, 0.00036164124571191886 + 0.*I, 6.407780917982996*^-6 + 0.*I, 6.399391929978736*^-6 + 0.*I, 7.041735505808333*^-8 + 0.*I, 1.7049548695080571*^-7 + 0.*I, 1.6986412276764895*^-14 + 0.*I, 2.1982415887578096*^-14 + 0.*I}
{7.993605777301126*^-15 + 0.*I, 0.28765639317428604 + 0.*I, 0.094848728748624 + 0.*I, 0.08431933711684102 + 0.*I, 0.23778083369481492 + 0.*I, 0.029424287232605928 + 0.*I, 0.029402418064492952 + 0.*I, 0.0009339810528680158 + 0.*I, 0.00037658091897996293 + 0.*I, 7.140085603096757*^-6 + 0.*I, 7.13096983503969*^-6 + 0.*I, 8.6086065054225*^-8 + 0.*I, 2.1507199898795903*^-7 + 0.*I, 7.993605777301126*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{1.199040866595169*^-14 + 0.*I, 0.273417489097244 + 0.*I, 0.08514166129330203 + 0.*I, 0.081185094776541 + 0.*I, 0.24085790394196602 + 0.*I, 0.030636724991546013 + 0.*I, 0.03061436694771002 + 0.*I, 0.000998835753410976 + 0.*I, 0.00039039095056003775 + 0.*I, 7.908410062928972*^-6 + 0.*I, 7.898559694963225*^-6 + 0.*I, 1.0457765298177435*^-7 + 0.*I, 2.69757474025134*^-7 + 0.*I, 1.298960938811433*^-14 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{1.298960938811433*^-14 + 0.*I, 0.25908253487567795 + 0.*I, 0.07594718600168691 + 0.*I, 0.07782709429552892 + 0.*I, 0.24371511615389893 + 0.*I, 0.031878646601406935 + 0.*I, 0.03185641828179397 + 0.*I, 0.0010642207083400024 + 0.*I, 0.0004029628544059971 + 0.*I, 8.70754731296941*^-6 + 0.*I, 8.696924507001214*^-6 + 0.*I, 1.2624902401281446*^-7 + 0.*I, 3.3643590102716553*^-7 + 0.*I, 1.598721155460225*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{1.3988810110276971*^-14 + 0.*I, 0.244661950253936 + 0.*I, 0.06726778498723604 + 0.*I, 0.07424772377502496 + 0.*I, 0.24632658994255294 + 0.*I, 0.03315270309303996 + 0.*I, 0.033131409902629964 + 0.*I, 0.0011298330810530775 + 0.*I, 0.000414206557517005 + 0.*I, 9.531272145979486*^-6 + 0.*I, 9.51978954508159*^-6 + 0.*I, 1.514695479043482*^-7 + 0.*I, 4.17242949968255*^-7 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{1.598721155460225*^-14 + 0.*I, 0.230166651692946 + 0.*I, 0.05910557934745105 + 0.*I, 0.07045109116741799 + 0.*I, 0.24866818968241297 + 0.*I, 0.03446120517399798 + 0.*I, 0.03444187106456198 + 0.*I, 0.0011953874976390333 + 0.*I, 0.0004240514314799437 + 0.*I, 0.000010372380849998919 + 0.*I, 0.000010359879002941328 + 0.*I, 1.8061378803668757*^-7 + 0.*I, 5.145774580883611*^-7 + 0.*I, 2.4980018054066022*^-14 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{2.398081733190338*^-14 + 0.*I, 0.21560806556606904 + 0.*I, 0.05146248277073895 + 0.*I, 0.06644304693556301 + 0.*I, 0.2507180654036749 + 0.*I, 0.035805976052385 + 0.*I, 0.03578987853058901 + 0.*I, 0.001260624403831012 + 0.*I, 0.00043244676544396116 + 0.*I, 0.000011222761292950523 + 0.*I, 0.000011208984107002884 + 0.*I, 2.140523580607123*^-7 + 0.*I, 6.311089240096379*^-7 + 0.*I, 1.7985612998927536*^-14 + 0.*I, 1.8984813721090174*^-14 + 0.*I}
{2.4980018054066022*^-14 + 0.*I, 0.20099816077498697 + 0.*I, 0.04434032286276098 + 0.*I, 0.06223117456844895 + 0.*I, 0.25245712345165006 + 0.*I, 0.03718820812981493 + 0.*I, 0.037176916399558 + 0.*I, 0.001325317758035016 + 0.*I, 0.0004393616708210368 + 0.*I, 0.000012073494809916596 + 0.*I, 0.000012058064458947413 + 0.*I, 2.521409711020439*^-7 + 0.*I, 7.697799709882601*^-7 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.3100631690576847*^-14 + 0.*I}
{2.9976021664879227*^-14 + 0.*I, 0.18634949648909896 + 0.*I, 0.03774092352744806 + 0.*I, 0.057824751317470995 + 0.*I, 0.25386941248882994 + 0.*I, 0.03860832954198001 + 0.*I, 0.03860374545335199 + 0.*I, 0.0013892816640390657 + 0.*I, 0.0004447844261550315 + 0.*I, 0.000012914989826029453 + 0.*I, 0.000012897382881960072 + 0.*I, 2.9520760502776966*^-7 + 0.*I, 9.338031570216286*^-7 + 0.*I, 1.6986412276764895*^-14 + 0.*I, 5.995204332975845*^-15 + 0.*I}
{2.8976820942716586*^-14 + 0.*I, 0.17167527968567597 + 0.*I, 0.03166614327009106 + 0.*I, 0.053234681865226056 + 0.*I, 0.25494241363901005 + 0.*I, 0.04006588662564803 + 0.*I, 0.040070287869517045 + 0.*I, 0.0014523755738260478 + 0.*I, 0.0004487212894640491 + 0.*I, 0.00001373714622809885 + 0.*I, 0.00001371667322902503 + 0.*I, 3.435380289129597*^-7 + 0.*I, 1.1266514640118075*^-6 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{3.008704396734174*^-14 + 0.*I, 0.15698942639538 + 0.*I, 0.02611786608009203 + 0.*I, 0.048473407894188074 + 0.*I, 0.25566722733596986 + 0.*I, 0.04155944813785905 + 0.*I, 0.04157553286409399 + 0.*I, 0.001514507741899984 + 0.*I, 0.0004511948257720499 + 0.*I, 0.00001452954794900485 + 0.*I, 0.000014505338553905121 + 0.*I, 3.9735997903189707*^-7 + 0.*I, 1.352042287017241*^-6 + 0.*I, 1.6986412276764895*^-14 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{3.297362383136714*^-14 + 0.*I, 0.14230662008114497 + 0.*I, 0.021097943548003067 + 0.*I, 0.04355479670223694 + 0.*I, 0.256038653534309 + 0.*I, 0.04308653643654592 + 0.*I, 0.043117468198131996 + 0.*I, 0.001575636684094994 + 0.*I, 0.0004522418174630615 + 0.*I, 0.000015281679610956722 + 0.*I, 0.000015252675669014114 + 0.*I, 4.5682625604559485*^-7 + 0.*I, 1.613914813902717*^-6 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I}
{3.308464613382966*^-14 + 0.*I, 0.127642360421897 + 0.*I, 0.01660808901139399 + 0.*I, 0.038494012132158084 + 0.*I, 0.2560551661381 + 0.*I, 0.04464358987147698 + 0.*I, 0.04469304152654896 + 0.*I, 0.0016357704841759577 + 0.*I, 0.00045191084523110714 + 0.*I, 0.000015983161769983486 + 0.*I, 0.000015948120198006066 + 0.*I, 5.219974958947659*^-7 + 0.*I, 1.9164009740224586*^-6 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{4.796163466380676*^-14 + 0.*I, 0.11301299594993695 + 0.*I, 0.012649726733439004 + 0.*I, 0.0333073711462909 + 0.*I, 0.255718786567965 + 0.*I, 0.04622595938048601 + 0.*I, 0.04629815434039896 + 0.*I, 0.0016949638923130506 + 0.*I, 0.0004502596452499174 + 0.*I, 0.000016623997463049985 + 0.*I, 0.000016581504661994373 + 0.*I, 5.928251399778262*^-7 + 0.*I, 2.2637906029743245*^-6 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{5.695444116327052*^-14 + 0.*I, 0.0984357344942819 + 0.*I, 0.00922380131414102 + 0.*I, 0.028012189388037952 + 0.*I, 0.2550348651038581 + 0.*I, 0.04782794081096198 + 0.*I, 0.04792768983051398 + 0.*I, 0.001753313266558032 + 0.*I, 0.0004473523635050158 + 0.*I, 0.000017194821997024157 + 0.*I, 0.0000171433206020144 + 0.*I, 6.691355659560472*^-7 + 0.*I, 2.660491757011662*^-6 + 0.*I, 1.7985612998927536*^-14 + 0.*I, 2.009503674571533*^-14 + 0.*I}
{5.10702591327572*^-14 + 0.*I, 0.08392862619183393 + 0.*I, 0.006330554622741013 + 0.*I, 0.02262661902400509 + 0.*I, 0.254011781819362 + 0.*I, 0.04944284288534894 + 0.*I, 0.049575574474927 + 0.*I, 0.0018109495138509677 + 0.*I, 0.0004432568383480051 + 0.*I, 0.00001768714646299685 + 0.*I, 0.00001762497473392632 + 0.*I, 7.506161879833328*^-7 + 0.*I, 3.11098722605152*^-6 + 0.*I, 1.598721155460225*^-14 + 0.*I, 2.0983215165415455*^-14 + 0.*I}
{6.294964549624638*^-14 + 0.*I, 0.06951051490735494 + 0.*I, 0.003969279424697963 + 0.*I, 0.017169482049953052 + 0.*I, 0.25266058142407793 + 0.*I, 0.051063089104041 + 0.*I, 0.05123487162644291 + 0.*I, 0.0018680292844880375 + 0.*I, 0.00043804204662500895 + 0.*I, 0.000018093585295919642 + 0.*I, 0.00001801902842499259 + 0.*I, 8.368045470996677*^-7 + 0.*I, 3.6197887490763132*^-6 + 0.*I, 1.7985612998927536*^-14 + 0.*I, 1.7985612998927536*^-14 + 0.*I}
{5.795364188543317*^-14 + 0.*I, 0.05520095520232993 + 0.*I, 0.00213806045741996 + 0.*I, 0.011660102065896072 + 0.*I, 0.250994558059661 + 0.*I, 0.05268035033626594 + 0.*I, 0.052897903951342966 + 0.*I, 0.0019247247576500424 + 0.*I, 0.0004317758450810283 + 0.*I, 0.000018408058293006846 + 0.*I, 0.000018319409898021052 + 0.*I, 9.270813939865618*^-7 + 0.*I, 4.191390327923372*^-6 + 0.*I, 1.3100631690576847*^-14 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{6.694644838489693*^-14 + 0.*I, 0.04102009345219604 + 0.*I, 0.0008335148897909428 + 0.*I, 0.006118137282767999 + 0.*I, 0.24902880701721297 + 0.*I, 0.05428570348582595 + 0.*I, 0.054556400336281945 + 0.*I, 0.001981212421453993 + 0.*I, 0.0004245231272249627 + 0.*I, 0.0000186259576709924 + 0.*I, 0.000018521589066011753 + 0.*I, 1.02066862994743*^-6 + 0.*I, 4.830222380070025*^-6 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{6.3948846218409*^-14 + 0.*I, 0.026988513265243985 + 0.*I, 0.00005054479679494905 + 0.*I, 0.0005634172191060215 + 0.*I, 0.24677976047298797 + 0.*I, 0.05586981051634798 + 0.*I, 0.05620166191163101 + 0.*I, 0.0020376612954190465 + 0.*I, 0.0004163444946130301 + 0.*I, 0.0000187442725810838 + 0.*I, 0.000018622706430965197 + 0.*I, 1.1166328750533692*^-6 + 0.*I, 5.540608155052417*^-6 + 0.*I, 1.4099832412739486*^-14 + 0.*I, 1.2101430968414205*^-14 + 0.*I}
{6.694644838489693*^-14 + 0.*I, 0.013127046932276952 + 0.*I, 0.00021788557690893826 + 0.*I, 0.004984214803629982 + 0.*I, 0.24426472373748198 + 0.*I, 0.05742311133952104 + 0.*I, 0.057824741185081956 + 0.*I, 0.002094221065316093 + 0.*I, 0.0004072955129400535 + 0.*I, 0.0000187616648029687 + 0.*I, 0.000018621649331973522 + 0.*I, 1.2138953230378389*^-6 + 0.*I, 6.326723744898288*^-6 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{6.60582699651968*^-14 + 0.*I, 0.0005434438345739422 + 0.*I, 0.00001906455297195908 + 0.*I, 0.010505051637041988 + 0.*I, 0.24150142727692103 + 0.*I, 0.058936023641837025 + 0.*I, 0.059416627961893065 + 0.*I, 0.0021510106010689256 + 0.*I, 0.00039742658736297004 + 0.*I, 0.000018678491762069704 + 0.*I, 0.000018519071334016642 + 0.*I, 1.3112480889976295*^-6 + 0.*I, 7.1925629239188984*^-6 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{7.09432512735475*^-14 + 0.*I, 0.014002313201843973 + 0.*I, 0.0007499752340479615 + 0.*I, 0.01597966340489898 + 0.*I, 0.23850760802007595 + 0.*I, 0.06039914265710699 + 0.*I, 0.060968435741883924 + 0.*I, 0.0022081073079590614 + 0.*I, 0.0003867834504929224 + 0.*I, 0.00001849677582899112 + 0.*I, 0.00001831735357601949 + 0.*I, 1.4073770610023573*^-6 + 0.*I, 8.141907613001818*^-6 + 0.*I, 1.5099033134902126*^-14 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{7.904787935331113*^-14 + 0.*I, 0.027229396642785005 + 0.*I, 0.00196108643483206 + 0.*I, 0.021389028737343965 + 0.*I, 0.23530063134323198 + 0.*I, 0.061803434160555 + 0.*I, 0.06247158259763396 + 0.*I, 0.002265537724824074 + 0.*I, 0.0003754082137499281 + 0.*I, 0.00001822012119900851 + 0.*I, 0.00001802050984006653 + 0.*I, 1.5008907590097207*^-6 + 0.*I, 9.178304394952262*^-6 + 0.*I, 1.6986412276764895*^-14 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
