{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.011962780711405331 + 0.*I, 0.9640624513056029 + 0.*I, 0.9640716938458027 + 0.*I, 0.011917233638403248 + 0.*I, 0.00003625562698950091 + 0.*I, 4.887039661838344*^-8 + 0.*I, 3.721467578543525*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.1205259770340493*^-11 + 0.*I, 2.6106006245640856*^-9 + 0.*I, 4.032398373543895*^-9 + 0.*I, 1.393396509286049*^-9 + 0.*I, 5.59552404411079*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.014205868032801662 + 0.*I, 0.9573150962258081 + 0.*I, 0.9573281490798058 + 0.*I, 0.014141476894202754 + 0.*I, 0.00005125594999544347 + 0.*I, 8.22633960950725*^-8 + 0.*I, 7.500666754367559*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.561595462997502*^-11 + 0.*I, 3.6800118508040218*^-9 + 0.*I, 5.691601356883239*^-9 + 0.*I, 1.9640067350223944*^-9 + 0.*I, 9.392486788328826*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.016632906437186182 + 0.*I, 0.9500100265332101 + 0.*I, 0.95002794927459 + 0.*I, 0.016544391396000613 + 0.*I, 0.00007045937440164353 + 0.*I, 1.3278740329525363*^-7 + 0.*I, 1.4099832412739488*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.7798210661985656*^-11 + 0.*I, 5.0430104536758336*^-9 + 0.*I, 7.810398855445933*^-9 + 0.*I, 2.6914026562963045*^-9 + 0.*I, 1.56097357262297*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.01924115721738673 + 0.*I, 0.9421543999884153 + 0.*I, 0.942178426125384 + 0.*I, 0.01912235366219317 + 0.*I, 0.00009457034619853034 + 0.*I, 2.068206050864774*^-7 + 0.*I, 2.545963440070409*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 9.039435866498025*^-11 + 0.*I, 6.745581870859496*^-9 + 0.*I, 1.0463204608291443*^-8 + 0.*I, 3.600009179649533*^-9 + 0.*I, 2.4402702081260944*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.02202767698700203 + 0.*I, 0.9337559091525894 + 0.*I, 0.9337874568349892 + 0.*I, 0.02187147485139818 + 0.*I, 0.00012434165761465724 + 0.*I, 3.1235818376273983*^-7 + 0.*I, 4.410027898416047*^-10 + 0.*I, 9.99200722162641*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 0. + 0.*I, 1.3640200080544676*^-10 + 0.*I, 8.836398279754576*^-9 + 0.*I, 1.3729409276133394*^-8 + 0.*I, 4.716005364002741*^-9 + 0.*I, 3.7192471324942744*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.024989320953805468 + 0.*I, 0.924822772806211 + 0.*I, 0.9248634548113978 + 0.*I, 0.024787606309395475 + 0.*I, 0.0001605726491993309 + 0.*I, 4.5925581115824343*^-7 + 0.*I, 7.380096533893266*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 2.0079493623370584*^-10 + 0.*I, 1.1365797192297578*^-8 + 0.*I, 1.7691401815733824*^-8 + 0.*I, 6.06559247273708*^-9 + 0.*I, 5.480060849549773*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.02812274641501578 + 0.*I, 0.9153637267812043 + 0.*I, 0.9154153597378034 + 0.*I, 0.02786634548601619 + 0.*I, 0.00020410729120179386 + 0.*I, 6.594895962663828*^-7 + 0.*I, 1.1961986956521289*^-9 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 2.8801405704825816*^-10 + 0.*I, 1.4385803659422436*^-8 + 0.*I, 2.2435593660664575*^-8 + 0.*I, 7.677192215282957*^-9 + 0.*I, 7.880363028789361*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.031424416475189794 + 0.*I, 0.9053880142229964 + 0.*I, 0.9054526270250163 + 0.*I, 0.031103042212188292 + 0.*I, 0.0002558321525958363 + 0.*I, 9.274262025016355*^-7 + 0.*I, 1.886601985745529*^-9 + 0.*I, 3.6193270602780107*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 4.046096790943921*^-10 + 0.*I, 1.794979720415313*^-8 + 0.*I, 2.8051802547501975*^-8 + 0.*I, 9.578804416321418*^-9 + 0.*I, 1.1080025785759062*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.03489060397321442 + 0.*I, 0.8949053752913994 + 0.*I, 0.8949852166660001 + 0.*I, 0.03449280533061039 + 0.*I, 0.00031667426341197574 + 0.*I, 1.2801057991396192*^-6 + 0.*I, 2.9022118042121292*^-9 + 0.*I, 5.59552404411079*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 5.575984118877386*^-10 + 0.*I, 2.2111601438723486*^-8 + 0.*I, 3.463260372926794*^-8 + 0.*I, 1.1799805577084045*^-8 + 0.*I, 1.5301093725383907*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.03851739562379386 + 0.*I, 0.8839260363149971 + 0.*I, 0.8840235814990162 + 0.*I, 0.0380305096669975 + 0.*I, 0.0003875988697998878 + 0.*I, 1.7375374028461012*^-6 + 0.*I, 4.366396133548278*^-9 + 0.*I, 8.193445921733655*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 5.59552404411079*^-12 + 0.*I, 7.561951065326866*^-10 + 0.*I, 2.6926394447457372*^-8 + 0.*I, 4.2271992850562726*^-8 + 0.*I, 1.436879504268518*^-8 + 0.*I, 2.076117056049043*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
