{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.011936484239782887 + 0.*I, 0.9641478864778064 + 0.*I, 0.964135902431007 + 0.*I, 0.011912188619001007 + 0.*I, 0.00003623079560810538 + 0.*I, 4.882878545942049*^-8 + 0.*I, 3.5793590313915053*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.855848807963412*^-10 + 0.*I, 2.2333401794583096*^-8 + 0.*I, 3.4488206041017336*^-8 + 0.*I, 1.1921397202740991*^-8 + 0.*I, 5.200284647344234*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.01416873870738744 + 0.*I, 0.9574269980431983 + 0.*I, 0.9574100593204183 + 0.*I, 0.01413438094319819 + 0.*I, 0.000051214226193252443 + 0.*I, 8.218179470276255*^-8 + 0.*I, 7.300826609935031*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 3.112177182629239*^-10 + 0.*I, 3.148079574799567*^-8 + 0.*I, 4.867919713158485*^-8 + 0.*I, 1.6803602953530117*^-8 + 0.*I, 8.659739592076222*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I}
{0.016581936561399502 + 0.*I, 0.9501543051380069 + 0.*I, 0.9501310255624063 + 0.*I, 0.0165346912013975 + 0.*I, 0.00007039215559334623 + 0.*I, 1.3263441456246028*^-7 + 0.*I, 1.3919976282750213*^-10 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 2.797762022055395*^-12 + 0.*I, 5.009992420923481*^-10 + 0.*I, 4.313740475936356*^-8 + 0.*I, 6.680060463115663*^-8 + 0.*I, 2.302500412554309*^-8 + 0.*I, 1.389999226830696*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.019172847442394673 + 0.*I, 0.9423378180225982 + 0.*I, 0.9423065800661989 + 0.*I, 0.019109412724782615 + 0.*I, 0.00009446586941574964 + 0.*I, 2.0654560284327775*^-7 + 0.*I, 2.5259794256271567*^-10 + 0.*I, 8.215650382226159*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 4.418687638008124*^-12 + 0.*I, 7.787992473140548*^-10 + 0.*I, 5.769940081279402*^-8 + 0.*I, 8.949060797958125*^-8 + 0.*I, 3.079678734252412*^-8 + 0.*I, 2.1580515152663793*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.02193800672800617 + 0.*I, 0.933986130447595 + 0.*I, 0.9339450696865814 + 0.*I, 0.02185457093779597 + 0.*I, 0.00012418422199456103 + 0.*I, 3.118818092673337*^-7 + 0.*I, 4.382050278195493*^-10 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 7.394085344003543*^-12 + 0.*I, 1.1749934358817882*^-9 + 0.*I, 7.558218495518078*^-8 + 0.*I, 1.1742419050997413*^-7 + 0.*I, 4.034099720939821*^-8 + 0.*I, 3.252065283732009*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.02487372096899865 + 0.*I, 0.925108406751618 + 0.*I, 0.9250553969938126 + 0.*I, 0.02476592979259173 + 0.*I, 0.0001603417300044541 + 0.*I, 4.584614021752031*^-7 + 0.*I, 7.346123709339736*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.119104808822158*^-11 + 0.*I, 1.7241985617033608*^-9 + 0.*I, 9.721639049331543*^-8 + 0.*I, 1.5131020464354*^-7 + 0.*I, 5.1886606122764085*^-8 + 0.*I, 4.765965400110872*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.027976073680813233 + 0.*I, 0.9157143681350011 + 0.*I, 0.9156470072570143 + 0.*I, 0.02783899861400485 + 0.*I, 0.0002037765403972714 + 0.*I, 6.582042022529322*^-7 + 0.*I, 1.1918022124746132*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.7408297026122458*^-11 + 0.*I, 2.471800542025449*^-9 + 0.*I, 1.2304759433590107*^-7 + 0.*I, 1.918875974782353*^-7 + 0.*I, 6.567160149018036*^-8 + 0.*I, 6.827871601444714*^-10 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.03124093147139906 + 0.*I, 0.9058142781164014 + 0.*I, 0.9057298746605992 + 0.*I, 0.031069039347819682 + 0.*I, 0.00025536828938133027 + 0.*I, 9.25403620399834*^-7 + 0.*I, 1.8804069412681205*^-9 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.600142323672117*^-11 + 0.*I, 3.4698022233214942*^-9 + 0.*I, 1.5353058824274513*^-7 + 0.*I, 2.3992299535979816*^-7 + 0.*I, 8.193838940684374*^-8 + 0.*I, 9.577894033441225*^-10 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.034663950505597896 + 0.*I, 0.8954189272141866 + 0.*I, 0.8953144877793973 + 0.*I, 0.03445107419439709 + 0.*I, 0.00031603584540462753 + 0.*I, 1.2769991952765738*^-6 + 0.*I, 2.8927971129633083*^-9 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 3.999023334699814*^-11 + 0.*I, 4.781797180442027*^-9 + 0.*I, 1.891285794641817*^-7 + 0.*I, 2.962056086519561*^-7 + 0.*I, 1.0093419433587769*^-7 + 0.*I, 1.3198109272138936*^-9 + 0.*I, 5.995204332975846*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.03824058328001368 + 0.*I, 0.884539616867608 + 0.*I, 0.8844118343438012 + 0.*I, 0.03797989361660204 + 0.*I, 0.00038673495319496714 + 0.*I, 1.7328718016074163*^-6 + 0.*I, 4.351985438688644*^-9 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.939693181744587*^-11 + 0.*I, 6.478995118186504*^-9 + 0.*I, 2.3030659601630532*^-7 + 0.*I, 3.615445970384102*^-7 + 0.*I, 1.2290639617162927*^-7 + 0.*I, 1.7879919766983223*^-9 + 0.*I, 8.393286066166183*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
