{1.1044263947823652*^-6 + 0.*I, 0.9995855109061981 + 0.*I, 0.9995860399580004 + 0.*I, 1.9120797833949155*^-6 + 0.*I, 4.1134959882782596*^-7 + 0.*I, 2.361835838016191*^-7 + 0.*I, 1.6160379701091188*^-7 + 0.*I, 1.2018039896588562*^-7 + 0.*I, 9.392560063048451*^-8 + 0.*I, 7.58528129196634*^-8 + 0.*I, 6.266880347993721*^-8 + 0.*I, 5.261440172432686*^-8 + 0.*I, 4.466078618037273*^-8 + 0.*I, 3.815798788053826*^-8 + 0.*I, 3.265958614662168*^-8 + 0.*I, 2.781361807535632*^-8 + 0.*I, 2.3220803058165987*^-8 + 0.*I, 1.0466805200337603*^-8 + 0.*I}
{0.08591706224121422 + 0.*I, 0.7300056774306007 + 0.*I, 0.7246857058355928 + 0.*I, 0.08759927770378706 + 0.*I, 0.002697868047585317 + 0.*I, 0.0005469671896074502 + 0.*I, 0.000284366196812158 + 0.*I, 0.00013128669840156704 + 0.*I, 0.00005754853160677699 + 0.*I, 0.00002748727738755008 + 0.*I, 0.00002026062080329183 + 0.*I, 0.00002577052040653172 + 0.*I, 0.00003911120001198754 + 0.*I, 0.00005625302779144193 + 0.*I, 0.00006923711999284876 + 0.*I, 0.000059540721597528545 + 0.*I, 4.398665987004336*^-6 + 0.*I, 0.000027766430399367437 + 0.*I}
{0.09072539784220625 + 0.*I, 0.7153798697089987 + 0.*I, 0.7088526254415807 + 0.*I, 0.09236151166418516 + 0.*I, 0.003369968678401669 + 0.*I, 0.0005247203201941275 + 0.*I, 0.0001679696155942878 + 0.*I, 0.000021579470610433308 + 0.*I, 0.000030158126196333516 + 0.*I, 0.000041960762597881285 + 0.*I, 0.00003700325541533545 + 0.*I, 0.000023503724189133386 + 0.*I, 3.2956527951100156*^-6 + 0.*I, 0.00002338653100064647 + 0.*I, 0.000052814467399464604 + 0.*I, 0.00006772391201170792 + 0.*I, 0.000020229553610029427 + 0.*I, 0.000014353944011169519 + 0.*I}
{0.09539492505978854 + 0.*I, 0.7003870697337933 + 0.*I, 0.6928641334801978 + 0.*I, 0.09721853893720489 + 0.*I, 0.003928632603411587 + 0.*I, 0.000387930735801234 + 0.*I, 0.000011431075797041501 + 0.*I, 0.00008937853019919119 + 0.*I, 0.00010437530799656258 + 0.*I, 0.00009469540058759662 + 0.*I, 0.00007968411239733798 + 0.*I, 0.00006313735259055875 + 0.*I, 0.00004293271678168509 + 0.*I, 0.00001490799661496567 + 0.*I, 0.000023194088805134072 + 0.*I, 0.000060514051813953536 + 0.*I, 0.000042267652999861134 + 0.*I, 3.870994413901485*^-6 + 0.*I}
{0.09990176152780973 + 0.*I, 0.6850364643145979 + 0.*I, 0.6767876432252075 + 0.*I, 0.10214371601000583 + 0.*I, 0.0043162867409796135 + 0.*I, 0.00017395255538232848 + 0.*I, 0.000139337402194073 + 0.*I, 0.0001666176801862207 + 0.*I, 0.00014038085081047313 + 0.*I, 0.00011257430179156816 + 0.*I, 0.00009302657399956615 + 0.*I, 0.00007972043301052169 + 0.*I, 0.00006696411098960908 + 0.*I, 0.00004699537121677367 + 0.*I, 0.000011400497212932239 + 0.*I, 0.00003944964122037931 + 0.*I, 0.00005681362800213918 + 0.*I, 0.00002333970960943788 + 0.*I}
{0.10424665536199475 + 0.*I, 0.6693599479473956 + 0.*I, 0.6606602221284064 + 0.*I, 0.10710781275879988 + 0.*I, 0.004522550129792968 + 0.*I, 0.00005739982420482904 + 0.*I, 0.0002390659789908156 + 0.*I, 0.00018480625081362945 + 0.*I, 0.00012523072141501504 + 0.*I, 0.00008858912419196231 + 0.*I, 0.00007171157978547173 + 0.*I, 0.00006710924700392695 + 0.*I, 0.00006721420580113602 + 0.*I, 0.00006281491158333097 + 0.*I, 0.000041052398991325845 + 0.*I, 9.840179004960705*^-6 + 0.*I, 0.000060703013993190787 + 0.*I, 0.000040018898195270936 + 0.*I}
{0.10845367440079913 + 0.*I, 0.6534096474733964 + 0.*I, 0.644485066602396 + 0.*I, 0.11208629924539526 + 0.*I, 0.004587052719595697 + 0.*I, 0.00024024066600514263 + 0.*I, 0.00025680251019011285 + 0.*I, 0.00013661209219417716 + 0.*I, 0.00006243490260349206 + 0.*I, 0.000029575191806685556 + 0.*I, 0.00002192725219174463 + 0.*I, 0.000028687684605621655 + 0.*I, 0.000042963960189545965 + 0.*I, 0.000057058898805806286 + 0.*I, 0.00005701657739276556 + 0.*I, 0.000020574933401462662 + 0.*I, 0.00005321993998830266 + 0.*I, 0.00005024081359827904 + 0.*I}
{0.11256581111098729 + 0.*I, 0.6372528205335849 + 0.*I, 0.6282347136177924 + 0.*I, 0.11706433331140076 + 0.*I, 0.004590042575403075 + 0.*I, 0.00032090161141695717 + 0.*I, 0.00018552501739321772 + 0.*I, 0.0000355367336002388 + 0.*I, 0.000028753522385294165 + 0.*I, 0.00004576610639350776 + 0.*I, 0.000040474039009197334 + 0.*I, 0.000023548182204180534 + 0.*I, 1.3713193913744703*^-6 + 0.*I, 0.000030949928220280754 + 0.*I, 0.00005431629079843959 + 0.*I, 0.000043658389392575714 + 0.*I, 0.000036236946399093035 + 0.*I, 0.00005151146440507404 + 0.*I}
{0.11663806438340087 + 0.*I, 0.6209648654828149 + 0.*I, 0.6118603006512124 + 0.*I, 0.1220380917819952 + 0.*I, 0.004633134324794065 + 0.*I, 0.0002730183771948447 + 0.*I, 0.00004473026999907148 + 0.*I, 0.0000878477347976414 + 0.*I, 0.00011933349219894754 + 0.*I, 0.0001129223516027622 + 0.*I, 0.00009513454419796119 + 0.*I, 0.00007280799161346607 + 0.*I, 0.000044664012599504595 + 0.*I, 7.96735701857898*^-6 + 0.*I, 0.000033306379987330104 + 0.*I, 0.00005307369599361068 + 0.*I, 0.00001374668499032339 + 0.*I, 0.00004311998380579496 + 0.*I}
{0.12072891159840006 + 0.*I, 0.6046214259191997 + 0.*I, 0.5953049999130046 + 0.*I, 0.1270122321407996 + 0.*I, 0.004814958486809573 + 0.*I, 0.00010514561881169727 + 0.*I, 0.0001249198605890456 + 0.*I, 0.00019523110259545007 + 0.*I, 0.0001799202290042601 + 0.*I, 0.0001496638829978636 + 0.*I, 0.00012391827739488548 + 0.*I, 0.00010296935080145175 + 0.*I, 0.00008054244557964552 + 0.*I, 0.00004801096420425921 + 0.*I, 2.9219580088835073*^-7 + 0.*I, 0.00004605502819110541 + 0.*I, 9.107531995233842*^-6 + 0.*I, 0.00002639520939595741 + 0.*I}
{0.12489133672481946 + 0.*I, 0.5882906911519992 + 0.*I, 0.5785189051340067 + 0.*I, 0.13199445430100987 + 0.*I, 0.005207718514199656 + 0.*I, 0.0001413412570094863 + 0.*I, 0.00027344667119511007 + 0.*I, 0.00025260000080518097 + 0.*I, 0.0001903895072041806 + 0.*I, 0.00014344629359897 + 0.*I, 0.00011694627499725387 + 0.*I, 0.0001038832909916465 + 0.*I, 0.00009463729599978878 + 0.*I, 0.0000769002612033276 + 0.*I, 0.00003695398520520144 + 0.*I, 0.000024237272189253645 + 0.*I, 0.000027264638191581984 + 0.*I, 4.522031993303699*^-6 + 0.*I}
{0.12916467167340961 + 0.*I, 0.5720269494435938 + 0.*I, 0.561472334021218 + 0.*I, 0.13698902092200704 + 0.*I, 0.005840413025803848 + 0.*I, 0.000403584886199404 + 0.*I, 0.00035643978939514653 + 0.*I, 0.0002411428403847893 + 0.*I, 0.00014658902720565692 + 0.*I, 0.00009564987160093352 + 0.*I, 0.00007594105679853415 + 0.*I, 0.00007477706440717215 + 0.*I, 0.00008209252919666456 + 0.*I, 0.00008557271420350788 + 0.*I, 0.00006609117919609275 + 0.*I, 6.721809397980394*^-6 + 0.*I, 0.000036927756807969565 + 0.*I, 0.000018068951201932748 + 0.*I}
{0.13356840216318666 + 0.*I, 0.5558662383752022 + 0.*I, 0.5441648270761991 + 0.*I, 0.1419914222898111 + 0.*I, 0.006692763636984012 + 0.*I, 0.0006146984231847342 + 0.*I, 0.00034849752839072323 + 0.*I, 0.00016346310738324377 + 0.*I, 0.00006186966359233992 + 0.*I, 0.00002125891038762262 + 0.*I, 0.000013784047392384481 + 0.*I, 0.000024625602002004147 + 0.*I, 0.00004649007339097011 + 0.*I, 0.00007106786039656754 + 0.*I, 0.00007917142279545432 + 0.*I, 0.000038648945399621944 + 0.*I, 0.000036392008606611626 + 0.*I, 0.00003661601239990375 + 0.*I}
{0.13809879547099782 + 0.*I, 0.5398245921486078 + 0.*I, 0.526628028215792 + 0.*I, 0.14698602595961674 + 0.*I, 0.007701140830995711 + 0.*I, 0.0007224000452055179 + 0.*I, 0.00025108070060841925 + 0.*I, 0.000043009104211400036 + 0.*I, 0.00003709228919568375 + 0.*I, 0.00005591343539279592 + 0.*I, 0.00004958011561306819 + 0.*I, 0.00003065826301718033 + 0.*I, 1.1962058010794863*^-6 + 0.*I, 0.00003752909158993845 + 0.*I, 0.00007225778639874393 + 0.*I, 0.00006307244899694808 + 0.*I, 0.00002631898039506808 + 0.*I, 0.00004704158940160852 + 0.*I}
{0.142728780999013 + 0.*I, 0.523898979545806 + 0.*I, 0.5089219278082037 + 0.*I, 0.1519476272838105 + 0.*I, 0.008774748944206935 + 0.*I, 0.0007035236145869206 + 0.*I, 0.00009229993198633935 + 0.*I, 0.0000831668409917441 + 0.*I, 0.00011882532680029813 + 0.*I, 0.00011090755600573489 + 0.*I, 0.00009358325638864075 + 0.*I, 0.00007332810481042175 + 0.*I, 0.000046052668412066566 + 0.*I, 5.027310789884609*^-6 + 0.*I, 0.00004718400699044168 + 0.*I, 0.00007351442461445146 + 0.*I, 9.422068014686147*^-6 + 0.*I, 0.000046838855194408786 + 0.*I}
{0.14741103887780937 + 0.*I, 0.5080706393702061 + 0.*I, 0.4911253364680013 + 0.*I, 0.15684659622439148 + 0.*I, 0.00981784290039478 + 0.*I, 0.0005703012092128646 + 0.*I, 0.00008135824101085376 + 0.*I, 0.00017601293760272085 + 0.*I, 0.00015716638319673848 + 0.*I, 0.0001257234095941584 + 0.*I, 0.0001037415615856574 + 0.*I, 0.00008955199439775186 + 0.*I, 0.00007396951098304072 + 0.*I, 0.00004379000020371393 + 0.*I, 0.000011012505796159646 + 0.*I, 0.0000672126442058385 + 0.*I, 0.000010308766795752433 + 0.*I, 0.00003563559360930668 + 0.*I}
{0.1520838091692012 + 0.*I, 0.4923102186323914 + 0.*I, 0.4733226283082148 + 0.*I, 0.16165617411398883 + 0.*I, 0.010752440719796754 + 0.*I, 0.00036672378880275863 + 0.*I, 0.0002188563221983131 + 0.*I, 0.00020671625400314753 + 0.*I, 0.0001396622633986766 + 0.*I, 0.00009521960180336465 + 0.*I, 0.00007644079200730403 + 0.*I, 0.0000739221428069925 + 0.*I, 0.00007612662820122297 + 0.*I, 0.00006708559319168474 + 0.*I, 0.000026033462408037167 + 0.*I, 0.00004581509698287079 + 0.*I, 0.000028604844404256372 + 0.*I, 0.000015321400193002432 + 0.*I}
{0.15667858526879908 + 0.*I, 0.47658393614860023 + 0.*I, 0.45558950631940937 + 0.*I, 0.1663597540795925 + 0.*I, 0.011536126387201586 + 0.*I, 0.00015615124180357046 + 0.*I, 0.00027976896619374974 + 0.*I, 0.0001656735862054504 + 0.*I, 0.00007156926640217165 + 0.*I, 0.000028870329615848792 + 0.*I, 0.00002020407479097486 + 0.*I, 0.00003123971079599386 + 0.*I, 0.00005177045678816939 + 0.*I, 0.00006791958120366816 + 0.*I, 0.000053515443987350864 + 0.*I, 0.000014898107392191663 + 0.*I, 0.00004187467781413545 + 0.*I, 0.000010280067197498965 + 0.*I}
{0.16112863135040456 + 0.*I, 0.46085993321440816 + 0.*I, 0.4379806813946008 + 0.*I, 0.17095588503579506 + 0.*I, 0.012170958689794453 + 0.*I, 3.7908871819425376*^-6 + 0.*I, 0.00024620698999555657 + 0.*I, 0.00006540166219703991 + 0.*I, 0.00002580801659046728 + 0.*I, 0.0000522220861887135 + 0.*I, 0.00004701090261516328 + 0.*I, 0.000025011293414145545 + 0.*I, 8.416932417709688*^-6 + 0.*I, 0.00004604539618480174 + 0.*I, 0.00006373079259880399 + 0.*I, 0.000017522611606146654 + 0.*I, 0.00004790214240824043 + 0.*I, 0.000036126275815284714 + 0.*I}
{0.1653771768888035 + 0.*I, 0.44511401668400624 + 0.*I, 0.42052192497301644 + 0.*I, 0.1754592906363817 + 0.*I, 0.012701763180000823 + 0.*I, 0.00004099998300866048 + 0.*I, 0.00012797424060462248 + 0.*I, 0.00006343438618827692 + 0.*I, 0.0001218750314002648 + 0.*I, 0.0001221100951909193 + 0.*I, 0.00010361851101592377 + 0.*I, 0.00007699045900810832 + 0.*I, 0.00004053397961722993 + 0.*I, 7.981002214663137*^-6 + 0.*I, 0.000053845248793038536 + 0.*I, 0.00004307791501290126 + 0.*I, 0.00004616378039834502 + 0.*I, 0.000056927119196359406 + 0.*I}
{0.16938419276220082 + 0.*I, 0.4293341262468109 + 0.*I, 0.403208058390403 + 0.*I, 0.17989724003020238 + 0.*I, 0.01320460480020991 + 0.*I, 0.00004227325098860036 + 0.*I, 0.00004048677879620045 + 0.*I, 0.0001815351686085265 + 0.*I, 0.0001864249417948827 + 0.*I, 0.00015837395759277229 + 0.*I, 0.00013140499661723484 + 0.*I, 0.00010820524920518437 + 0.*I, 0.00007997516699997932 + 0.*I, 0.00003497247358374978 + 0.*I, 0.000026649403195300184 + 0.*I, 0.00005519624599603646 + 0.*I, 0.000037744425607222354 + 0.*I, 0.00006820006939189939 + 0.*I}
{0.17313084146759472 + 0.*I, 0.4135230476397967 + 0.*I, 0.3860072527235969 + 0.*I, 0.1843018773658001 + 0.*I, 0.013768450458795378 + 0.*I, 0.00024035112260456518 + 0.*I, 0.00021035206398956063 + 0.*I, 0.00025301879340577926 + 0.*I, 0.00019915723241670236 + 0.*I, 0.0001493495147997237 + 0.*I, 0.00012141453018532645 + 0.*I, 0.0001087478592065594 + 0.*I, 0.00009774501901205214 + 0.*I, 0.00007008654898665867 + 0.*I, 0.000010235589198437369 + 0.*I, 0.00005078874980579685 + 0.*I, 0.000024918451591027242 + 0.*I, 0.00006721622578531596 + 0.*I}
{0.17662100671660408 + 0.*I, 0.39769912854379363 + 0.*I, 0.3688707489035936 + 0.*I, 0.18870029083619677 + 0.*I, 0.01447447748239572 + 0.*I, 0.0005105800910065739 + 0.*I, 0.00033277491999772485 + 0.*I, 0.00025630776119278664 + 0.*I, 0.00015603873360081624 + 0.*I, 0.00009785897758796125 + 0.*I, 0.0000768037308196412 + 0.*I, 0.00007840644680179311 + 0.*I, 0.00008834182159134231 + 0.*I, 0.00008695130180313981 + 0.*I, 0.00004647654661127377 + 0.*I, 0.00003104869221726148 + 0.*I, 0.000010527041593988429 + 0.*I, 0.00005364774320337773 + 0.*I}
{0.17987971444619613 + 0.*I, 0.3818950104356012 + 0.*I, 0.35174600545480056 + 0.*I, 0.1931048717106032 + 0.*I, 0.015377877194611147 + 0.*I, 0.0007931137807837274 + 0.*I, 0.0003730970727922056 + 0.*I, 0.00019057514180076396 + 0.*I, 0.00007052608921309655 + 0.*I, 0.000020257634614218034 + 0.*I, 0.00001177243520444904 + 0.*I, 0.00002669804661792341 + 0.*I, 0.000054597357190822045 + 0.*I, 0.0000805389759994668 + 0.*I, 0.00007190435800108474 + 0.*I, 1.1507746089378657*^-6 + 0.*I, 2.685573807781339*^-6 + 0.*I, 0.000029763245401603914 + 0.*I}
{0.18294870251058806 + 0.*I, 0.36615463564840806 + 0.*I, 0.3345905627547996 + 0.*I, 0.1975066512835966 + 0.*I, 0.016496271048183075 + 0.*I, 0.0010274526843989664 + 0.*I, 0.0003207632680135575 + 0.*I, 0.00007585770620543997 + 0.*I, 0.000030704207798493144 + 0.*I, 0.00005884941098877051 + 0.*I, 0.00005302873100632156 + 0.*I, 0.000030151426799740477 + 0.*I, 6.818209019598954*^-6 + 0.*I, 0.00005270306240312551 + 0.*I, 0.0000793696047995951 + 0.*I, 0.00003109375981136253 + 0.*I, 0.000012617007616455567 + 0.*I, 9.323080085721358*^-8 + 0.*I}
{0.18587980711020083 + 0.*I, 0.3505289884082108 + 0.*I, 0.31738373942260534 + 0.*I, 0.20187372166000642 + 0.*I, 0.017807177009987466 + 0.*I, 0.0011687273480109894 + 0.*I, 0.00019209627060146062 + 0.*I, 0.00005313628979042307 + 0.*I, 0.00011614572419382796 + 0.*I, 0.00011447180161550107 + 0.*I, 0.00009709259340962008 + 0.*I, 0.00007431122379664147 + 0.*I, 0.00004035279821401616 + 0.*I, 0.000011659060006330438 + 0.*I, 0.00006677762001139342 + 0.*I, 0.00005729047498626017 + 0.*I, 0.00001811440681898091 + 0.*I, 0.00002940478001089986 + 0.*I}
{0.18872713756519222 + 0.*I, 0.3350711518257999 + 0.*I, 0.3001337027636053 + 0.*I, 0.20615564223960273 + 0.*I, 0.019254749161001786 + 0.*I, 0.0011993202226001645 + 0.*I, 0.000025218221599843108 + 0.*I, 0.0001576012496062873 + 0.*I, 0.0001593130730004333 + 0.*I, 0.0001291367843991864 + 0.*I, 0.00010653209980837632 + 0.*I, 0.00009193244039362726 + 0.*I, 0.00007241968900117969 + 0.*I, 0.0000304316657873116 + 0.*I, 0.000037703202382388674 + 0.*I, 0.00007067865221976889 + 0.*I, 0.000019000327999840753 + 0.*I, 0.00005253446380137916 + 0.*I}
{0.19153915704259727 + 0.*I, 0.31983129627020107 + 0.*I, 0.2828784036069898 + 0.*I, 0.21029318686820456 + 0.*I, 0.02076382296241075 + 0.*I, 0.00113282034981399 + 0.*I, 0.0001312727835989236 + 0.*I, 0.0002063554366049658 + 0.*I, 0.00014695347441140427 + 0.*I, 0.00009832819600763544 + 0.*I, 0.00007840553040150412 + 0.*I, 0.00007747443160344147 + 0.*I, 0.00007949785800764887 + 0.*I, 0.00006108006560534562 + 0.*I, 3.798398040544271*^-7 + 0.*I, 0.00006790486180019428 + 0.*I, 0.000015858227597753682 + 0.*I, 0.00006416199160863557 + 0.*I}
{0.1943517597616129 + 0.*I, 0.30485216584080765 + 0.*I, 0.2656801392312058 + 0.*I, 0.2142312987137851 + 0.*I, 0.02225768241099768 + 0.*I, 0.0010094938723836933 + 0.*I, 0.00023244684319578823 + 0.*I, 0.0001851485843973322 + 0.*I, 0.00008306209260400266 + 0.*I, 0.000031791015797644206 + 0.*I, 0.000021567989794135656 + 0.*I, 0.000035420962607446434 + 0.*I, 0.00005937232401276305 + 0.*I, 0.00007120439882157827 + 0.*I, 0.00003465886100340043 + 0.*I, 0.000049866070606086055 + 0.*I, 9.688671220864364*^-6 + 0.*I, 0.00006135001719975719 + 0.*I}
{0.1971832550947905 + 0.*I, 0.29016552221920455 + 0.*I, 0.24861483726059672 + 0.*I, 0.2179321068700002 + 0.*I, 0.023675300042791392 + 0.*I, 0.0008847912704057491 + 0.*I, 0.00024982678659135615 + 0.*I, 0.00010076395859925924 + 0.*I, 0.000012504240798349999 + 0.*I, 0.0000496375536007676 + 0.*I, 0.00004617261160078102 + 0.*I, 0.000021147930207021662 + 0.*I, 0.000018179791605454913 + 0.*I, 0.000057837738198784905 + 0.*I, 0.000057593591007432124 + 0.*I, 0.000021404830596871705 + 0.*I, 1.5745334147609924*^-6 + 0.*I, 0.000044070132787510374 + 0.*I}
{0.20003187886801224 + 0.*I, 0.2757898682047899 + 0.*I, 0.2317582608464042 + 0.*I, 0.22138462630840736 + 0.*I, 0.024984182988596615 + 0.*I, 0.0008142349726014687 + 0.*I, 0.00017914829979481794 + 0.*I, 0.0000212518409981044 + 0.*I, 0.00011030386120047808 + 0.*I, 0.00012060876219965878 + 0.*I, 0.00010366787259741274 + 0.*I, 0.00007466938158895432 + 0.*I, 0.00003150606580071269 + 0.*I, 0.000024978513613049813 + 0.*I, 0.00006209888918640161 + 0.*I, 0.000010031289998657655 + 0.*I, 7.5308762115255945*^-6 + 0.*I, 0.000015325952196221238 + 0.*I}
{0.2028761010290037 + 0.*I, 0.26172963026920293 + 0.*I, 0.21517199682179466 + 0.*I, 0.22460841523601618 + 0.*I, 0.02618620447778497 + 0.*I, 0.0008388588351948556 + 0.*I, 0.00004101697179681452 + 0.*I, 0.00014443767180072342 + 0.*I, 0.00018044691059149187 + 0.*I, 0.00015915814839395637 + 0.*I, 0.00013303448660462183 + 0.*I, 0.0001085858984062327 + 0.*I, 0.00007457195201343582 + 0.*I, 0.00001765632338113221 + 0.*I, 0.00004708205518788589 + 0.*I, 0.00003637238958908995 + 0.*I, 0.000016843910000119422 + 0.*I, 0.000019357878189296688 + 0.*I}
{0.2056776311656128 + 0.*I, 0.24797584190199284 + 0.*I, 0.19889217073700835 + 0.*I, 0.22764986710639423 + 0.*I, 0.027315533993998997 + 0.*I, 0.0009750363290095266 + 0.*I, 0.00012549146382045961 + 0.*I, 0.00023238188600060997 + 0.*I, 0.00020172194561407514 + 0.*I, 0.00015345794941445945 + 0.*I, 0.00012518921459481192 + 0.*I, 0.00011247091780131058 + 0.*I, 0.00009800134879167645 + 0.*I, 0.000057559105592908124 + 0.*I, 0.000016907570588031717 + 0.*I, 0.000051006601586856 + 0.*I, 0.000025648004009504177 + 0.*I, 0.00005299340519737683 + 0.*I}
{0.2083866758741948 + 0.*I, 0.23450823889379357 + 0.*I, 0.18292331322720123 + 0.*I, 0.23057163099637903 + 0.*I, 0.02842956418500631 + 0.*I, 0.0012112009577958105 + 0.*I, 0.00027424077939652847 + 0.*I, 0.0002594717150028458 + 0.*I, 0.0001679263819998056 + 0.*I, 0.00010536935519667169 + 0.*I, 0.00008260645119051448 + 0.*I, 0.00008519450280797258 + 0.*I, 0.00009479930318523344 + 0.*I, 0.00008312486361461426 + 0.*I, 0.00001991020559533041 + 0.*I, 0.00005042233319763057 + 0.*I, 0.000033137645183423103 + 0.*I, 0.00007853232419918756 + 0.*I}
{0.21094870845539407 + 0.*I, 0.22129855117979938 + 0.*I, 0.16723877097382103 + 0.*I, 0.23343742938599646 + 0.*I, 0.029595185188013854 + 0.*I, 0.0015120420163938775 + 0.*I, 0.00036509687200148017 + 0.*I, 0.00021826366720656412 + 0.*I, 0.00008955089658702065 + 0.*I, 0.000029758437003479802 + 0.*I, 0.000018477061614063928 + 0.*I, 0.000035182176993941994 + 0.*I, 0.00006602390580923158 + 0.*I, 0.00008700602880384879 + 0.*I, 0.000053131846411424995 + 0.*I, 0.00003502055518911363 + 0.*I, 0.000038319263784281084 + 0.*I, 0.00009033635419708476 + 0.*I}
{0.21331180660659757 + 0.*I, 0.20831465513799774 + 0.*I, 0.15178770483261775 + 0.*I, 0.23629581948780842 + 0.*I, 0.030873614349813394 + 0.*I, 0.0018287772461933474 + 0.*I, 0.00037497630918092995 + 0.*I, 0.00012140155958295652 + 0.*I, 9.57768679921145*^-6 + 0.*I, 0.00005015138420105814 + 0.*I, 0.00004742614960751013 + 0.*I, 0.000022251877784817967 + 0.*I, 0.000020367807995747 + 0.*I, 0.00006817444699880326 + 0.*I, 0.00007363527101400535 + 0.*I, 8.93007219282538*^-6 + 0.*I, 0.000040056401195975866 + 0.*I, 0.00008541286760088695 + 0.*I}
{0.21543353147761568 + 0.*I, 0.19552514550600364 + 0.*I, 0.13650731620340473 + 0.*I, 0.2391668786917878 + 0.*I, 0.0323071295672106 + 0.*I, 0.0021125659335874403 + 0.*I, 0.0003039074338184733 + 0.*I, 2.3479316046959298*^-6 + 0.*I, 0.00009958337898741122 + 0.*I, 0.00010992370620410696 + 0.*I, 0.0000948625719976448 + 0.*I, 0.0000696216041928821 + 0.*I, 0.000028513415806230572 + 0.*I, 0.00003214533561557431 + 0.*I, 0.00007589581740852226 + 0.*I, 0.000021096405200538015 + 0.*I, 0.0000372900086142991 + 0.*I, 0.0000641481857854842 + 0.*I}
{0.21728638536859804 + 0.*I, 0.18290381488059726 + 0.*I, 0.12133779001559652 + 0.*I, 0.24203524360699724 + 0.*I, 0.0339104938639867 + 0.*I, 0.0023274048938093372 + 0.*I, 0.00017457793179964654 + 0.*I, 0.00011667376360602333 + 0.*I, 0.000153525786594777 + 0.*I, 0.00013135844640910221 + 0.*I, 0.0001093235248106339 + 0.*I, 0.00009257368158710479 + 0.*I, 0.0000660842936150985 + 0.*I, 0.000010654699988954519 + 0.*I, 0.00005944826000359172 + 0.*I, 0.0000474142496154073 + 0.*I, 0.000029394564204920925 + 0.*I, 0.00003036261480016123 + 0.*I}
{0.2188610959727999 + 0.*I, 0.17043351070298862 + 0.*I, 0.10623680382519929 + 0.*I, 0.24485149858120006 + 0.*I, 0.03566873885900713 + 0.*I, 0.00245911084999495 + 0.*I, 0.000025637495615349337 + 0.*I, 0.0001883605261987498 + 0.*I, 0.00015541048419276393 + 0.*I, 0.00010799604999167657 + 0.*I, 0.00008643289299836711 + 0.*I, 0.00008418984480673687 + 0.*I, 0.00008121365879798505 + 0.*I, 0.00004789055239040608 + 0.*I, 0.000028958610998053306 + 0.*I, 0.000063414074591428 + 0.*I, 0.000016569252814235828 + 0.*I, 9.353599406125568*^-6 + 0.*I}
{0.22016730481360106 + 0.*I, 0.15810888779399515 + 0.*I, 0.09119048807240127 + 0.*I, 0.2475419235447918 + 0.*I, 0.03754154040100932 + 0.*I, 0.002518151714414607 + 0.*I, 0.00009929512021500388 + 0.*I, 0.00019689938599576356 + 0.*I, 0.00010488378159312363 + 0.*I, 0.00004703531919503235 + 0.*I, 0.00003323778039465708 + 0.*I, 0.00004703106659675882 + 0.*I, 0.00006942894341666063 + 0.*I, 0.00006884603060974825 + 0.*I, 7.096823395613684*^-6 + 0.*I, 0.00006516812218748669 + 0.*I, 1.284496065068197*^-7 + 0.*I, 0.00004691271779933004 + 0.*I}
{0.2212316300391981 + 0.*I, 0.14593769066439943 + 0.*I, 0.07621844037641878 + 0.*I, 0.25002455398899226 + 0.*I, 0.03947298002500155 + 0.*I, 0.002535824170379897 + 0.*I, 0.00016382806860004706 + 0.*I, 0.00014031453039464736 + 0.*I, 0.000017259571216676765 + 0.*I, 0.00003289120920069167 + 0.*I, 0.000033972280188976356 + 0.*I, 7.6554550032526*^-6 + 0.*I, 0.00003421735341735399 + 0.*I, 0.0000674890878071821 + 0.*I, 0.00003877881180613941 + 0.*I, 0.000052388686011539676 + 0.*I, 0.00001744118840463216 + 0.*I, 0.0000743650395929052 + 0.*I}
{0.2220934608035963 + 0.*I, 0.1339403717642074 + 0.*I, 0.061371642101182296 + 0.*I, 0.2522278880675799 + 0.*I, 0.041404352103180386 + 0.*I, 0.002555098045187165 + 0.*I, 0.00014879877299200928 + 0.*I, 0.00003555987719838783 + 0.*I, 0.0000811059844174622 + 0.*I, 0.00010739750080368538 + 0.*I, 0.0000946383912125981 + 0.*I, 0.0000633192742016675 + 0.*I, 0.000013997394598952441 + 0.*I, 0.00004420709840413651 + 0.*I, 0.000057416955812072956 + 0.*I, 0.000028461215806352417 + 0.*I, 0.000032746243805448216 + 0.*I, 0.00008556696660111385 + 0.*I}
{0.22279915622038793 + 0.*I, 0.12214805667940531 + 0.*I, 0.04672362226560978 + 0.*I, 0.2541078080996018 + 0.*I, 0.04328709031899969 + 0.*I, 0.0026188427383999624 + 0.*I, 0.00005731893000238131 + 0.*I, 0.00008658027899066667 + 0.*I, 0.00016070964901082618 + 0.*I, 0.00015375579240917148 + 0.*I, 0.0001301876110026967 + 0.*I, 0.00010307879141358002 + 0.*I, 0.00006091561659538059 + 0.*I, 5.7055188129595535*^-6 + 0.*I, 0.00005797713420463424 + 0.*I, 4.51319581706855*^-7 + 0.*I, 0.0000420857928062901 + 0.*I, 0.00007753466861881719 + 0.*I}
