{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.01196208650799946 + 0.*I, 0.9640651351993991 + 0.*I, 0.964073756236994 + 0.*I, 0.011917161235985851 + 0.*I, 0.00003625533040452211 + 0.*I, 4.887059645852788*^-8 + 0.*I, 3.779199175824033*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.0191847366058939*^-11 + 0.*I, 8.534062345688654*^-10 + 0.*I, 4.3139415654848857*^-10 + 0.*I, 4.2881254103122046*^-10 + 0.*I, 5.995204332975846*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.014204887576396708 + 0.*I, 0.9573185358380033 + 0.*I, 0.9573307104630003 + 0.*I, 0.014141375165999115 + 0.*I, 0.00005125545099460283 + 0.*I, 8.226279657463921*^-8 + 0.*I, 7.460698725481053*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.800781745942004*^-11 + 0.*I, 1.2029932605628346*^-9 + 0.*I, 6.092008841833208*^-10 + 0.*I, 6.045830502898752*^-10 + 0.*I, 9.592326932761354*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.016631560088398167 + 0.*I, 0.9500143743288004 + 0.*I, 0.9500310904259957 + 0.*I, 0.016544252496197846 + 0.*I, 0.00007045857119969413 + 0.*I, 1.3278620425438703*^-7 + 0.*I, 1.412203687323199*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.942091015256665*^-11 + 0.*I, 1.6482148978980151*^-9 + 0.*I, 8.3639900561154*^-10 + 0.*I, 8.28803692343172*^-10 + 0.*I, 1.518785097687214*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.019239352247413247 + 0.*I, 0.942159828978606 + 0.*I, 0.9421822364635846 + 0.*I, 0.019122168594387645 + 0.*I, 0.00009456909779714806 + 0.*I, 2.0681798496013928*^-7 + 0.*I, 2.5419666371817584*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 4.638511796883904*^-11 + 0.*I, 2.2046142689191588*^-9 + 0.*I, 1.1209963513080944*^-9 + 0.*I, 1.1084022588647713*^-9 + 0.*I, 2.3203661214665772*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.022025306764206224 + 0.*I, 0.9337626140884182 + 0.*I, 0.9337920348366114 + 0.*I, 0.021871233445813765 + 0.*I, 0.00012433977720771594 + 0.*I, 3.1235338759927345*^-7 + 0.*I, 4.406031095527397*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 7.021050407729491*^-11 + 0.*I, 2.8872015889191975*^-9 + 0.*I, 1.4714007789962127*^-9 + 0.*I, 1.4526158054195548*^-9 + 0.*I, 3.461675390781238*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.024986264184412296 + 0.*I, 0.9248309712719839 + 0.*I, 0.9248689083660055 + 0.*I, 0.02478729721340223 + 0.*I, 0.00016056989300405888 + 0.*I, 4.592481950282945*^-7 + 0.*I, 7.375877686399691*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.0298428776422952*^-10 + 0.*I, 3.7123859542020914*^-9 + 0.*I, 1.8970075510621023*^-9 + 0.*I, 1.8696155734687636*^-9 + 0.*I, 5.10036457512797*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.028118866441784185 + 0.*I, 0.9153736601825946 + 0.*I, 0.9154218064368004 + 0.*I, 0.02786595616901533 + 0.*I, 0.00020410334500287064 + 0.*I, 6.594774060175723*^-7 + 0.*I, 1.1955991752188313*^-9 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.481925693269659*^-10 + 0.*I, 4.697597866254455*^-9 + 0.*I, 2.406793514498797*^-9 + 0.*I, 2.3676172133946242*^-9 + 0.*I, 7.260858581048524*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.03141956062981954 + 0.*I, 0.9053999486611898 + 0.*I, 0.9054601943863984 + 0.*I, 0.03110255898941539 + 0.*I, 0.0002558266215979544 + 0.*I, 9.274073953235986*^-7 + 0.*I, 1.8858026251677984*^-9 + 0.*I, 2.797762022055395*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 2.0801138589376936*^-10 + 0.*I, 5.858979967854339*^-9 + 0.*I, 3.011195459648555*^-9 + 0.*I, 2.9565905279582698*^-9 + 0.*I, 1.0198508704206688*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.03488460299718721 + 0.*I, 0.8949196023231966 + 0.*I, 0.8949940422842141 + 0.*I, 0.03449221339939524 + 0.*I, 0.000316666655586495 + 0.*I, 1.2800771997945048*^-6 + 0.*I, 2.901212603489967*^-9 + 0.*I, 4.39648317751562*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.797762022055395*^-12 + 0.*I, 2.86992651865603*^-10 + 0.*I, 7.215206210275937*^-9 + 0.*I, 3.7196010160836334*^-9 + 0.*I, 3.644795576462912*^-9 + 0.*I, 1.403988036940973*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.03851006315021 + 0.*I, 0.8839428735866185 + 0.*I, 0.8840338131250071 + 0.*I, 0.038029793163385506 + 0.*I, 0.0003875885814075275 + 0.*I, 1.7374950145310208*^-6 + 0.*I, 4.3649972525372505*^-9 + 0.*I, 6.994405055138486*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 4.39648317751562*^-12 + 0.*I, 3.8899994336816235*^-10 + 0.*I, 8.782796712125675*^-9 + 0.*I, 4.542805021049484*^-9 + 0.*I, 4.441802481380819*^-9 + 0.*I, 1.9000356843434932*^-10 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
