{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.04229182846480217 + 0.*I, 0.8724804901656169 + 0.*I, 0.8725904504438109 + 0.*I, 0.04170994540779738 + 0.*I, 0.0004695933879972359 + 0.*I, 2.322942216359536*^-6 + 0.*I, 6.437406163684046*^-9 + 0.*I, 1.1590728377086636*^-11 + 0.*I, 0. + 0.*I, 0. + 0.*I, 6.616929226765934*^-12 + 0.*I, 5.191846952357083*^-10 + 0.*I, 1.057898213474573*^-8 + 0.*I, 5.491604393449015*^-9 + 0.*I, 5.357403409789186*^-9 + 0.*I, 2.535971432848783*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.04622560870259918 + 0.*I, 0.8605436430364045 + 0.*I, 0.8606753653725986 + 0.*I, 0.04552709826339818 + 0.*I, 0.0005637154762094808 + 0.*I, 3.0632870018365566*^-6 + 0.*I, 9.321809990581189*^-9 + 0.*I, 1.820765760385257*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 9.592326932761354*^-12 + 0.*I, 6.833866805777689*^-10 + 0.*I, 1.2621592659911585*^-8 + 0.*I, 6.576603150954571*^-9 + 0.*I, 6.400413532503535*^-9 + 0.*I, 3.3359981443936704*^-10 + 0.*I, 3.996802888650564*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.05030694082199805 + 0.*I, 0.8481439738927898 + 0.*I, 0.8483004231570002 + 0.*I, 0.04947546882381194 + 0.*I, 0.0006710201243986802 + 0.*I, 3.9893066183793735*^-6 + 0.*I, 1.3275602839257774*^-8 + 0.*I, 2.8399504969911504*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.3411494137471893*^-11 + 0.*I, 8.880007840161853*^-10 + 0.*I, 1.4926992975006215*^-8 + 0.*I, 7.808799440400928*^-9 + 0.*I, 7.581202332573866*^-9 + 0.*I, 4.339861803259737*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.0545311939808002 + 0.*I, 0.8352935621082082 + 0.*I, 0.8354779291442016 + 0.*I, 0.053549071396807875 + 0.*I, 0.0007926008662062501 + 0.*I, 5.136017011686533*^-6 + 0.*I, 1.8620593955631648*^-8 + 0.*I, 4.301003997397857*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.940669847044774*^-11 + 0.*I, 1.141398087156631*^-9 + 0.*I, 1.7512191696766877*^-8 + 0.*I, 9.199797867953769*^-9 + 0.*I, 8.907607984554033*^-9 + 0.*I, 5.573985717433062*^-10 + 0.*I, 7.59392548843607*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.05889357472399493 + 0.*I, 0.8220049112142026 + 0.*I, 0.8222206142687982 + 0.*I, 0.057741726050397624 + 0.*I, 0.000929576790209552 + 0.*I, 6.543008601589406*^-6 + 0.*I, 2.5755597654608667*^-8 + 0.*I, 6.479261571712415*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.637889906509372*^-11 + 0.*I, 1.4507950396591696*^-9 + 0.*I, 2.039179936019764*^-8 + 0.*I, 1.0760008162249442*^-8 + 0.*I, 1.0389999971494035*^-8 + 0.*I, 7.086109476972525*^-10 + 0.*I, 1.0813572259849026*^-11 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.06338913235199861 + 0.*I, 0.8082909349211854 + 0.*I, 0.8085416200455997 + 0.*I, 0.06204706742758416 + 0.*I, 0.001083089755393729 + 0.*I, 8.254783590011527*^-6 + 0.*I, 3.516738011910548*^-8 + 0.*I, 9.601208716958355*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 0. + 0.*I, 3.5793590313915053*^-11 + 0.*I, 1.8260060130614877*^-9 + 0.*I, 2.3581403496564235*^-8 + 0.*I, 1.2501200075121233*^-8 + 0.*I, 1.203679378392053*^-8 + 0.*I, 8.92619311798626*^-10 + 0.*I, 1.5210055437364645*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.06801276446020134 + 0.*I, 0.7941649426904007 + 0.*I, 0.7944544830981836 + 0.*I, 0.0664585538257878 + 0.*I, 0.0012543015394106407 + 0.*I, 0.000010321100818444508 + 0.*I, 4.744880044427191*^-8 + 0.*I, 1.3939960297193466*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 4.8405723873656825*^-11 + 0.*I, 2.277800170702449*^-9 + 0.*I, 2.709519275612138*^-8 + 0.*I, 1.4434192729951794*^-8 + 0.*I, 1.3856005232071313*^-8 + 0.*I, 1.1133982624755845*^-9 + 0.*I, 2.020605904817785*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.07275922264380341 + 0.*I, 0.7796406248778087 + 0.*I, 0.7799731192379866 + 0.*I, 0.07096947652740494 + 0.*I, 0.0014443909226002918 + 0.*I, 0.000012797321602420197 + 0.*I, 6.331419832861229*^-8 + 0.*I, 2.001954158004082*^-10 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 6.441513988875158*^-11 + 0.*I, 2.8174129695912598*^-9 + 0.*I, 3.0945601636744875*^-8 + 0.*I, 1.6570006478034794*^-8 + 0.*I, 1.5856183033235993*^-8 + 0.*I, 1.3772094575870142*^-9 + 0.*I, 2.680078381445128*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.07762311836438941 + 0.*I, 0.7647320374692069 + 0.*I, 0.7651118071120067 + 0.*I, 0.07557296936180347 + 0.*I, 0.001654550704399682 + 0.*I, 0.000015744755388347187 + 0.*I, 8.361880077245587*^-8 + 0.*I, 2.837952095546825*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 8.50208792257945*^-11 + 0.*I, 3.457589770050618*^-9 + 0.*I, 3.514439850249573*^-8 + 0.*I, 1.89195992206237*^-8 + 0.*I, 1.8045009930744982*^-8 + 0.*I, 1.6904033728337708*^-9 + 0.*I, 3.539391002504999*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.08259892896800293 + 0.*I, 0.7494535864227991 + 0.*I, 0.7498851714493826 + 0.*I, 0.08026201849100634 + 0.*I, 0.001885984670391139 + 0.*I, 0.00001923100638734354 + 0.*I, 1.0937879491024208*^-7 + 0.*I, 3.969935491454635*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1139977829088822*^-10 + 0.*I, 4.212208359888337*^-9 + 0.*I, 3.970179740520053*^-8 + 0.*I, 2.1493803958883185*^-8 + 0.*I, 2.0429591351955878*^-8 + 0.*I, 2.059397097298188*^-9 + 0.*I, 4.6007642140466493*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.08768100384661805 + 0.*I, 0.7338200116398186 + 0.*I, 0.7343081659167972 + 0.*I, 0.08502947240238701 + 0.*I, 0.002139904506015533 + 0.*I, 0.000023330318588143942 + 0.*I, 1.41794798125261*^-7 + 0.*I, 5.49582601649945*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.4441781104324036*^-10 + 0.*I, 5.0960125008714385*^-9 + 0.*I, 4.4626213835385904*^-8 + 0.*I, 2.4302393430988596*^-8 + 0.*I, 2.301678847516087*^-8 + 0.*I, 2.491984396613134*^-9 + 0.*I, 5.95967719618784*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.09286357074040907 + 0.*I, 0.71784637058121 + 0.*I, 0.7183960556138125 + 0.*I, 0.08986805209481032 + 0.*I, 0.002417526669185044 + 0.*I, 0.00002812391639572809 + 0.*I, 1.82276993498931*^-7 + 0.*I, 7.536193891155563*^-10 + 0.*I, 2.8199664825478976*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.8518520050747614*^-10 + 0.*I, 6.125389084843391*^-9 + 0.*I, 4.992459778918601*^-8 + 0.*I, 2.735640325379777*^-8 + 0.*I, 2.5812596504692923*^-8 + 0.*I, 2.9960034453324624*^-9 + 0.*I, 7.640554855470329*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.09814074217000535 + 0.*I, 0.7015480215535997 + 0.*I, 0.7021643992267901 + 0.*I, 0.09477036144021067 + 0.*I, 0.002720069221195942 + 0.*I, 0.000033700343782250286 + 0.*I, 2.3247079816712815*^-7 + 0.*I, 1.0220047030884416*^-9 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 2.797762022055395*^-12 + 0.*I, 2.362110507192483*^-10 + 0.*I, 7.318590178329032*^-9 + 0.*I, 5.5602011883593156*^-8 + 0.*I, 3.066460418921224*^-8 + 0.*I, 2.8821389719269067*^-8 + 0.*I, 3.5802028008902202*^-9 + 0.*I, 9.698908343125368*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.10350652198860555 + 0.*I, 0.6849406066790077 + 0.*I, 0.6856290308651981 + 0.*I, 0.09972889771219241 + 0.*I, 0.0030487486317953842 + 0.*I, 0.00004015579539995429 + 0.*I, 2.942885934942297*^-7 + 0.*I, 1.374012015276094*^-9 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 2.988054248476147*^-10 + 0.*I, 8.694200914760586*^-9 + 0.*I, 6.166158694753676*^-8 + 0.*I, 3.423659411527791*^-8 + 0.*I, 3.204878584739391*^-8 + 0.*I, 4.253597474246363*^-9 + 0.*I, 1.2239098623467728*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.10895481205359658 + 0.*I, 0.6680400345756122 + 0.*I, 0.6688060416013997 + 0.*I, 0.10473606225900324 + 0.*I, 0.003404776552806688 + 0.*I, 0.00004759444280910686 + 0.*I, 3.699413886337766*^-7 + 0.*I, 1.8312018568167332*^-9 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 3.750111332578854*^-10 + 0.*I, 1.027240514872574*^-8 + 0.*I, 6.810358943454277*^-8 + 0.*I, 3.808139081851271*^-8 + 0.*I, 3.5498204375983284*^-8 + 0.*I, 5.026601357371874*^-9 + 0.*I, 1.5361045768713668*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.11447941900339932 + 0.*I, 0.6508624627654003 + 0.*I, 0.6517117607413915 + 0.*I, 0.10978417130920184 + 0.*I, 0.0037893565735913626 + 0.*I, 0.000056128751002582085 + 0.*I, 4.6197121683633213*^-7 + 0.*I, 2.4205970561297363*^-9 + 0.*I, 9.592326932761354*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 4.67803573656056*^-10 + 0.*I, 1.2074807820283697*^-8 + 0.*I, 7.492679809928406*^-8 + 0.*I, 4.2207207173739764*^-8 + 0.*I, 3.917219881799384*^-8 + 0.*I, 5.909805977921678*^-9 + 0.*I, 1.9180212973424204*^-10 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.12007406113359044 + 0.*I, 0.6334242798322177 + 0.*I, 0.6343627368478044 + 0.*I, 0.11486546689578603 + 0.*I, 0.0042036809653867024 + 0.*I, 0.00006587978598204815 + 0.*I, 5.732915919764993*^-7 + 0.*I, 3.17499360136253*^-9 + 0.*I, 1.3211653993039363*^-11 + 0.*I, 9.592326932761354*^-12 + 0.*I, 5.796030322358093*^-10 + 0.*I, 1.4125012270937988*^-8 + 0.*I, 8.212739377455593*^-8 + 0.*I, 4.6621398408497414*^-8 + 0.*I, 4.307281198379088*^-8 + 0.*I, 6.914602224128431*^-9 + 0.*I, 2.37609931730276*^-10 + 0.*I, 4.596323321948148*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.12573237536339654 + 0.*I, 0.6157420873514008 + 0.*I, 0.6167757185397971 + 0.*I, 0.11997212788021906 + 0.*I, 0.004648927416206484 + 0.*I, 0.00007697751240876018 + 0.*I, 7.07225011886692*^-7 + 0.*I, 4.133604569744875*^-9 + 0.*I, 1.780797731498751*^-11 + 0.*I, 1.2789769243681805*^-11 + 0.*I, 7.142064717413633*^-10 + 0.*I, 1.644739899830938*^-8 + 0.*I, 8.969900378019703*^-8 + 0.*I, 5.1331600081639144*^-8 + 0.*I, 4.720059898488672*^-8 + 0.*I, 8.053002709118575*^-9 + 0.*I, 2.922107000813412*^-10 + 0.*I, 5.795364188543318*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.13144792428918528 + 0.*I, 0.5978326816141967 + 0.*I, 0.5989676350950157 + 0.*I, 0.12509628105961126 + 0.*I, 0.005126255764387189 + 0.*I, 0.00008956107819813042 + 0.*I, 8.675469898022926*^-7 + 0.*I, 5.3438142799677735*^-9 + 0.*I, 2.3803181647963356*^-11 + 0.*I, 1.6808776592824873*^-11 + 0.*I, 8.752110147725034*^-10 + 0.*I, 1.9067791789950664*^-8 + 0.*I, 9.763219122049806*^-8 + 0.*I, 5.634360200623717*^-8 + 0.*I, 5.15554043900579*^-8 + 0.*I, 9.337997042280222*^-9 + 0.*I, 3.576028362317629*^-10 + 0.*I, 6.994405055138486*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.1372142033059909 + 0.*I, 0.5797130351631986 + 0.*I, 0.5809555768784059 + 0.*I, 0.13023001234699907 + 0.*I, 0.0056368047401944565 + 0.*I, 0.00010377908639114254 + 0.*I, 1.0585311960298327*^-6 + 0.*I, 6.862799217799421*^-9 + 0.*I, 3.1596947280831955*^-11 + 0.*I, 2.1982415887578096*^-11 + 0.*I, 1.066591259757388*^-9 + 0.*I, 2.2013613154570066*^-8 + 0.*I, 1.059147880511091*^-7 + 0.*I, 6.166340216218228*^-8 + 0.*I, 5.613638442980574*^-8 + 0.*I, 1.0782597037461983*^-8 + 0.*I, 4.353850613370014*^-10 + 0.*I, 8.593126210598712*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.14302464780300284 + 0.*I, 0.5614002781721973 + 0.*I, 0.5627567756206098 + 0.*I, 0.13536537799838658 + 0.*I, 0.006181688715600764 + 0.*I, 0.00011978985019478472 + 0.*I, 1.2849979968976302*^-6 + 0.*I, 8.758016534216042*^-9 + 0.*I, 4.198863479132342*^-11 + 0.*I, 2.8599345114344032*^-11 + 0.*I, 1.2928103032550098*^-9 + 0.*I, 2.5313795504189333*^-8 + 0.*I, 1.1453220594148661*^-7 + 0.*I, 6.72958078151711*^-8 + 0.*I, 6.094038607074026*^-8 + 0.*I, 1.2401613069812356*^-8 + 0.*I, 5.272005054735018*^-10 + 0.*I, 1.0591527654923993*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.14887264041159032 + 0.*I, 0.5429116796789923 + 0.*I, 0.5443885845747954 + 0.*I, 0.14049441588219747 + 0.*I, 0.006761994473802879 + 0.*I, 0.00013776163620971005 + 0.*I, 1.5523653917881577*^-6 + 0.*I, 1.1110001807423943*^-8 + 0.*I, 5.540012892879531*^-11 + 0.*I, 3.619327060278011*^-11 + 0.*I, 1.5595968960724351*^-9 + 0.*I, 2.8997604317737572*^-8 + 0.*I, 1.2346579314481687*^-7 + 0.*I, 7.32449934037762*^-8 + 0.*I, 6.596458934637894*^-8 + 0.*I, 1.4209988741242798*^-8 + 0.*I, 6.354028414534697*^-10 + 0.*I, 1.318944953254686*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.1547515183047965 + 0.*I, 0.5242646287066055 + 0.*I, 0.5258684585732089 + 0.*I, 0.14560915676560263 + 0.*I, 0.0073787780027867456 + 0.*I, 0.00015787288638602348 + 0.*I, 1.8667037915420794*^-6 + 0.*I, 1.4012591087464443*^-8 + 0.*I, 7.300826609935031*^-11 + 0.*I, 4.6207482284899015*^-11 + 0.*I, 1.8726131756352515*^-9 + 0.*I, 3.309739149415236*^-8 + 0.*I, 1.326953880109727*^-7 + 0.*I, 7.951399538796977*^-8 + 0.*I, 7.120359857282212*^-8 + 0.*I, 1.6223000720572148*^-8 + 0.*I, 7.622125153261551*^-10 + 0.*I, 1.6009416015094757*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.16065458053879933 + 0.*I, 0.5054766152831958 + 0.*I, 0.5072139340131843 + 0.*I, 0.1507016356059987 + 0.*I, 0.008033061319401291 + 0.*I, 0.0001803124232147013 + 0.*I, 2.2347941941447402*^-6 + 0.*I, 1.757720635708893*^-8 + 0.*I, 9.56124068807185*^-11 + 0.*I, 5.799805080641818*^-11 + 0.*I, 2.237987573039391*^-9 + 0.*I, 3.76451980699244*^-8 + 0.*I, 1.421954110014667*^-7 + 0.*I, 8.610499535599577*^-8 + 0.*I, 7.665181822602564*^-8 + 0.*I, 1.845739117101175*^-8 + 0.*I, 9.108047649419859*^-10 + 0.*I, 2.020605904817785*^-11 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.16657509542441495 + 0.*I, 0.4865652113968056 + 0.*I, 0.48844260879099544 + 0.*I, 0.15576390282880936 + 0.*I, 0.008725829328004586 + 0.*I, 0.00020527963577876562 + 0.*I, 2.664186204981434*^-6 + 0.*I, 2.1933388438810653*^-8 + 0.*I, 1.2458922782343507*^-10 + 0.*I, 7.240874566605272*^-11 + 0.*I, 2.6632029914708255*^-9 + 0.*I, 4.2674996869607185*^-8 + 0.*I, 1.5193899471910302*^-7 + 0.*I, 9.301980852249885*^-8 + 0.*I, 8.23016099715801*^-8 + 0.*I, 2.092939155318163*^-8 + 0.*I, 1.0835998764946453*^-9 + 0.*I, 2.5002222514558525*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.17250630792520208 + 0.*I, 0.4675480518950171 + 0.*I, 0.46957212221818706 + 0.*I, 0.16078803558079446 + 0.*I, 0.009458026724584734 + 0.*I, 0.000232984644599199 + 0.*I, 3.1632646058099567*^-6 + 0.*I, 2.7232394117504555*^-8 + 0.*I, 1.616040634644378*^-10 + 0.*I, 8.99946783761152*^-11 + 0.*I, 3.1564084679303055*^-9 + 0.*I, 4.822240384783072*^-8 + 0.*I, 1.6189520835041551*^-7 + 0.*I, 1.0025900110122166*^-7 + 0.*I, 8.814400320744653*^-8 + 0.*I, 2.3657209524685637*^-8 + 0.*I, 1.2837952922950535*^-9 + 0.*I, 3.059774655866932*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.17844144706820056 + 0.*I, 0.4484428153597842 + 0.*I, 0.4506201349365968 + 0.*I, 0.16576614893379915 + 0.*I, 0.010230554948398305 + 0.*I, 0.00026364844400994514 + 0.*I, 3.7413133924246726*^-6 + 0.*I, 3.3649394381995996*^-8 + 0.*I, 2.0818902157770935*^-10 + 0.*I, 1.1100009800202316*^-10 + 0.*I, 3.726419173233353*^-9 + 0.*I, 5.432341243505334*^-8 + 0.*I, 1.7202939073257542*^-7 + 0.*I, 1.0782099657546952*^-7 + 0.*I, 9.416940560669218*^-8 + 0.*I, 2.665860865391778*^-8 + 0.*I, 1.5149881349429963*^-9 + 0.*I, 3.75921516138078*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.18437373336341875 + 0.*I, 0.42926720497780124 + 0.*I, 0.43160430886279855 + 0.*I, 0.17069040703241445 + 0.*I, 0.01104426918718815 + 0.*I, 0.00029750302239506254 + 0.*I, 4.408586806725623*^-6 + 0.*I, 4.138758225025185*^-8 + 0.*I, 2.668087972779176*^-10 + 0.*I, 1.3660184094987926*^-10 + 0.*I, 4.3826053897078054*^-9 + 0.*I, 6.10151928981395*^-8 + 0.*I, 1.8230359444260105*^-7 + 0.*I, 1.15704812397866*^-7 + 0.*I, 1.003658045561906*^-7 + 0.*I, 2.995221848323126*^-8 + 0.*I, 1.7811974117876164*^-9 + 0.*I, 4.5985437679973984*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
