{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.03680154594800644 + 0.*I, 0.8828341885285917 + 0.*I, 0.878459886022398 + 0.*I, 0.04072188509240959 + 0.*I, 0.00045173745679694127 + 0.*I, 2.219729200447773*^-6 + 0.*I, 6.136202657103241*^-9 + 0.*I, 6.017408793468349*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I, 8.992806499463768*^-12 + 0.*I, 7.257972001184499*^-10 + 0.*I, 5.645179879110175*^-8 + 0.*I, 1.1504516006510812*^-6 + 0.*I, 5.972895983363814*^-7 + 0.*I, 5.824675852750261*^-7 + 0.*I, 2.755640160501116*^-8 + 0.*I, 2.892130979148533*^-10 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I}
{0.03968182557541056 + 0.*I, 0.8728201806297965 + 0.*I, 0.8676055208719946 + 0.*I, 0.044353280210795994 + 0.*I, 0.0005402818491928586 + 0.*I, 2.9143780055918005*^-6 + 0.*I, 8.847012011869994*^-9 + 0.*I, 1.2212453270876724*^-11 + 0.*I, 5.195843755245733*^-12 + 0.*I, 1.1812772982011667*^-11 + 0.*I, 1.048006126325163*^-9 + 0.*I, 7.429898918331902*^-8 + 0.*I, 1.3725568015487968*^-6 + 0.*I, 7.15317602373311*^-7 + 0.*I, 6.95866186894989*^-7 + 0.*I, 3.627360634084198*^-8 + 0.*I, 4.1999737021569677*^-10 + 0.*I, 2.997602166487923*^-12 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.195843755245733*^-12 + 0.*I}
{0.042575401252586964 + 0.*I, 0.8625846913002166 + 0.*I, 0.8564222487644102 + 0.*I, 0.048093397363802026 + 0.*I, 0.0006406557750082699 + 0.*I, 3.7780492068151265*^-6 + 0.*I, 1.2541390148612665*^-8 + 0.*I, 2.1405099914773018*^-11 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.580957587066223*^-11 + 0.*I, 1.4892087563112*^-9 + 0.*I, 9.656200283814087*^-8 + 0.*I, 1.6232517996428442*^-6 + 0.*I, 8.493759959260495*^-7 + 0.*I, 8.241535898179109*^-7 + 0.*I, 4.71487959785577*^-8 + 0.*I, 5.996092511395546*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.417888360170764*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.04546942414760392 + 0.*I, 0.8521549390978046 + 0.*I, 0.8449306178684113 + 0.*I, 0.05193517402040105 + 0.*I, 0.0007537128954071548 + 0.*I, 4.840882206202934*^-6 + 0.*I, 1.750601885674996*^-8 + 0.*I, 3.5216274341109965*^-11 + 0.*I, 5.395683899678261*^-12 + 0.*I, 2.1205259770340493*^-11 + 0.*I, 2.0845991599571793*^-9 + 0.*I, 1.2405261262671274*^-7 + 0.*I, 1.904312396661112*^-6 + 0.*I, 1.0006761932968013*^-6 + 0.*I, 9.683297941265323*^-7 + 0.*I, 6.058000767694693*^-8 + 0.*I, 8.423928221645839*^-10 + 0.*I, 0. + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.04835117046260162 + 0.*I, 0.8415581754748104 + 0.*I, 0.8331514168499865 + 0.*I, 0.05587146321899273 + 0.*I, 0.0008803051946060237 + 0.*I, 6.136485608543297*^-6 + 0.*I, 2.408959698385616*^-8 + 0.*I, 5.440092820663267*^-11 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 3.019806626980426*^-11 + 0.*I, 2.8791857786814035*^-9 + 0.*I, 1.576845987116826*^-7 + 0.*I, 2.2174438063515822*^-6 + 0.*I, 1.1704361965736434*^-6 + 0.*I, 1.1293721957628122*^-6 + 0.*I, 7.701219661981895*^-8 + 0.*I, 1.1650014286601618*^-9 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.417089082333406*^-12 + 0.*I, 6.417089082333406*^-12 + 0.*I, 6.417089082333406*^-12 + 0.*I, 6.417089082333406*^-12 + 0.*I, 6.417089082333406*^-12 + 0.*I}
{0.05120810341621152 + 0.*I, 0.8308215795613861 + 0.*I, 0.821105612365014 + 0.*I, 0.059895056628800354 + 0.*I, 0.0010212790376051828 + 0.*I, 7.702098203665741*^-6 + 0.*I, 3.271738435728366*^-8 + 0.*I, 8.240075288767912*^-11 + 0.*I, 6.794564910705959*^-12 + 0.*I, 4.218847493575595*^-11 + 0.*I, 3.925015867878302*^-9 + 0.*I, 1.9847419263641086*^-7 + 0.*I, 2.5642618028953734*^-6 + 0.*I, 1.3598745962628558*^-6 + 0.*I, 1.3082333882863397*^-6 + 0.*I, 9.694518521286*^-8 + 0.*I, 1.590394482775537*^-9 + 0.*I, 4.39648317751562*^-12 + 0.*I, 6.794564910705959*^-12 + 0.*I, 6.794564910705959*^-12 + 0.*I, 6.794564910705959*^-12 + 0.*I, 6.794564910705959*^-12 + 0.*I, 6.794564910705959*^-12 + 0.*I, 6.794564910705959*^-12 + 0.*I, 6.794564910705959*^-12 + 0.*I}
{0.05402793287860863 + 0.*I, 0.8199721567629936 + 0.*I, 0.8088142882092031 + 0.*I, 0.06399870735018798 + 0.*I, 0.0011774712747936178 + 0.*I, 9.57873180773561*^-6 + 0.*I, 4.3898817914111994*^-8 + 0.*I, 1.2119194536808211*^-10 + 0.*I, 7.993605777301129*^-12 + 0.*I, 5.899725152858082*^-11 + 0.*I, 5.287792426145189*^-9 + 0.*I, 2.47553000320977*^-7 + 0.*I, 2.9462796202750496*^-6 + 0.*I, 1.5702041944454237*^-6 + 0.*I, 1.505827595948972*^-6 + 0.*I, 1.209315980688075*^-7 + 0.*I, 2.1441959319190573*^-9 + 0.*I, 8.79296635503124*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I}
{0.056798672305813376 + 0.*I, 0.8090366417123964 + 0.*I, 0.7962985864381934 + 0.*I, 0.06817515237400595 + 0.*I, 0.0013497054291988777 + 0.*I, 0.000011811304401199152 + 0.*I, 5.824181137370488*^-8 + 0.*I, 1.7679191444130995*^-10 + 0.*I, 7.59392548843607*^-12 + 0.*I, 8.100187187665142*^-11 + 0.*I, 7.043987615418246*^-9 + 0.*I, 3.061666031811683*^-7 + 0.*I, 3.364887590784349*^-6 + 0.*I, 1.8026280024230346*^-6 + 0.*I, 1.7230295856762723*^-6 + 0.*I, 1.495844115240175*^-7 + 0.*I, 2.8602009649603137*^-9 + 0.*I, 1.6187051699034782*^-11 + 0.*I, 7.616129948928574*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I}
{0.059508692689203 + 0.*I, 0.7980414060593967 + 0.*I, 0.7835796506774129 + 0.*I, 0.0724171345913849 + 0.*I, 0.001538787964383559 + 0.*I, 0.000014448745599970893 + 0.*I, 7.646239197356408*^-8 + 0.*I, 2.517985819849855*^-10 + 0.*I, 7.993605777301129*^-12 + 0.*I, 1.119992987241858*^-10 + 0.*I, 9.288592117684402*^-9 + 0.*I, 3.756882138716833*^-7 + 0.*I, 3.821339999987572*^-6 + 0.*I, 2.0583327958734188*^-6 + 0.*I, 1.9606595902388335*^-6 + 0.*I, 1.8357360076493023*^-7 + 0.*I, 3.77420317221322*^-9 + 0.*I, 2.5779378631796138*^-11 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I}
{0.06214677322220476 + 0.*I, 0.787012371523005 + 0.*I, 0.7706785718833987 + 0.*I, 0.0767174242832125 + 0.*I, 0.0017455046714021096 + 0.*I, 0.000017544095798349705 + 0.*I, 9.940299694477518*^-8 + 0.*I, 3.5380587348754494*^-10 + 0.*I, 7.793765632868599*^-12 + 0.*I, 1.5341061754270413*^-10 + 0.*I, 1.2130807469645788*^-8 + 0.*I, 4.576148127100055*^-7 + 0.*I, 4.316734791842692*^-6 + 0.*I, 2.3384826047800904*^-6 + 0.*I, 2.2194839965905544*^-6 + 0.*I, 2.2363442209183407*^-7 + 0.*I, 4.9321879913577504*^-9 + 0.*I, 3.959055305813309*^-11 + 0.*I, 7.394085344003543*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I}
{0.06470214846900914 + 0.*I, 0.7759749285828066 + 0.*I, 0.7576163367243982 + 0.*I, 0.0810688399948134 + 0.*I, 0.0019706171704214626 + 0.*I, 0.00002115457520268649 + 0.*I, 1.2804399762700314*^-7 + 0.*I, 4.904077144374241*^-10 + 0.*I, 7.394085344003543*^-12 + 0.*I, 2.085887018665744*^-10 + 0.*I, 1.5700996058853892*^-8 + 0.*I, 5.535781832932685*^-7 + 0.*I, 4.851998203214692*^-6 + 0.*I, 2.644214400215894*^-6 + 0.*I, 2.500202800348461*^-6 + 0.*I, 2.705663915136825*^-7 + 0.*I, 6.386602358077198*^-9 + 0.*I, 5.799805080641818*^-11 + 0.*I, 6.994405055138486*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.394085344003543*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I}
{0.06716455181781102 + 0.*I, 0.7649538611092133 + 0.*I, 0.7444137787657956 + 0.*I, 0.08546426872739767 + 0.*I, 0.002214859552407411 + 0.*I, 0.000025341636211706486 + 0.*I, 1.6352079690307167*^-7 + 0.*I, 6.70197231045222*^-10 + 0.*I, 7.59392548843607*^-12 + 0.*I, 2.83195689121385*^-10 + 0.*I, 2.0151991186878604*^-8 + 0.*I, 6.653467998773976*^-7 + 0.*I, 5.427868998708618*^-6 + 0.*I, 2.976631205409142*^-6 + 0.*I, 2.803444187904347*^-6 + 0.*I, 3.2523621573687933*^-7 + 0.*I, 8.19879719671235*^-9 + 0.*I, 8.200107259881406*^-11 + 0.*I, 6.994405055138486*^-12 + 0.*I, 7.394085344003543*^-12 + 0.*I, 7.394085344003543*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I}
{0.06952425505319937 + 0.*I, 0.7539732771844054 + 0.*I, 0.7310915325876134 + 0.*I, 0.08989668537680019 + 0.*I, 0.002478935176397634 + 0.*I, 0.000030170992815214962 + 0.*I, 2.0714021609080646*^-7 + 0.*I, 9.058087613311727*^-10 + 0.*I, 8.193445921733655*^-12 + 0.*I, 3.8138381341923383*^-10 + 0.*I, 2.566000745218844*^-8 + 0.*I, 7.948281810499225*^-7 + 0.*I, 6.044880596078884*^-6 + 0.*I, 3.336796997044367*^-6 + 0.*I, 3.1297585856293612*^-6 + 0.*I, 3.8857999040686764*^-7 + 0.*I, 1.0440803777100882*^-8 + 0.*I, 1.1319833959078096*^-10 + 0.*I, 6.994405055138486*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.815970093361104*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I}
{0.07177210392119715 + 0.*I, 0.7430565462978044 + 0.*I, 0.7176699909446028 + 0.*I, 0.09435917135318661 + 0.*I, 0.002763513625003711 + 0.*I, 0.00003571262681134613 + 0.*I, 2.6039901346308625*^-7 + 0.*I, 1.212407951811656*^-9 + 0.*I, 8.193445921733655*^-12 + 0.*I, 5.095923683029469*^-10 + 0.*I, 3.2429992025129195*^-8 + 0.*I, 9.440729975551677*^-7 + 0.*I, 6.703345389880156*^-6 + 0.*I, 3.7257306073623657*^-6 + 0.*I, 3.479610999335137*^-6 + 0.*I, 4.616055981898627*^-7 + 0.*I, 1.3196599368825446*^-8 + 0.*I, 1.5498713423767188*^-10 + 0.*I, 6.59472476627343*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.815970093361104*^-12 + 0.*I, 7.815970093361104*^-12 + 0.*I, 7.815970093361104*^-12 + 0.*I, 7.815970093361104*^-12 + 0.*I}
{0.07389954959240441 + 0.*I, 0.7322262430371929 + 0.*I, 0.7041692650358035 + 0.*I, 0.09884493232361624 + 0.*I, 0.003069227835816868 + 0.*I, 0.000042040768200024565 + 0.*I, 3.249984059650047*^-7 + 0.*I, 1.607003419223929*^-9 + 0.*I, 8.615330671091216*^-12 + 0.*I, 6.757927550893329*^-10 + 0.*I, 4.0697800685052243*^-8 + 0.*I, 1.11527900248376*^-6 + 0.*I, 7.403341206746462*^-6 + 0.*I, 4.144400200800646*^-6 + 0.*I, 3.853373797824133*^-6 + 0.*I, 5.453913987096826*^-7 + 0.*I, 1.6561396698477893*^-8 + 0.*I, 2.0861090632706694*^-10 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I}
{0.07589867595640953 + 0.*I, 0.7215040973385989 + 0.*I, 0.6906091479443878 + 0.*I, 0.10334731503520711 + 0.*I, 0.0033966714193978125 + 0.*I, 0.00004923385479305154 + 0.*I, 4.0286680658141455*^-7 + 0.*I, 2.1115997839160627*^-9 + 0.*I, 8.992806499463768*^-12 + 0.*I, 8.895995051716455*^-10 + 0.*I, 5.073399478305874*^-8 + 0.*I, 1.310790986863708*^-6 + 0.*I, 8.144694008116462*^-6 + 0.*I, 4.5937180032096245*^-6 + 0.*I, 4.251321406023579*^-6 + 0.*I, 6.410898034658885*^-7 + 0.*I, 2.0645218867798576*^-8 + 0.*I, 2.778000052217067*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 7.815970093361104*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I, 7.793765632868599*^-12 + 0.*I}
{0.07776222273758739 + 0.*I, 0.7109109513020129 + 0.*I, 0.6770090812491915 + 0.*I, 0.10785982316301455 + 0.*I, 0.0037463961704009563 + 0.*I, 0.00005737446320264184 + 0.*I, 4.961755895038779*^-7 + 0.*I, 2.751598948691481*^-9 + 0.*I, 9.592326932761354*^-12 + 0.*I, 1.163202867360269*^-9 + 0.*I, 6.284679443524511*^-8 + 0.*I, 1.5331033997867396*^-6 + 0.*I, 8.926965011646361*^-6 + 0.*I, 5.074534195625979*^-6 + 0.*I, 4.673623399398253*^-6 + 0.*I, 7.499268095401136*^-7 + 0.*I, 2.557278833137389*^-8 + 0.*I, 3.6619596244236163*^-10 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 7.815970093361104*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I}
{0.07948360443199576 + 0.*I, 0.7004667225158023 + 0.*I, 0.6633881248130136 + 0.*I, 0.11237613214978293 + 0.*I, 0.004118909776007484 + 0.*I, 0.00006654921760329557 + 0.*I, 6.073605840484221*^-7 + 0.*I, 3.557421024424912*^-9 + 0.*I, 1.0413891970983968*^-11 + 0.*I, 1.5105916517654807*^-9 + 0.*I, 7.738720775307684*^-8 + 0.*I, 1.7848595934566447*^-6 + 0.*I, 9.749436191697214*^-6 + 0.*I, 5.587631601855492*^-6 + 0.*I, 5.120340018649472*^-6 + 0.*I, 8.73202599116496*^-7 + 0.*I, 3.148621363635584*^-8 + 0.*I, 4.779954210221149*^-10 + 0.*I, 4.196643033083092*^-12 + 0.*I, 8.393286066166183*^-12 + 0.*I, 8.393286066166183*^-12 + 0.*I, 8.415490526658687*^-12 + 0.*I, 8.415490526658687*^-12 + 0.*I, 8.415490526658687*^-12 + 0.*I, 8.415490526658687*^-12 + 0.*I}
{0.08105692511981566 + 0.*I, 0.6901903737867977 + 0.*I, 0.6497649297016128 + 0.*I, 0.11689010300859337 + 0.*I, 0.004514673734790088 + 0.*I, 0.00007684867240342898 + 0.*I, 7.391413925361691*^-7 + 0.*I, 4.56581439323145*^-9 + 0.*I, 1.1790568521519164*^-11 + 0.*I, 1.9481971591517326*^-9 + 0.*I, 9.475100704037233*^-8 + 0.*I, 2.068852800185539*^-6 + 0.*I, 0.000010611096801227406 + 0.*I, 6.133721797141335*^-6 + 0.*I, 5.591416218919677*^-6 + 0.*I, 1.0122917837307455*^-6 + 0.*I, 3.8546610348078054*^-8 + 0.*I, 6.189937451495099*^-10 + 0.*I, 2.997602166487923*^-12 + 0.*I, 8.815170815523743*^-12 + 0.*I, 8.79296635503124*^-12 + 0.*I, 8.79296635503124*^-12 + 0.*I, 8.992806499463768*^-12 + 0.*I, 8.992806499463768*^-12 + 0.*I, 8.992806499463768*^-12 + 0.*I}
{0.0824769892179944 + 0.*I, 0.6800998891172084 + 0.*I, 0.636157714180996 + 0.*I, 0.12139579505119347 + 0.*I, 0.004934101485010166 + 0.*I, 0.00008836717078075652 + 0.*I, 8.945435947538273*^-7 + 0.*I, 5.821010340412158*^-9 + 0.*I, 1.2190248810384219*^-11 + 0.*I, 2.4953816790684873*^-9 + 0.*I, 1.1538399125043953*^-7 + 0.*I, 2.3880234012452206*^-6 + 0.*I, 0.000011510630604227858 + 0.*I, 6.713437000760436*^-6 + 0.*I, 6.086677606376156*^-6 + 0.*I, 1.1686447809466929*^-6 + 0.*I, 4.693641031394691*^-8 + 0.*I, 7.972067450623399*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 7.793765632868599*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I, 7.993605777301129*^-12 + 0.*I}
{0.08373930829399523 + 0.*I, 0.6702122557286084 + 0.*I, 0.6225842427074024 + 0.*I, 0.1258874775287966 + 0.*I, 0.005377556743013656 + 0.*I, 0.00010120267279756234 + 0.*I, 1.0769130032173282*^-6 + 0.*I, 7.37179206566907*^-9 + 0.*I, 1.3011813848606835*^-11 + 0.*I, 3.177191842951288*^-9 + 0.*I, 1.3978900259559168*^-7 + 0.*I, 2.7454607920418543*^-6 + 0.*I, 0.000012446407615662736 + 0.*I, 7.327328405137834*^-6 + 0.*I, 6.605822600036505*^-6 + 0.*I, 1.3437816193118124*^-6 + 0.*I, 5.6857207830773866*^-8 + 0.*I, 1.0187850563170286*^-9 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.194245199571015*^-12 + 0.*I}
{0.08484010405040987 + 0.*I, 0.6605434518822008 + 0.*I, 0.6090618078152144 + 0.*I, 0.13035964017060755 + 0.*I, 0.0058453520644041745 + 0.*I, 0.00011545656739553323 + 0.*I, 1.289941597981681*^-6 + 0.*I, 9.276002188585155*^-9 + 0.*I, 1.518785097687214*^-11 + 0.*I, 4.02258226728236*^-9 + 0.*I, 1.6852779172182863*^-7 + 0.*I, 3.144398608156962*^-6 + 0.*I, 0.000013416470379112868 + 0.*I, 7.975858795639114*^-6 + 0.*I, 7.1484209884786765*^-6 + 0.*I, 1.5392962016136382*^-6 + 0.*I, 6.853539957774046*^-8 + 0.*I, 1.2917888980723548*^-9 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 7.01660951563099*^-12 + 0.*I, 7.216449660063519*^-12 + 0.*I, 7.216449660063519*^-12 + 0.*I, 7.216449660063519*^-12 + 0.*I}
{0.085776307653207 + 0.*I, 0.6511084402157918 + 0.*I, 0.5956072147839998 + 0.*I, 0.1348070026061965 + 0.*I, 0.006337747621598666 + 0.*I, 0.00013123345798948804 + 0.*I, 1.5376873996331146*^-6 + 0.*I, 1.1603007443738989*^-8 + 0.*I, 1.778577285449501*^-11 + 0.*I, 5.0633941484079514*^-9 + 0.*I, 2.0222459262697614*^-7 + 0.*I, 3.588209018801081*^-6 + 0.*I, 0.000014418522598091956 + 0.*I, 8.659399397537017*^-6 + 0.*I, 7.713911798212791*^-6 + 0.*I, 1.7568547949764481*^-6 + 0.*I, 8.222560410331427*^-8 + 0.*I, 1.6288081994275672*^-9 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 6.616929226765934*^-12 + 0.*I, 6.616929226765934*^-12 + 0.*I, 6.816769371198461*^-12 + 0.*I, 6.816769371198461*^-12 + 0.*I, 6.816769371198461*^-12 + 0.*I, 6.816769371198461*^-12 + 0.*I}
{0.08654555558220701 + 0.*I, 0.6419211662806069 + 0.*I, 0.5822367689414021 + 0.*I, 0.1392245226624178 + 0.*I, 0.006854950192791698 + 0.*I, 0.0001486409185957882 + 0.*I, 1.824590811771998*^-6 + 0.*I, 1.4431011940985174*^-8 + 0.*I, 2.1382895454280518*^-11 + 0.*I, 6.339617719675061*^-9 + 0.*I, 2.4157538192071115*^-7 + 0.*I, 4.080402016271023*^-6 + 0.*I, 0.000015449924806176796 + 0.*I, 9.37822500213237*^-6 + 0.*I, 8.301596410298375*^-6 + 0.*I, 1.9981911902888783*^-6 + 0.*I, 9.820879665056738*^-8 + 0.*I, 2.0414114842992603*^-9 + 0.*I, 1.7186252421197423*^-11 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I}
{0.08714618218779169 + 0.*I, 0.6329945619249988 + 0.*I, 0.568966265467985 + 0.*I, 0.143607403542001 + 0.*I, 0.007397112370810533 + 0.*I, 0.00016778923579430227 + 0.*I, 2.1554960039082975*^-6 + 0.*I, 1.785001035869982*^-8 + 0.*I, 2.660094367001875*^-11 + 0.*I, 7.896594489409381*^-9 + 0.*I, 2.873504101330582*^-7 + 0.*I, 4.624619198700941*^-6 + 0.*I, 0.00001650768419736437 + 0.*I, 0.000010132510191995792 + 0.*I, 8.910638205072987*^-6 + 0.*I, 2.265105392140754*^-6 + 0.*I, 1.16795395577185*^-7 + 0.*I, 2.5440094475470687*^-9 + 0.*I, 2.4202861936828413*^-11 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.616929226765934*^-12 + 0.*I, 6.59472476627343*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I}
{0.08757720918080027 + 0.*I, 0.6243405531694003 + 0.*I, 0.5558109815416047 + 0.*I, 0.1479510998844136 + 0.*I, 0.007964331983800754 + 0.*I, 0.00018879112360092876 + 0.*I, 2.535669607617308*^-6 + 0.*I, 2.1963608709540953*^-8 + 0.*I, 3.3995029014022293*^-11 + 0.*I, 9.786815802215187*^-9 + 0.*I, 3.404005965990109*^-7 + 0.*I, 5.224627397382164*^-6 + 0.*I, 0.000017588446388216994 + 0.*I, 0.000010922323800954814 + 0.*I, 9.540059586754525*^-6 + 0.*I, 2.5594625974179057*^-6 + 0.*I, 1.3832919254497258*^-7 + 0.*I, 3.153588501447757*^-9 + 0.*I, 3.299582829185966*^-11 + 0.*I, 6.59472476627343*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I}
{0.08783833227639093 + 0.*I, 0.6159700721700023 + 0.*I, 0.5427856706567981 + 0.*I, 0.15225132271219355 + 0.*I, 0.008556651723412578 + 0.*I, 0.00021176142139811566 + 0.*I, 2.97081981237568*^-6 + 0.*I, 2.6891200377576755*^-8 + 0.*I, 4.301003997397857*^-11 + 0.*I, 1.2070988653078986*^-8 + 0.*I, 4.016617927149469*^-7 + 0.*I, 5.88431059433958*^-6 + 0.*I, 0.00001868849219821556 + 0.*I, 0.000011747627587377352 + 0.*I, 0.000010188741206285101 + 0.*I, 2.883189020863597*^-6 + 0.*I, 1.631897950105099*^-7 + 0.*I, 3.8903991139704885*^-9 + 0.*I, 4.440892098500627*^-11 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 7.01660951563099*^-12 + 0.*I, 6.816769371198461*^-12 + 0.*I, 6.816769371198461*^-12 + 0.*I, 6.816769371198461*^-12 + 0.*I}
{0.08792990523098787 + 0.*I, 0.6078930728819987 + 0.*I, 0.5299045589447938 + 0.*I, 0.15650404327840484 + 0.*I, 0.009174058976202382 + 0.*I, 0.0002368167673960642 + 0.*I, 3.467109599419871*^-6 + 0.*I, 3.276638960159062*^-8 + 0.*I, 5.4600768351065205*^-11 + 0.*I, 1.4820011884353335*^-8 + 0.*I, 4.72163197429154*^-7 + 0.*I, 6.607663594060399*^-6 + 0.*I, 0.000019803733186662956 + 0.*I, 0.000012608270605340977 + 0.*I, 0.000010855419585453774 + 0.*I, 3.238267809457796*^-6 + 0.*I, 1.9179158261550813*^-7 + 0.*I, 4.776601336686781*^-9 + 0.*I, 5.879741138414829*^-11 + 0.*I, 6.417089082333406*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I, 6.994405055138486*^-12 + 0.*I}
