{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.011514755742814133 + 0.*I, 0.9650507075664005 + 0.*I, 0.9646947395508089 + 0.*I, 0.011834809607180752 + 0.*I, 0.00003586585020087796 + 0.*I, 4.8258619322894*^-8 + 0.*I, 3.5416114485542494*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 5.417888360170764*^-12 + 0.*I, 1.2054135467565177*^-9 + 0.*I, 9.287139945968192*^-8 + 0.*I, 4.69221998061764*^-8 + 0.*I, 4.656599550401097*^-8 + 0.*I, 5.863975971465153*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.01357494752438626 + 0.*I, 0.9586616337928068 + 0.*I, 0.958160314094214 + 0.*I, 0.014025584544996583 + 0.*I, 0.00005060155541247724 + 0.*I, 8.104039661560593*^-8 + 0.*I, 7.118750033896504*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.0191847366058939*^-11 + 0.*I, 2.0270007894396262*^-9 + 0.*I, 1.3088519157378187*^-7 + 0.*I, 6.62536012163706*^-8 + 0.*I, 6.567020260916934*^-8 + 0.*I, 9.863887484584666*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.015769275478993983 + 0.*I, 0.9518052813309918 + 0.*I, 0.9511189983024028 + 0.*I, 0.01638602182121307 + 0.*I, 0.00006940606360750223 + 0.*I, 1.3047720681669261*^-7 + 0.*I, 1.3660184094987926*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.7408297026122458*^-11 + 0.*I, 3.2672087257878953*^-9 + 0.*I, 1.7930779083741297*^-7 + 0.*I, 9.095320052665558*^-8 + 0.*I, 9.003320311506968*^-8 + 0.*I, 1.5922152485359222*^-9 + 0.*I, 4.796163466380677*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.018087279737000195 + 0.*I, 0.9445023835910006 + 0.*I, 0.9435853748583912 + 0.*I, 0.018911150755807075 + 0.*I, 0.00009293480061067784 + 0.*I, 2.026580014913293*^-7 + 0.*I, 2.473798943469774*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 2.97983859809392*^-11 + 0.*I, 5.0818016461562365*^-9 + 0.*I, 2.397753995353469*^-7 + 0.*I, 1.2189900061576608*^-7 + 0.*I, 1.2049179431983248*^-7 + 0.*I, 2.4779955865028573*^-9 + 0.*I, 1.0391687510491465*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.020517966343391873 + 0.*I, 0.9367748212261996 + 0.*I, 0.935574906929193 + 0.*I, 0.021595695419818206 + 0.*I, 0.00012187962661336374 + 0.*I, 3.0515778792761244*^-7 + 0.*I, 4.2879033657072796*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 5.080380560684717*^-11 + 0.*I, 7.664202605894845*^-9 + 0.*I, 3.1399980393587157*^-7 + 0.*I, 1.6002199773601514*^-7 + 0.*I, 1.5792798180314096*^-7 + 0.*I, 3.7388092621881705*^-9 + 0.*I, 1.8984813721090177*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.02304986962680111 + 0.*I, 0.9286455167972054 + 0.*I, 0.9271038787846076 + 0.*I, 0.02443409423360521 + 0.*I, 0.00015696544000132207 + 0.*I, 4.472390013887662*^-7 + 0.*I, 7.156053527523909*^-10 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 8.459899447643694*^-11 + 0.*I, 1.125342041774502*^-8 + 0.*I, 4.0375700560701944*^-7 + 0.*I, 2.0630279845557098*^-7 + 0.*I, 2.032602086643465*^-7 + 0.*I, 5.490008447850415*^-9 + 0.*I, 3.199662756969701*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.02567111659459443 + 0.*I, 0.9201383260051932 + 0.*I, 0.9181893343093829 + 0.*I, 0.02742052042299381 + 0.*I, 0.00019894663840780424 + 0.*I, 6.400575847109735*^-7 + 0.*I, 1.1567857782779356*^-9 + 0.*I, 9.99200722162641*^-13 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.797762022055395*^-12 + 0.*I, 1.3640200080544676*^-10 + 0.*I, 1.6135981439902025*^-8 + 0.*I, 5.108724110414187*^-7 + 0.*I, 2.617660047055104*^-7 + 0.*I, 2.574406021693676*^-7 + 0.*I, 7.87299114790585*^-9 + 0.*I, 5.258016244624742*^-11 + 0.*I, 1.998401444325282*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I}
{0.02836949289639623 + 0.*I, 0.9112779262850147 + 0.*I, 0.9088490138156048 + 0.*I, 0.03054890321119164 + 0.*I, 0.00024860345040345067 + 0.*I, 8.968713993695587*^-7 + 0.*I, 1.8193890838347217*^-9 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.1338486533295509*^-10 + 0.*I, 2.2655211040500948*^-8 + 0.*I, 6.372089966788509*^-7 + 0.*I, 3.2747859979309624*^-7 + 0.*I, 3.2144800155009534*^-7 + 0.*I, 1.1056400239795039*^-8 + 0.*I, 8.439915433200441*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.03113250988000527 + 0.*I, 0.9020897035358022 + 0.*I, 0.8991012895660068 + 0.*I, 0.03381294963740178 + 0.*I, 0.0003067381576071782 + 0.*I, 1.2332431964523496*^-6 + 0.*I, 2.787992059438693*^-9 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.288036509729864*^-10 + 0.*I, 3.122000435951123*^-8 + 0.*I, 7.846560068358598*^-7 + 0.*I, 4.045426119092534*^-7 + 0.*I, 3.962779882016321*^-7 + 0.*I, 1.5236389927508757*^-8 + 0.*I, 1.2960743589474077*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 3.1974423109204512*^-12 + 0.*I}
{0.03394747226019845 + 0.*I, 0.892599637778796 + 0.*I, 0.888965100422401 + 0.*I, 0.037206166900793924 + 0.*I, 0.0003741712422122845 + 0.*I, 1.6672595970490534*^-6 + 0.*I, 4.17719192569166*^-9 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 4.943823128655823*^-10 + 0.*I, 4.2303183178660226*^-8 + 0.*I, 9.551079926950479*^-7 + 0.*I, 4.940923947760467*^-7 + 0.*I, 4.829439959053162*^-7 + 0.*I, 2.0645996023915814*^-8 + 0.*I, 1.9459989175629746*^-10 + 0.*I, 4.196643033083092*^-12 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 5.018208071305708*^-12 + 0.*I, 5.018208071305708*^-12 + 0.*I, 5.018208071305708*^-12 + 0.*I, 5.018208071305708*^-12 + 0.*I, 5.018208071305708*^-12 + 0.*I, 5.018208071305708*^-12 + 0.*I}
