{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.054014348708397726 + 0.*I, 0.8363485490239909 + 0.*I, 0.8361028626342027 + 0.*I, 0.05346440547140396 + 0.*I, 0.0007904911904166312 + 0.*I, 5.119839596723353*^-6 + 0.*I, 1.856099718366977*^-8 + 0.*I, 4.420908084057374*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.290079154614432*^-10 + 0.*I, 7.755818209886911*^-9 + 0.*I, 1.1902079322112515*^-7 + 0.*I, 6.252759143787812*^-8 + 0.*I, 6.054199364058377*^-8 + 0.*I, 3.789790703478957*^-9 + 0.*I, 5.440092820663267*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.05828905431959353 + 0.*I, 0.8232236095264024 + 0.*I, 0.822935594741403 + 0.*I, 0.05764362302518312 + 0.*I, 0.0009268996808087238 + 0.*I, 6.5206785970772785*^-6 + 0.*I, 2.5665403136088116*^-8 + 0.*I, 6.619149672815183*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.7821299991283015*^-10 + 0.*I, 9.859002503276315*^-9 + 0.*I, 1.3859400294080615*^-7 + 0.*I, 7.313299410505202*^-8 + 0.*I, 7.0616001934809*^-8 + 0.*I, 4.818212495649733*^-9 + 0.*I, 7.498446308318307*^-11 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.6209256159527285*^-12 + 0.*I, 1.6209256159527285*^-12 + 0.*I, 1.6209256159527285*^-12 + 0.*I, 1.6209256159527285*^-12 + 0.*I}
{0.06268677610821173 + 0.*I, 0.8096909703539934 + 0.*I, 0.8093555519503859 + 0.*I, 0.0619342089984043 + 0.*I, 0.001079726036401496 + 0.*I, 8.224357994635056*^-6 + 0.*I, 3.503359824463814*^-8 + 0.*I, 9.678924328682117*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.4378277174719187*^-10 + 0.*I, 1.2410805716456254*^-8 + 0.*I, 1.602741939166208*^-7 + 0.*I, 8.496719439143894*^-8 + 0.*I, 8.180580657324299*^-8 + 0.*I, 6.06541483705314*^-9 + 0.*I, 1.0160761121369434*^-10 + 0.*I, 2.19824158875781*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.06720178595720495 + 0.*I, 0.795764931737808 + 0.*I, 0.7953766856830136 + 0.*I, 0.06632959079420075 + 0.*I, 0.0012501136932074888 + 0.*I, 0.000010280140605445355 + 0.*I, 4.7253601032082315*^-8 + 0.*I, 1.3999912340523224*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 3.29403171406284*^-10 + 0.*I, 1.548159378472747*^-8 + 0.*I, 1.8415640123947696*^-7 + 0.*I, 9.810579293390024*^-8 + 0.*I, 9.416980528698106*^-8 + 0.*I, 7.566192117280934*^-9 + 0.*I, 1.3620216066101423*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.07182821545199669 + 0.*I, 0.7814601546576094 + 0.*I, 0.7810133044416024 + 0.*I, 0.0708230383540176 + 0.*I, 0.0014392212956071406 + 0.*I, 0.000012742791200004433 + 0.*I, 6.303340072122411*^-8 + 0.*I, 1.9979573551154317*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 4.3998138465894954*^-10 + 0.*I, 1.9150014907154403*^-8 + 0.*I, 2.103273999409794*^-7 + 0.*I, 1.1262359933539302*^-7 + 0.*I, 1.0776279868451867*^-7 + 0.*I, 9.359002461906131*^-9 + 0.*I, 1.806110816460205*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.07656006472880339 + 0.*I, 0.766791639865594 + 0.*I, 0.7662800538921877 + 0.*I, 0.07540767463498632 + 0.*I, 0.0016482196582012776 + 0.*I, 0.00001567291041393304 + 0.*I, 8.322100786273269*^-8 + 0.*I, 2.827960088325199*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 5.81756864903582*^-12 + 0.*I, 5.808020731024044*^-10 + 0.*I, 2.350080130497645*^-8 + 0.*I, 2.388657938112715*^-7 + 0.*I, 1.285944017936913*^-7 + 0.*I, 1.2263838833348475*^-7 + 0.*I, 1.1486611661837289*^-8 + 0.*I, 2.3780977187470853*^-10 + 0.*I, 2.997602166487923*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.0813912114983939 + 0.*I, 0.7517747064998083 + 0.*I, 0.7511918965589893 + 0.*I, 0.08007648628221009 + 0.*I, 0.0018782886826107519 + 0.*I, 0.00001913726259683557 + 0.*I, 1.0882239553922092*^-7 + 0.*I, 3.955946681344358*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 8.01581023779363*^-12 + 0.*I, 7.58992868554742*^-10 + 0.*I, 2.8628788228957095*^-8 + 0.*I, 2.6984079415370843*^-7 + 0.*I, 1.4609080334349048*^-7 + 0.*I, 1.3884460248192457*^-7 + 0.*I, 1.3994783110149456*^-8 + 0.*I, 3.1041835768519377*^-10 + 0.*I, 3.996802888650564*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.08631542022821126 + 0.*I, 0.7364249703198045 + 0.*I, 0.7357640911595854 + 0.*I, 0.08482233448381393 + 0.*I, 0.0021306142328203497 + 0.*I, 0.00002320910559294731 + 0.*I, 1.410255912048797*^-7 + 0.*I, 5.476064046661123*^-10 + 0.*I, 2.62012633811537*^-12 + 0.*I, 1.141309269314661*^-11 + 0.*I, 9.828138303191736*^-10 + 0.*I, 3.4635982970598895*^-8 + 0.*I, 3.0331099853952997*^-7 + 0.*I, 1.6518319767566683*^-7 + 0.*I, 1.5642640516233544*^-7 + 0.*I, 1.6934209590147024*^-8 + 0.*I, 4.0198955275627673*^-10 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.09132635146820167 + 0.*I, 0.7207583216026103 + 0.*I, 0.720012171624207 + 0.*I, 0.08963796598580043 + 0.*I, 0.0024063849808131366 + 0.*I, 0.00002796851279462942 + 0.*I, 1.8122421341359998*^-7 + 0.*I, 7.498002219108457*^-10 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 1.6009416015094757*^-11 + 0.*I, 1.262012716551908*^-9 + 0.*I, 4.163418498848159*^-8 + 0.*I, 3.393231917669937*^-7 + 0.*I, 1.8594059902898866*^-7 + 0.*I, 1.7542420849281373*^-7 + 0.*I, 2.0358603691761346*^-8 + 0.*I, 5.157874127803552*^-10 + 0.*I, 6.994405055138486*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.09641757130420814 + 0.*I, 0.7047909027423804 + 0.*I, 0.7039519258291937 + 0.*I, 0.09451602424699335 + 0.*I, 0.0027067892228060946 + 0.*I, 0.000033502692398101885 + 0.*I, 2.3104440582955021*^-7 + 0.*I, 1.0166090191887633*^-9 + 0.*I, 4.196643033083092*^-12 + 0.*I, 2.2204460492503134*^-11 + 0.*I, 1.6080026199460917*^-9 + 0.*I, 4.9742987506817826*^-8 + 0.*I, 3.779109913892853*^-7 + 0.*I, 2.0842819137278933*^-7 + 0.*I, 1.958736062235289*^-7 + 0.*I, 2.432720691558643*^-8 + 0.*I, 6.56386056618885*^-10 + 0.*I, 8.992806499463768*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.10158256092360762 + 0.*I, 0.6885390855867924 + 0.*I, 0.6875993740852017 + 0.*I, 0.09944906071539528 + 0.*I, 0.003033011676412123 + 0.*I, 0.0000399062962008756 + 0.*I, 2.9237401388826356*^-7 + 0.*I, 1.3658185693543603*^-9 + 0.*I, 5.195843755245733*^-12 + 0.*I, 3.059774655866932*^-11 + 0.*I, 2.0335955142058992*^-9 + 0.*I, 5.909122080538509*^-8 + 0.*I, 4.1909520298588637*^-7 + 0.*I, 2.327097931020818*^-7 + 0.*I, 2.1780499626089522*^-7 + 0.*I, 2.8903590632012314*^-8 + 0.*I, 8.291811681715444*^-10 + 0.*I, 1.1213252548714081*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.10681472627240841 + 0.*I, 0.6720194485505981 + 0.*I, 0.6709707474144011 + 0.*I, 0.10442954620402121 + 0.*I, 0.003386230266988477 + 0.*I, 0.00004728172500190198 + 0.*I, 3.6739380426809026*^-7 + 0.*I, 1.8191892436902892*^-9 + 0.*I, 6.816769371198461*^-12 + 0.*I, 4.121147867408581*^-11 + 0.*I, 2.5530022540465325*^-9 + 0.*I, 6.98171964685912*^-8 + 0.*I, 4.6288060051580265*^-7 + 0.*I, 2.588452063800873*^-7 + 0.*I, 2.4124400255232104*^-7 + 0.*I, 3.415618898827688*^-8 + 0.*I, 1.0406120409811592*^-9 + 0.*I, 1.4410694859634534*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.11210740779519225 + 0.*I, 0.6552487535484097 + 0.*I, 0.654082465654593 + 0.*I, 0.10944988234979915 + 0.*I, 0.0037676129044150746 + 0.*I, 0.00005573941861403143 + 0.*I, 4.5860981678913504*^-7 + 0.*I, 2.4033885992480464*^-9 + 0.*I, 9.015010959956271*^-12 + 0.*I, 5.480060849549773*^-11 + 0.*I, 3.1842084524669194*^-9 + 0.*I, 8.206839652302733*^-8 + 0.*I, 5.092571919718125*^-7 + 0.*I, 2.868903975494775*^-7 + 0.*I, 2.662088105509497*^-7 + 0.*I, 4.0156988845296844*^-8 + 0.*I, 1.2970069462880929*^-9 + 0.*I, 1.8807178037150152*^-11 + 0.*I, 1.021405182655144*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I}
{0.11745389023238852 + 0.*I, 0.638243922781201 + 0.*I, 0.6369511154290075 + 0.*I, 0.11450241313040178 + 0.*I, 0.004178314265979033 + 0.*I, 0.00006539814059181026 + 0.*I, 5.688914006540813*^-7 + 0.*I, 3.151190419714567*^-9 + 0.*I, 1.2212453270876724*^-11 + 0.*I, 7.200906537718767*^-11 + 0.*I, 3.945799242899284*^-9 + 0.*I, 9.600160666423108*^-8 + 0.*I, 5.581979989344177*^-7 + 0.*I, 3.168977968925901*^-7 + 0.*I, 2.927125875018533*^-7 + 0.*I, 4.698399447278235*^-8 + 0.*I, 1.606781374619004*^-9 + 0.*I, 2.4602542225693472*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.12284741246459953 + 0.*I, 0.6210220154208024 + 0.*I, 0.6195934280150084 + 0.*I, 0.11957943642399993 + 0.*I, 0.004619472581413042 + 0.*I, 0.00007638524699427053 + 0.*I, 7.015078073990821*^-7 + 0.*I, 4.100786377136956*^-9 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 9.399148126476577*^-11 + 0.*I, 4.860600810729921*^-9 + 0.*I, 1.1178420411539493*^-7 + 0.*I, 6.096586124826331*^-7 + 0.*I, 3.489156019664819*^-7 + 0.*I, 3.207605958621685*^-7 + 0.*I, 5.471940678347664*^-8 + 0.*I, 1.9786172700264615*^-9 + 0.*I, 3.1796787425264483*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.1282811773847925 + 0.*I, 0.6036002042264067 + 0.*I, 0.6020262571553969 + 0.*I, 0.12467321558899959 + 0.*I, 0.005092206436785318 + 0.*I, 0.00008883694360140026 + 0.*I, 8.60170801253446*^-7 + 0.*I, 5.299405358982767*^-9 + 0.*I, 2.1982415887578096*^-11 + 0.*I, 1.2179146580137967*^-10 + 0.*I, 5.9535931740128945*^-9 + 0.*I, 1.2959200379469848*^-7 + 0.*I, 6.63576193993265*^-7 + 0.*I, 3.8298738624931177*^-7 + 0.*I, 3.5035101486613485*^-7 + 0.*I, 6.345000080898444*^-8 + 0.*I, 2.4229951378629266*^-9 + 0.*I, 4.061195824078823*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.13374836178039473 + 0.*I, 0.5859957521369807 + 0.*I, 0.5842665568417839 + 0.*I, 0.12977599104340154 + 0.*I, 0.005597611599417186 + 0.*I, 0.00010289852858669235 + 0.*I, 1.049078801607095*^-6 + 0.*I, 6.803402285981974*^-9 + 0.*I, 2.97983859809392*^-11 + 0.*I, 1.5598633495983452*^-10 + 0.*I, 7.252798361889746*^-9 + 0.*I, 1.4961021310710978*^-7 + 0.*I, 7.198690088472404*^-7 + 0.*I, 4.191518132579121*^-7 + 0.*I, 3.814758064990542*^-7 + 0.*I, 7.326839135401997*^-8 + 0.*I, 2.951194844058591*^-9 + 0.*I, 5.200284647344234*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.13924212621418963 + 0.*I, 0.5682259888780017 + 0.*I, 0.5663313591107945 + 0.*I, 0.13487999182579813 + 0.*I, 0.006136757866403998 + 0.*I, 0.00011872461740392026 + 0.*I, 1.2729612031137096*^-6 + 0.*I, 8.678591179034356*^-9 + 0.*I, 3.959055305813309*^-11 + 0.*I, 1.9939605522267811*^-10 + 0.*I, 8.790213001930171*^-9 + 0.*I, 1.720342091005023*^-7 + 0.*I, 7.784354050244248*^-7 + 0.*I, 4.574420009451075*^-7 + 0.*I, 4.1411760687282145*^-7 + 0.*I, 8.427021302992443*^-8 + 0.*I, 3.5759839533966446*^-9 + 0.*I, 6.619149672815183*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.14475562487918925 + 0.*I, 0.5503082876188171 + 0.*I, 0.5482377518921889 + 0.*I, 0.13997744711760077 + 0.*I, 0.006710685955413354 + 0.*I, 0.00013647935339644593 + 0.*I, 1.537131000262093*^-6 + 0.*I, 1.1004397393321597*^-8 + 0.*I, 5.2402526762307395*^-11 + 0.*I, 2.5279778270714814*^-10 + 0.*I, 1.0601408639843157*^-8 + 0.*I, 1.9706820619802556*^-7 + 0.*I, 8.391523920181498*^-7 + 0.*I, 4.978855994153265*^-7 + 0.*I, 4.482518134452107*^-7 + 0.*I, 9.655720667467449*^-8 + 0.*I, 4.3119952053416455*^-9 + 0.*I, 8.379963389870683*^-11 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.15028201541820163 + 0.*I, 0.5322600417211998 + 0.*I, 0.5300028569396042 + 0.*I, 0.14506059770538204 + 0.*I, 0.007320404428212691 + 0.*I, 0.0001563365968015873 + 0.*I, 1.8475331931000483*^-6 + 0.*I, 1.3872814008664138*^-8 + 0.*I, 6.88116230662672*^-11 + 0.*I, 3.19211324040225*^-10 + 0.*I, 1.2726597553580634*^-8 + 0.*I, 2.249259889453015*^-7 + 0.*I, 9.018775948277381*^-7 + 0.*I, 5.405050074180907*^-7 + 0.*I, 4.83844786458576*^-7 + 0.*I, 1.1023459922654412*^-7 + 0.*I, 5.1747939266988405*^-9 + 0.*I, 1.0478284906412227*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.15581446868879745 + 0.*I, 0.5140986416162009 + 0.*I, 0.5116438078839991 + 0.*I, 0.15012170736758979 + 0.*I, 0.007966886670596196 + 0.*I, 0.00017848009901122455 + 0.*I, 2.210803806690365*^-6 + 0.*I, 1.739379751342085*^-8 + 0.*I, 8.979483823168266*^-11 + 0.*I, 4.0041303606130896*^-10 + 0.*I, 1.5209788983838735*^-8 + 0.*I, 2.558290024268217*^-7 + 0.*I, 9.66444591021798*^-7 + 0.*I, 5.85315595991176*^-7 + 0.*I, 5.208556030922296*^-7 + 0.*I, 1.2541399030396863*^-7 + 0.*I, 6.182809819677004*^-9 + 0.*I, 1.3100631690576847*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.16134617845739996 + 0.*I, 0.4958414518499988 + 0.*I, 0.4931777284431949 + 0.*I, 0.15515307416220647 + 0.*I, 0.008651067918008517 + 0.*I, 0.0002031036517857743 + 0.*I, 2.6343234038606056*^-6 + 0.*I, 2.169420199038541*^-8 + 0.*I, 1.1681766665105897*^-10 + 0.*I, 4.996003610813204*^-10 + 0.*I, 1.8099211018807182*^-8 + 0.*I, 2.9000759571573553*^-7 + 0.*I, 1.0326647981173667*^-6 + 0.*I, 6.323267909280617*^-7 + 0.*I, 5.59233792607472*^-7 + 0.*I, 1.4220939981157699*^-7 + 0.*I, 7.3557826496539755*^-9 + 0.*I, 1.6300294447546548*^-10 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.16687037100842073 + 0.*I, 0.4775057883309897 + 0.*I, 0.4746217108215989 + 0.*I, 0.16014704159998952 + 0.*I, 0.00937384234780403 + 0.*I, 0.00023041121659517216 + 0.*I, 3.126279390919251*^-6 + 0.*I, 2.6921997964279853*^-8 + 0.*I, 1.5119017149345382*^-10 + 0.*I, 6.199929458716725*^-10 + 0.*I, 2.1449797493744424*^-8 + 0.*I, 3.277005999891003*^-7 + 0.*I, 1.1003287836430788*^-6 + 0.*I, 6.815418007732887*^-7 + 0.*I, 5.98919602801118*^-7 + 0.*I, 1.6074022113343744*^-7 + 0.*I, 8.715206334386494*^-9 + 0.*I, 2.0179413695586848*^-10 + 0.*I, 3.996802888650564*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.17238031465001138 + 0.*I, 0.4591088958197931 + 0.*I, 0.4559927943393882 + 0.*I, 0.16509600968399596 + 0.*I, 0.010136060233589818 + 0.*I, 0.0002606170336205693 + 0.*I, 3.695729411390403*^-6 + 0.*I, 3.324960307082847*^-8 + 0.*I, 1.9459989175629746*^-10 + 0.*I, 7.659872736098805*^-10 + 0.*I, 2.5321411634138258*^-8 + 0.*I, 3.6915421830485695*^-7 + 0.*I, 1.169202001882752*^-6 + 0.*I, 7.329561901858739*^-7 + 0.*I, 6.398443996857851*^-7 + 0.*I, 1.8112940036729697*^-7 + 0.*I, 1.0285594598258287*^-8 + 0.*I, 2.4860113967406505*^-10 + 0.*I, 4.39648317751562*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.17786932910359712 + 0.*I, 0.4406679256929947 + 0.*I, 0.43730794431819936 + 0.*I, 0.16999244579780637 + 0.*I, 0.01093852517559668 + 0.*I, 0.0002939457046213789 + 0.*I, 4.352666405083028*^-6 + 0.*I, 4.087519211992686*^-8 + 0.*I, 2.4920066010736264*^-10 + 0.*I, 9.414025115006552*^-10 + 0.*I, 2.9779201327073682*^-8 + 0.*I, 4.1462160371708023*^-7 + 0.*I, 1.2390267922768319*^-6 + 0.*I, 7.865588125266499*^-7 + 0.*I, 6.81930800716657*^-7 + 0.*I, 2.0350401364055415*^-7 + 0.*I, 1.2093792634004785*^-8 + 0.*I, 3.05000469325023*^-10 + 0.*I, 5.417888360170764*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.1833307947624041 + 0.*I, 0.42219991402201457 + 0.*I, 0.41858403125860655 + 0.*I, 0.1748288954222188 + 0.*I, 0.011781991403614358 + 0.*I, 0.0003306322515994609 + 0.*I, 5.10808719766942*^-6 + 0.*I, 5.002820380184403*^-8 + 0.*I, 3.1781244302919736*^-10 + 0.*I, 1.1517897746671226*^-9 + 0.*I, 3.489499800224394*^-8 + 0.*I, 4.6436259282245373*^-7 + 0.*I, 1.3095218021064172*^-6 + 0.*I, 8.423314046268614*^-7 + 0.*I, 7.250920086576685*^-7 + 0.*I, 2.2799420129615555*^-7 + 0.*I, 1.4168199946595905*^-8 + 0.*I, 3.728128916691276*^-10 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.1887581617997958 + 0.*I, 0.40372175999459087 + 0.*I, 0.3998378103434064 + 0.*I, 0.1795979926685787 + 0.*I, 0.012667161169610532 + 0.*I, 0.0003709221523928719 + 0.*I, 5.97406419888813*^-6 + 0.*I, 6.09707839771545*^-8 + 0.*I, 4.0298875347843937*^-10 + 0.*I, 1.4035883566521081*^-9 + 0.*I, 4.074820481037023*^-8 + 0.*I, 5.186430174219936*^-7 + 0.*I, 1.380381786653118*^-6 + 0.*I, 9.002480039210781*^-7 + 0.*I, 7.69230790176323*^-7 + 0.*I, 2.547343891379228*^-7 + 0.*I, 1.654079095914085*^-8 + 0.*I, 4.533928787964215*^-10 + 0.*I, 7.793765632868599*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
