{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.011937850887400183 + 0.*I, 0.9641423870498046 + 0.*I, 0.9641311036471923 + 0.*I, 0.01191285089339189 + 0.*I, 0.0000362345222049143 + 0.*I, 4.883680126965828*^-8 + 0.*I, 3.679279103607769*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.540634783254063*^-11 + 0.*I, 5.804201563819334*^-9 + 0.*I, 2.9323939110326046*^-9 + 0.*I, 2.910183205528938*^-9 + 0.*I, 3.661515535213766*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.01417066715301285 + 0.*I, 0.9574197605167979 + 0.*I, 0.9574038118634 + 0.*I, 0.014135313046415021 + 0.*I, 0.0000512204879843381 + 0.*I, 8.219620539762219*^-8 + 0.*I, 7.378542221658792*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.269873095566254*^-10 + 0.*I, 8.180389698964063*^-9 + 0.*I, 4.1407995088338955*^-9 + 0.*I, 4.104183659592309*^-9 + 0.*I, 6.139533326177116*^-11 + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.016584582082801447 + 0.*I, 0.9501449343871873 + 0.*I, 0.9501230151347961 + 0.*I, 0.016535966286790327 + 0.*I, 0.00007040224561105646 + 0.*I, 1.3266119314181424*^-7 + 0.*I, 1.4019896354966477*^-10 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 2.0439205883349134*^-10 + 0.*I, 1.1206391370421898*^-8 + 0.*I, 5.684192699865299*^-9 + 0.*I, 5.626987764628666*^-9 + 0.*I, 9.938716516444403*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.01917639038400143 + 0.*I, 0.9423258615203878 + 0.*I, 0.9422964483928098 + 0.*I, 0.019111115109793353 + 0.*I, 0.00009448155460223262 + 0.*I, 2.0659358668240202*^-7 + 0.*I, 2.537969834293108*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.7985612998927538*^-12 + 0.*I, 3.176126028847648*^-10 + 0.*I, 1.4985213070417558*^-8 + 0.*I, 7.618197739312444*^-9 + 0.*I, 7.530798207255884*^-9 + 0.*I, 1.5480949855373185*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.021942653903384016 + 0.*I, 0.9339710750793985 + 0.*I, 0.9339324122094042 + 0.*I, 0.02185679650599237 + 0.*I, 0.0001242078627949894 + 0.*I, 3.119647873361942*^-7 + 0.*I, 4.4000358911944204*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 2.997602166487923*^-12 + 0.*I, 4.789946217442775*^-10 + 0.*I, 1.9624013525287868*^-8 + 0.*I, 1.0000600347837008*^-8 + 0.*I, 9.870793071797834*^-9 + 0.*I, 2.33812968986058*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.02487970692919284 + 0.*I, 0.9250896759432026 + 0.*I, 0.9250397608348006 + 0.*I, 0.024768786290985115 + 0.*I, 0.00016037641259458726 + 0.*I, 4.585994028971641*^-7 + 0.*I, 7.363887277733739*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 4.796163466380677*^-12 + 0.*I, 7.028155835087091*^-10 + 0.*I, 2.5233393152745975*^-8 + 0.*I, 1.2892798634256428*^-8 + 0.*I, 1.270439309308813*^-8 + 0.*I, 3.4359182166099345*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.02798366184360024 + 0.*I, 0.9156913193002048 + 0.*I, 0.9156278894586034 + 0.*I, 0.027842605838190874 + 0.*I, 0.00020382622798464922 + 0.*I, 6.584266021292251*^-7 + 0.*I, 1.1938006139189385*^-9 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301129*^-12 + 0.*I, 1.0080158929781648*^-9 + 0.*I, 3.192779374217026*^-8 + 0.*I, 1.6358790710938152*^-8 + 0.*I, 1.609121724754914*^-8 + 0.*I, 4.92605956026182*^-10 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.031250415103412095 + 0.*I, 0.9057862004532069 + 0.*I, 0.9057067207198123 + 0.*I, 0.031073529212810595 + 0.*I, 0.0002554379902042214 + 0.*I, 9.257521860206452*^-7 + 0.*I, 1.882605182856878*^-9 + 0.*I, 2.997602166487923*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.2811973704174306*^-11 + 0.*I, 1.415600969778552*^-9 + 0.*I, 3.98235888710019*^-8 + 0.*I, 2.0465003303105502*^-8 + 0.*I, 2.009241661937722*^-8 + 0.*I, 6.918021711044275*^-10 + 0.*I, 5.995204332975846*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.03467565354939862 + 0.*I, 0.8953850398524034 + 0.*I, 0.8952866904873958 + 0.*I, 0.034456590682796495 + 0.*I, 0.00031613180020428905 + 0.*I, 1.2775341895476802*^-6 + 0.*I, 2.8955948749853633*^-9 + 0.*I, 4.618527782440651*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.9984014443252818*^-11 + 0.*I, 1.95119476131822*^-9 + 0.*I, 4.903899508690302*^-8 + 0.*I, 2.5280599835753037*^-8 + 0.*I, 2.4770008266727928*^-8 + 0.*I, 9.529932398777419*^-10 + 0.*I, 8.593126210598712*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.038254861023800935 + 0.*I, 0.88449906738981 + 0.*I, 0.8843787329398057 + 0.*I, 0.03798659260341175 + 0.*I, 0.00038686483661010135 + 0.*I, 1.7336750035568118*^-6 + 0.*I, 4.355604765748922*^-9 + 0.*I, 7.59392548843607*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 2.999822612537173*^-11 + 0.*I, 2.6437962930003778*^-9 + 0.*I, 5.969200689293076*^-8 + 0.*I, 3.0876207146591176*^-8 + 0.*I, 3.018860716963445*^-8 + 0.*I, 1.2915890579279221*^-9 + 0.*I, 1.3211653993039363*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.041983325293792895 + 0.*I, 0.873140005984796 + 0.*I, 0.8729942649671864 + 0.*I, 0.041658113650799855 + 0.*I, 0.0004686289138078337 + 0.*I, 2.317318004152469*^-6 + 0.*I, 6.4217964279578155*^-9 + 0.*I, 1.1990408665951692*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 4.440892098500627*^-11 + 0.*I, 3.52839979456121*^-9 + 0.*I, 7.190119610811509*^-8 + 0.*I, 3.732439496362325*^-8 + 0.*I, 3.6411185178053536*^-8 + 0.*I, 1.7237988814144956*^-9 + 0.*I, 1.920685832601521*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.045856145258604826 + 0.*I, 0.8613200544799862 + 0.*I, 0.8611451699269913 + 0.*I, 0.04546551739919025 + 0.*I, 0.0005624479464172438 + 0.*I, 3.0551574159431998*^-6 + 0.*I, 9.297007608211061*^-9 + 0.*I, 1.900701818158268*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 6.441513988875158*^-11 + 0.*I, 4.644395978914417*^-9 + 0.*I, 8.578300292327869*^-8 + 0.*I, 4.469900005688032*^-8 + 0.*I, 4.350200200065047*^-8 + 0.*I, 2.269406884636283*^-9 + 0.*I, 2.7600144392181395*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.049868238436401306 + 0.*I, 0.8490518698895944 + 0.*I, 0.8488437807790075 + 0.*I, 0.04940296121640486 + 0.*I, 0.0006693753213937725 + 0.*I, 3.977750195893748*^-6 + 0.*I, 1.3236389762028013*^-8 + 0.*I, 2.899902540320909*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 9.179323967600796*^-11 + 0.*I, 6.036593447333872*^-9 + 0.*I, 1.014528017151406*^-7 + 0.*I, 5.3074794559293834*^-8 + 0.*I, 5.1524384758749875*^-8 + 0.*I, 2.9493962827586988*^-9 + 0.*I, 3.881339694089548*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
