{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.17294397535401188 + 0.*I, 0.4667853588230076 + 0.*I, 0.46921211611898883 + 0.*I, 0.16081880693341602 + 0.*I, 0.009462124263204254 + 0.*I, 0.00023309489478595685 + 0.*I, 3.164559991830629*^-6 + 0.*I, 2.7238211686153594*^-8 + 0.*I, 1.5958345755962*^-10 + 0.*I, 1.1659562204613394*^-10 + 0.*I, 5.034395123004742*^-9 + 0.*I, 1.0671961092612038*^-7 + 0.*I, 6.411259967364914*^-7 + 0.*I, 1.2569287943797749*^-6 + 0.*I, 4.50059189915919*^-7 + 0.*I, 5.2152593355003773*^-8 + 0.*I, 1.697197937744477*^-9 + 0.*I, 2.7400304247748863*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.17891248598820297 + 0.*I, 0.44762684912118544 + 0.*I, 0.4502386055076136 + 0.*I, 0.16579802509200103 + 0.*I, 0.010235149471382599 + 0.*I, 0.0002637782547942891 + 0.*I, 3.7429098043162416*^-6 + 0.*I, 3.3657610032378216*^-8 + 0.*I, 2.0601298444944407*^-10 + 0.*I, 1.4359624600501775*^-10 + 0.*I, 5.9428018062135396*^-9 + 0.*I, 1.202375976561143*^-7 + 0.*I, 6.827697962563662*^-7 + 0.*I, 1.349207795486862*^-6 + 0.*I, 4.793258012725232*^-7 + 0.*I, 5.8755178500291556*^-8 + 0.*I, 2.0027979275027974*^-9 + 0.*I, 3.3595348725157243*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.18487960311039944 + 0.*I, 0.4283960174773949 + 0.*I, 0.4312008353368091 + 0.*I, 0.1707232727244046 + 0.*I, 0.011049405026808403 + 0.*I, 0.0002976552802014254 + 0.*I, 4.410544995891997*^-6 + 0.*I, 4.139839582251171*^-8 + 0.*I, 2.6458835122866736*^-10 + 0.*I, 1.763922341524449*^-10 + 0.*I, 6.98840985080551*^-9 + 0.*I, 1.350682010681226*^-7 + 0.*I, 7.252525913159503*^-7 + 0.*I, 1.4450659890918873*^-6 + 0.*I, 5.091886023933512*^-7 + 0.*I, 6.599860657985346*^-8 + 0.*I, 2.35480523969045*^-9 + 0.*I, 4.1189274213593314*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.1908385372268118 + 0.*I, 0.4091106249175969 + 0.*I, 0.41211650960000235 + 0.*I, 0.17558675411899485 + 0.*I, 0.01190569921680762 + 0.*I, 0.00033496938820487543 + 0.*I, 5.1787722110674395*^-6 + 0.*I, 5.069540343072277*^-8 + 0.*I, 3.379962976168827*^-10 + 0.*I, 2.155831069217129*^-10 + 0.*I, 8.188982825174664*^-9 + 0.*I, 1.512971969930277*^-7 + 0.*I, 7.68440000520343*^-7 + 0.*I, 1.5444258039121197*^-6 + 0.*I, 5.395540014774269*^-7 + 0.*I, 7.39243999348105*^-8 + 0.*I, 2.758793193891052*^-9 + 0.*I, 5.060396546241464*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.19678250010080056 + 0.*I, 0.3897884285930076 + 0.*I, 0.3930032992663923 + 0.*I, 0.18038074371020676 + 0.*I, 0.012804788249187737 + 0.*I, 0.00037597518600662744 + 0.*I, 6.060019619447133*^-6 + 0.*I, 6.181781753156203*^-8 + 0.*I, 4.300115818978157*^-10 + 0.*I, 2.6201263381153694*^-10 + 0.*I, 9.561595959439728*^-9 + 0.*I, 1.6901200439178868*^-7 + 0.*I, 8.121842087760456*^-7 + 0.*I, 1.6471948027785288*^-6 + 0.*I, 5.703187921923814*^-7 + 0.*I, 8.257501349362428*^-8 + 0.*I, 3.2206015632141316*^-9 + 0.*I, 6.121769757783113*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.20270471197880724 + 0.*I, 0.37044716300838054 + 0.*I, 0.37387882250099486 + 0.*I, 0.18509759698799313 + 0.*I, 0.013747373438599553 + 0.*I, 0.0004209385148001843 + 0.*I, 7.067911811375895*^-6 + 0.*I, 7.507361399206049*^-8 + 0.*I, 5.437872374614017*^-10 + 0.*I, 3.173905582798398*^-10 + 0.*I, 1.1127387899989571*^-8 + 0.*I, 1.8830221826249274*^-7 + 0.*I, 8.563266096217603*^-7 + 0.*I, 1.7532641949369323*^-6 + 0.*I, 6.013733955256839*^-7 + 0.*I, 9.199441208807002*^-8 + 0.*I, 3.747202548254336*^-9 + 0.*I, 7.380762667708041*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.20859840879758898 + 0.*I, 0.3511045213126174 + 0.*I, 0.35476062499522065 + 0.*I, 0.18972976129481015 + 0.*I, 0.014734098477209301 + 0.*I, 0.00047013647159754873 + 0.*I, 8.217354596773419*^-6 + 0.*I, 9.081499996455022*^-8 + 0.*I, 6.847855615887967*^-10 + 0.*I, 3.8260505874632145*^-10 + 0.*I, 1.290780815565995*^-8 + 0.*I, 2.0925901011992212*^-7 + 0.*I, 9.006952073065123*^-7 + 0.*I, 1.8625097963909103*^-6 + 0.*I, 6.325973966880839*^-7 + 0.*I, 1.0222680479898827*^-7 + 0.*I, 4.345812598671728*^-9 + 0.*I, 8.899547765395256*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.2144568493626098 + 0.*I, 0.3317781366773964 + 0.*I, 0.33566616043281267 + 0.*I, 0.1942697864858012 + 0.*I, 0.01576554678339726 + 0.*I, 0.0005238573987931261 + 0.*I, 9.524618604928038*^-6 + 0.*I, 1.0944298800552589*^-7 + 0.*I, 8.579803534303211*^-10 + 0.*I, 4.6020964816761994*^-10 + 0.*I, 1.4927015179466707*^-8 + 0.*I, 2.3197539444907989*^-7 + 0.*I, 9.451064153509493*^-7 + 0.*I, 1.974791208336768*^-6 + 0.*I, 6.6386360852988*^-7 + 0.*I, 1.1331739990794176*^-7 + 0.*I, 5.024602955927549*^-9 + 0.*I, 1.0680345496894007*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.22027332249459078 + 0.*I, 0.312485563782805 + 0.*I, 0.3166127711119904 + 0.*I, 0.19871033544518468 + 0.*I, 0.016842238940006915 + 0.*I, 0.000582400846393938 + 0.*I, 0.000011007427191955799 + 0.*I, 1.3141299159968867*^-7 + 0.*I, 1.0701883823571734*^-9 + 0.*I, 5.512035272658977*^-10 + 0.*I, 1.7210388669752777*^-8 + 0.*I, 2.5654438573496924*^-7 + 0.*I, 9.893636132574102*^-7 + 0.*I, 2.0899510067007303*^-6 + 0.*I, 6.95035407005662*^-7 + 0.*I, 1.2531200521692654*^-7 + 0.*I, 5.792388790837322*^-9 + 0.*I, 1.2778667013435552*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 6.217248937900878*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.2260411541320062 + 0.*I, 0.2932442604306029 + 0.*I, 0.2976176687474075 + 0.*I, 0.20304419443759605 + 0.*I, 0.01796463022540884 + 0.*I, 0.0006460775068051207 + 0.*I, 0.000012685046613114537 + 0.*I, 1.5724139768025225*^-7 + 0.*I, 1.3294032541466552*^-9 + 0.*I, 6.582068223792704*^-10 + 0.*I, 1.9785995064580678*^-8 + 0.*I, 2.8306061938820903*^-7 + 0.*I, 1.0332587896400016*^-6 + 0.*I, 2.2078163963712427*^-6 + 0.*I, 7.259677969884137*^-7 + 0.*I, 1.382562064833337*^-7 + 0.*I, 6.657807638532632*^-9 + 0.*I, 1.5278889264891407*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.23175371438359796 + 0.*I, 0.27407156930918664 + 0.*I, 0.2786979154810077 + 0.*I, 0.20726428328579075 + 0.*I, 0.019133108243196698 + 0.*I, 0.0007152091157980323 + 0.*I, 0.000014578377793839083 + 0.*I, 1.8751120656190778*^-7 + 0.*I, 1.6447954109821696*^-9 + 0.*I, 7.829958903471379*^-10 + 0.*I, 2.2683410705326427*^-8 + 0.*I, 3.1161879743279997*^-7 + 0.*I, 1.076571387592651*^-6 + 0.*I, 2.3281981953449105*^-6 + 0.*I, 7.565073900650533*^-7 + 0.*I, 1.5219618898498766*^-7 + 0.*I, 7.631184573142491*^-9 + 0.*I, 1.816102823681831*^-10 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.23740442452460098 + 0.*I, 0.2549846999261973 + 0.*I, 0.2598704051151923 + 0.*I, 0.21136366535419174 + 0.*I, 0.020347990656000018 + 0.*I, 0.0007901283264111214 + 0.*I, 0.000016710053807322822 + 0.*I, 2.2287858225666926*^-7 + 0.*I, 2.0270007894396262*^-9 + 0.*I, 9.283906976520484*^-10 + 0.*I, 2.593518733107203*^-8 + 0.*I, 3.4231419920871536*^-7 + 0.*I, 1.1190698145924216*^-6 + 0.*I, 2.4508905793751983*^-6 + 0.*I, 7.864930040568652*^-7 + 0.*I, 1.671781824086338*^-7 + 0.*I, 8.723399780308227*^-9 + 0.*I, 2.1540547123777287*^-10 + 0.*I, 3.796962744218035*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.2429867639238026 + 0.*I, 0.23600071073339726 + 0.*I, 0.2411518445992078 + 0.*I, 0.21533555733039833 + 0.*I, 0.02160952302459052 + 0.*I, 0.0008711785470127964 + 0.*I, 0.00001910453599762718 + 0.*I, 2.64082800072174*^-7 + 0.*I, 2.4883872740133484*^-9 + 0.*I, 1.09721121077655*^-9 + 0.*I, 2.9575808468962357*^-8 + 0.*I, 3.7524099383290377*^-7 + 0.*I, 1.1605105987300135*^-6 + 0.*I, 2.575671587123907*^-6 + 0.*I, 8.157555964061204*^-7 + 0.*I, 1.832485940767015*^-7 + 0.*I, 9.946199419630375*^-9 + 0.*I, 2.5479618415147343*^-10 + 0.*I, 4.596323321948148*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.2484942768993914 + 0.*I, 0.21713649146040126 + 0.*I, 0.2225587357871817 + 0.*I, 0.21917333878580522 + 0.*I, 0.022917876764583234 + 0.*I, 0.0009587137529853962 + 0.*I, 0.000021788214787932247 + 0.*I, 3.119519975669505*^-7 + 0.*I, 3.0442093290616867*^-9 + 0.*I, 1.2927880987945173*^-9 + 0.*I, 3.3642200136796425*^-8 + 0.*I, 4.104935946713795*^-7 + 0.*I, 1.2006393879104849*^-6 + 0.*I, 2.702304202628625*^-6 + 0.*I, 8.441183974028378*^-7 + 0.*I, 2.0045261006629292*^-7 + 0.*I, 1.1311618308695872*^-8 + 0.*I, 2.999822612537173*^-10 + 0.*I, 5.2180482157382365*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.25392057949480407 + 0.*I, 0.19840874568219927 + 0.*I, 0.20410735748981337 + 0.*I, 0.2228705615050064 + 0.*I, 0.02427314721458185 + 0.*I, 0.0010530982605949646 + 0.*I, 0.000024789511399170298 + 0.*I, 3.674128112862718*^-7 + 0.*I, 3.710209917073826*^-9 + 0.*I, 1.5188073021477069*^-9 + 0.*I, 3.817439697684222*^-8 + 0.*I, 4.481651938448295*^-7 + 0.*I, 1.2391910164666342*^-6 + 0.*I, 2.830534806541607*^-6 + 0.*I, 8.713971988427717*^-7 + 0.*I, 2.1883619361062753*^-7 + 0.*I, 1.2832801488116276*^-8 + 0.*I, 3.530065129098147*^-10 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
