{0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.}
{0.131040988302522, 0.261689695872806, 0.129461288021847, 0.001182636297811, 4.77242814*^-6, 1.0806834*^-8, 1.5644*^-11, 1.7*^-14, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 1.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 2.*^-15, 2.*^-15, 2.*^-15}
{0.143668748797897, 0.286861210752128, 0.141749343052195, 0.001436674619523, 6.428121709*^-6, 1.6134898*^-8, 2.5887*^-11, 3.1*^-14, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15}
{0.156638409263671, 0.312704637439109, 0.154330760249634, 0.001726919645625, 8.524638186*^-6, 2.360021*^-8, 4.1759*^-11, 5.6*^-14, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 4.*^-15, 5.*^-15, 5.*^-15}
{0.169908827361676, 0.339136893484573, 0.167161016327614, 0.002055869806666, 0.000011146041815, 3.3880926*^-8, 6.581*^-11, 9.3*^-14, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 4.*^-15, 3.*^-15, 4.*^-15, 4.*^-15}
{0.183437945235539, 0.366073101221517, 0.180194793248756, 0.002425928726757, 0.000014386091549, 4.7817245*^-8, 1.01544*^-10, 1.54*^-13, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 4.*^-15, 3.*^-15, 4.*^-15, 4.*^-15}
{0.197182926966659, 0.393426870818452, 0.193386147564009, 0.002839381232526, 0.000018348463762, 6.6437601*^-8, 1.53667*^-10, 2.5*^-13, 4.*^-15, 4.*^-15, 4.*^-15, 4.*^-15, 4.*^-15, 4.*^-15, 4.*^-15, 4.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 4.*^-15}
{0.211100298374924, 0.421110587865838, 0.206688681681879, 0.003298369720898, 0.000023146872469, 9.0986864*^-8, 2.28424*^-10, 4.01*^-13, 4.*^-15, 4.*^-15, 3.*^-15, 4.*^-15, 4.*^-15, 4.*^-15, 4.*^-15, 4.*^-15, 3.*^-15, 3.*^-15, 4.*^-15, 3.*^-15}
{0.225146088687166, 0.449035704485253, 0.220055716386263, 0.003804871043041, 0.000028905077903, 1.22956282*^-7, 3.33984*^-10, 6.32*^-13, 4.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 2.*^-15, 3.*^-15, 3.*^-15}
{0.239275973590854, 0.477113032940534, 0.23344046391772, 0.004360674060021, 0.000035756775095, 1.64114979*^-7, 4.80902*^-10, 9.81*^-13, 5.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 2.*^-15, 3.*^-15, 3.*^-15}
{0.253445419186604, 0.505253040723589, 0.246796200932208, 0.004967358022952, 0.000043845355049, 2.1654264*^-7, 6.82652*^-10, 1.494*^-12, 4.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15}
