{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{3.099742684753438*^-11 + 0.*I, 0.9999833332478004 + 0.*I, 0.9999833332167862 + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I, 0. + 0.*I, 3.099742684753438*^-11 + 0.*I, 3.099742684753438*^-11 + 0.*I}
{3.419486915845482*^-11 + 0.*I, 0.999983333232607 + 0.*I, 0.9999833331985953 + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I, 0. + 0.*I, 3.419486915845482*^-11 + 0.*I, 3.419486915845482*^-11 + 0.*I}
{3.639311074721263*^-11 + 0.*I, 0.9999833332173859 + 0.*I, 0.9999833331810039 + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I, 0. + 0.*I, 3.639311074721263*^-11 + 0.*I, 3.639311074721263*^-11 + 0.*I}
{3.9013237085328*^-11 + 0.*I, 0.9999833332017927 + 0.*I, 0.9999833331628017 + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I, 0. + 0.*I, 3.9013237085328*^-11 + 0.*I, 3.9013237085328*^-11 + 0.*I}
{4.201083925181592*^-11 + 0.*I, 0.9999833331864051 + 0.*I, 0.9999833331444108 + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I, 0. + 0.*I, 4.201083925181592*^-11 + 0.*I, 4.201083925181592*^-11 + 0.*I}
{4.45865566689463*^-11 + 0.*I, 0.9999833331708008 + 0.*I, 0.999983333126192 + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I, 0. + 0.*I, 4.45865566689463*^-11 + 0.*I, 4.45865566689463*^-11 + 0.*I}
{4.718447854656915*^-11 + 0.*I, 0.9999833331551911 + 0.*I, 0.99998333310799 + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I, 0. + 0.*I, 4.718447854656915*^-11 + 0.*I, 4.718447854656915*^-11 + 0.*I}
{4.980460488468452*^-11 + 0.*I, 0.9999833331399978 + 0.*I, 0.9999833330899988 + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I, 0. + 0.*I, 4.980460488468452*^-11 + 0.*I, 4.980460488468452*^-11 + 0.*I}
{5.280220705117245*^-11 + 0.*I, 0.999983333124388 + 0.*I, 0.9999833330717912 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I, 0. + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.280220705117245*^-11 + 0.*I}
{5.520028878436279*^-11 + 0.*I, 0.9999833331089837 + 0.*I, 0.9999833330537999 + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I, 0. + 0.*I, 5.520028878436279*^-11 + 0.*I, 5.520028878436279*^-11 + 0.*I}
