{0.000813976847161, 0.015575455095638, 0.003603100691598, 0.00637179159167, 0.003605103498641, 0.00099849498011, 0.000163765449778, 0.000017768045218, 1.371116151*^-6, 7.9188761*^-8, 3.55451*^-9, 1.27884*^-10, 3.989*^-12, 1.53*^-13, 1.1*^-14, 0., 0., 1.*^-15, 0., 0.}
{0.000884138291116, 0.016906937053103, 0.004010125481529, 0.006918564965231, 0.00385189510315, 0.00105213736871, 0.000170346618505, 0.000018254371561, 1.391763028*^-6, 7.9436592*^-8, 3.524338*^-9, 1.25335*^-10, 3.856*^-12, 1.46*^-13, 1.1*^-14, 1.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15}
{0.000976104281872, 0.018665596195263, 0.004537269660298, 0.007639006696934, 0.004185099151594, 0.001127355021773, 0.00018017194025, 0.000019068420038, 1.436328887*^-6, 8.1012393*^-8, 3.552424*^-9, 1.24869*^-10, 3.79*^-12, 1.41*^-13, 1.1*^-14, 1.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15}
{0.001090411366338, 0.020865572731923, 0.005195771711492, 0.008538568251887, 0.004603325206712, 0.001222841561138, 0.000192904501223, 0.000020162387846, 1.500370738*^-6, 8.3620808*^-8, 3.623926*^-9, 1.25898*^-10, 3.768*^-12, 1.37*^-13, 1.*^-14, 0., 0., 1.*^-15, 1.*^-15, 0.}
{0.001227435199429, 0.023519833908311, 0.005996988777373, 0.009622026002651, 0.005104783297264, 0.001337228293242, 0.000208210877459, 0.000021490801053, 1.579803291*^-6, 8.6998679*^-8, 3.726015*^-9, 1.2793*^-10, 3.776*^-12, 1.34*^-13, 9.*^-15, 0., 0., 1.*^-15, 1.*^-15, 1.*^-15}
{0.001387379496206, 0.026640094741112, 0.006952339137447, 0.010893446925887, 0.005687296308614, 0.001469093543961, 0.000225762906475, 0.000023010633288, 1.67089367*^-6, 9.0913355*^-8, 3.847703*^-9, 1.30556*^-10, 3.8*^-12, 1.33*^-13, 9.*^-15, 0., 0., 1.*^-15, 1.*^-15, 0.}
{0.00157026669042, 0.030236743592575, 0.008073242374863, 0.012356157847049, 0.006348314384812, 0.001616972023994, 0.000245239339416, 0.000024681399949, 1.770254026*^-6, 9.5160944*^-8, 3.979688*^-9, 1.3344*^-10, 3.831*^-12, 1.32*^-13, 8.*^-15, 0., 0., 2.*^-15, 1.*^-15, 0.}
{0.0017759305161, 0.034318773204348, 0.009371057601979, 0.014012718438868, 0.007084931233477, 0.001779364165519, 0.000266327368303, 0.000026465228809, 1.874832264*^-6, 9.9564516*^-8, 4.114203*^-9, 1.36314*^-10, 3.861*^-12, 1.31*^-13, 9.*^-15, 1.*^-15, 1.*^-15, 2.*^-15, 1.*^-15, 1.*^-15}
{0.002004010712551, 0.038893717787755, 0.010857020138947, 0.015864898155816, 0.007893902214139, 0.001954745372823, 0.000288724024158, 0.000028326908066, 1.981901119*^-6, 1.03972283*^-7, 4.24486*^-9, 1.38964*^-10, 3.881*^-12, 1.28*^-13, 7.*^-15, 0., 1.*^-15, 1.*^-15, 2.*^-15, 1.*^-15}
{0.002253950033382, 0.043967596735938, 0.012542177058725, 0.01791365726187, 0.008771664080878, 0.002141575131838, 0.000312137442903, 0.000030233912971, 2.089045806*^-6, 1.08255781*^-7, 4.366519*^-9, 1.41235*^-10, 3.891*^-12, 1.26*^-13, 7.*^-15, 0., 0., 2.*^-15, 2.*^-15, 0.}
