{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.18182501371919454 + 0.*I, 0.24253288341600232 + 0.*I, 0.05104551770418465 + 0.*I, 0.08242189482581264 + 0.*I, 0.08570025037519803 + 0.*I, 0.09016642092680717 + 0.*I, 0.07365137857440196 + 0.*I, 0.022848957569410192 + 0.*I, 0.0039611977949993715 + 0.*I, 0.0004703532154148871 + 0.*I, 0.00004037512840171509 + 0.*I, 2.5178717888429958*^-6 + 0.*I, 1.321891957006827*^-7 + 0.*I}
{0.18182501371919454 + 0.*I, 0.24253288341600232 + 0.*I, 0.05104551770418465 + 0.*I, 0.08242189482581264 + 0.*I, 0.08570025037519803 + 0.*I, 0.09016642092680717 + 0.*I, 0.07365137857440196 + 0.*I, 0.022848957569410192 + 0.*I, 0.0039611977949993715 + 0.*I, 0.0004703532154148871 + 0.*I, 0.00004037512840171509 + 0.*I, 2.5178717888429958*^-6 + 0.*I, 1.321891957006827*^-7 + 0.*I}
{0.18182501371919454 + 0.*I, 0.24253288341600232 + 0.*I, 0.05104551770418465 + 0.*I, 0.08242189482581264 + 0.*I, 0.08570025037519803 + 0.*I, 0.09016642092680717 + 0.*I, 0.07365137857440196 + 0.*I, 0.022848957569410192 + 0.*I, 0.0039611977949993715 + 0.*I, 0.0004703532154148871 + 0.*I, 0.00004037512840171509 + 0.*I, 2.5178717888429958*^-6 + 0.*I, 1.321891957006827*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.1804942066248039 + 0.*I, 0.23874842411379937 + 0.*I, 0.047369327619417596 + 0.*I, 0.07834048667798577 + 0.*I, 0.08901551122380004 + 0.*I, 0.08852353944641679 + 0.*I, 0.07448491279540281 + 0.*I, 0.023487021991197565 + 0.*I, 0.004131709376209436 + 0.*I, 0.0004947258137988354 + 0.*I, 0.000043101048996518905 + 0.*I, 2.7147566139529293*^-6 + 0.*I, 1.434357993490565*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17903392417499836 + 0.*I, 0.23488694439939284 + 0.*I, 0.04360188680261334 + 0.*I, 0.07420416527159636 + 0.*I, 0.09225076291878855 + 0.*I, 0.08680299829340045 + 0.*I, 0.07531226032337913 + 0.*I, 0.024129480875401125 + 0.*I, 0.00430865617959686 + 0.*I, 0.0005202028817929971 + 0.*I, 0.00004597675060669104 + 0.*I, 2.9269420109834243*^-6 + 0.*I, 1.5554080246005242*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.17745486346361086 + 0.*I, 0.23094241699259668 + 0.*I, 0.03974366571941612 + 0.*I, 0.07002201630299522 + 0.*I, 0.09540127247900099 + 0.*I, 0.08500340102259864 + 0.*I, 0.07613349207100661 + 0.*I, 0.024776153456795846 + 0.*I, 0.00449206081780673 + 0.*I, 0.0005468532641994538 + 0.*I, 0.00004900701540133668 + 0.*I, 3.155516414832249*^-6 + 0.*I, 1.685731998435358*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1757677445042072 + 0.*I, 0.22690727636818234 + 0.*I, 0.03579533235980037 + 0.*I, 0.06580404616480795 + 0.*I, 0.0984623838206078 + 0.*I, 0.08312385996338546 + 0.*I, 0.07694828322519777 + 0.*I, 0.025427005965394933 + 0.*I, 0.0046819124855934655 + 0.*I, 0.0005747504075892529 + 0.*I, 0.000052196850985897214 + 0.*I, 3.4016031991157547*^-6 + 0.*I, 1.826095968882058*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1739831458373864 + 0.*I, 0.22277277260840392 + 0.*I, 0.031757873789817204 + 0.*I, 0.06156106244239457 + 0.*I, 0.10142956270999814 + 0.*I, 0.08116403708879893 + 0.*I, 0.07775588924860966 + 0.*I, 0.026082154088213908 + 0.*I, 0.00487816836538535 + 0.*I, 0.0006039718204120526 + 0.*I, 0.00005555158879566591 + 0.*I, 3.666356013232175*^-6 + 0.*I, 1.9773240544918027*^-7 + 0.*I}
{0.1721113441758071 + 0.*I, 0.21852935076140945 + 0.*I, 0.027632721294801325 + 0.*I, 0.05730452981320689 + 0.*I, 0.10429844394719279 + 0.*I, 0.07912417009261485 + 0.*I, 0.07855513410819359 + 0.*I, 0.026741860656609447 + 0.*I, 0.005080756072217696 + 0.*I, 0.000634598381599183 + 0.*I, 0.00005907699000551326 + 0.*I, 3.950949395425951*^-6 + 0.*I, 2.140348065449161*^-7 + 0.*I}
{0.1721113441758071 + 0.*I, 0.21852935076140945 + 0.*I, 0.027632721294801325 + 0.*I, 0.05730452981320689 + 0.*I, 0.10429844394719279 + 0.*I, 0.07912417009261485 + 0.*I, 0.07855513410819359 + 0.*I, 0.026741860656609447 + 0.*I, 0.005080756072217696 + 0.*I, 0.000634598381599183 + 0.*I, 0.00005907699000551326 + 0.*I, 3.950949395425951*^-6 + 0.*I, 2.140348065449161*^-7 + 0.*I}
{0.1721113441758071 + 0.*I, 0.21852935076140945 + 0.*I, 0.027632721294801325 + 0.*I, 0.05730452981320689 + 0.*I, 0.10429844394719279 + 0.*I, 0.07912417009261485 + 0.*I, 0.07855513410819359 + 0.*I, 0.026741860656609447 + 0.*I, 0.005080756072217696 + 0.*I, 0.000634598381599183 + 0.*I, 0.00005907699000551326 + 0.*I, 3.950949395425951*^-6 + 0.*I, 2.140348065449161*^-7 + 0.*I}
{0.1721113441758071 + 0.*I, 0.21852935076140945 + 0.*I, 0.027632721294801325 + 0.*I, 0.05730452981320689 + 0.*I, 0.10429844394719279 + 0.*I, 0.07912417009261485 + 0.*I, 0.07855513410819359 + 0.*I, 0.026741860656609447 + 0.*I, 0.005080756072217696 + 0.*I, 0.000634598381599183 + 0.*I, 0.00005907699000551326 + 0.*I, 3.950949395425951*^-6 + 0.*I, 2.140348065449161*^-7 + 0.*I}
{0.1721113441758071 + 0.*I, 0.21852935076140945 + 0.*I, 0.027632721294801325 + 0.*I, 0.05730452981320689 + 0.*I, 0.10429844394719279 + 0.*I, 0.07912417009261485 + 0.*I, 0.07855513410819359 + 0.*I, 0.026741860656609447 + 0.*I, 0.005080756072217696 + 0.*I, 0.000634598381599183 + 0.*I, 0.00005907699000551326 + 0.*I, 3.950949395425951*^-6 + 0.*I, 2.140348065449161*^-7 + 0.*I}
{0.1721113441758071 + 0.*I, 0.21852935076140945 + 0.*I, 0.027632721294801325 + 0.*I, 0.05730452981320689 + 0.*I, 0.10429844394719279 + 0.*I, 0.07912417009261485 + 0.*I, 0.07855513410819359 + 0.*I, 0.026741860656609447 + 0.*I, 0.005080756072217696 + 0.*I, 0.000634598381599183 + 0.*I, 0.00005907699000551326 + 0.*I, 3.950949395425951*^-6 + 0.*I, 2.140348065449161*^-7 + 0.*I}
