{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{1.6365280242069957*^-7 + 0.*I, 0.9995837891408011 + 0.*I, 0.9995838404414094 + 0.*I, 2.1480019984920773*^-7 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I}
{1.6365280242069957*^-7 + 0.*I, 0.9995837891408011 + 0.*I, 0.9995838404414094 + 0.*I, 2.1480019984920773*^-7 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I}
{1.6365280242069957*^-7 + 0.*I, 0.9995837891408011 + 0.*I, 0.9995838404414094 + 0.*I, 2.1480019984920773*^-7 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I}
{1.6365280242069957*^-7 + 0.*I, 0.9995837891408011 + 0.*I, 0.9995838404414094 + 0.*I, 2.1480019984920773*^-7 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 3.0198066269804258*^-12 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I, 1.9991876454304113*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{2.612571603499703*^-6 + 0.*I, 0.9983877632059991 + 0.*I, 0.9983885796115921 + 0.*I, 3.42628878602369*^-6 + 0.*I, 4.796163466380677*^-12 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.399434063374857*^-12 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I, 7.996859045293893*^-13 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
