{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0008853656541907285 + 0.*I, 0.997390732374598 + 0.*I, 0.9973908006156051 + 0.*I, 0.0008712118645918524 + 0.*I, 0.00001408342960029785 + 0.*I, 2.102606977416599*^-9 + 0.*I, 3.796962744218035*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.0015540225386079243 + 0.*I, 0.9954324052788067 + 0.*I, 0.995432622695791 + 0.*I, 0.0015095499294063251 + 0.*I, 0.000044243390018294804 + 0.*I, 1.1779599518035868*^-8 + 0.*I, 3.996802888650564*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.395683899678261*^-12 + 0.*I}
