{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009999000038496407 + 0.*I, 0.9997000249990559 + 0.*I, 0.9997000249990319 + 0.*I, 0.00009998750058803906 + 0.*I, 2.4998100256468092*^-9 + 0.*I, 3.2085445411667024*^-14 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 0. + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 0. + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I}
{0.0003998400248910183 + 0.*I, 0.9988003999395838 + 0.*I, 0.9988003999378069 + 0.*I, 0.0003998000373270916 + 0.*I, 3.998755593315195*^-8 + 0.*I, 1.7750245717707003*^-12 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 0. + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 0. + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
{0.0008991902834740716 + 0.*I, 0.9973020243117089 + 0.*I, 0.9973020242914947 + 0.*I, 0.0008989879251539711 + 0.*I, 2.0235829001347128*^-7 + 0.*I, 2.023803347128705*^-11 + 0.*I, 9.992007221626407*^-16 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 0. + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 0. + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I}
{0.00159744159250097 + 0.*I, 0.9952063961329949 + 0.*I, 0.9952063960194619 + 0.*I, 0.0015968023883760063 + 0.*I, 6.392039630931379*^-7 + 0.*I, 1.1367295993380822*^-10 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 0. + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 0. + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
{0.0024937560737290365 + 0.*I, 0.9925156102508359 + 0.*I, 0.9925156098179408 + 0.*I, 0.002492196608885999 + 0.*I, 1.5594642429617165*^-6 + 0.*I, 4.3341497057980405*^-10 + 0.*I, 6.594724766273429*^-14 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 0. + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 0. + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
{0.0035870581317799517 + 0.*I, 0.9892323559687429 + 0.*I, 0.9892323546768429 + 0.*I, 0.0035838271915199504 + 0.*I, 3.2309384900841556*^-6 + 0.*I, 1.2933769610867785*^-9 + 0.*I, 2.9098945475425353*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 0. + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.004876035708843983 + 0.*I, 0.9853599139992809 + 0.*I, 0.9853599107437069 + 0.*I, 0.004870056044575022 + 0.*I, 5.979659799981717*^-6 + 0.*I, 3.259029046631667*^-9 + 0.*I, 9.94981874669065*^-13 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 0. + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 0. + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I}
{0.006359141815133973 + 0.*I, 0.9809021527473819 + 0.*I, 0.980902145498799 + 0.*I, 0.006348952672907026 + 0.*I, 0.000010189132287008462 + 0.*I, 7.25560200809383*^-9 + 0.*I, 2.9010127633455336*^-12 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 0. + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I}
{0.008034596333288955 + 0.*I, 0.975863523928505 + 0.*I, 0.975863509246047 + 0.*I, 0.008018296880273001 + 0.*I, 0.000016299432888944306 + 0.*I, 1.4695119010532663*^-8 + 0.*I, 7.443046179389512*^-12 + 0.*I, 9.992007221626407*^-16 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 0. + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.000936948864071*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I, 4.107825191113079*^-15 + 0.*I}
{0.009900388094502997 + 0.*I, 0.9702490575269008 + 0.*I, 0.9702490299255219 + 0.*I, 0.009875581877264892 + 0.*I, 0.000024806179409919693 + 0.*I, 2.7621907094932393*^-8 + 0.*I, 1.728295284664227*^-11 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 0. + 0.*I, 1.1102230246251565*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 0. + 0.*I, 2.1094237467877974*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I, 1.1102230246251565*^-15 + 0.*I}
