{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{2.013944566670034*^-10 + 0.*I, 0.9995835168265911 + 0.*I, 0.9995835183700009 + 0.*I, 4.739209025217406*^-9 + 0.*I, 4.534794761923422*^-9 + 0.*I, 2.534217280469875*^-9 + 0.*I, 1.1934009336300735*^-9 + 0.*I, 6.88116230662672*^-11 + 0.*I, 2.1600499167107046*^-10 + 0.*I, 4.2200898818021917*^-10 + 0.*I, 4.704007474347748*^-10 + 0.*I, 3.759607663053597*^-11 + 0.*I, 9.659470232585523*^-11 + 0.*I}
{2.013944566670034*^-10 + 0.*I, 0.9995835168265911 + 0.*I, 0.9995835183700009 + 0.*I, 4.739209025217406*^-9 + 0.*I, 4.534794761923422*^-9 + 0.*I, 2.534217280469875*^-9 + 0.*I, 1.1934009336300735*^-9 + 0.*I, 6.88116230662672*^-11 + 0.*I, 2.1600499167107046*^-10 + 0.*I, 4.2200898818021917*^-10 + 0.*I, 4.704007474347748*^-10 + 0.*I, 3.759607663053597*^-11 + 0.*I, 9.659470232585523*^-11 + 0.*I}
{2.013944566670034*^-10 + 0.*I, 0.9995835168265911 + 0.*I, 0.9995835183700009 + 0.*I, 4.739209025217406*^-9 + 0.*I, 4.534794761923422*^-9 + 0.*I, 2.534217280469875*^-9 + 0.*I, 1.1934009336300735*^-9 + 0.*I, 6.88116230662672*^-11 + 0.*I, 2.1600499167107046*^-10 + 0.*I, 4.2200898818021917*^-10 + 0.*I, 4.704007474347748*^-10 + 0.*I, 3.759607663053597*^-11 + 0.*I, 9.659470232585523*^-11 + 0.*I}
{2.013944566670034*^-10 + 0.*I, 0.9995835168265911 + 0.*I, 0.9995835183700009 + 0.*I, 4.739209025217406*^-9 + 0.*I, 4.534794761923422*^-9 + 0.*I, 2.534217280469875*^-9 + 0.*I, 1.1934009336300735*^-9 + 0.*I, 6.88116230662672*^-11 + 0.*I, 2.1600499167107046*^-10 + 0.*I, 4.2200898818021917*^-10 + 0.*I, 4.704007474347748*^-10 + 0.*I, 3.759607663053597*^-11 + 0.*I, 9.659470232585523*^-11 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
