{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.011961519041214787 + 0.*I, 0.9640671390000133 + 0.*I, 0.9640752392958032 + 0.*I, 0.011917114671389232 + 0.*I, 0.000036255165003495904 + 0.*I, 4.8868997737372424*^-8 + 0.*I, 3.621547506327261*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 4.196643033083092*^-12 + 0.*I, 1.7672086016773392*^-9 + 0.*I, 4.898796299170159*^-9 + 0.*I, 3.1027846958409104*^-9 + 0.*I, 2.1604940059205546*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.014204086086588852 + 0.*I, 0.9573211159281892 + 0.*I, 0.9573325547274081 + 0.*I, 0.014141309775594912 + 0.*I, 0.000051255174393638476 + 0.*I, 8.226139769362817*^-8 + 0.*I, 7.380762667708041*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 8.01581023779363*^-12 + 0.*I, 2.492406281362492*^-9 + 0.*I, 6.9140013159164906*^-9 + 0.*I, 4.375011464219369*^-9 + 0.*I, 3.7014835641002726*^-11 + 0.*I, 4.218847493575595*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.016630459452215973 + 0.*I, 0.9500176498663971 + 0.*I, 0.9500333550021889 + 0.*I, 0.016544163261600353 + 0.*I, 0.00007045812620010139 + 0.*I, 1.3278438348862664*^-7 + 0.*I, 1.3999912340523224*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.2789769243681805*^-11 + 0.*I, 3.416200655692592*^-9 + 0.*I, 9.487005625531913*^-9 + 0.*I, 5.9960036935535754*^-9 + 0.*I, 5.939693181744587*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.01923787662740928 + 0.*I, 0.9421639354793899 + 0.*I, 0.9421849868526121 + 0.*I, 0.019122049772812847 + 0.*I, 0.00009456840779353827 + 0.*I, 2.0681598655869496*^-7 + 0.*I, 2.531974629960132*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.0183854587685346*^-11 + 0.*I, 4.570810396842262*^-9 + 0.*I, 1.270819491305901*^-8 + 0.*I, 8.021383557377249*^-9 + 0.*I, 9.259260025373807*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.0220233689443905 + 0.*I, 0.9337677043820048 + 0.*I, 0.9337953432364099 + 0.*I, 0.02187107855600168 + 0.*I, 0.00012433873881612104 + 0.*I, 3.123508118818563*^-7 + 0.*I, 4.3978154451451706*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.059774655866932*^-11 + 0.*I, 5.989408968787303*^-9 + 0.*I, 1.6673198238725946*^-8 + 0.*I, 1.0509593195706657*^-8 + 0.*I, 1.4019896354966477*^-10 + 0.*I, 0. + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.024983764944996885 + 0.*I, 0.9248372163747965 + 0.*I, 0.9248728539279938 + 0.*I, 0.024787099034617736 + 0.*I, 0.00016056837159883489 + 0.*I, 4.5924459790569477*^-7 + 0.*I, 7.364109322338663*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 4.560796185160144*^-11 + 0.*I, 7.706590920975033*^-9 + 0.*I, 2.1482196577160733*^-8 + 0.*I, 1.3520407016187619*^-8 + 0.*I, 2.061906201333841*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.0281156939794025 + 0.*I, 0.9153812500882098 + 0.*I, 0.9154264754760001 + 0.*I, 0.027865706750418443 + 0.*I, 0.00020410116858826657 + 0.*I, 6.594720103336727*^-7 + 0.*I, 1.1945999744966684*^-9 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 6.539213615042172*^-11 + 0.*I, 9.757994412495918*^-9 + 0.*I, 2.7240194128142655*^-8 + 0.*I, 1.7116397188488012*^-8 + 0.*I, 2.9598545836506673*^-10 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.03141559002701744 + 0.*I, 0.9054090930435967 + 0.*I, 0.905465680537998 + 0.*I, 0.031102249667780416 + 0.*I, 0.0002558235723926217 + 0.*I, 9.273992018776767*^-7 + 0.*I, 1.8844037441567707*^-9 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.199307982044047*^-11 + 0.*I, 1.2179990349636684*^-8 + 0.*I, 3.4055001874033797*^-8 + 0.*I, 2.136100185623491*^-8 + 0.*I, 4.156008870381811*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.034879695738809786 + 0.*I, 0.8949305311436008 + 0.*I, 0.8950004466104168 + 0.*I, 0.03449183483239526 + 0.*I, 0.0003166624644057592 + 0.*I, 1.280065609066128*^-6 + 0.*I, 2.900013562623372*^-9 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.2740919430598296*^-10 + 0.*I, 1.5010614973220985*^-8 + 0.*I, 4.2038397762844774*^-8 + 0.*I, 2.6320390311695974*^-8 + 0.*I, 5.732081476139683*^-10 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.03850406669558826 + 0.*I, 0.8839558376080081 + 0.*I, 0.8840412441620148 + 0.*I, 0.03802933536980469 + 0.*I, 0.00038758291740492723 + 0.*I, 1.7374784055945727*^-6 + 0.*I, 4.364397732103954*^-9 + 0.*I, 6.417089082333406*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.4210854715202006*^-12 + 0.*I, 1.729949516970919*^-10 + 0.*I, 1.8287016345652773*^-8 + 0.*I, 5.130480207338202*^-8 + 0.*I, 3.2059199739364885*^-8 + 0.*I, 7.77400366303027*^-10 + 0.*I, 5.195843755245733*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
