{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.08764869128039532 + 0.*I, 0.7338780561935822 + 0.*I, 0.7343360625174047 + 0.*I, 0.08502737971900488 + 0.*I, 0.0021398330626087874 + 0.*I, 0.000023329823006790207 + 0.*I, 1.4179339924424994*^-7 + 0.*I, 5.480060849549774*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.4202861936828413*^-11 + 0.*I, 2.280198252435639*^-9 + 0.*I, 9.417939761391382*^-8 + 0.*I, 2.7141778824457695*^-7 + 0.*I, 1.645910074898893*^-7 + 0.*I, 1.019400119872671*^-8 + 0.*I, 1.8900436771218668*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.0928271684274007 + 0.*I, 0.7179111215031898 + 0.*I, 0.7184268002499827 + 0.*I, 0.08986574219638223 + 0.*I, 0.0024174411640043303 + 0.*I, 0.00002812328299128808 + 0.*I, 1.822752171420916*^-7 + 0.*I, 7.515987832107386*^-10 + 0.*I, 1.021405182655144*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 3.079758670310184*^-11 + 0.*I, 2.7419844172982266*^-9 + 0.*I, 1.0553840024130069*^-7 + 0.*I, 3.051271957321689*^-7 + 0.*I, 1.843716068705703*^-7 + 0.*I, 1.225481938149642*^-8 + 0.*I, 2.4300561562995426*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.09809990346758557 + 0.*I, 0.7016199967545989 + 0.*I, 0.7021981743900119 + 0.*I, 0.09476782526640637 + 0.*I, 0.002719967524389411 + 0.*I, 0.00003369954040266521 + 0.*I, 2.3246919944597266*^-7 + 0.*I, 1.0204059819329814*^-9 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 2.797762022055395*^-12 + 0.*I, 3.881339694089548*^-11 + 0.*I, 3.277400573153955*^-9 + 0.*I, 1.1774861086166767*^-7 + 0.*I, 3.41567396588971*^-7 + 0.*I, 2.0561921054707002*^-7 + 0.*I, 1.4642997925307101*^-8 + 0.*I, 3.097966327914037*^-10 + 0.*I, 2.19824158875781*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.10346088671240318 + 0.*I, 0.6850203402332111 + 0.*I, 0.6856660207253952 + 0.*I, 0.09972612737538802 + 0.*I, 0.003048628389001884 + 0.*I, 0.000040154784208823464 + 0.*I, 2.942873944533631*^-7 + 0.*I, 1.3722134539762012*^-9 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 4.8783199702029385*^-11 + 0.*I, 3.894795597148005*^-9 + 0.*I, 1.3082519512153112*^-7 + 0.*I, 3.808244081193735*^-7 + 0.*I, 2.2835620061556483*^-7 + 0.*I, 1.7396395435298473*^-8 + 0.*I, 3.9199754553465027*^-10 + 0.*I, 2.997602166487923*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.10890400702059379 + 0.*I, 0.6681280754816221 + 0.*I, 0.6688464311185971 + 0.*I, 0.10473305124798493 + 0.*I, 0.0034046351730099293 + 0.*I, 0.000047593178797988855 + 0.*I, 3.6993981211708165*^-7 + 0.*I, 1.8294032955168407*^-9 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 3.996802888650564*^-12 + 0.*I, 6.09956529729061*^-11 + 0.*I, 4.603606384989689*^-9 + 0.*I, 1.4477841148163864*^-7 + 0.*I, 4.229769923203009*^-7 + 0.*I, 2.5259840885638596*^-7 + 0.*I, 2.0555801505395266*^-8 + 0.*I, 4.922062757373169*^-10 + 0.*I, 4.596323321948148*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.11442305864479699 + 0.*I, 0.6509593735849917 + 0.*I, 0.6517557347188064 + 0.*I, 0.1097809147033946 + 0.*I, 0.0037891912206156064 + 0.*I, 0.000056127181413678784 + 0.*I, 4.619697957508606*^-7 + 0.*I, 2.4187984948298435*^-9 + 0.*I, 7.616129948928574*^-12 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 7.58060281214057*^-11 + 0.*I, 5.413403059151278*^-9 + 0.*I, 1.5961598709424154*^-7 + 0.*I, 4.680972026660512*^-7 + 0.*I, 2.7835420635113906*^-7 + 0.*I, 2.4165003331688695*^-8 + 0.*I, 6.139977415386966*^-10 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.12001174817879436 + 0.*I, 0.6335306352095894 + 0.*I, 0.634410478926406 + 0.*I, 0.11486196158358998 + 0.*I, 0.004203488545617695 + 0.*I, 0.00006587784961986642 + 0.*I, 5.73290592775777*^-7 + 0.*I, 3.1727953597737728*^-9 + 0.*I, 1.0991207943789048*^-11 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 9.379164112033324*^-11 + 0.*I, 6.335398872181487*^-9 + 0.*I, 1.7534020901877057*^-7 + 0.*I, 5.162481997444957*^-7 + 0.*I, 3.056233932596797*^-7 + 0.*I, 2.827080791689696*^-8 + 0.*I, 7.612133146039924*^-10 + 0.*I, 8.815170815523743*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.1256637015949913 + 0.*I, 0.6158584724133886 + 0.*I, 0.6168274101385984 + 0.*I, 0.11996837278140936 + 0.*I, 0.0046487045697984905 + 0.*I, 0.00007697513859650229 + 0.*I, 7.072239904815092*^-7 + 0.*I, 4.131206488011686*^-9 + 0.*I, 1.5409895581797173*^-11 + 0.*I, 7.59392548843607*^-12 + 0.*I, 1.1539658117953877*^-10 + 0.*I, 7.379785671446371*^-9 + 0.*I, 1.9194961176083328*^-7 + 0.*I, 5.674847980419173*^-7 + 0.*I, 3.343983978609799*^-7 + 0.*I, 3.292159878043322*^-8 + 0.*I, 9.374057086120049*^-10 + 0.*I, 1.1590728377086636*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.13137247136241204 + 0.*I, 0.5979596902516039 + 0.*I, 0.5990234542973871 + 0.*I, 0.12509227735539866 + 0.*I, 0.005125998858002135 + 0.*I, 0.00008955818460165689 + 0.*I, 8.675467899621481*^-7 + 0.*I, 5.3417936740629565*^-9 + 0.*I, 2.1604940059205546*^-11 + 0.*I, 9.592326932761354*^-12 + 0.*I, 1.4099832412739488*^-10 + 0.*I, 8.559597475255034*^-9 + 0.*I, 2.094374007555189*^-7 + 0.*I, 6.218527914825245*^-7 + 0.*I, 3.646634105791691*^-7 + 0.*I, 3.817040017395357*^-8 + 0.*I, 1.1483924922117696*^-9 + 0.*I, 1.5409895581797173*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.13713154364198843 + 0.*I, 0.5798512682008151 + 0.*I, 0.5810156972657854 + 0.*I, 0.1302257637092019 + 0.*I, 0.005636509858986115 + 0.*I, 0.00010377557819740703 + 0.*I, 1.0585315957101218*^-6 + 0.*I, 6.861000656499527*^-9 + 0.*I, 2.9598545836506673*^-11 + 0.*I, 1.1990408665951692*^-11 + 0.*I, 1.714184350021242*^-10 + 0.*I, 9.886402807524066*^-9 + 0.*I, 2.2779280683948855*^-7 + 0.*I, 6.793871965005138*^-7 + 0.*I, 3.9639240778655*^-7 + 0.*I, 4.4071990501493026*^-8 + 0.*I, 1.3989920333301598*^-9 + 0.*I, 2.0405899192610377*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.14293434554539797 + 0.*I, 0.561550341422401 + 0.*I, 0.5628213650626047 + 0.*I, 0.13536089082339944 + 0.*I, 0.006181351657197354 + 0.*I, 0.00011978561960113154 + 0.*I, 1.2849989960983523*^-6 + 0.*I, 8.756195768455655*^-9 + 0.*I, 3.979039320256562*^-11 + 0.*I, 1.4988010832439613*^-11 + 0.*I, 2.0798918143327683*^-10 + 0.*I, 1.137361316239094*^-8 + 0.*I, 2.46998999031689*^-7 + 0.*I, 7.401142088081515*^-7 + 0.*I, 4.2955079493367526*^-7 + 0.*I, 5.0683390817596325*^-8 + 0.*I, 1.6951995363001517*^-9 + 0.*I, 2.580158309228864*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.14877425245058973 + 0.*I, 0.5430741818903907 + 0.*I, 0.5444578039695891 + 0.*I, 0.14048969952640267 + 0.*I, 0.0067616107459977925 + 0.*I, 0.00013775655960390765 + 0.*I, 1.552367390189602*^-6 + 0.*I, 1.1108403086268483*^-8 + 0.*I, 5.3401727484470036*^-11 + 0.*I, 1.8784973576657652*^-11 + 0.*I, 2.5079938126282286*^-10 + 0.*I, 1.3035394985649875*^-8 + 0.*I, 2.670340171206931*^-7 + 0.*I, 8.040475896198274*^-7 + 0.*I, 4.6409440734862533*^-7 + 0.*I, 5.8066418340274595*^-8 + 0.*I, 2.044209246321316*^-9 + 0.*I, 3.3217872896784684*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.15464459536660427 + 0.*I, 0.5244401794032072 + 0.*I, 0.5259424605488006 + 0.*I, 0.1456042237770072 + 0.*I, 0.007378342819608364 + 0.*I, 0.00015786682361351723 + 0.*I, 1.8667072110289953*^-6 + 0.*I, 1.4011192206453417*^-8 + 0.*I, 7.100986465502501*^-11 + 0.*I, 2.3581137043038328*^-11 + 0.*I, 3.01203506580805*^-10 + 0.*I, 1.4885803700792623*^-8 + 0.*I, 2.878709937093049*^-7 + 0.*I, 8.711904087022049*^-7 + 0.*I, 4.999684000139838*^-7 + 0.*I, 6.628340099013032*^-8 + 0.*I, 2.4537927245660285*^-9 + 0.*I, 4.17887946468909*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.16053866833720679 + 0.*I, 0.5056658225055966 + 0.*I, 0.5072928615879936 + 0.*I, 0.15069650195740358 + 0.*I, 0.0080325696012018 + 0.*I, 0.00018030521620193693 + 0.*I, 2.2347990125126675*^-6 + 0.*I, 1.75758074760779*^-8 + 0.*I, 9.379164112033324*^-11 + 0.*I, 2.899902540320909*^-11 + 0.*I, 3.5977887336002823*^-10 + 0.*I, 1.694040463462443*^-8 + 0.*I, 3.0947739926290296*^-7 + 0.*I, 9.415340063156918*^-7 + 0.*I, 5.371088018790716*^-7 + 0.*I, 7.540119639770637*^-8 + 0.*I, 2.9322100303375014*^-9 + 0.*I, 5.280220705117245*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.1664497358758066 + 0.*I, 0.48676867934120965 + 0.*I, 0.4885265940012041 + 0.*I, 0.15575858814720345 + 0.*I, 0.008725275702992088 + 0.*I, 0.00020527110677903693 + 0.*I, 2.6641933992266335*^-6 + 0.*I, 2.1932411442548982*^-8 + 0.*I, 1.2281287098403482*^-10 + 0.*I, 3.561595462997502*^-11 + 0.*I, 4.280131804534904*^-10 + 0.*I, 1.9214807522871528*^-8 + 0.*I, 3.3181419833994147*^-7 + 0.*I, 1.0150575935341521*^-6 + 0.*I, 5.754402065960563*^-7 + 0.*I, 8.548779462103084*^-8 + 0.*I, 3.4887870370425844*^-9 + 0.*I, 6.639133687258436*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.17237104042280293 + 0.*I, 0.4677663784609988 + 0.*I, 0.46966128471119806 + 0.*I, 0.16078256337099806 + 0.*I, 0.009457405531998475 + 0.*I, 0.00023297459339488571 + 0.*I, 3.16327419813689*^-6 + 0.*I, 2.7231594756926828*^-8 + 0.*I, 1.5980550216454506*^-10 + 0.*I, 4.3787196091216174*^-11 + 0.*I, 5.06994446425324*^-10 + 0.*I, 2.1725599097521808*^-8 + 0.*I, 3.5483718185957974*^-7 + 0.*I, 1.0917271975330325*^-6 + 0.*I, 6.148766162894503*^-7 + 0.*I, 9.661460520504761*^-8 + 0.*I, 4.1341818857176804*^-9 + 0.*I, 8.260059303211166*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.17829580981481022 + 0.*I, 0.44867658960860984 + 0.*I, 0.4507145805396018 + 0.*I, 0.16576054679839913 + 0.*I, 0.010229860244592716 + 0.*I, 0.00026363664700213013 + 0.*I, 3.741326004558232*^-6 + 0.*I, 3.364901690616762*^-8 + 0.*I, 2.0639046027781663*^-10 + 0.*I, 5.4001247917767614*^-11 + 0.*I, 5.99009730706257*^-10 + 0.*I, 2.448898861473481*^-8 + 0.*I, 3.7849521294930355*^-7 + 0.*I, 1.1714963943365577*^-6 + 0.*I, 6.553205977866128*^-7 + 0.*I, 1.0885461421139554*^-7 + 0.*I, 4.8791859441621455*^-9 + 0.*I, 1.0220713164699191*^-10 + 0.*I, 0. + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.1842172647592122 + 0.*I, 0.42951700450641894 + 0.*I, 0.4317041281279855 + 0.*I, 0.1706847068838169 + 0.*I, 0.011043494754603422 + 0.*I, 0.0002974892305829258 + 0.*I, 4.408603593297755*^-6 + 0.*I, 4.138820397514565*^-8 + 0.*I, 2.6558755195082995*^-10 + 0.*I, 6.581402089977928*^-11 + 0.*I, 7.045919403481095*^-10 + 0.*I, 2.752360561686374*^-8 + 0.*I, 4.027328026623423*^-7 + 0.*I, 1.2543053928837367*^-6 + 0.*I, 6.966653920414956*^-7 + 0.*I, 1.222836054637355*^-7 + 0.*I, 5.7372107065134514*^-9 + 0.*I, 1.2581047315052274*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.19012862630600758 + 0.*I, 0.4103053176665928 + 0.*I, 0.4126475539150132 + 0.*I, 0.17554727242379278 + 0.*I, 0.011899114802393918 + 0.*I, 0.0003347753944060728 + 0.*I, 5.176403616857783*^-6 + 0.*I, 5.068239161687416*^-8 + 0.*I, 3.395950187723429*^-10 + 0.*I, 8.000267115448879*^-11 + 0.*I, 8.258060901766839*^-10 + 0.*I, 3.084679178755323*^-8 + 0.*I, 4.274868015130551*^-7 + 0.*I, 1.3400806020413825*^-6 + 0.*I, 7.387914058298862*^-7 + 0.*I, 1.3697978307192218*^-7 + 0.*I, 6.721778689211534*^-9 + 0.*I, 1.5420997812043424*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.19602312330440075 + 0.*I, 0.391059207248401 + 0.*I, 0.3935624441999908 + 0.*I, 0.18034054352780157 + 0.*I, 0.012797474090797678 + 0.*I, 0.00037574934681483546 + 0.*I, 6.05714081114428*^-6 + 0.*I, 6.18010087549692*^-8 + 0.*I, 4.314104629088434*^-10 + 0.*I, 9.741096818061125*^-11 + 0.*I, 9.65005853004186*^-10 + 0.*I, 3.4477198873617005*^-8 + 0.*I, 4.5268819803823135*^-7 + 0.*I, 1.4287349969777099*^-6 + 0.*I, 7.815682101508514*^-7 + 0.*I, 1.5302181743948043*^-7 + 0.*I, 7.847389404957996*^-9 + 0.*I, 1.878053268455915*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2018939998388092 + 0.*I, 0.37179631598318613 + 0.*I, 0.3744663253114177 + 0.*I, 0.18505690247281326 + 0.*I, 0.013739271496593375 + 0.*I, 0.0004206764995906554 + 0.*I, 7.064428197978145*^-6 + 0.*I, 7.50522088921457*^-8 + 0.*I, 5.45608003221787*^-10 + 0.*I, 1.1761702722878908*^-10 + 0.*I, 1.123390269697211*^-9 + 0.*I, 3.8434211369065*^-8 + 0.*I, 4.782628071353656*^-7 + 0.*I, 1.520166981183735*^-6 + 0.*I, 8.248543847955148*^-7 + 0.*I, 1.7049182066131152*^-7 + 0.*I, 9.13120690171354*^-9 + 0.*I, 2.2799540033702217*^-10 + 0.*I, 2.4202861936828413*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.20773452263520567 + 0.*I, 0.35253423219478996 + 0.*I, 0.3553766439083894 + 0.*I, 0.18968882443601842 + 0.*I, 0.014725148353011976 + 0.*I, 0.0004698334845842922 + 0.*I, 8.213155999747814*^-6 + 0.*I, 9.078839902088022*^-8 + 0.*I, 6.87006007638047*^-10 + 0.*I, 1.4179768470512502*^-10 + 0.*I, 1.3038015111987988*^-9 + 0.*I, 4.273741360805161*^-8 + 0.*I, 5.041290052076874*^-7 + 0.*I, 1.6142614078784592*^-6 + 0.*I, 8.684971852801483*^-7 + 0.*I, 1.8947261537505258*^-7 + 0.*I, 1.059079490772774*^-8 + 0.*I, 2.7580160377738144*^-10 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I}
{0.21353798842780328 + 0.*I, 0.3332904709326013 + 0.*I, 0.33631074744000516 + 0.*I, 0.1942288880864007 + 0.*I, 0.01575568582259379 + 0.*I, 0.0005235081444121549 + 0.*I, 9.519577393035661*^-6 + 0.*I, 1.0940981454155009*^-7 + 0.*I, 8.60800319912869*^-10 + 0.*I, 1.701971896750365*^-10 + 0.*I, 1.5087930904655877*^-9 + 0.*I, 4.740641212919172*^-8 + 0.*I, 5.301997951789872*^-7 + 0.*I, 1.7108885919103758*^-6 + 0.*I, 9.123328092996986*^-7 + 0.*I, 2.1004797901014172*^-7 + 0.*I, 1.2245404690247597*^-8 + 0.*I, 3.3200109328390686*^-10 + 0.*I, 4.218847493575595*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.21929773127880028 + 0.*I, 0.3140824552426036 + 0.*I, 0.31728586478598775 + 0.*I, 0.19866978602178786 + 0.*I, 0.016831402354999803 + 0.*I, 0.0005819994929989747 + 0.*I, 0.000011001396993393087 + 0.*I, 1.3137180232547507*^-7 + 0.*I, 1.0738077094174514*^-9 + 0.*I, 2.0359269825576123*^-10 + 0.*I, 1.7406076580073204*^-9 + 0.*I, 5.246101331124464*^-8 + 0.*I, 5.563819849285778*^-7 + 0.*I, 1.8099044041264278*^-6 + 0.*I, 9.56185797207354*^-7 + 0.*I, 2.323029990591863*^-7 + 0.*I, 1.4116197100122465*^-8 + 0.*I, 3.9839243015649117*^-10 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.22500712984059312 + 0.*I, 0.29492749759520986 + 0.*I, 0.2983190871038044 + 0.*I, 0.2030043350351951 + 0.*I, 0.017952751240213338 + 0.*I, 0.000645617648187269 + 0.*I, 0.000012677859206888797 + 0.*I, 1.5719059387464543*^-7 + 0.*I, 1.3341994176130358*^-9 + 0.*I, 2.424060951966567*^-10 + 0.*I, 2.0021984070695*^-9 + 0.*I, 5.792299972995352*^-8 + 0.*I, 5.825765869715838*^-7 + 0.*I, 1.911150609990031*^-6 + 0.*I, 9.998704086910948*^-7 + 0.*I, 2.563239842601206*^-7 + 0.*I, 1.62257984825942*^-8 + 0.*I, 4.759970195777897*^-10 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.23065961455819295 + 0.*I, 0.2758427814995912 + 0.*I, 0.2794273489022059 + 0.*I, 0.2072254861941847 + 0.*I, 0.019120118259996488 + 0.*I, 0.0007146837322169475 + 0.*I, 0.000014569840600664463 + 0.*I, 1.874483901431745*^-7 + 0.*I, 1.650590775170713*^-9 + 0.*I, 2.879918525877656*^-10 + 0.*I, 2.297007029028464*^-9 + 0.*I, 6.381219996853817*^-8 + 0.*I, 6.086779968939028*^-7 + 0.*I, 2.014454392185172*^-6 + 0.*I, 1.0431896013685107*^-6 + 0.*I, 2.821969991018136*^-7 + 0.*I, 1.8598389495139148*^-8 + 0.*I, 5.670131031365601*^-10 + 0.*I, 8.992806499463768*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.23624867479359327 + 0.*I, 0.2568453433120066 + 0.*I, 0.2606274093723826 + 0.*I, 0.21132633472540358 + 0.*I, 0.020333819445395033 + 0.*I, 0.0007895297444049376 + 0.*I, 0.00001669994740272074 + 0.*I, 2.2280159939214172*^-7 + 0.*I, 2.0342172390996893*^-9 + 0.*I, 3.408162640994306*^-10 + 0.*I, 2.6279867171297155*^-9 + 0.*I, 7.014981928676889*^-8 + 0.*I, 6.34575592073361*^-7 + 0.*I, 2.1196288058078494*^-6 + 0.*I, 1.0859360077830618*^-6 + 0.*I, 3.100088186158701*^-7 + 0.*I, 2.126059328588781*^-8 + 0.*I, 6.7319483321171*^-10 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.24176786587339907 + 0.*I, 0.2379520542768132 + 0.*I, 0.24193583399019225 + 0.*I, 0.2153001296818058 + 0.*I, 0.021594098939403672 + 0.*I, 0.000870498399407893 + 0.*I, 0.000019092610203941266 + 0.*I, 2.6398880859090923*^-7 + 0.*I, 2.497602125117737*^-9 + 0.*I, 4.0218939290070926*^-10 + 0.*I, 2.9988012073545182*^-9 + 0.*I, 7.695719617117902*^-8 + 0.*I, 6.601525992522285*^-7 + 0.*I, 2.2264728061216488*^-6 + 0.*I, 1.1278916023371721*^-6 + 0.*I, 3.398457959491452*^-7 + 0.*I, 2.4240187634916314*^-8 + 0.*I, 7.963851800241174*^-10 + 0.*I, 1.4210854715202005*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.24721081604521802 + 0.*I, 0.21917960280519733 + 0.*I, 0.22336897641979106 + 0.*I, 0.21914028338720917 + 0.*I, 0.022901126977603603 + 0.*I, 0.0009579429362194247 + 0.*I, 0.000021774186187428768 + 0.*I, 3.118374003463487*^-7 + 0.*I, 3.0550006968610437*^-9 + 0.*I, 4.731992575557342*^-10 + 0.*I, 3.4135805293544763*^-9 + 0.*I, 8.425518061017101*^-8 + 0.*I, 6.85287604440532*^-7 + 0.*I, 2.334771220802168*^-6 + 0.*I, 1.1688290113553992*^-6 + 0.*I, 3.717937957503637*^-7 + 0.*I, 2.756739281295495*^-8 + 0.*I, 9.392042699118976*^-10 + 0.*I, 1.7386092565629955*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2525712333405927 + 0.*I, 0.20054447702440026 + 0.*I, 0.20494296073580998 + 0.*I, 0.2228403806358026 + 0.*I, 0.024254997980999178 + 0.*I, 0.0010522268931945078 + 0.*I, 0.000024773059403848663 + 0.*I, 3.672738113635887*^-7 + 0.*I, 3.723599206750805*^-9 + 0.*I, 5.547784454051908*^-10 + 0.*I, 3.87621046371578*^-9 + 0.*I, 9.206500006797569*^-8 + 0.*I, 7.098527987636771*^-7 + 0.*I, 2.444295410519715*^-6 + 0.*I, 1.2085110023818402*^-6 + 0.*I, 4.0593801653443506*^-7 + 0.*I, 3.1274405287717855*^-8 + 0.*I, 1.1044054559761207*^-9 + 0.*I, 2.1405099914773018*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2578429123291981 + 0.*I, 0.18206294760760855 + 0.*I, 0.18667366398881227 + 0.*I, 0.2263941876441855 + 0.*I, 0.025655728776197154 + 0.*I, 0.0011537238515879624 + 0.*I, 0.000028119745798527166 + 0.*I, 4.3133279170604055*^-7 + 0.*I, 4.5236037138352*^-9 + 0.*I, 6.485922909860165*^-10 + 0.*I, 4.39079883562954*^-9 + 0.*I, 1.004082150757313*^-7 + 0.*I, 7.337163987486405*^-7 + 0.*I, 2.554802613907725*^-6 + 0.*I, 1.2466909948827267*^-6 + 0.*I, 4.4236279084231006*^-7 + 0.*I, 3.5396197084480725*^-8 + 0.*I, 1.2951861805277076*^-9 + 0.*I, 2.6401103525586226*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2630197407652135 + 0.*I, 0.16375105091239742 + 0.*I, 0.16857669913239448 + 0.*I, 0.2297956607338003 + 0.*I, 0.027103256937 + 0.*I, 0.0012628171441875227 + 0.*I, 0.00003184699761682453 + 0.*I, 5.051661977617528*^-7 + 0.*I, 5.477196474146241*^-9 + 0.*I, 7.559952663882541*^-10 + 0.*I, 4.962408262088047*^-9 + 0.*I, 1.0930540916831433*^-7 + 0.*I, 7.567412030340391*^-7 + 0.*I, 2.6660381902132717*^-6 + 0.*I, 1.2831129936330399*^-6 + 0.*I, 4.811504084045737*^-7 + 0.*I, 3.996840636233401*^-8 + 0.*I, 1.5142109788257585*^-9 + 0.*I, 3.199662756969701*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
