{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.1846999643930092 + 0.*I, 0.4287174695628116 + 0.*I, 0.4313592242562115 + 0.*I, 0.1707090713747972 + 0.*I, 0.01104710571020462 + 0.*I, 0.0002975814871852833 + 0.*I, 4.409474207989207*^-6 + 0.*I, 4.1391801097745435*^-8 + 0.*I, 2.6660895713348514*^-10 + 0.*I, 1.8700596626786137*^-10 + 0.*I, 7.270983815033107*^-9 + 0.*I, 1.3591061609474766*^-7 + 0.*I, 7.017574077394784*^-7 + 0.*I, 1.3528857867317614*^-6 + 0.*I, 4.5046559815631326*^-7 + 0.*I, 5.539999570203236*^-8 + 0.*I, 1.8523849121265812*^-9 + 0.*I, 2.8399504969911504*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.19064605533940515 + 0.*I, 0.40945300543300256 + 0.*I, 0.41228367712600195 + 0.*I, 0.17557213678280895 + 0.*I, 0.01190313525620823 + 0.*I, 0.00033488312001228593 + 0.*I, 5.177464412753353*^-6 + 0.*I, 5.068658825990724*^-8 + 0.*I, 3.3979485891677546*^-10 + 0.*I, 2.289946010591848*^-10 + 0.*I, 8.519984717736405*^-9 + 0.*I, 1.5223899918481723*^-7 + 0.*I, 7.434426185781718*^-7 + 0.*I, 1.4459520025766894*^-6 + 0.*I, 4.772501949190655*^-7 + 0.*I, 6.205140845594316*^-8 + 0.*I, 2.170397195300211*^-9 + 0.*I, 3.4994229736184934*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.19657667228161205 + 0.*I, 0.3901524004725987 + 0.*I, 0.393179369679797 + 0.*I, 0.18036577032840564 + 0.*I, 0.012801937393791542 + 0.*I, 0.00037587468861843837 + 0.*I, 6.058428603239463*^-6 + 0.*I, 6.180580491843558*^-8 + 0.*I, 4.314104629088434*^-10 + 0.*I, 2.787992059438693*^-10 + 0.*I, 9.948797341507998*^-9 + 0.*I, 1.7006180907941373*^-7 + 0.*I, 7.856487904689403*^-7 + 0.*I, 1.5422169985512824*^-6 + 0.*I, 5.043746087451951*^-7 + 0.*I, 6.931080154259917*^-8 + 0.*I, 2.5339952358649498*^-9 + 0.*I, 4.261035968511351*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.20248504300639517 + 0.*I, 0.3708333621532001 + 0.*I, 0.3740638929587981 + 0.*I, 0.1850823363824139 + 0.*I, 0.013744212391997301 + 0.*I, 0.0004208218387979911 + 0.*I, 7.0659843975917624*^-6 + 0.*I, 7.505760457604538*^-8 + 0.*I, 5.452083229329219*^-10 + 0.*I, 3.3839597790574777*^-10 + 0.*I, 1.1578582537197235*^-8 + 0.*I, 1.8946921809259718*^-7 + 0.*I, 8.282200036902055*^-7 + 0.*I, 1.64158019955174*^-6 + 0.*I, 5.317401852167336*^-7 + 0.*I, 7.721501216195747*^-8 + 0.*I, 2.948796762325401*^-9 + 0.*I, 5.200284647344234*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.20836441293461405 + 0.*I, 0.35151355285460983 + 0.*I, 0.35495476336100396 + 0.*I, 0.18971429154039932 + 0.*I, 0.014730602919188486 + 0.*I, 0.0004700014549996468 + 0.*I, 8.21502919023942*^-6 + 0.*I, 9.079419438506876*^-8 + 0.*I, 6.856071266270192*^-10 + 0.*I, 4.091837979558477*^-10 + 0.*I, 1.3432011058966966*^-8 + 0.*I, 2.1055319709972764*^-7 + 0.*I, 8.709881926804997*^-7 + 0.*I, 1.7439258037654783*^-6 + 0.*I, 5.592392104958321*^-7 + 0.*I, 8.58009885362776*^-8 + 0.*I, 3.420397298725675*^-9 + 0.*I, 6.339373470609645*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.2142080523538148 + 0.*I, 0.3322105711714096 + 0.*I, 0.3358694031039944 + 0.*I, 0.19425419526419851 + 0.*I, 0.01576169139960726 + 0.*I, 0.0005237016520220905 + 0.*I, 9.521824195779517*^-6 + 0.*I, 1.0941658690200029*^-7 + 0.*I, 8.588019184685437*^-10 + 0.*I, 4.922062757373169*^-10 + 0.*I, 1.5533396791056475*^-8 + 0.*I, 2.3340600563415142*^-7 + 0.*I, 9.137730128117028*^-7 + 0.*I, 1.8491230047157359*^-6 + 0.*I, 5.867567987039025*^-7 + 0.*I, 9.510638943055484*^-8 + 0.*I, 3.954792049398748*^-9 + 0.*I, 7.620570841027074*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.2200092636125861 + 0.*I, 0.31294193334181486 + 0.*I, 0.31682512084958425 + 0.*I, 0.1986947203701961 + 0.*I, 0.016837997457397336 + 0.*I, 0.000582221733580468 + 0.*I, 0.000011004081201804183 + 0.*I, 1.3137979593125237*^-7 + 0.*I, 1.0706102671065312*^-9 + 0.*I, 5.902167643512258*^-10 + 0.*I, 1.7910206651094995*^-8 + 0.*I, 2.5812239012878996*^-7 + 0.*I, 9.56382995020988*^-7 + 0.*I, 1.9570251919009962*^-6 + 0.*I, 6.14171602464353*^-7 + 0.*I, 1.0517000603726956*^-7 + 0.*I, 4.559397304149116*^-9 + 0.*I, 9.201528428093299*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I}
{0.22576138826500006 + 0.*I, 0.29372505480560474 + 0.*I, 0.29783909252278923 + 0.*I, 0.20302866335879524 + 0.*I, 0.017959975459813652 + 0.*I, 0.0006458721287794233 + 0.*I, 0.000012681054806229497 + 0.*I, 1.571998087257498*^-7 + 0.*I, 1.3294032541466552*^-9 + 0.*I, 7.050138250974668*^-10 + 0.*I, 2.0590995575275887*^-8 + 0.*I, 2.847964086782895*^-7 + 0.*I, 9.986142135431921*^-7 + 0.*I, 2.0674712108981197*^-6 + 0.*I, 6.413527930959617*^-7 + 0.*I, 1.1602940830357511*^-7 + 0.*I, 5.2408077877430514*^-9 + 0.*I, 1.0980105713542801*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.2314578141666024 + 0.*I, 0.27457723192798605 + 0.*I, 0.27892834233620434 + 0.*I, 0.20724895455939144 + 0.*I, 0.019128012150204654 + 0.*I, 0.0007149742907941459 + 0.*I, 0.000014573632411973849 + 0.*I, 1.8745920371543434*^-7 + 0.*I, 1.6443957306933046*^-9 + 0.*I, 8.389955397092309*^-10 + 0.*I, 2.360678319490717*^-8 + 0.*I, 3.1352378471183334*^-7 + 0.*I, 1.0402510186580118*^-6 + 0.*I, 2.180284813801947*^-6 + 0.*I, 6.681637909622397*^-7 + 0.*I, 1.2772340962641238*^-7 + 0.*I, 6.007416786246723*^-9 + 0.*I, 1.3080647676133597*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.23709198250339017 + 0.*I, 0.2555156238989831 + 0.*I, 0.2601097240533923 + 0.*I, 0.21134866808378844 + 0.*I, 0.020342424392394424 + 0.*I, 0.0007898605705936036 + 0.*I, 0.000016704430594316477 + 0.*I, 2.22814189321241*^-7 + 0.*I, 2.0258017485730306*^-9 + 0.*I, 9.955813951023629*^-10 + 0.*I, 2.6991786583607794*^-8 + 0.*I, 3.4439999740953914*^-7 + 0.*I, 1.0810671913219496*^-6 + 0.*I, 2.29527379325134*^-6 + 0.*I, 6.944602004566036*^-7 + 0.*I, 1.4029140071869508*^-7 + 0.*I, 6.867617585726293*^-9 + 0.*I, 1.55786494815402*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.24265739475339831 + 0.*I, 0.23655723483240187 + 0.*I, 0.24139990250979795 + 0.*I, 0.2153210315726018 + 0.*I, 0.021603457020979988 + 0.*I, 0.0008708740566021334 + 0.*I, 0.000019097894599084952 + 0.*I, 2.6400379660174167*^-7 + 0.*I, 2.486788552857888*^-9 + 0.*I, 1.1772138819310385*^-9 + 0.*I, 3.0781199811258375*^-8 + 0.*I, 3.7751959336418395*^-7 + 0.*I, 1.1208245886962234*^-6 + 0.*I, 2.412231792092712*^-6 + 0.*I, 7.200903873183506*^-7 + 0.*I, 1.5377079609635302*^-7 + 0.*I, 7.830180948076304*^-9 + 0.*I, 1.8460788453467106*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.2481476195697941 + 0.*I, 0.21771889608859232 + 0.*I, 0.22281533541201884 + 0.*I, 0.21915943571939603 + 0.*I, 0.022911280801785065 + 0.*I, 0.0009583683826086541 + 0.*I, 0.00002178039519851183 + 0.*I, 3.118552083236637*^-7 + 0.*I, 3.0414115670396313*^-9 + 0.*I, 1.3872014648086406*^-9 + 0.*I, 3.501361423019489*^-8 + 0.*I, 4.1297680830609806*^-7 + 0.*I, 1.1592741877564094*^-6 + 0.*I, 2.5309372153614618*^-6 + 0.*I, 7.448957894951037*^-7 + 0.*I, 1.682004091563272*^-7 + 0.*I, 8.905187698360352*^-9 + 0.*I, 2.1740387268209818*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.2535562995804153 + 0.*I, 0.19901724883479854 + 0.*I, 0.2043722554403882 + 0.*I, 0.22285744355861062 + 0.*I, 0.024265990514193984 + 0.*I, 0.001052707502813277 + 0.*I, 0.0000247803324082696 + 0.*I, 3.672947945787542*^-7 + 0.*I, 3.7069902703024135*^-9 + 0.*I, 1.6304069205830276*^-9 + 0.*I, 3.9731196110892604*^-8 + 0.*I, 4.5086578914776975*^-7 + 0.*I, 1.196157595195757*^-6 + 0.*I, 2.651153208077517*^-6 + 0.*I, 7.687119829569156*^-7 + 0.*I, 1.8361818732159918*^-7 + 0.*I, 1.0102785275023507*^-8 + 0.*I, 2.5621726962299363*^-10 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.25887715808998735 + 0.*I, 0.18046872686521276 + 0.*I, 0.18608665267558777 + 0.*I, 0.22640879951001394 + 0.*I, 0.025667603152612628 + 0.*I, 0.0011542654370089167 + 0.*I, 0.00002812824020370641 + 0.*I, 4.3135741645272674*^-7 + 0.*I, 4.502997974498158*^-9 + 0.*I, 1.9098056469601943*^-9 + 0.*I, 4.4976800062102036*^-8 + 0.*I, 4.912775963816784*^-7 + 0.*I, 1.231205204454966*^-6 + 0.*I, 2.7726293927443635*^-6 + 0.*I, 7.913670163617326*^-7 + 0.*I, 2.0006079015644218*^-7 + 0.*I, 1.1434408975219414*^-8 + 0.*I, 3.002043058586424*^-10 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.2641040056885924 + 0.*I, 0.16208953970420215 + 0.*I, 0.16797425736800878 + 0.*I, 0.22980743815741445 + 0.*I, 0.027116056253206903 + 0.*I, 0.0012634259776156398 + 0.*I, 0.000031856889814996237 + 0.*I, 5.051953966273004*^-7 + 0.*I, 5.451616935658876*^-9 + 0.*I, 2.230993167984252*^-9 + 0.*I, 5.079840992294749*^-8 + 0.*I, 5.343025799575686*^-7 + 0.*I, 1.2641383939637763*^-6 + 0.*I, 2.8951010033750894*^-6 + 0.*I, 8.126843864530997*^-7 + 0.*I, 2.1756518808757622*^-7 + 0.*I, 1.2911605118404168*^-8 + 0.*I, 3.5120795160992207*^-10 + 0.*I, 4.596323321948148*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.2692307467470068 + 0.*I, 0.1438956560033899 + 0.*I, 0.1500505230750182 + 0.*I, 0.23304749275980804 + 0.*I, 0.028611206352402444 + 0.*I, 0.0013805823698032074 + 0.*I, 0.00003600140041637445 + 0.*I, 5.900901989264186*^-7 + 0.*I, 6.579603528678037*^-9 + 0.*I, 2.598810056042567*^-9 + 0.*I, 5.7244986528814934*^-8 + 0.*I, 5.800284030854641*^-7 + 0.*I, 1.2946695937543495*^-6 + 0.*I, 3.018289396194973*^-6 + 0.*I, 8.32480595569507*^-7 + 0.*I, 2.3616659738934234*^-7 + 0.*I, 1.454700804259801*^-8 + 0.*I, 4.096056827052053*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.2742513858009943 + 0.*I, 0.12590278726019033 + 0.*I, 0.13233061018098627 + 0.*I, 0.2361233034738009 + 0.*I, 0.03015282757661275 + 0.*I, 0.0015061369524005386 + 0.*I, 0.00004059934499700546 + 0.*I, 6.874637970000208*^-7 + 0.*I, 7.916001187879829*^-9 + 0.*I, 3.019584582375501*^-9 + 0.*I, 6.437039790085919*^-8 + 0.*I, 6.285398201910652*^-7 + 0.*I, 1.3225027961638605*^-6 + 0.*I, 3.141903004433289*^-6 + 0.*I, 8.505673942948989*^-7 + 0.*I, 2.5589941277104344*^-7 + 0.*I, 1.6354384513306286*^-8 + 0.*I, 4.765965400110872*^-10 + 0.*I, 7.194245199571015*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.2791600338117872 + 0.*I, 0.10812637186798925 + 0.*I, 0.11482936982341041 + 0.*I, 0.2390294252841985 + 0.*I, 0.03174061036901321 + 0.*I, 0.0016405007680075911 + 0.*I, 0.00004569086318184645 + 0.*I, 7.98891619524511*^-7 + 0.*I, 9.496003983144874*^-9 + 0.*I, 3.4986014085802712*^-9 + 0.*I, 7.222960007879921*^-8 + 0.*I, 6.799179885774721*^-7 + 0.*I, 1.3473330007229833*^-6 + 0.*I, 3.2656369830519347*^-6 + 0.*I, 8.667510043025572*^-7 + 0.*I, 2.7679600833607765*^-7 + 0.*I, 1.8346790753298592*^-8 + 0.*I, 5.526024082769254*^-10 + 0.*I, 8.593126210598712*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.28395091430160063 + 0.*I, 0.09058155952261783 + 0.*I, 0.09756132824179087 + 0.*I, 0.24176063562137975 + 0.*I, 0.03337416035540386 + 0.*I, 0.0017840931390011863 + 0.*I, 0.00005131876938957448 + 0.*I, 9.261140077043706*^-7 + 0.*I, 1.1357803586520276*^-8 + 0.*I, 4.043809731513193*^-9 + 0.*I, 8.088281155949063*^-8 + 0.*I, 7.342409791277761*^-7 + 0.*I, 1.3688500111186388*^-6 + 0.*I, 3.389174185741695*^-6 + 0.*I, 8.808340057342435*^-7 + 0.*I, 2.9888880259676403*^-7 + 0.*I, 2.0540391609813472*^-8 + 0.*I, 6.393996443421203*^-10 + 0.*I, 1.0391687510491465*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
