{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.09281272873020718 + 0.*I, 0.7179361076117942 + 0.*I, 0.7184381102661953 + 0.*I, 0.0898650020529912 + 0.*I, 0.0024174177789992868 + 0.*I, 0.000028123209405706007 + 0.*I, 1.8227761522382482*^-7 + 0.*I, 7.526201883933936*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.6998850084255543*^-11 + 0.*I, 7.641798305257909*^-9 + 0.*I, 1.9119339444984007*^-7 + 0.*I, 4.892821980906349*^-7 + 0.*I, 2.725724090879567*^-7 + 0.*I, 1.7472401303564314*^-8 + 0.*I, 3.40394379350073*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.09808370281600975 + 0.*I, 0.7016477834878021 + 0.*I, 0.7022105990375894 + 0.*I, 0.09476701457098448 + 0.*I, 0.002719939750184253 + 0.*I, 0.00003369944758802035 + 0.*I, 2.3247239688828358*^-7 + 0.*I, 1.021405182655144*^-9 + 0.*I, 2.997602166487923*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.298606163885779*^-11 + 0.*I, 9.13200626229127*^-9 + 0.*I, 2.1325561316842823*^-7 + 0.*I, 5.477359954486617*^-7 + 0.*I, 3.0396059003123815*^-7 + 0.*I, 2.087658934613046*^-8 + 0.*I, 4.3400838478646625*^-10 + 0.*I, 4.39648317751562*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.10344278190199674 + 0.*I, 0.6850511355583899 + 0.*I, 0.685679627403002 + 0.*I, 0.09972524412360519 + 0.*I, 0.00304859559761006 + 0.*I, 0.000040154668212721845 + 0.*I, 2.9429141346071225*^-7 + 0.*I, 1.3733902903823039*^-9 + 0.*I, 4.596323321948148*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 9.239276010930553*^-11 + 0.*I, 1.0850209619661655*^-8 + 0.*I, 2.3687038996911272*^-7 + 0.*I, 6.10711994863955*^-7 + 0.*I, 3.3754439243693923*^-7 + 0.*I, 2.4801183329259405*^-8 + 0.*I, 5.48605605388275*^-10 + 0.*I, 5.995204332975846*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.10888384963958497 + 0.*I, 0.6681620932357913 + 0.*I, 0.6688612874302003 + 0.*I, 0.10473209395240879 + 0.*I, 0.0034045966763818214 + 0.*I, 0.00004759303420254213 + 0.*I, 3.6994440844040366*^-7 + 0.*I, 1.8304024962390033*^-9 + 0.*I, 5.995204332975846*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1559642132397131*^-10 + 0.*I, 1.2821788075711993*^-8 + 0.*I, 2.620546002418678*^-7 + 0.*I, 6.783382050512543*^-7 + 0.*I, 3.7334519920051434*^-7 + 0.*I, 2.9304403348362488*^-8 + 0.*I, 6.884048886490746*^-10 + 0.*I, 7.59392548843607*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.11440069531059027 + 0.*I, 0.6509968329504013 + 0.*I, 0.6517719081169826 + 0.*I, 0.10977988246778647 + 0.*I, 0.003789146267596522 + 0.*I, 0.00005612700280099858 + 0.*I, 4.619753912749048*^-7 + 0.*I, 2.419597855407574*^-9 + 0.*I, 8.393286066166183*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.4419576643831533*^-10 + 0.*I, 1.5074808068504808*^-8 + 0.*I, 2.888187911054274*^-7 + 0.*I, 7.507302057785382*^-7 + 0.*I, 4.1137460105034057*^-7 + 0.*I, 3.4448799368647094*^-8 + 0.*I, 8.584022381796785*^-10 + 0.*I, 1.0014211682118914*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.11998702080540102 + 0.*I, 0.6335717601415825 + 0.*I, 0.6344280363326016 + 0.*I, 0.11486085417660163 + 0.*I, 0.0042034363211929104 + 0.*I, 0.00006587763079490827 + 0.*I, 5.732972097050038*^-7 + 0.*I, 3.173594720351503*^-9 + 0.*I, 1.1790568521519164*^-11 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 1.7841284005726268*^-10 + 0.*I, 1.7637602489628534*^-8 + 0.*I, 3.17164783325552*^-7 + 0.*I, 8.279910035380311*^-7 + 0.*I, 4.516319984659845*^-7 + 0.*I, 4.030020761547348*^-8 + 0.*I, 1.0632161817625274*^-9 + 0.*I, 1.3211653993039363*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.12563644768539553 + 0.*I, 0.6159034910228068 + 0.*I, 0.6168464175423827 + 0.*I, 0.11996719071640793 + 0.*I, 0.004648644192406516 + 0.*I, 0.00007697487198754517 + 0.*I, 7.072328056523247*^-7 + 0.*I, 4.132005848589415*^-9 + 0.*I, 1.6187051699034782*^-11 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.198019544152885*^-10 + 0.*I, 2.054161285514056*^-8 + 0.*I, 3.470862042220801*^-7 + 0.*I, 9.102091969026561*^-7 + 0.*I, 4.941042019979136*^-7 + 0.*I, 4.6929193864286844*^-8 + 0.*I, 1.3095968753873424*^-9 + 0.*I, 1.7208456881689926*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.13134252432940308 + 0.*I, 0.5980088341408064 + 0.*I, 0.5990439763369881 + 0.*I, 0.12509102196640587 + 0.*I, 0.005125929378402283 + 0.*I, 0.00008955786239273068 + 0.*I, 8.67557603534408*^-7 + 0.*I, 5.342593034640687*^-9 + 0.*I, 2.2004620348070603*^-11 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 2.6940671915554054*^-10 + 0.*I, 2.3819812788872244*^-8 + 0.*I, 3.785675994905091*^-7 + 0.*I, 9.97459004281609*^-7 + 0.*I, 5.387664092637579*^-7 + 0.*I, 5.440961015068524*^-8 + 0.*I, 1.6038059769130086*^-9 + 0.*I, 2.240430063693566*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.13709873315661536 + 0.*I, 0.5799047717566008 + 0.*I, 0.5810377967900182 + 0.*I, 0.1302244372312078 + 0.*I, 0.0056364302596145785 + 0.*I, 0.00010377519099602496 + 0.*I, 1.0585456067246925*^-6 + 0.*I, 6.861800017077257*^-9 + 0.*I, 3.022027073029676*^-11 + 0.*I, 4.418687638008124*^-12 + 0.*I, 3.282041305396888*^-10 + 0.*I, 2.750619731983761*^-8 + 0.*I, 4.1158458863321817*^-7 + 0.*I, 1.0897992008818136*^-6 + 0.*I, 5.855790075059986*^-7 + 0.*I, 6.281979381128622*^-8 + 0.*I, 1.9533930029069783*^-9 + 0.*I, 2.899902540320909*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.1428984979098047 + 0.*I, 0.56160844106381 + 0.*I, 0.5628451026718162 + 0.*I, 0.13535949647318637 + 0.*I, 0.006181260852189396 + 0.*I, 0.00011978515661592583 + 0.*I, 1.285016804075667*^-6 + 0.*I, 8.75721717363831*^-9 + 0.*I, 4.04121180963557*^-11 + 0.*I, 5.617728504603293*^-12 + 0.*I, 3.975930695787611*^-10 + 0.*I, 3.1636804287416*^-8 + 0.*I, 4.461031988256537*^-7 + 0.*I, 1.1872711924709736*^-6 + 0.*I, 6.344887948372957*^-7 + 0.*I, 7.224238984804289*^-8 + 0.*I, 2.3669954885008337*^-9 + 0.*I, 3.679279103607769*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.14873519099740662 + 0.*I, 0.5431371152752053 + 0.*I, 0.5444832375442133 + 0.*I, 0.14048824158001685 + 0.*I, 0.006761507580410609 + 0.*I, 0.0001377560097992614 + 0.*I, 1.5523898166946992*^-6 + 0.*I, 1.1109202446846211*^-8 + 0.*I, 5.4001247917767614*^-11 + 0.*I, 7.194245199571015*^-12 + 0.*I, 4.792166663492026*^-10 + 0.*I, 3.6250402679627314*^-8 + 0.*I, 4.82079398622659*^-7 + 0.*I, 1.2899002088673228*^-6 + 0.*I, 6.854289802404879*^-7 + 0.*I, 8.276319629629826*^-8 + 0.*I, 2.8540059204829053*^-9 + 0.*I, 4.68070027181966*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.15460214088660607 + 0.*I, 0.5245081845928201 + 0.*I, 0.5259696447581952 + 0.*I, 0.14560270765120456 + 0.*I, 0.007378226070398064 + 0.*I, 0.00015786617379998094 + 0.*I, 1.8667353884893603*^-6 + 0.*I, 1.4011991567031147*^-8 + 0.*I, 7.16093850883226*^-11 + 0.*I, 8.79296635503124*^-12 + 0.*I, 5.752065490582936*^-10 + 0.*I, 4.138660525399018*^-8 + 0.*I, 5.194591867763165*^-7 + 0.*I, 1.3976918011859851*^-6 + 0.*I, 7.383168076913194*^-7 + 0.*I, 9.447260751471732*^-8 + 0.*I, 3.4253933023364884*^-9 + 0.*I, 5.899725152858082*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.1604926395273987 + 0.*I, 0.5057391370905995 + 0.*I, 0.5073218473875986 + 0.*I, 0.1506949342875874 + 0.*I, 0.008032437979799134 + 0.*I, 0.00018030445221306482 + 0.*I, 2.2348343842182317*^-6 + 0.*I, 1.7577406197233362*^-8 + 0.*I, 9.479084184249587*^-11 + 0.*I, 1.0591527654923993*^-11 + 0.*I, 6.875833236108521*^-10 + 0.*I, 4.7087200805151503*^-8 + 0.*I, 5.581785922359472*^-7 + 0.*I, 1.5106339956716397*^-6 + 0.*I, 7.930557988089504*^-7 + 0.*I, 1.0746479262024879*^-7 + 0.*I, 4.093214656109012*^-9 + 0.*I, 7.440714711037799*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.16639994981659803 + 0.*I, 0.48684753952981114 + 0.*I, 0.48855742811479974 + 0.*I, 0.1557569768640077 + 0.*I, 0.008725127855413461 + 0.*I, 0.00020527021240557275 + 0.*I, 2.6642372086271853*^-6 + 0.*I, 2.1934010163704446*^-8 + 0.*I, 1.2361223156176493*^-10 + 0.*I, 1.3211653993039363*^-11 + 0.*I, 8.175904397944578*^-10 + 0.*I, 5.3394400012507504*^-8 + 0.*I, 5.981607875682471*^-7 + 0.*I, 1.6286948123500622*^-6 + 0.*I, 8.495314007817002*^-7 + 0.*I, 1.218370071498498*^-7 + 0.*I, 4.8696158216898774*^-9 + 0.*I, 9.27924403981706*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.1723173130746103 + 0.*I, 0.46785101812838464 + 0.*I, 0.469694009103594 + 0.*I, 0.1607809177768038 + 0.*I, 0.009457240042798354 + 0.*I, 0.0002329735520056886 + 0.*I, 3.163328599065096*^-6 + 0.*I, 2.723339331822672*^-8 + 0.*I, 1.6080470288670767*^-10 + 0.*I, 1.6187051699034782*^-11 + 0.*I, 9.687806112879116*^-10 + 0.*I, 6.035418831373818*^-8 + 0.*I, 6.39320596462767*^-7 + 0.*I, 1.7518218042855695*^-6 + 0.*I, 9.076153828502243*^-7 + 0.*I, 1.3769041462552423*^-7 + 0.*I, 5.769806854516446*^-9 + 0.*I, 1.1499690089067371*^-10 + 0.*I, 1.021405182655144*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.17823795654019484 + 0.*I, 0.44876723931439605 + 0.*I, 0.4507492318770013 + 0.*I, 0.16575887764020972 + 0.*I, 0.010229675640194282 + 0.*I, 0.000263635439790022 + 0.*I, 3.7413931952556827*^-6 + 0.*I, 3.365139278344032*^-8 + 0.*I, 2.0781154574933683*^-10 + 0.*I, 1.9584334154387765*^-11 + 0.*I, 1.1431966484565237*^-9 + 0.*I, 6.801239571530004*^-8 + 0.*I, 6.815603859067211*^-7 + 0.*I, 1.8799426015903013*^-6 + 0.*I, 9.671618173001664*^-7 + 0.*I, 1.5512939821604732*^-7 + 0.*I, 6.809797170603815*^-9 + 0.*I, 1.4219736499399005*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.18415510086720044 + 0.*I, 0.42961389047799786 + 0.*I, 0.43174073723020184 + 0.*I, 0.17068302642178068 + 0.*I, 0.011043289506806886 + 0.*I, 0.0002974878375860968 + 0.*I, 4.408685816414959*^-6 + 0.*I, 4.1390602056878834*^-8 + 0.*I, 2.667865928174251*^-10 + 0.*I, 2.4003021792395888*^-11 + 0.*I, 1.3442136292951545*^-9 + 0.*I, 7.641660637602855*^-8 + 0.*I, 7.24770798932184*^-7 + 0.*I, 2.012962807551588*^-6 + 0.*I, 1.0280087892056147*^-6 + 0.*I, 1.742617827815707*^-7 + 0.*I, 8.006795226833674*^-9 + 0.*I, 1.7481571745747717*^-10 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.1900619676161952 + 0.*I, 0.4104086607525925 + 0.*I, 0.412686145202601 + 0.*I, 0.17554559450099208 + 0.*I, 0.011898887334216292 + 0.*I, 0.0003347737939973783 + 0.*I, 5.176504203063815*^-6 + 0.*I, 5.0685389219040644*^-8 + 0.*I, 3.408162640994306*^-10 + 0.*I, 2.9198865547641623*^-11 + 0.*I, 1.574385066760442*^-9 + 0.*I, 8.561638065174293*^-8 + 0.*I, 7.688319980658778*^-7 + 0.*I, 2.1507666037035023*^-6 + 0.*I, 1.089978196588959*^-6 + 0.*I, 1.951978134684396*^-7 + 0.*I, 9.38000788153204*^-9 + 0.*I, 2.140065902267452*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.19595178673159633 + 0.*I, 0.3911692218414142 + 0.*I, 0.3936030351338049 + 0.*I, 0.1803388836314035 + 0.*I, 0.012797222783000883 + 0.*I, 0.00037574751619029456 + 0.*I, 6.0572640014910925*^-6 + 0.*I, 6.180480571771341*^-8 + 0.*I, 4.331868197482436*^-10 + 0.*I, 3.5216274341109965*^-11 + 0.*I, 1.8375967414385743*^-9 + 0.*I, 9.566221148560318*^-8 + 0.*I, 8.136123996749234*^-7 + 0.*I, 2.293216411208832*^-6 + 0.*I, 1.1528745957889443*^-6 + 0.*I, 2.180511993188361*^-7 + 0.*I, 1.0950818030153188*^-8 + 0.*I, 2.6059154834001674*^-10 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.20181780399859406 + 0.*I, 0.3719132089195831 + 0.*I, 0.37450892582879813 + 0.*I, 0.18505527779260067 + 0.*I, 0.013738994692791273 + 0.*I, 0.00042067441461401955 + 0.*I, 7.064577411952656*^-6 + 0.*I, 7.50569828511516*^-8 + 0.*I, 5.475842002056197*^-10 + 0.*I, 4.2388315080188477*^-11 + 0.*I, 2.1378010472972164*^-9 + 0.*I, 1.0660541338580744*^-7 + 0.*I, 8.589688071936052*^-7 + 0.*I, 2.440151997129547*^-6 + 0.*I, 1.216486200661393*^-6 + 0.*I, 2.4293720368717686*^-7 + 0.*I, 1.2741807609017997*^-8 + 0.*I, 3.162137218737371*^-10 + 0.*I, 4.39648317751562*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.2076532884661919 + 0.*I, 0.35265820162779793 + 0.*I, 0.35542125585941164 + 0.*I, 0.18968725391819152 + 0.*I, 0.014724844368396718 + 0.*I, 0.0004698311196094096 + 0.*I, 8.213336410989314*^-6 + 0.*I, 9.079381690924039*^-8 + 0.*I, 6.890044090823721*^-10 + 0.*I, 5.098144129078719*^-11 + 0.*I, 2.47881715154108*^-9 + 0.*I, 1.1849861092372295*^-7 + 0.*I, 9.047458116029361*^-7 + 0.*I, 2.591390407813421*^-6 + 0.*I, 1.280583594720497*^-6 + 0.*I, 2.699735990319141*^-7 + 0.*I, 1.4777801204957088*^-8 + 0.*I, 3.8180569816859133*^-10 + 0.*I, 5.395683899678261*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.21345153983121093 + 0.*I, 0.33342170518559927 + 0.*I, 0.33635736402160005 + 0.*I, 0.19422739248238233 + 0.*I, 0.01575535295339492 + 0.*I, 0.0005235054725938326 + 0.*I, 9.519794996748487*^-6 + 0.*I, 1.0941620942617193*^-7 + 0.*I, 8.631984016460593*^-10 + 0.*I, 6.119549311733864*^-11 + 0.*I, 2.8651969685711265*^-9 + 0.*I, 1.3139538346251814*^-7 + 0.*I, 9.507777898321024*^-7 + 0.*I, 2.746726202040861*^-6 + 0.*I, 1.3449220181982469*^-6 + 0.*I, 2.992798009415765*^-7 + 0.*I, 1.708599928207377*^-8 + 0.*I, 4.5941028758988983*^-10 + 0.*I, 6.794564910705959*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.2192058957737997 + 0.*I, 0.3142211316399912 + 0.*I, 0.31733446998039044 + 0.*I, 0.19866838793038968 + 0.*I, 0.016831038887010763 + 0.*I, 0.0005819964868036821 + 0.*I, 0.00001100165858414215 + 0.*I, 1.3137999577139683*^-7 + 0.*I, 1.0768053115839395*^-9 + 0.*I, 7.278622149442526*^-11 + 0.*I, 3.302402795668513*^-9 + 0.*I, 1.453503983839255*^-7 + 0.*I, 9.968873948551506*^-7 + 0.*I, 2.9059307904422127*^-6 + 0.*I, 1.4092398137321993*^-6 + 0.*I, 3.309772012016765*^-7 + 0.*I, 1.9695600705915698*^-8 + 0.*I, 5.510036871214652*^-10 + 0.*I, 8.79296635503124*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.22490973923678936 + 0.*I, 0.29507378128261763 + 0.*I, 0.298369655117603 + 0.*I, 0.2030030589364129 + 0.*I, 0.017952355460604256 + 0.*I, 0.0006456142791932962 + 0.*I, 0.000012678172001123757 + 0.*I, 1.5720060808632755*^-7 + 0.*I, 1.337618904528881*^-9 + 0.*I, 8.639755577632967*^-11 + 0.*I, 3.795208591839128*^-9 + 0.*I, 1.6041821204737516*^-7 + 0.*I, 1.0428852004196187*^-6 + 0.*I, 3.068752801871355*^-6 + 0.*I, 1.473257982276266*^-6 + 0.*I, 3.6518761348247603*^-7 + 0.*I, 2.2638202423763687*^-8 + 0.*I, 6.586065026681354*^-10 + 0.*I, 1.119104808822158*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.2305565056386127 + 0.*I, 0.2759968242441957 + 0.*I, 0.2794798436144053 + 0.*I, 0.2072243584785971 + 0.*I, 0.019119688468394184 + 0.*I, 0.000714679971403065 + 0.*I, 0.00001457021379103196 + 0.*I, 1.8746018071169604*^-7 + 0.*I, 1.6544099423754235*^-9 + 0.*I, 1.0238476733093194*^-10 + 0.*I, 4.348787996377723*^-9 + 0.*I, 1.7665380269704656*^-7 + 0.*I, 1.0885718104702848*^-6 + 0.*I, 3.2349175893564563*^-6 + 0.*I, 1.5366822037066188*^-6 + 0.*I, 4.02033206725605*^-7 + 0.*I, 2.594779946463177*^-8 + 0.*I, 7.837952509248681*^-10 + 0.*I, 1.3611334281904419*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.236139690010595 + 0.*I, 0.2570072822962067 + 0.*I, 0.2606817837897957 + 0.*I, 0.21132538371579912 + 0.*I, 0.020333353966983662 + 0.*I, 0.0007895255631940046 + 0.*I, 0.000016700391602952894 + 0.*I, 2.2281660960743468*^-7 + 0.*I, 2.03919103825001*^-9 + 0.*I, 1.20614629395277*^-10 + 0.*I, 4.970202027720917*^-9 + 0.*I, 1.9411359186705113*^-7 + 0.*I, 1.1337367933350606*^-6 + 0.*I, 3.40412817934066*^-6 + 0.*I, 1.5992035917733462*^-6 + 0.*I, 4.416381926830582*^-7 + 0.*I, 2.9661006983872088*^-8 + 0.*I, 9.305889392408062*^-10 + 0.*I, 1.6986412276764898*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.24165285405721715 + 0.*I, 0.23812201088220242 + 0.*I, 0.2419920297104028 + 0.*I, 0.2152993856437968 + 0.*I, 0.021593596139002358 + 0.*I, 0.000870493768800884 + 0.*I, 0.000019093137182402135 + 0.*I, 2.6400659436376367*^-7 + 0.*I, 2.5031976491618484*^-9 + 0.*I, 1.4179768470512502*^-10 + 0.*I, 5.665401481280696*^-9 + 0.*I, 2.1285240237034486*^-7 + 0.*I, 1.1781585929071525*^-6 + 0.*I, 3.576064799837298*^-6 + 0.*I, 1.6604952080001567*^-6 + 0.*I, 4.841240075492692*^-7 + 0.*I, 3.3816416333820605*^-8 + 0.*I, 1.1005862887714102*^-9 + 0.*I, 2.0805579481475437*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.24708963312081172 + 0.*I, 0.21935768139100809 + 0.*I, 0.2234269231089936 + 0.*I, 0.21913977853340597 + 0.*I, 0.022900585274010513 + 0.*I, 0.0009579378284163554 + 0.*I, 0.00002177480920018127 + 0.*I, 3.1185918292209186*^-7 + 0.*I, 3.0617952617717492*^-9 + 0.*I, 1.6600054664195343*^-10 + 0.*I, 6.4414029665726966*^-9 + 0.*I, 2.3292661133211825*^-7 + 0.*I, 1.2216061939795966*^-6 + 0.*I, 3.750385002554424*^-6 + 0.*I, 1.72021799027533*^-6 + 0.*I, 5.296131977416962*^-7 + 0.*I, 3.845719298567474*^-8 + 0.*I, 1.2980061470102557*^-9 + 0.*I, 2.560174294785611*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.25244374305279926 + 0.*I, 0.20073076370441537 + 0.*I, 0.205002575618396 + 0.*I, 0.22284014912079542 + 0.*I, 0.024254415864000123 + 0.*I, 0.0010522212816166387 + 0.*I, 0.000024773793794174995 + 0.*I, 3.673003901027983*^-7 + 0.*I, 3.731992492816971*^-9 + 0.*I, 1.9380053117856733*^-10 + 0.*I, 7.306000249229783*^-9 + 0.*I, 2.5439039763597293*^-7 + 0.*I, 1.2638382118623783*^-6 + 0.*I, 3.9267246121355015*^-6 + 0.*I, 1.7780166006176046*^-6 + 0.*I, 5.782262002540507*^-7 + 0.*I, 4.362739058905163*^-8 + 0.*I, 1.5260015473472777*^-9 + 0.*I, 3.1019631308026874*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.2577089869745919 + 0.*I, 0.182257509026984 + 0.*I, 0.1867348513547862 + 0.*I, 0.22639426554880163 + 0.*I, 0.025655104822597252 + 0.*I, 0.0011537177110110266 + 0.*I, 0.000028120608597248523 + 0.*I, 4.3136418881317695*^-7 + 0.*I, 4.533395880912394*^-9 + 0.*I, 2.2539747845939928*^-10 + 0.*I, 8.266409778912022*^-9 + 0.*I, 2.7729920581975875*^-7 + 0.*I, 1.304603802765314*^-6 + 0.*I, 4.104698381190986*^-6 + 0.*I, 1.8335231999344614*^-6 + 0.*I, 6.30082608310545*^-7 + 0.*I, 4.937499298307557*^-8 + 0.*I, 1.7890133818809772*^-9 + 0.*I, 3.7614356074300304*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.2628792619288057 + 0.*I, 0.16395393302979236 + 0.*I, 0.16863934986179885 + 0.*I, 0.22979608604019044 + 0.*I, 0.027102589829586243 + 0.*I, 0.0012628104528067396 + 0.*I, 0.0000318480090077955 + 0.*I, 5.052041895936554*^-7 + 0.*I, 5.488609566839386*^-9 + 0.*I, 2.6139090891774686*^-10 + 0.*I, 9.332201678091678*^-9 + 0.*I, 3.017069927224725*^-7 + 0.*I, 1.34364399606568*^-6 + 0.*I, 4.283898591417312*^-6 + 0.*I, 1.8863562045723372*^-6 + 0.*I, 6.852989953287648*^-7 + 0.*I, 5.575120365364228*^-8 + 0.*I, 2.0913937248678853*^-9 + 0.*I, 4.560796185160144*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.2679485654073943 + 0.*I, 0.1458357993175952 + 0.*I, 0.1507313894448137 + 0.*I, 0.233039767293608 + 0.*I, 0.028596727804619526 + 0.*I, 0.001379892273201122 + 0.*I, 0.00003599109459351269 + 0.*I, 5.901013899745068*^-7 + 0.*I, 6.6244121299519065*^-9 + 0.*I, 3.0178082255361005*^-10 + 0.*I, 1.0511591597150984*^-8 + 0.*I, 3.2766580559950853*^-7 + 0.*I, 1.3806904064495031*^-6 + 0.*I, 4.463898783946263*^-6 + 0.*I, 1.9361219960600806*^-6 + 0.*I, 7.439894034177996*^-7 + 0.*I, 6.281040132449789*^-8 + 0.*I, 2.4384050334447242*^-9 + 0.*I, 5.5000448639930255*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.272911001751619 + 0.*I, 0.127918603245214 + 0.*I, 0.13302599090658784 + 0.*I, 0.23611967258920785 + 0.*I, 0.030137293513599065 + 0.*I, 0.0015053650121998887 + 0.*I, 0.000040587418403958964 + 0.*I, 6.874782076948805*^-7 + 0.*I, 7.970180071481538*^-9 + 0.*I, 3.4738878440521153*^-10 + 0.*I, 1.1814194067483187*^-8 + 0.*I, 3.5522820240885267*^-7 + 0.*I, 1.4154673877442294*^-6 + 0.*I, 4.644251005991862*^-6 + 0.*I, 1.9824154096070856*^-6 + 0.*I, 8.062645884265863*^-7 + 0.*I, 7.060938500558223*^-8 + 0.*I, 2.8353985825901877*^-9 + 0.*I, 6.601386104421181*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
