{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.01196129415399483 + 0.*I, 0.9640678908663824 + 0.*I, 0.9640757816205882 + 0.*I, 0.011917099373182083 + 0.*I, 0.00003625511999505449 + 0.*I, 4.8869397417661276*^-8 + 0.*I, 3.7014835641002726*^-11 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.3788969965844446*^-11 + 0.*I, 3.213385113554068*^-9 + 0.*I, 7.851403902027395*^-9 + 0.*I, 4.592815017190333*^-9 + 0.*I, 3.1596947280831955*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.014203768449982945 + 0.*I, 0.9573220868015931 + 0.*I, 0.9573332295149896 + 0.*I, 0.014141288302194077 + 0.*I, 0.00005125509821013452 + 0.*I, 8.22615975337726*^-8 + 0.*I, 7.400746682151293*^-11 + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.3203661214665772*^-11 + 0.*I, 4.530198438601474*^-9 + 0.*I, 1.108140142147556*^-8 + 0.*I, 6.474620839469481*^-9 + 0.*I, 5.300204719560498*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.016630023250407966 + 0.*I, 0.9500188856796045 + 0.*I, 0.9500341840259942 + 0.*I, 0.01654413397420562 + 0.*I, 0.00007045800320959472 + 0.*I, 1.3278478316891554*^-7 + 0.*I, 1.403988036940973*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.7192471324942744*^-11 + 0.*I, 6.208611402769293*^-9 + 0.*I, 1.520539666399813*^-8 + 0.*I, 8.873013435106714*^-9 + 0.*I, 8.539835505416705*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I}
{0.019237291798002154 + 0.*I, 0.9421654885390041 + 0.*I, 0.9421859942513989 + 0.*I, 0.019122010797412162 + 0.*I, 0.00009456821639108881 + 0.*I, 2.068163862389838*^-7 + 0.*I, 2.535971432848783*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.7798210661985656*^-11 + 0.*I, 8.306200172114588*^-9 + 0.*I, 2.0368598474540725*^-8 + 0.*I, 1.1869794036556415*^-8 + 0.*I, 1.3280487820566125*^-10 + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.022022600910798218 + 0.*I, 0.9337696337395897 + 0.*I, 0.9337965556236005 + 0.*I, 0.021871027782194297 + 0.*I, 0.0001243384510019041 + 0.*I, 3.123512115621452*^-7 + 0.*I, 4.402034292638746*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 8.741896095898483*^-11 + 0.*I, 1.0883005607809082*^-8 + 0.*I, 2.672440047035707*^-8 + 0.*I, 1.5551004928227033*^-8 + 0.*I, 2.005950960892733*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.7763568394002507*^-13 + 0.*I}
{0.024982774368798037 + 0.*I, 0.9248395881678029 + 0.*I, 0.9248743004869998 + 0.*I, 0.02478703411641359 + 0.*I, 0.0001605679496030632 + 0.*I, 4.5924459790569477*^-7 + 0.*I, 7.368106125227313*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.2858603071208566*^-10 + 0.*I, 1.4001599879520656*^-8 + 0.*I, 3.443319518403644*^-8 + 0.*I, 2.0005397338707098*^-8 + 0.*I, 2.948086219589641*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I}
{0.02811443652939172 + 0.*I, 0.9153841378497952 + 0.*I, 0.9154281880348059 + 0.*I, 0.027865625109813053 + 0.*I, 0.00020410056538189283 + 0.*I, 6.59472387809501*^-7 + 0.*I, 1.195199494929966*^-9 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.8458568007417853*^-10 + 0.*I, 1.7726597967282487*^-8 + 0.*I, 4.3663003768124135*^-8 + 0.*I, 2.532578591285528*^-8 + 0.*I, 4.2301717684267725*^-10 + 0.*I, 2.19824158875781*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.03141401616779672 + 0.*I, 0.9054125779772049 + 0.*I, 0.9054676936261831 + 0.*I, 0.0311021485032148 + 0.*I, 0.0002558227278015579 + 0.*I, 9.273994017178212*^-7 + 0.*I, 1.8854029448789333*^-9 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.5939250747342157*^-10 + 0.*I, 2.212419136782274*^-8 + 0.*I, 5.4587601105993144*^-8 + 0.*I, 3.16054071802796*^-8 + 0.*I, 5.939915226349514*^-10 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.7763568394002507*^-13 + 0.*I}
{0.034877750538808705 + 0.*I, 0.894934702361394 + 0.*I, 0.8950027974941933 + 0.*I, 0.03449171112959171 + 0.*I, 0.00031666130340113346 + 0.*I, 1.2800645876609451*^-6 + 0.*I, 2.9001911983073114*^-9 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.570033157984654*^-10 + 0.*I, 2.7261393142907767*^-8 + 0.*I, 6.738560404118146*^-8 + 0.*I, 3.8940384250452105*^-8 + 0.*I, 8.18212164688248*^-10 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 6.217248937900878*^-13 + 0.*I}
{0.038501689653203115 + 0.*I, 0.8839607923310179 + 0.*I, 0.8840439728630134 + 0.*I, 0.03802918592099581 + 0.*I, 0.0003875813489928604 + 0.*I, 1.7374768068734172*^-6 + 0.*I, 4.364597572248385*^-9 + 0.*I, 6.417089082333406*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 4.839906253550907*^-10 + 0.*I, 3.320719255128779*^-8 + 0.*I, 8.224059627748315*^-8 + 0.*I, 4.742859438522373*^-8 + 0.*I, 1.1088019391536365*^-9 + 0.*I, 7.793765632868599*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.217248937900878*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.04228170076960858 + 0.*I, 0.8725016050848078 + 0.*I, 0.872602173481596 + 0.*I, 0.0417092192424029 + 0.*I, 0.00046958376358485765 + 0.*I, 2.322915415575722*^-6 + 0.*I, 6.436806643250748*^-9 + 0.*I, 1.0813572259849026*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 6.463940493972586*^-10 + 0.*I, 4.0029601855451347*^-8 + 0.*I, 9.933880246171256*^-8 + 0.*I, 5.716640494313197*^-8 + 0.*I, 1.4799939052068112*^-9 + 0.*I, 1.1612932837579136*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.046213473084599783 + 0.*I, 0.8605683615119819 + 0.*I, 0.8606888206037944 + 0.*I, 0.045526238555604344 + 0.*I, 0.0005637028462013305 + 0.*I, 3.06324838827976*^-6 + 0.*I, 9.321010630003457*^-9 + 0.*I, 1.7608137170554983*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 8.509859483751825*^-10 + 0.*I, 4.779681095357091*^-8 + 0.*I, 1.1886920198156403*^-7 + 0.*I, 6.825058296300314*^-8 + 0.*I, 1.9479973190072997*^-9 + 0.*I, 1.7208456881689926*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.05029252262780392 + 0.*I, 0.8481727334980205 + 0.*I, 0.8483157894176198 + 0.*I, 0.04947446038980897 + 0.*I, 0.0006710037605994757 + 0.*I, 3.989252617131456*^-6 + 0.*I, 1.3275203158968907*^-8 + 0.*I, 2.7799984536613923*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.8191672047105385*^-12 + 0.*I, 1.106403857420446*^-9 + 0.*I, 5.657598833863632*^-8 + 0.*I, 1.410225977660496*^-7 + 0.*I, 8.077678526063893*^-8 + 0.*I, 2.5326185593144146*^-9 + 0.*I, 2.4802382370126*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.7763568394002507*^-13 + 0.*I}
{0.05451419734900931 + 0.*I, 0.8353268307333961 + 0.*I, 0.8354953949510024 + 0.*I, 0.05354789861200527 + 0.*I, 0.0007925799126118349 + 0.*I, 5.135942182654674*^-6 + 0.*I, 1.8620593955631648*^-8 + 0.*I, 4.278799536905353*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.795364188543318*^-12 + 0.*I, 1.4221956945448255*^-9 + 0.*I, 6.643341432521767*^-8 + 0.*I, 1.659896012307094*^-7 + 0.*I, 9.483800411658196*^-8 + 0.*I, 3.2542191163997818*^-9 + 0.*I, 3.4994229736184934*^-11 + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I}
{0.05887368239338997 + 0.*I, 0.8220431870366031 + 0.*I, 0.8222403774700071 + 0.*I, 0.05774037298680313 + 0.*I, 0.0009295502455985982 + 0.*I, 6.542904995576749*^-6 + 0.*I, 2.5754998134175366*^-8 + 0.*I, 6.419309528382656*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.793765632868599*^-12 + 0.*I, 1.8075985153132026*^-9 + 0.*I, 7.743281571492844*^-8 + 0.*I, 1.939608001988447*^-7 + 0.*I, 1.1052501136532554*^-7 + 0.*I, 4.136579967450871*^-9 + 0.*I, 4.82058837292243*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.06336600555441052 + 0.*I, 0.8083347462106039 + 0.*I, 0.8085638873855939 + 0.*I, 0.062045518009612444 + 0.*I, 0.0010830564622033023 + 0.*I, 8.254642391847256*^-6 + 0.*I, 3.516680280313267*^-8 + 0.*I, 9.519052213136092*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.0791367799356522*^-11 + 0.*I, 2.2760016094025563*^-9 + 0.*I, 8.963680908635753*^-8 + 0.*I, 2.2512500474913824*^-7 + 0.*I, 1.2792580328380157*^-7 + 0.*I, 5.207190234557402*^-9 + 0.*I, 6.579181643928678*^-11 + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.06798604290778609 + 0.*I, 0.7942148474540112 + 0.*I, 0.7944794696927994 + 0.*I, 0.06645679200061316 + 0.*I, 0.0012542601674159215 + 0.*I, 0.00001032091159203219 + 0.*I, 4.7448400763983045*^-8 + 0.*I, 1.389999226830696*^-10 + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.4788170688007085*^-11 + 0.*I, 2.8394175899393304*^-9 + 0.*I, 1.0310419185088905*^-7 + 0.*I, 2.5966859773518536*^-7 + 0.*I, 1.4712280282935808*^-7 + 0.*I, 6.495981530463269*^-9 + 0.*I, 8.919531779838508*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.07272852460940005 + 0.*I, 0.7796972103381927 + 0.*I, 0.7800010479596111 + 0.*I, 0.07096748644999097 + 0.*I, 0.0014443399522168223 + 0.*I, 0.000012797070403358647 + 0.*I, 6.331399848846787*^-8 + 0.*I, 1.9959589536711064*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.978417429882029*^-11 + 0.*I, 3.5127900588349807*^-9 + 0.*I, 1.1789080822666166*^-7 + 0.*I, 2.977742025178643*^-7 + 0.*I, 1.6819459158767813*^-7 + 0.*I, 8.035194731803585*^-9 + 0.*I, 1.1879386363489175*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I}
{0.07758804085240546 + 0.*I, 0.7647959193733956 + 0.*I, 0.7651429078890049 + 0.*I, 0.0755707355954094 + 0.*I, 0.0016544884109848115 + 0.*I, 0.000015744425385655347 + 0.*I, 8.361840109216702*^-8 + 0.*I, 2.827960088325199*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.600142323672117*^-11 + 0.*I, 4.311395684908348*^-9 + 0.*I, 1.34047994926334*^-7 + 0.*I, 3.396195991101081*^-7 + 0.*I, 1.9121340066874384*^-7 + 0.*I, 9.86080106457621*^-9 + 0.*I, 1.5660805985362458*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 4.218847493575595*^-13 + 0.*I}
{0.08255904798180058 + 0.*I, 0.7495254081814063 + 0.*I, 0.7499196804725994 + 0.*I, 0.08025952622499055 + 0.*I, 0.0018859091098111236 + 0.*I, 0.00001923057719732668 + 0.*I, 1.093789947503865*^-7 + 0.*I, 3.961941885677334*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.4217073618947325*^-11 + 0.*I, 5.2529980365534365*^-9 + 0.*I, 1.51623580357807*^-7 + 0.*I, 3.8537719682096855*^-7 + 0.*I, 2.1624499968453395*^-7 + 0.*I, 1.2013390282561433*^-8 + 0.*I, 2.0479173912235638*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.0876358747526007 + 0.*I, 0.7339004432967978 + 0.*I, 0.7343463247601933 + 0.*I, 0.08502670767940312 + 0.*I, 0.002139813497814558 + 0.*I, 0.000023329765785895518 + 0.*I, 1.4179559748583872*^-7 + 0.*I, 5.49404965966005*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 4.480860127387132*^-11 + 0.*I, 6.356604131951827*^-9 + 0.*I, 1.7066019708522617*^-7 + 0.*I, 4.352119997719228*^-7 + 0.*I, 2.433482082508931*^-7 + 0.*I, 1.4535195269615999*^-8 + 0.*I, 2.6558755195082995*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
