t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14,mx_15
0.13,-0.9950935426858306,0.18025128318545913,-0.19809198841699208,-0.9870005432223842,-0.999886488070977,-0.9999656925027212,-0.9999519548465128,-0.999931146268754,-0.9999322423619595,-0.9999615591974456,-0.9999579617392689,-0.9998176850947093,-0.9718542345567609,0.9494579497174711,-0.9776838687797172,-0.9999455468872649
0.14,-0.9955712705020868,0.1961145178016351,-0.2149910188152755,-0.9855399754336303,-0.9998823822235916,-0.9999610197770153,-0.9999844334581215,-0.9999803352707851,-0.9999838358902874,-0.9999841934127146,-0.9999557257945397,-0.9997837496569587,-0.968306944969846,0.9440469053708628,-0.9758153895773369,-0.9999121935808502
0.15,-0.9962118269162205,0.20988752709316455,-0.22960228966441965,-0.9840141624034832,-0.9998731656357253,-0.9999507318409397,-0.9999594247319502,-0.9999855172652791,-0.9999827360388458,-0.999947940648974,-0.999958461605715,-0.9998087284455858,-0.9647923517483268,0.9388995553178886,-0.9742551140910283,-0.9999157128328503
0.16,-0.9969721318069328,0.22115493170866177,-0.24166703108707444,-0.9825547370492194,-0.9998292762930693,-0.9999546811387676,-0.9999405639004978,-0.9999369382679313,-0.99993346579243,-0.9999451338241628,-0.9999461750044019,-0.9996826362510765,-0.9612327330122782,0.9341015135063913,-0.973036916601331,-0.9999465957995285
0.17,-0.9977199034975099,0.22963200469977316,-0.250764303806776,-0.9811290677788819,-0.9998429263660951,-0.9999654555863949,-0.9999683400259923,-0.9999462621757057,-0.9999502420284815,-0.9999768589236752,-0.9999634155264223,-0.9996870462696187,-0.9578517173108029,0.9297283359059548,-0.9720834263802592,-0.9998932881468148
0.18,-0.9985021069131365,0.23493013637148968,-0.256805411616233,-0.9797218863896375,-0.9997807837767969,-0.999956325664821,-0.9999750628205993,-0.999989919997147,-0.9999922042976342,-0.9999648733988911,-0.9999636380830603,-0.9996300676519644,-0.9545063364729611,0.925843197890253,-0.9716393877911929,-0.9999749940670858
0.19,-0.9991032668049465,0.23701244728792034,-0.2595501964679393,-0.9783785763121198,-0.9997738682389541,-0.9999482059244875,-0.9999497757820627,-0.9999686321031356,-0.9999630185794802,-0.9999447687486271,-0.9999337772037314,-0.9995474258221893,-0.9513581894234872,0.9225015194923439,-0.9714132758089636,-0.9998859002817537
0.2,-0.9996331300291957,0.2356171454786528,-0.25903110871745,-0.9771182720369705,-0.999761287200314,-0.9999627780631476,-0.999951587651727,-0.9999333313514026,-0.9999322347046975,-0.9999629278273716,-0.9999628142624831,-0.9995112738585786,-0.9484211788145129,0.9197398505342648,-0.9717683597114751,-0.9999848519289796
0.21,-0.9998847124291635,0.2309270838804865,-0.25526072895721746,-0.9758734495118128,-0.9996887097689062,-0.9999601747815335,-0.9999720296448188,-0.9999633570887462,-0.9999696108184505,-0.9999699041307892,-0.9999733324566382,-0.9994331208578754,-0.9456444278810086,0.9175892254847279,-0.9723203690630057,-0.9998951712547979
0.22,-0.9999775100434529,0.22290711314695838,-0.2483553558266491,-0.9747590190842627,-0.9996994972060679,-0.9999482442881982,-0.9999652937798132,-0.9999883766584486,-0.9999871597160545,-0.9999538347097805,-0.9999259359955931,-0.9993872184321976,-0.9432230892153819,0.9160601311160697,-0.9734065312654806,-0.9999716863812504
