t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14,Cxx_1_15
0.15,-0.022898707633132835,0.9959329355462375,-0.948983211953187,-0.02263061232381368,2.152555054370231e-05,-7.258555038990033e-05,-9.718364915424493e-05,-8.117777652065505e-05,-6.231644744547626e-05,-4.2807545899276045e-05,-1.5607781910481622e-05,1.43879417837528e-05,-3.390704312981885e-06,1.728150946814916e-05,-3.2668141687383634e-05,-3.273691367995657e-05
0.16,-0.026307603554353853,0.9948484662479515,-0.9416426023325762,-0.025649426920128407,-0.00024706209775776644,-0.000204287191490779,-0.00013337626823251014,-8.686328732401827e-05,-6.710147384085541e-05,-5.9935224601515014e-05,-4.823382043543656e-05,-6.457951315430588e-06,-9.089548650920154e-06,2.217562131913431e-05,-3.635481549491004e-05,-3.6287180378846706e-05
0.17,-0.029872188901324523,0.993568458204852,-0.9336619740516016,-0.028915747838363065,-0.000559925100063266,-0.00019022668613311033,-5.8770839577018674e-05,-1.8044220889329443e-05,-1.4412384078413276e-05,-2.7600510972822234e-05,-4.6894181594078765e-05,-3.202367211632695e-05,-3.1435754939093674e-05,2.8208094859941135e-05,-2.7996719128217662e-05,-2.780318283103489e-05
0.18,-0.033533930238653434,0.9920616333274156,-0.9250511709872868,-0.0324030099947796,-0.0006965703362846326,-3.7413270258315756e-05,5.1553421913319575e-05,5.216902268861956e-05,4.012906900859037e-05,2.23193389482651e-05,-1.1091850968286687e-05,-4.1598284362814875e-05,-5.934943929605807e-05,3.544164195558308e-05,-1.0253951932603922e-05,-9.965560486907554e-06
0.19,-0.037284068576623,0.9902996367410885,-0.9158143476319125,-0.03605381151012593,-0.000594185914151904,0.00010254194440571796,7.605079470528187e-05,4.244361739530467e-05,3.3639572187924016e-05,3.563860589970991e-05,2.4496266014126244e-05,-2.8825570329987782e-05,-7.688555219940996e-05,4.378951519652674e-05,9.5057821270228e-06,9.846239147834335e-06
0.2,-0.04115655978006416,0.988262524641591,-0.9059271087574489,-0.03984516584668754,-0.0004034798243454235,8.173430322699904e-05,-2.126510296034112e-05,-4.439073178420794e-05,-3.287668672731503e-05,-6.137449467272238e-06,2.3007278569339706e-05,-6.608383963963016e-06,-7.554092815141578e-05,5.3124464370418734e-05,2.1872569293895916e-05,2.2239374293409053e-05
0.21,-0.04520147320587474,0.9859414042509338,-0.8953557219757978,-0.04380549371077956,-0.00035714525090983773,-9.092437814951781e-05,-0.0001444446025187507,-0.00011770039488051554,-9.015719065917638e-05,-6.227373759545851e-05,-1.6760101958140927e-05,5.148483524120007e-06,-6.203497993999274e-05,6.345765262262548e-05,1.970688615970939e-05,2.016179685457309e-05
0.22,-0.049455392152341834,0.9833368530022536,-0.8841017454421669,-0.04796571572786573,-0.0005710565814330271,-0.00025189188255170247,-0.00016303881016838107,-9.559400791536721e-05,-7.423270672590743e-05,-7.345618221257788e-05,-5.709765386580079e-05,-2.664394758183919e-06,-5.432786045661553e-05,7.502484508550844e-05,2.106092768350276e-06,2.884067223901665e-06
0.23,-0.05392384585113602,0.9804533106546715,-0.8722308522904805,-0.05229930220889634,-0.0009533969205019477,-0.00024426226939158746,-5.359114664560405e-05,1.4805288054975385e-06,3.8273287084056307e-07,-2.6087355866261097e-05,-5.842404220912645e-05,-2.1756220307866947e-05,-6.78947523345963e-05,8.818271967661606e-05,-2.4399376493011715e-05,-2.2859376350825578e-05
0.24,-0.05858170341026367,0.9772912584863072,-0.8598535668680085,-0.05672222886903597,-0.001293138795706722,-7.658752003047997e-05,6.932235999027037e-05,6.744422178470155e-05,5.217098136209297e-05,3.0317247256744784e-05,-1.9538315694234143e-05,-3.616033784809014e-05,-0.00010299360234689026,0.0001031638482894004,-4.851891349993975e-05,-4.5671760376508885e-05
0.25,-0.06338693096073703,0.9738400875660391,-0.8470615711728489,-0.0611645597928375,-0.0014406951394699274,8.255633796092066e-05,7.147430427845158e-05,2.5197573331414702e-05,2.077494169228089e-05,3.425294493730746e-05,2.0486397178470783e-05,-3.736171197049609e-05,-0.00014362256458766431,0.00011989712152210563,-5.95416588362041e-05,-5.495925427603798e-05
0.26,-0.06829705842514897,0.9700749890977506,-0.8338600519719382,-0.06564801625674008,-0.0014235147934281711,7.060322086677173e-05,-5.679237940861559e-05,-8.553304919770022e-05,-6.435138790272799e-05,-2.1654512558838546e-05,2.1073206313892978e-05,-3.001768828386764e-05,-0.00016962960897665136,0.0001380585850831728,-5.2513877917548246e-05,-4.613294190872197e-05
0.27,-0.073278890258517,0.9659601382450818,-0.820146954712329,-0.07028596764327205,-0.001408682157882979,-0.00010765480908286884,-0.00018578972192054288,-0.0001471117833317659,-0.00011277086239314116,-8.078331302815989e-05,-1.9375649780162263e-05,-2.441068747352504e-05,-0.0001727300266261833,0.00015738019146327442,-3.067009320015246e-05,-2.289262816954074e-05
0.28,-0.0783086082785934,0.9614581176621301,-0.8057638979282903,-0.07518805984395438,-0.0015594854024595373,-0.0002843171097181574,-0.0001809588056203293,-9.141051226049801e-05,-7.092600696811946e-05,-8.118628382269844e-05,-6.177950041849622e-05,-2.5218102227858585e-05,-0.00016366244887838777,0.00017798084825412785,-4.141269413227011e-06,4.3333239511944566e-06
0.29,-0.08336601636515215,0.9565428053767366,-0.7905967655716271,-0.08034471894867792,-0.001912959893193289,-0.00029424135439096166,-4.6579830220522256e-05,2.2700982359402655e-05,1.702771268846659e-05,-2.1939128480918946e-05,-6.530133924015358e-05,-2.867784230664583e-05,-0.00016432191512941174,0.00020041934456088706,1.4329310427163566e-05,2.2935216390823632e-05
0.3,-0.08843028637734768,0.9512097871872278,-0.7746651005132872,-0.08559924610893327,-0.0023706723485441283,-0.00013742383174566997,7.515961816634276e-05,6.984507472024282e-05,5.4386191283423146e-05,3.406543861167455e-05,-2.8020112951054887e-05,-2.9975018228045602e-05,-0.00019054571698762235,0.00022533041997660486,1.492980988382353e-05,2.374483540121264e-05
0.31,-0.09348110607895185,0.9454788693634143,-0.7581410375573574,-0.09074917879594505,-0.002790886340609311,2.323710744420171e-05,5.249069780594029e-05,-5.6603359850360135e-06,-2.984254680593601e-06,2.605150505533005e-05,1.1667858712288703e-05,-3.0949182012074417e-05,-0.000239092362219806,0.0002528813415451081,-4.680720241539982e-06,5.375401432361482e-06
0.32,-0.09850425435665544,0.9393850920609406,-0.7412773801919724,-0.09570544172920589,-0.0030948786264644312,2.4177244809076015e-05,-9.596063575248448e-05,-0.0001266873800742918,-9.643517201352036e-05,-3.9598172907440166e-05,1.4015340225159711e-05,-3.8134776998266506e-05,-0.00028955606975628045,0.00028250694348094796,-3.7973861952367294e-05,-2.4835261118516527e-05
0.33,-0.10349554502831892,0.9329604059145895,-0.7242816629808464,-0.10057667322195055,-0.003309246614973893,-0.00014024592765826682,-0.00021912381205302367,-0.000164883033215657,-0.00012659053033203804,-9.552475564411633e-05,-2.2879598478853236e-05,-5.3024613579200075e-05,-0.00032009882891045893,0.0003132177953429627,-7.220735093968478e-05,-5.399205125850015e-05
0.34,-0.10845685699835897,0.9262140403484129,-0.7072095777726886,-0.1055960011011105,-0.0035312421969052044,-0.0003179366479778567,-0.00019132388699699687,-7.946687493010085e-05,-6.105710246800955e-05,-8.426942456396525e-05,-6.272670256535218e-05,-6.653950042789791e-05,-0.00032466977711839706,0.000344340965472284,-9.399861982906099e-05,-6.946732165247216e-05
0.35000000000000003,-0.11338328578163603,0.9191220544429939,-0.689942913883415,-0.11093424195466817,-0.003858763571067514,-0.0003513283997441663,-4.356890010520642e-05,3.775442042119881e-05,2.983436664788508e-05,-1.821095152271246e-05,-6.788786102790434e-05,-6.603940127936081e-05,-0.00031822947024143233,0.0003761707658483382,-9.520568670917662e-05,-6.454596067756446e-05
0.36,-0.11824819938095238,0.9116328282512713,-0.6722679811027281,-0.11654409319526465,-0.004334543825784354,-0.0002278848292643909,6.886225541147262e-05,5.9953487245578696e-05,4.7870240275305065e-05,3.3566010892049913e-05,-3.565518221382291e-05,-4.949525362635265e-05,-0.00032590199440649115,0.0004100034043868217,-7.661148405446738e-05,-4.1432442327182795e-05
0.37,-0.12299589795533777,0.9036884478540305,-0.6540128408190942,-0.12216730997282171,-0.004929115594717759,-8.490070384742365e-05,2.7595641017841288e-05,-3.924506537328343e-05,-2.822425752968538e-05,1.6631082122242624e-05,6.239756924486528e-07,-3.206656302018329e-05,-0.0003639655509693196,0.00044741842935761,-4.8052405017678934e-05,-1.0543835408827196e-05
0.38,-0.127549862246001,0.8952524914440843,-0.6351640095045001,-0.1275131890447218,-0.00556134312395451,-7.18144269811205e-05,-0.0001267367744217096,-0.00015684678439936706,-0.00011949431187191495,-5.264339574018173e-05,5.012597545983599e-06,-3.543267172367859e-05,-0.00042668276830179486,0.0004891294135589419,-2.471019006528019e-05,1.3730967091285518e-05
0.39,-0.1318353867227714,0.8863309214972483,-0.6158948730672135,-0.13247727304493856,-0.006143883167117059,-0.00020884773514051602,-0.0002375034613807947,-0.00016938102920782683,-0.00012999347324127442,-0.00010364828415437843,-2.617487953909814e-05,-6.679791980879202e-05,-0.0004893857184881667,0.0005341681852231717,-2.0573462597872627e-05,1.9438631309265375e-05
0.4,-0.1358063008264408,0.8769742778565592,-0.5964884987759136,-0.13722802557552305,-0.006635953204551737,-0.00037636108028066273,-0.00019441002904757587,-6.437690569660592e-05,-4.894318944725917e-05,-8.453410440040221e-05,-6.202942961697211e-05,-0.00010764940190033379,-0.0005266125890164841,0.0005801706973664333,-4.174021724784316e-05,2.884325252749953e-06
