t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14,W_1_15
0.25,0.21964492566027027,,1.981295834372672,0.47644523389513804,0.2224693145049577,0.18516196600369564,0.18209715035903512,0.1820541471923851,0.18204916430723544,0.18205474827151444,0.18205295699853366,0.1819336822402271,0.17115815831297593,0.16743610545645365,0.1784594742112766,0.18204154200982234
0.26,0.22165019733508845,,1.6972694203456378,0.4004384883596525,0.20180017412792906,0.16782561044767416,0.16427953021332242,0.1642017313883076,0.16418667143370383,0.16416736710649235,0.1641481938476448,0.1640207130643682,0.15423339269974431,0.1512756008645834,0.16132426893886967,0.164167370840102
0.27,0.22398749017021374,,1.393509795969696,0.3118481406311219,0.17660160789718873,0.1488524054556616,0.14510128812526263,0.14491774536787566,0.14490921737693926,0.1449088280717092,0.14491984017465157,0.14480180758208164,0.1361655862562312,0.13391307333969293,0.14276514419103342,0.14490641444807692
0.28,0.22529670251683087,,1.0780003260263946,0.21542875612391924,0.14816018554603994,0.1288990577901343,0.1252636995353095,0.12495204579147463,0.12495959956613514,0.12497601489437847,0.12498671190397227,0.12488181952885677,0.11753352472685791,0.11591994942475677,0.12345966242471394,0.1249736515972936
0.29,0.2243396033260697,,1.1717845859443812,0.15370989691439807,0.1171585591215756,0.10820944793697566,0.10514766341086099,0.10480893611211292,0.10480513695445,0.1047987113411102,0.10477983815177255,0.10469455665772207,0.09872500702681337,0.09767536773157834,0.10382308000896821,0.1048036290568749
0.3,0.2200910851225658,,1.4837175795564788,0.21210586888514135,0.08599824531451447,0.08759875673681418,0.0854823517576881,0.08514907245873998,0.08512736719584385,0.08511309893275971,0.0851123477717026,0.08505760306280537,0.080446235399891,0.07981496261085358,0.08454270405109249,0.0850998650210302
0.31,0.21199883263708713,,1.782705510288729,0.26505401617608854,0.07955020327726174,0.0676159377103874,0.06668409484966398,0.06632861013395688,0.06630704359289175,0.06631612043724998,0.06633197396165204,0.06626813564339154,0.06298506251505055,0.06271139564858971,0.06608553184067077,0.06632968953450492
0.32,0.1997655200123406,,2.0610915172050133,0.30937424402276315,0.0740174095834985,0.04930671224314467,0.049373803955485136,0.04907208580997135,0.049049127040369775,0.04905925406870902,0.04905169845952153,0.049034834290925866,0.04699541472756568,0.04693645216068859,0.04901611314614143,0.04905337697432949
0.33,0.18371955813985086,,2.3114048206846616,0.34205947532146497,0.06878504597527524,0.03554605991301222,0.033942440722152904,0.03379821053179303,0.03375994849911697,0.03375010387344233,0.033742583535751866,0.033748939617767454,0.03278257892748277,0.03286260373302525,0.03384112524587215,0.033761574953042446
0.34,0.16433427524529634,,2.527335073941975,0.3612739916184221,0.0632555654236546,0.024148899931261403,0.020840449787121088,0.020845085468534544,0.020803112208865517,0.02079751419186635,0.020806453729424253,0.02080275806178751,0.020744119578585945,0.020902713438834354,0.020904904544259126,0.02077906273210822
0.35000000000000003,0.14268870867170738,,2.7028128680408434,0.3657822947883306,0.05718065509216122,0.015247310935278369,0.010700665632111956,0.01058218993228776,0.010558038103127772,0.010565852573100694,0.010568455069639004,0.010606455103723924,0.011270478121417186,0.011411815177435588,0.010711632386461226,0.010589469078820704
0.36,0.11980843989721068,,2.8333605563413053,0.3555710154883165,0.0503239441554297,0.008795218894449423,0.0035749673083056623,0.003271627260965517,0.0032602915950530323,0.003259943245075215,0.003258825096609141,0.0033001401103820633,0.004455863694711606,0.0046012536627330096,0.003343995750935813,0.003255242173404563
0.37,0.09721218614322723,,2.9149477104550847,0.33159928724428345,0.04347831004489748,0.006717885186118623,0.0013274084001145812,0.0008103420599134163,0.0008131801906283126,0.0008147093621706758,0.0008152437072851491,0.0007636826297053904,0.000680781960077645,0.0007716239256406258,0.0007745712714812944,0.0008157856377034699
0.38,0.07616330610533832,,2.945362648373182,0.2955124648662618,0.037677473206610246,0.0073918793856649345,0.0024064112315776223,0.0017865641264995106,0.001779779708272674,0.00177511554327919,0.0017748036503681178,0.0017265870856481055,0.00015637996633992442,0.00012073715726542901,0.0017878445762948324,0.0017782194500627901
0.39,0.05827546892992028,,2.923174078399578,0.25025649502497127,0.027845105545795085,0.005379780272797659,0.0012897195852896966,0.0006036211800573346,0.0005800233921094247,0.0005818096242457269,0.0005932079217007053,0.0006446947275494399,0.0021422100868291223,0.002153427195963278,0.0005369891528554742,0.0005979998424072362
0.4,0.044747390168521466,,2.8487814593369714,0.19875046442908315,0.021627779561692713,0.009372590800896554,0.006713418227732085,0.006087480882131406,0.00603515389099467,0.006036101697179495,0.006035232298721636,0.006106437349036487,0.007406784126047951,0.007330645894708016,0.005920524725488104,0.006037447471537745
0.41000000000000003,0.0369679276671021,,2.72370435042749,0.14493117149727125,0.017370050919129906,0.01601645385593381,0.015103527111568362,0.014603846860944493,0.01451885675699577,0.01451759409805172,0.01450440473526228,0.01452689382066179,0.015556136445872483,0.015428711282197919,0.01430466006106823,0.014493163557008658
0.42,0.03579082074435987,,2.551125465526778,0.0923227115963767,0.036157657792733174,0.026239541609020076,0.026060497858912263,0.025732497828470022,0.025647308674887688,0.02564219729339922,0.025658439914920114,0.025703411872752668,0.026374623440761535,0.026122350857031882,0.0253801700722252,0.02567126472047152
0.43,0.04540727902770209,,2.33550576549634,0.06542670003224428,0.060909562196694814,0.041861324225141605,0.039346796680894934,0.03928206392461961,0.03921167790021535,0.039211725208711676,0.03922158744208074,0.039262668645737325,0.039563189230415956,0.039154834150058174,0.0387623190075354,0.03920484332858655
0.44,0.06427777297970323,,2.0826336830949095,0.13272028919766432,0.08531434531714452,0.05930050121394679,0.05497879669553549,0.05490992244749928,0.054843386432403156,0.054844392744741136,0.05482045775585734,0.05482131466434664,0.05479649458567714,0.05416780118942285,0.05418155169767315,0.05484225271063133
0.45,0.07768070909315664,,1.7994709946689527,0.19272211587702137,0.10836092452647735,0.07789023894606475,0.07245057141503679,0.07203234419334292,0.07198528610254737,0.07196831726542655,0.07197664883074621,0.07199158491884895,0.07165610632442374,0.07069431477114624,0.07098925880140432,0.07194903460261601
0.46,0.10638793216775576,,1.4938245224079314,0.24274358271021085,0.12896811967320748,0.09700774514698803,0.09104266821916566,0.0902852547918121,0.09029305406857324,0.09027370698673726,0.09029519608837458,0.09028944406738279,0.0897148988822949,0.0883814967326114,0.08895984061269882,0.0903091259883443
0.47000000000000003,0.14111815836022035,,1.1743086542285464,0.28110852652575485,0.14655058468598167,0.1159143499509712,0.11012545965196345,0.10918842966443772,0.10917884814830695,0.10918175118616984,0.10915938974693828,0.10915856614380208,0.10846263018090559,0.10661232234826504,0.10733476171694271,0.10916289794783143
0.48,0.18029686160746028,,1.1305777028325938,0.3072479277856448,0.16104022300318938,0.13436541009898334,0.12936070125466279,0.12837498325735822,0.12829734889638109,0.12829304709759282,0.12828734547586612,0.12825149099262648,0.1274791278369287,0.12507295871589522,0.12587903216243687,0.1282688283749463
0.49,0.22191778374452362,,1.452172314575138,0.32113297843480004,0.17216003930196516,0.1516613518668188,0.14798248245107934,0.1470493051650008,0.14692527812039569,0.14690044564898505,0.14692094922234566,0.14689650011743435,0.1461451198560074,0.14311543729410617,0.14391014648835046,0.14692367199322107
