t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
1.5,1.1532341791098255,,1.3940267251701235,0.8271564456084445,0.40284958243875935,0.37489745252115403,0.36401583707329455,0.2667660303653079,0.22794265207718276,0.22664477916846254,0.22286708430545063,0.22308482697887388,0.22280733308903364,0.2227344805419391
1.6,1.0796572890244702,,1.5593023770203303,1.0060532739338623,0.5899020063337193,0.2259115141853028,0.2074627681099848,0.18557568438067365,0.13018681106194577,0.1273836964762887,0.12292211710378545,0.122604624989263,0.12262774299015852,0.12266255372710229
1.7000000000000002,0.897681459498058,,1.767305124537669,1.0995353826184124,0.6897010106919066,0.34268067422511694,0.09036897421312617,0.10842034441357871,0.07835473597135939,0.05782342190567619,0.05640632985857418,0.05534094317884999,0.05519376433728357,0.05519028079702476
1.8,0.6548645008229386,,2.0038702648663866,1.0988728164899222,0.6693069064844095,0.40127823270051177,0.17060154850200882,0.02993371155426629,0.0525434664713585,0.025473794638824983,0.024723646358756447,0.022331262581557383,0.02193154318113092,0.021813741279247355
1.9000000000000001,0.4134111784710694,,2.2290646913647354,0.9978890298309505,0.5239083950543622,0.35606223895660266,0.2301194862995103,0.08360569191184176,0.042175412535680044,0.03340240384403204,0.023748710751853263,0.02157037527624434,0.02139594111512272,0.021466802784073497
2.0,0.2313025305088282,,2.383508700802983,0.8058106553433897,0.29409192638135095,0.21529710419070636,0.22479200239480812,0.16382806148187806,0.06419294191938293,0.06909426051359427,0.052731527682997416,0.0533982446966718,0.052534293343269874,0.05239669090556293
2.1,0.1548592607343809,,2.4069450533734593,0.5615540055416853,0.2643897111277308,0.23228990326759108,0.15490471341713966,0.21612426690192918,0.1620072030994586,0.12193984340993298,0.11558134124326608,0.11258527651109485,0.11163642927498728,0.1113848309908476
2.2,0.21810992944762048,,2.2630791744860597,0.3258342917920166,0.5547100704459994,0.49567564083338495,0.3322109968957875,0.22268182843579543,0.26150040995371343,0.19989295388139353,0.2016008941288295,0.1931230288126075,0.19188575831260246,0.19209001891817554
2.3000000000000003,0.43737160042514434,,1.9579740516485695,0.5387748131131982,0.7300582267988796,0.6527565969832767,0.5336879882861681,0.37167802334932665,0.3332178249724726,0.3179342637749818,0.2957267910040516,0.2860462840069523,0.28547768297723947,0.28538278922120136
2.4000000000000004,0.7956822533117435,,1.5407415396776718,0.7483134791020488,0.7666310597308581,0.6735454704952568,0.6292192287060168,0.5493666262107983,0.3990741007079838,0.4279830114440878,0.3850708448814107,0.38424543205548034,0.3823404763892908,0.3817099490576282
2.5,1.226774288266224,,1.0854222064881132,0.8505140196927676,0.6959276576111183,0.5965605150819192,0.6172548880783817,0.6487937822162908,0.5630627202827416,0.5105169670810611,0.4854891064027531,0.47982252916451423,0.4747974949568843,0.47448417036407137
2.6,1.6188246426097883,,0.8890051122845977,0.8635458526851354,0.5870189342164007,0.6681484315500703,0.5987640420833915,0.6619173014601084,0.6903744017427291,0.5641475779806843,0.5869559019272421,0.5683131361775258,0.5623338341510633,0.5619026417265796
2.7,1.85017138438878,,1.1913063743058847,0.8248729789264123,0.8488724535656652,0.9001190786948703,0.8244577556500926,0.6773699444169445,0.7550871713043324,0.6972335961098753,0.6774944464476699,0.6492411544617568,0.6442857982801404,0.6437126901060958
2.8000000000000003,1.8450609519978176,,1.4074915811436186,0.7693042201185961,1.0408405038225168,1.0425756520320328,0.9770967848001806,0.8672174960641114,0.7519928791219631,0.8085644437333543,0.7423999615487459,0.7156726422908715,0.7149755546993652,0.7149804013365053
2.9000000000000004,1.6154583245346932,,1.501131865416591,0.8136232126628782,1.113221050995477,1.0629177264731824,1.0131241069799508,0.9747882498126389,0.8354950692060084,0.8585320107311616,0.7648536944369286,0.76810387647459,0.76266974723168,0.7619218185380455
3.0,1.2583049239840833,,1.4279996020757644,0.8530767393981712,1.034199467812259,0.9498463200179768,0.9208964664493262,0.9540642618406502,0.9216916241106162,0.8139095011561692,0.8001805854161279,0.7814574282041784,0.7675072097321565,0.7651216583711961
3.1,0.9058058071511713,,1.163890513171217,0.7612020912582949,0.811355412800182,0.7278505299126503,0.7195653539172782,0.7956890367106619,0.8764809646090735,0.7507608687478624,0.7749191736891402,0.7283347393947474,0.711067758320212,0.7088989967852076
3.2,0.6601672856302327,,1.1638414357661737,0.6265170491548131,0.7168760049186915,0.7492446726725368,0.7263836618573876,0.644693915056656,0.6898359237790839,0.7111549390414978,0.6617359488909467,0.6050455192294444,0.5922443518210808,0.591629631874774
3.3000000000000003,0.5545085930829701,,1.6494672637685943,0.55366600579988,0.7107541833764788,0.6727588055893564,0.6266851941056867,0.5748039693552353,0.45171369231577163,0.567258011369098,0.4673965180912779,0.43079844518993193,0.43001226395762515,0.4295458102910126
3.4000000000000004,0.5598591675758651,,2.054490104786732,0.4153781127910771,0.5951698819940359,0.49136476283112895,0.4297768530988455,0.4165741689109073,0.36722788423151703,0.33632076842246406,0.27504084896245334,0.26816708763462627,0.25585890521755394,0.25356948548934716
