t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13
0.0,-1.0000000000000002,7.498798913309866e-33,7.498798913308953e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.1,-0.9889548630424719,0.020512080777746675,-0.04024988507338163,-0.9897560130929138,-0.999474816324478,-0.9990983943054828,-0.9989132863175287,-0.9989370399905081,-0.9991846420961408,-0.9996025426619825,-0.9802371055353085,0.9606085766609456,-0.9785347452125107,-0.9980783167481027
0.2,-0.9590770064549486,0.07588233457396923,-0.1520101923669562,-0.961988857914741,-0.9982094154822674,-0.9977500744182378,-0.9975424315957152,-0.9975509597217507,-0.997852946008331,-0.9982335706877943,-0.9240638398651287,0.8483638394495245,-0.9220662762080195,-0.9956946296833089
0.30000000000000004,-0.917417185946433,0.15395947342073357,-0.3118478530998205,-0.9241638133483263,-0.9962578515189054,-0.9976204762074234,-0.9979540132961898,-0.9978694662478487,-0.9974690168230038,-0.9948065869353316,-0.8397367658888321,0.6795121222581834,-0.8444584449406924,-0.995269016429538
0.4,-0.8727974314957425,0.2457264735299512,-0.49051003573738466,-0.8857228195529705,-0.9930844732606167,-0.9984468976827898,-0.999195690391074,-0.9991057674691043,-0.9979995755208961,-0.9875737957233085,-0.7388676260225877,0.4763879890288804,-0.7549428210082865,-0.9926059381471917
0.5,-0.8375557654437021,0.34650413817837394,-0.6613838682351334,-0.8550677722413877,-0.9878490046357152,-0.9988375888054014,-0.9994321769082427,-0.9994511408311155,-0.9982108472928561,-0.9744864757373345,-0.6337779565415084,0.2621159743758688,-0.6627974424579718,-0.9858801960430045
0.6000000000000001,-0.8252969476229506,0.45272341735197497,-0.8050709733401684,-0.8373038350002314,-0.9800843337134285,-0.9981159286055192,-0.9987124149847784,-0.9987951301596149,-0.9970710771238606,-0.9538068438050835,-0.5351622879807102,0.05662156612597287,-0.5808627736507586,-0.9806621089802507
0.7000000000000001,-0.8424677216896765,0.5595896117739984,-0.9102780082164317,-0.8334295748353835,-0.9702108259693787,-0.9965788635897751,-0.9982184698607801,-0.9981781120362079,-0.9941931920924176,-0.9250183376241956,-0.4507111062389484,-0.1251964845439682,-0.5176816473952676,-0.9809076622342254
0.8,-0.883466842055968,0.6580146619777262,-0.9732223295488935,-0.8406292928284638,-0.9593302004750632,-0.9946839145690733,-0.998468889525394,-0.9981547713455535,-0.9895182682258737,-0.8890594410785528,-0.3843549259948816,-0.27411938761354127,-0.4743429059718457,-0.9837503468955143
0.9,-0.9339469089293525,0.7327199166428034,-0.9968280323696356,-0.8535874980857703,-0.9486629932968256,-0.9924467581621023,-0.9987564259890009,-0.9981018103818553,-0.9828031574352522,-0.8480916649897796,-0.3366974560537614,-0.38668129528157086,-0.45214914045048915,-0.9862756448767818
