t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,0.0,1.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.0003061804226941839,0.9999999710946309,-0.9993876584657098,-0.000306108774971965,-2.3430458348229445e-08,-7.966206904200246e-13,-1.54227759036063e-17,2.710505431213761e-20,2.710505431213761e-20,-1.427623210620288e-16,-5.67644482850696e-13,-3.053128527449357e-10,-1.9796788720046615e-12,3.078602078398097e-10
0.02,-0.0012239164200000406,0.9999995366812254,-0.9975524790344681,-0.0012227666270306153,-3.7454879464029946e-07,-5.0928113831151534e-11,-3.90280256029607e-15,-2.168404344971009e-19,5.421010862427522e-19,-5.439659139794273e-15,-6.263132265420246e-12,-2.7661294966802724e-09,-4.4791300294428835e-09,7.251528097614035e-09
0.03,-0.0027507222758373943,0.9999976502212375,-0.9945001130206628,-0.0027449216010415225,-1.8927442170554691e-06,-5.793796128625295e-10,-9.97249158252167e-14,-1.0191500421363742e-17,-2.47198095326695e-17,-5.6738034409642424e-14,-3.792801923224731e-11,-1.790476496081085e-08,-1.4068911158033465e-08,3.2011660847704876e-08
0.04,-0.00488238696405901,0.9999925568783974,-0.9902400693063539,-0.004864130951261401,-5.96640683482412e-06,-3.2488935014507447e-09,-9.94405946475041e-13,-2.498001805406602e-16,-2.1120258320017626e-16,-3.242774972156415e-13,-1.9997055920872864e-10,-6.868187921909089e-08,-1.7423120431646344e-08,8.630529470081416e-08
0.05,-0.00761301010019433,0.9999817778502595,-0.9847856058863187,-0.007568632445190397,-1.4517053488046806e-05,-1.235915322514436e-08,-5.913650645561486e-12,-1.7555401576885288e-15,-1.3574211199518516e-15,-1.4862278074900814e-12,-7.881593424782785e-10,-1.853349421467032e-07,-1.523243216457193e-09,1.8764783239581806e-07
0.06,-0.010934744742946822,0.9999620949844713,-0.9781541337473837,-0.010843204699218588,-2.997499660001811e-05,-3.6772950181424013e-08,-2.5361213996932808e-11,-1.1230599783473849e-14,-6.676083297296742e-15,-6.1850203778024415e-12,-2.7216023297874092e-09,-4.213979118905184e-07,8.371197017780635e-08,3.404137356721737e-07
0.07,-0.014838721597491139,0.9999294911239083,-0.970365442349812,-0.014669972555101522,-5.5262193243801536e-05,-9.234151863990459e-08,-8.668908126063801e-11,-5.214231824091087e-14,-2.9731425654766497e-14,-1.8313505226186244e-11,-6.269022686383741e-09,-7.97108534818583e-07,2.0653722514890616e-07,5.968586755614874e-07
0.08,-0.019313424307424616,0.9998791749246887,-0.9614445640445594,-0.019027243055466533,-9.373851434098072e-05,-2.0475150742590986e-07,-2.511923481718359e-10,-1.9709060772310494e-13,-1.0121070648239083e-13,-5.004092799854032e-11,-1.3951149811786134e-08,-1.396230817466565e-06,4.6391537514116343e-07,9.46316734662736e-07
0.09,-0.024346252556338203,0.9998054994289772,-0.9514188658508762,-0.023890790823838718,-0.00014917680405444889,-4.127519736326496e-07,-6.412586017745525e-10,-6.374501620998174e-13,-3.1146092649425583e-13,-1.2597127507785189e-10,-2.837672232781918e-08,-2.238077036980854e-06,8.032583425129219e-07,1.4633216995629805e-06
0.1,-0.029922541061290837,0.999701940495477,-0.9403196601326261,-0.029233255644997923,-0.00022571046402489886,-7.717096087572761e-07,-1.481110435685995e-09,-1.818722256130556e-12,-8.728885669828657e-13,-2.9129259074278657e-10,-5.3424966124648865e-08,-3.3656296999501345e-06,1.2179762068909028e-06,2.20137062479156e-06
0.11,-0.036025608845781994,0.9995610313630439,-0.92818190450293,-0.03502436962414813,-0.0003277877865436214,-1.357444208493347e-06,-3.1547399415021715e-09,-4.690973304244395e-12,-2.2351391570918366e-12,-6.297850053960108e-10,-9.446888542957721e-08,-4.85932445857748e-06,1.7764504950008864e-06,3.177974869199296e-06
0.12,-0.04263709628046214,0.9993743234843723,-0.915043478331423,-0.04123135546006062,-0.0004601168922847322,-2.270225172379403e-06,-6.283841572085613e-09,-1.1127553739553875e-11,-5.176237910520243e-12,-1.250137281888497e-09,-1.5838743329388283e-07,-6.8133311140923525e-06,2.5951246490803215e-06,4.377849211097129e-06
0.13,-0.04973661890915315,0.999132389524552,-0.9009457968608695,-0.04781873967845005,-0.0006275836754536662,-3.638546212582361e-06,-1.1829806478153015e-08,-2.4603968168390722e-11,-1.127334683936887e-11,-2.364684233147063e-09,-2.5509274042753716e-07,-9.250870560247731e-06,3.615116890984954e-06,5.893222364664746e-06
0.14,-0.05730275341307904,0.998824627240241,-0.8859316197764007,-0.054749371676873756,-0.0008352376119464197,-5.623488496579732e-06,-2.1222207970128526e-08,-5.123065860423992e-11,-2.3242331670392247e-11,-4.199447511954446e-09,-3.9094929475680384e-07,-1.2187709583680317e-05,4.781864299190086e-06,7.80101726293933e-06
