t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13
0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.028738190758221267,0.0,0.9991737084536969,0.028730997101103457,0.00041301011945199485,3.957258760126832e-06,2.8547314459241877e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.05740556789781729,0.0,0.9966981661547587,0.05734812433939918,0.001649342566545712,3.161516055494352e-05,4.5492150192566433e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.08593094248724324,0.0,0.9925833811455639,0.08573766757433447,0.003700689673585433,0.00010644233586848654,2.2957646205676087e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.11424355313058529,0.0,0.9868458763046843,0.11378717498489256,0.0065531937137502825,0.0002514166209876601,7.229117534045361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.14227176780741854,0.0,0.9795088869405647,0.14138489996202266,0.010187513469244338,0.0004888201979377919,1.7569171887444274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.16994380188582928,0.0,0.9706022549728498,0.1684208105692165,0.014578868108490224,0.0008399784308366889,3.623208656313477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.19718717892793639,0.0,0.9601624339286617,0.19478665824977454,0.01969711348463096,0.0013250536623705034,6.669161053769777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.22392969018926806,0.0,0.9482321816034693,0.2203770971150117,0.025507033289988806,0.0019627838246695163,0.00011291629035737596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.2500989779742911,0.0,0.9348605012674673,0.2450898170157804,0.031968079422882455,0.002770229376330034,0.0001793199144521357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
