t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
0.0,0.0,,3.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0001130890075136288,,2.999633247459994,0.0003237691809786941,8.4778547486411e-05,8.26400375050566e-06,8.26079640694977e-06,8.260301125372097e-06,8.260301106950577e-06,8.260301105644039e-06,8.260301008171163e-06,8.258917095540673e-06,8.257602185026674e-06,8.258986292605651e-06
0.02,0.0004533102505261611,,2.998533198535914,0.0012927556844415588,0.0003396413299262229,3.376391190642576e-05,3.3702419665473003e-05,3.369460108832398e-05,3.3694600062014034e-05,3.3694599980641984e-05,3.3694597735390935e-05,3.367398939684358e-05,3.365469073166451e-05,3.367530356103449e-05
0.03,0.001020563912837079,,2.996700577718516,0.002905749799417525,0.0007641454682560829,7.679258786842414e-05,7.647555192729306e-05,7.643612522337873e-05,7.643611414514699e-05,7.64361132223849e-05,7.643609295983163e-05,7.633087384501392e-05,7.623223572439606e-05,7.633749537154657e-05
0.04,0.001814611399861259,,2.9941366887097614,0.005160569349160529,0.0013575420606823897,0.00013785348551988334,0.00013685000666891476,0.00013672565077167318,0.0001367255847828874,0.00013672557964636812,0.0001367254696852569,0.00013638770000196445,0.0001360699712594151,0.00013640796092005022
0.05,0.0028353730666334466,,2.990843333537203,0.008053773218090171,0.002118940948650024,0.00021778129471547244,0.00021533311472332094,0.00021503022700520663,0.00021502996862830088,0.00021502994913171356,0.00021502953083287878,0.0002141944263998172,0.0002134066824100752,0.0002142426237316086
0.06,0.004082708724938061,,2.9868228954202123,0.011580918481485248,0.0030471772163788236,0.000317632325405536,0.00031256292251901377,0.00031193665778373516,0.00031193587704624417,0.0003119358189895422,0.0003119345616873686,0.00031018259113174435,0.00030852580827952993,0.00031028029462300754
0.07,0.0055556124818175855,,2.9820783545657736,0.015737839326284652,0.004140324518788173,0.0004382678083714535,0.0004288957287188773,0.00042773942865428167,0.0004277374506648759,0.0004277373044395383,0.00042773408559895575,0.0004244527880262344,0.0004213423634225198,0.0004246301026853278
0.08,0.0072548776588055135,,2.9766129423682397,0.02051681490994028,0.0053973193330843095,0.000581691928472704,0.0005657317635402227,0.0005637672240708016,0.0005637628109113605,0.0005637624855190403,0.0005637552436829003,0.000558100322238343,0.0005527284528167495,0.0005583978695373325
0.09,0.00918005833075815,,2.9704305615958466,0.02591088364033763,0.006816123885065385,0.00074952971915001,0.0007240116804509992,0.0007208796219306346,0.0007208706765464842,0.0007208700177043829,0.0007208551982152556,0.000711704989958676,0.0007029947706839079,0.0007121746477303081
0.1,0.011330781764631126,,2.96353564191391,0.031911936590469106,0.008394524948139423,0.0009436835325431023,0.0009048680984973149,0.0009001195342946647,0.0009001027204959938,0.0009001014821769385,0.0009000733167798782,0.0008859814577451898,0.0008725392319623919,0.0008866874914687144
0.11,0.01370655612730957,,2.9559329647391377,0.038511217005228,0.010130034329404687,0.0011662235887204807,0.0011095175742028647,0.001102605953297118,0.0011025762151381652,0.0011025740238244323,0.0011025235902265141,0.0010816718586062332,0.0010617391197461044,0.001082691869271965
0.12,0.016306536870343953,,2.947627917604766,0.04569947247890298,0.012019723470745175,0.0014192622573078644,0.0013391389544277486,0.0013294132654614664,0.001329363249275829,0.0013293595596212562,0.0013292735718080492,0.0012994183174113347,0.0012708162059960721,0.0013008437417272934
0.13,0.019130301344832616,,2.938626215053237,0.05346594087766751,0.014060733336439604,0.0017053561778694977,0.0015952745008633064,0.001581973354220025,0.001581892713064907,0.0015818867544191131,0.0015817461004084764,0.0015401632230133946,0.0015002367154466267,0.001542101488242137
0.14,0.02217778404136088,,2.928934575757455,0.06179793107694612,0.016250187717489574,0.002027435385001593,0.0018797725227815338,0.0018620185511367612,0.0018618930949972667,0.001861883808545113,0.0018616616333477166,0.0018050603294475953,0.0017505808425699403,0.0018076275734506175
0.15,0.025448989870931638,,2.918559283191862,0.07068267301554543,0.018585098253202335,0.002388646652330345,0.0021946123969325874,0.002171409029739426,0.002171219794672757,0.0021712057585407535,0.002170865385197702,0.0020953455418542466,0.0020224721137138903,0.0020986745983353466
0.16,0.02894269003100841,,2.9075076602048626,0.08010757979464114,0.02106158260865699,0.002791796798587209,0.002541380042518606,0.0025116081496478026,0.002511330293454825,0.002511309634983201,0.0025108016291591757,0.0024117774428615638,0.002315969283902729,0.002416012701981349
