t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,0.0,1.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.0014040980418148186,0.9999987583558153,-0.9971911449188193,-0.0014030219763029013,-4.933418061440001e-07,-7.706546707210438e-11,-6.810958047553939e-15,-6.505213034913027e-19,6.049848122469115e-17,-4.2374957709423455e-15,-6.1647143553139605e-12,-2.8315817177972102e-09,-3.157232587348846e-10,3.153473922094807e-09
0.02,-0.005590604936784162,0.9999801500483356,-0.9888082017910795,-0.005573491038763655,-7.84737271745245e-06,-4.90726215392201e-09,-1.7284056130772996e-12,-4.44956571588051e-16,-1.3964523981613297e-16,-3.311326907118328e-13,-1.9063344219166778e-10,-4.9466436443518225e-08,4.669076889875223e-09,4.49883243184776e-08
0.03,-0.012482441821055675,0.9998996561141179,-0.974981171543192,-0.012396649490748353,-3.933780830643607e-05,-5.54069124452522e-08,-4.388108799935342e-11,-2.2322421688869554e-14,-6.898995263959762e-15,-5.074657707937469e-12,-1.8236808261434811e-09,-2.6180964464439516e-07,5.624472497293975e-08,2.073936822034883e-07
0.04,-0.021952390859105518,0.9996835298769593,-0.9559233178496133,-0.02168489972590521,-0.00012261358614337747,-3.07422694939552e-07,-4.331059642870283e-10,-3.909927936973645e-13,-1.2329026688462363e-13,-4.4774781104983674e-11,-9.38735132682833e-09,-8.070234035519042e-07,1.7137747612694376e-07,6.450781767815272e-07
0.05,-0.03382442211298803,0.9992295254427067,-0.9319271469606957,-0.03318276894523393,-0.0002940309742512845,-1.153903121296762e-06,-2.5428269524729874e-09,-3.587938973703686e-12,-9.69571645192957e-13,-2.4396666284398627e-10,-3.4762354161888e-08,-1.915743848772411e-06,4.1914927173189453e-07,1.5316018659866648e-06
0.06,-0.04787631351955018,0.9984079940461251,-0.9033575996783266,-0.046574269468403526,-0.0005964228945515224,-3.3777304879606396e-06,-1.0732968680482458e-08,-2.1823362561512738e-11,-5.259376267829907e-12,-9.75283118154202e-10,-1.0137834909051957e-07,-3.846663763636127e-06,8.915145108256972e-07,3.0575081306979945e-06
0.07,-0.06384281864528234,0.9970634294351544,-0.8706440017937177,-0.061491860184538824,-0.0010763944431636807,-8.318233532464414e-06,-3.603497644721898e-08,-9.984899712600637e-11,-2.2762333684589464e-11,-3.173542616197178e-09,-2.4714409090076384e-07,-6.827775406101355e-06,1.6278126009142135e-06,5.450303107286392e-06
0.08,-0.08141938922802039,0.9950165718495272,-0.834270991845925,-0.07752679222502895,-0.0017812643075258844,-1.803164953072256e-05,-1.0222250917957254e-07,-3.704815759730806e-10,-8.091256831210814e-11,-8.900731582328625e-09,-5.294711284686837e-07,-1.1022748116748526e-05,2.5998626968851135e-06,8.961337686595738e-06
0.09,-0.10026687162829606,0.9920671371583378,-0.79476790982019,-0.09424086124299293,-0.002755814312419516,-3.5424264728953214e-05,-2.547173823808091e-07,-1.170196869959561e-09,-2.417682026800705e-10,-2.189475879765812e-08,-1.0318904423295416e-06,-1.659582711023566e-05,3.9142823192728216e-06,1.3735569628192668e-05
0.1,-0.12001749312035989,0.9879971801091436,-0.7526963488745829,-0.11117942325612136,-0.004039003793839105,-6.433533671561242e-05,-5.724671140461268e-07,-3.2531026483706427e-09,-6.473484664981655e-10,-4.774511976057827e-08,-1.8486122548011519e-06,-2.369188222645091e-05,5.793291167927039e-06,1.9795588472343306e-05
0.11,-0.1402811965619386,0.9825753192175223,-0.7086379726630251,-0.12788467735138193,-0.005660733634792747,-0.00010954824369729943,-1.182590184917176e-06,-8.149815489133516e-09,-1.6245010892035339e-09,-9.57114944799553e-08,-3.0509866561778676e-06,-3.20817663720524e-05,7.78541711441566e-06,2.7444649222746476e-05
0.12,-0.1606504935443647,0.975562574269919,-0.6631864132337386,-0.1439078114469393,-0.007638834687560714,-0.00017672543192298606,-2.2771459396442317e-06,-1.871455185264992e-08,-3.52493570443535e-09,-1.8363235185225868e-07,-4.8738094060862824e-06,-4.1533340575689026e-05,9.894416375694215e-06,3.669982599181776e-05
0.13,-0.18071342450006458,0.9667167499478776,-0.6169245751103432,-0.15882536310726258,-0.009976992342312085,-0.000272224995217174,-4.129796995266943e-06,-3.992746705483441e-08,-7.252721062611656e-09,-3.269838737829378e-07,-7.333162696215867e-06,-5.179850041303613e-05,1.1977902164936327e-05,4.748782932284534e-05
0.14,-0.20005802457775906,0.9558002647599109,-0.5704202149087392,-0.17224931065896287,-0.0126626924482037,-0.0004028301858583494,-7.111611907667514e-06,-7.997367718060033e-08,-1.4656412195002133e-08,-5.405254624724076e-07,-1.0395711025595888e-05,-6.28370864810962e-05,1.4508777972321862e-05,5.927880660558382e-05
0.15,-0.2182807495793809,0.9425888618674858,-0.5242163213181584,-0.18383856306745147,-0.01566597476769571,-0.0005753970426698174,-1.170369322653353e-05,-1.5154284163654275e-07,-2.695356671189586e-08,-8.490818063089378e-07,-1.4354302569130617e-05,-7.418600959979704e-05,1.7725006907338102e-05,7.169048457325577e-05
0.16,-0.23499955752157942,0.9268783729659139,-0.4788134059454946,-0.1933110269535867,-0.01893927476652707,-0.0007963297751984455,-1.850276614656643e-05,-2.734077332866569e-07,-4.7972545713648174e-08,-1.3043851931904271e-06,-1.8900773159524764e-05,-8.400769017044563e-05,1.8092974718723204e-05,8.61660167051359e-05
0.17,-0.24985960637877522,0.9084952135887681,-0.4346674556536562,-0.20044966392217062,-0.02241863672050981,-0.001071158464967581,-2.82166349021562e-05,-4.7211844073080655e-07,-7.936908780203922e-08,-1.9396080827016604e-06,-2.4482906514300407e-05,-9.280396792821222e-05,1.8622361738815374e-05,0.00010067979452588194
0.18,-0.2625472301309783,0.8873020535457753,-0.3921727149106681,-0.20511050266024172,-0.026025309590897272,-0.0014038594273113603,-4.1645892694786024e-05,-7.839175938939569e-07,-1.2889561490370127e-07,-2.7351883177262337e-06,-3.0427811113342695e-05,-0.00010039234838743472,1.905261837752137e-05,0.00011462460966894794
0.19,-0.2727944311276659,0.8632116648495136,-0.3516677005629878,-0.2072243357675086,-0.029667873995963545,-0.0017963956707780504,-5.965918166134232e-05,-1.2557921913458614e-06,-2.0030125685854827e-07,-3.70825597684199e-06,-3.666291582127279e-05,-0.0001059519204117676,1.8667134010358355e-05,0.00012784350869907146
0.2,-0.2803895286118655,0.83619400485422,-0.31342648071127177,-0.20679864640035675,-0.033246089465556294,-0.002248144122185547,-8.314651571400544e-05,-1.946561060450769e-06,-3.0193267969158555e-07,-4.885088337291954e-06,-4.274485341093648e-05,-0.00010877140550169528,1.6450096321979357e-05,0.000140230717400186
0.21,-0.2851838103420379,0.8062847445654073,-0.27765837999933335,-0.20391536841018937,-0.0366556279642814,-0.0027556315606184767,-0.00011296126131976614,-2.927002375863186e-06,-4.3317106201978817e-07,-6.246244151186797e-06,-4.924421939322965e-05,-0.0001094190574143783,1.591263950379007e-05,0.00014939202726266254
0.22,-0.28709943301403845,0.7735907438718691,-0.24450576798170678,-0.19872704572432945,-0.03979221620087031,-0.0033120895250961513,-0.00014985037601289442,-4.278319627404326e-06,-6.011193477983845e-07,-7.791773402932023e-06,-5.523810949381591e-05,-0.00010683806045733157,1.4142563367847139e-05,0.00015626376914527895
0.23,-0.28613194611468196,0.7382943210088293,-0.2140478565364145,-0.19144871395715088,-0.04255768707925417,-0.00390755680643784,-0.00019436952488471881,-6.090945288250715e-06,-8.150299667386562e-07,-9.296097828404015e-06,-5.9541656697637e-05,-0.0001019115238941326,1.1675381076492464e-05,0.0001597888825921115
0.24,-0.2823535464664544,0.7006654593886401,-0.18631240418846273,-0.18235057504725008,-0.04486436587475573,-0.004529124812948204,-0.0002468290463053524,-8.458018009194213e-06,-1.0730133678249487e-06,-1.0858764659671394e-05,-6.256221998923728e-05,-9.40594270763262e-05,8.835460784006877e-06,0.00015956202986320417
0.25,-0.2759139070675518,0.6610511957327818,-0.1612709197841817,-0.17174492621726453,-0.046641170005734034,-0.005161361129855435,-0.00030720209645884733,-1.1472360804010151e-05,-1.374263296383127e-06,-1.2214926489839684e-05,-6.312164237565199e-05,-8.411584323297916e-05,5.39408187744117e-06,0.00015519552258222435
0.26,-0.26703805920494533,0.619882670805525,-0.1388535472533458,-0.1599752253014319,-0.047837909693665914,-0.005787259466825012,-0.0003750997258883393,-1.5219031719637677e-05,-1.6914569901382848e-06,-1.3163173893437907e-05,-6.164240119116426e-05,-7.259063920025954e-05,3.1222762676419435e-06,0.00014561426730765742
