t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14,mx_15
0.0,-1.0000000000000002,7.498798913309248e-33,7.498798913309924e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.1,-0.9801672062480993,0.0016498529476388383,-0.0024319271641370893,-0.9610649120075324,-0.9613605836989579,-0.9614756629170278,-0.961539308316384,-0.9615673549221072,-0.9615640159802361,-0.9615284292536531,-0.9614537675051912,-0.9613154701325048,-0.9608779391161445,0.9605304943710637,-0.9607299889241293,-0.9802671790322699
0.2,-0.9225348198846962,0.002099927675251123,-0.013465377191698075,-0.8559373643804199,-0.8601524671358859,-0.8617559646816161,-0.8626241347977618,-0.8630046979473142,-0.8629591108387867,-0.8624752220578841,-0.8614539957948112,-0.8595056247570194,-0.8532733546214647,0.8483184149770888,-0.8512047467330742,-0.924002850623393
0.30000000000000004,-0.8318480564667565,-0.008700245684082503,-0.040696791855707244,-0.7128470290970491,-0.7305819834354388,-0.737078823212754,-0.7404711253260876,-0.7419441166393738,-0.7417644983892361,-0.7398828570583587,-0.7358712526237099,-0.7278382582715354,-0.7016494037542982,0.6807407547743901,-0.6932466250937118,-0.8383629382790228
0.4,-0.7140629893584095,-0.03928891652452342,-0.08857490243041943,-0.5627903263649493,-0.6066333018449324,-0.6218929808110462,-0.6294597299442845,-0.6326965618113501,-0.6322842216977145,-0.6281098885712527,-0.6190791788772679,-0.5997851299837877,-0.5351523048469569,0.48300677507913564,-0.5155164020828534,-0.7315390434592391
0.5,-0.5753462969742829,-0.0917095741211068,-0.1543872784428876,-0.42982217350579577,-0.5092976218674848,-0.5353228731338149,-0.5474038887928953,-0.5524536143863673,-0.5517482819688705,-0.5451134535583438,-0.5304743155219719,-0.49673670037583756,-0.3798472564046914,0.28352902311034694,-0.3472541833842927,-0.6108527266349785
0.6000000000000001,-0.42206362119261587,-0.1608609532791077,-0.22913991677329268,-0.32862021767495714,-0.4454708629154048,-0.48136578612414094,-0.4968003851774904,-0.5030164842753366,-0.501992666726188,-0.4935376393361669,-0.4743755629434534,-0.42668640326310675,-0.25541176641631635,0.1089555399245876,-0.2138570313138512,-0.4826618664013772
0.7000000000000001,-0.26109354735349644,-0.23681995498170622,-0.30110059534566447,-0.26564051376864706,-0.41249315170091916,-0.455174226145033,-0.47212330497098054,-0.47853565033484347,-0.47717942465516133,-0.46791674866838756,-0.44609710664316227,-0.3882154596024327,-0.1740701787935167,-0.020264605533417107,-0.13349747367373938,-0.3527698653911723
0.8,-0.09988824032704512,-0.30806665422042123,-0.3594978587741642,-0.24058441695665866,-0.4026833872550864,-0.44846757299704926,-0.4654078271860001,-0.47118260753977814,-0.46949187337275755,-0.46031016613392545,-0.4374379881924823,-0.37458517263842067,-0.14005488524508827,-0.09304648980339011,-0.11438144692183977,-0.22636256616992145
0.9,0.053804946697669095,-0.36430708095656433,-0.39710975070364335,-0.24770370393003796,-0.40651371378955375,-0.45254566582923544,-0.4687985671620411,-0.47354562144349766,-0.47155107846942007,-0.4629285268859482,-0.4398759237990129,-0.37678656876957556,-0.14978631073104354,-0.10898675026990898,-0.15330981649245995,-0.10756707699605245
1.0,0.19236309592566794,-0.3983729474863776,-0.41136395837194395,-0.2774628832256864,-0.4148505394015561,-0.459761707213928,-0.47546339836850954,-0.4793344369832324,-0.4771185367698893,-0.46906162484188046,-0.4460707287908508,-0.38589093455806495,-0.19332173136319764,-0.0774533794119039,-0.23634510272091866,0.0008527017334014112
1.1,0.30873543110291657,-0.40718736384401927,-0.4041042036165086,-0.31857111393057147,-0.4204375106337107,-0.46414977073885016,-0.47989556528996213,-0.48347891178048086,-0.4811878227998993,-0.4733403054467838,-0.45032379000888484,-0.39462480677747624,-0.2567870738881406,-0.014630762324284863,-0.3417125806090471,0.09739529034738201
1.2000000000000002,0.396968160269563,-0.39196456728178314,-0.38049669655610147,-0.3599724110814789,-0.418606611232044,-0.46160248441963875,-0.47806274681748623,-0.48213096668172845,-0.4799810376547172,-0.47182582416254903,-0.44854527898285995,-0.39798827336871234,-0.3250243565424188,0.06057944222513832,-0.44447953116446015,0.1813588699946968
1.3,0.45288767763923843,-0.3577444547366107,-0.34759378844958994,-0.3924905591004868,-0.40745414963048465,-0.44999306736017275,-0.46770901658269476,-0.4729687029951026,-0.47123382200841923,-0.46225363178811407,-0.43830773117154304,-0.3932497169242223,-0.3839625518939754,0.13050221827405695,-0.5221575512015493,0.25219122260607074
1.4000000000000001,0.4748008231963837,-0.3122452422613487,-0.312831482386432,-0.4099989057117803,-0.3877528246985029,-0.4293591399466973,-0.44873723806540877,-0.45573459836884594,-0.454692462292131,-0.44438421303532233,-0.4191511936549803,-0.37983067287202915,-0.42257661521237017,0.1815193655977362,-0.5598177798085187,0.30887168040134205
1.5,0.46388261414464527,-0.2641156234463769,-0.2825441112755756,-0.4100133749207895,-0.3625758980357232,-0.4018280026445487,-0.42315062010131643,-0.43232944164193543,-0.432161657689526,-0.4199689046631217,-0.3927157968542454,-0.35917711456507395,-0.43431997889966484,0.20559294333702427,-0.5529613604607826,0.3496284028043593
1.6,0.42400766700864806,-0.22093081577963572,-0.260677255408353,-0.39369256988276324,-0.33655801199515173,-0.3710593975418653,-0.39429009855886904,-0.40603620902913434,-0.40671390467442725,-0.3920798316528045,-0.36233874142865485,-0.3344482333477086,-0.41784786929145057,0.20077370711446127,-0.5070380055461289,0.37221292109771836
1.7000000000000002,0.3611159684923318,-0.18749798719394725,-0.24810867773765768,-0.36535708804807077,-0.31496233456308,-0.34148046334449267,-0.36585058794760117,-0.3803911861622491,-0.3815936090782072,-0.36425794552643026,-0.33231967449550814,-0.310013079619193,-0.3769534477064519,0.17087400795714838,-0.4340747228724753,0.3746426035961641
1.8,0.2824053040821704,-0.16502549523158158,-0.2428962422901349,-0.3315206486926771,-0.30267675788303844,-0.31757807854019204,-0.3412348985732179,-0.3584401097389255,-0.35952626530725856,-0.3399540272220459,-0.3071351412110384,-0.2907294843214951,-0.3196853169168065,0.12426398892670683,-0.3481396240193748,0.35606102101943765
1.9000000000000001,0.19554788321658204,-0.151427415735525,-0.24129949346311774,-0.29923690718590956,-0.3029718421738079,-0.30301181906113034,-0.32308833926591646,-0.3423082942613979,-0.3423467686777423,-0.32201275299131904,-0.2904453894785688,-0.2807386453029291,-0.2565252481708887,0.07184868340615409,-0.2614657492707069,0.31734406044599645
2.0,0.10796210271318125,-0.14257808670681346,-0.23906823840948635,-0.2739862558820291,-0.3161490344688888,-0.29944721835307736,-0.3126659368801303,-0.3326730083696499,-0.33055954051283193,-0.31184957178207284,-0.283884376244466,-0.2818676551676001,-0.19782830864346962,0.02457384760899614,-0.1823182942379176,0.26123071905689355
2.1,0.026125663441701433,-0.13397327102254666,-0.2325956046473078,-0.25813229667388266,-0.33896449369528336,-0.30584646185675246,-0.309407595441054,-0.32846314773641905,-0.32314515344983574,-0.308840131095703,-0.28640551954069354,-0.29259698347275154,-0.1514753827871358,-0.008968620468715886,-0.1147695175255657,0.19195866798209626
2.2,-0.045017343987235364,-0.1222437946347709,-0.21981113360962798,-0.250859568135146,-0.36556500725099894,-0.31898011150086486,-0.311323932656654,-0.3274082586252948,-0.31816657916285157,-0.31071353353124964,-0.29491282426708443,-0.30851676170561493,-0.12174240853634527,-0.0242252046552166,-0.05983974105732669,0.11457861968058917
2.3000000000000003,-0.10239620708919271,-0.10614795214896036,-0.200697462030429,-0.2492802248590934,-0.3893683656117173,-0.33470756356890075,-0.315871798365567,-0.3270668169025008,-0.3137663955739179,-0.3146409849429521,-0.3056331124865567,-0.3239007971276532,-0.10931616924321148,-0.02113566499632645,-0.01714507994571129,0.034248029878190304
