t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14,W_1_15
0.0,2.777590440636303e-17,,3.000000000000001,1.3898116598548575e-17,6.959222694641347e-18,3.489775742687732e-18,1.7550522667109253e-18,8.876905287225218e-19,4.5400965972832e-19,2.3716922523121907e-19,1.2874900798266865e-19,7.453889935839343e-20,4.743384504625582e-20,2.0328790734110707e-20,1.4997597826618905e-32,1.499759782661867e-32
0.1,0.035634481884013254,,2.921154059124914,0.03979741465322276,0.0022383927283998765,0.0017554659196093022,0.0016155522221763209,0.0016044641313886568,0.0015993029355625397,0.0015958102064684333,0.0015932332421952162,0.0015911195840599126,0.0015875176179755753,0.0015847450647212453,0.001585773680887704,0.0016180879953142072
0.2,0.12601961416374385,,2.7021567855143442,0.1347377120942822,0.010332474599324779,0.003552948516378879,0.0020461543437149004,0.0018252824148129187,0.001766427449041882,0.0017358626832458372,0.001715700521474907,0.0017014667679904959,0.0017373133056671683,0.0017840377263112675,0.0017296038249500255,0.0018808067358490055
0.30000000000000004,0.23439826570022138,,2.38665669756993,0.23290882536351804,0.03503098678641446,0.011262069119271032,0.008682169986785464,0.007938516288832164,0.007826337971444816,0.007831863358726108,0.007790655587008027,0.007688699113046529,0.006804706006869362,0.005859336522211842,0.0066730195769792,0.007987935749582311
0.4,0.32788875930968114,,2.0261508994676203,0.293941687264123,0.09215154310402726,0.03866638322037114,0.034737906579796675,0.032303968365714995,0.031144656798181007,0.030687791841105302,0.030158742051000272,0.029158858226458882,0.02399402432000968,0.01848491866192826,0.02296662095104845,0.03186323262330162
0.5,0.3908636455123584,,1.6666232197208979,0.3072953374317093,0.16421536944753054,0.08605357866901511,0.07457794660538491,0.07094639116751385,0.06738137404220129,0.06525418259103108,0.06334173263437626,0.05948531942192908,0.042511230127608615,0.02389310074603957,0.03893718734240052,0.06489935787416569
0.6000000000000001,0.4239046210176999,,1.3436742355653806,0.31022356890624286,0.2346228762686712,0.14423187551021174,0.12250689761766567,0.12052520162304986,0.11423134375603766,0.1087947189468813,0.10384832205301332,0.09447728196403374,0.05588042024305496,0.011268588014105962,0.04807151632330057,0.09680780944223769
0.7000000000000001,0.4371680315670538,,1.0814137673642905,0.3437647194930707,0.29299808516690584,0.20234374955581877,0.17215948379894513,0.175158973275736,0.16812198243202997,0.15825879827147962,0.14838876743401286,0.13089976106238993,0.06441889822660234,0.019367861136478464,0.05263530126835665,0.11779615247207473
0.8,0.4438454978948794,,0.9876596501083563,0.3851897382803301,0.3369729274184991,0.2497323764430288,0.21750003098123102,0.22676613439336107,0.2228384783444882,0.20907668740587335,0.19368320080216364,0.1645493327468699,0.07374240413359485,0.05714592022900758,0.06189018136262463,0.12287115889140945
0.9,0.45461614528590866,,0.9787520602496701,0.42259186894836764,0.367579075681803,0.2995040538635133,0.2528530408301483,0.26725163127448204,0.27020120732788677,0.2549427274884106,0.23440771289881918,0.19199153012281653,0.08805000907369177,0.08929446251663872,0.08412676560728949,0.11287751465815263
