j  concurrence
0 6.994257649558e-01
2 6.715120129631e-01
3 1.752169649451e-01
4 2.982232460296e-02
5 3.775082216298e-03
6 3.807291213868e-04
7 3.192351484280e-05
8 2.285884310137e-06
9 5.094028992559e-08
10 0.000000000000e+00
11 0.000000000000e+00
12 0.000000000000e+00
13 0.000000000000e+00
14 0.000000000000e+00
15 0.000000000000e+00
16 0.000000000000e+00
17 0.000000000000e+00
18 0.000000000000e+00
19 0.000000000000e+00
