t,Cxx_11_0,Cxx_11_1,Cxx_11_2,Cxx_11_3,Cxx_11_4,Cxx_11_5,Cxx_11_6,Cxx_11_7,Cxx_11_8,Cxx_11_9,Cxx_11_10,Cxx_11_11,Cxx_11_12,Cxx_11_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.05,2.529459539337109e-19,1.0366402780300543e-18,2.13947945517879e-19,7.952232997535426e-19,-1.3635347701033539e-17,-1.52999257580865e-14,3.3715821844917145e-13,2.5624225090512696e-10,-3.3939643028849597e-09,-2.0644834772063033e-06,7.166981685796432e-06,1.0,0.0076877204478697095,0.004853100266497601
0.1,2.128221080754609e-16,1.0859966609477475e-15,2.762904306197715e-16,7.9000875940356e-16,-1.3482080399040777e-14,-3.729415605673451e-12,8.545891309936916e-11,1.569112028617539e-08,-2.1213120637845984e-07,-3.212589143541331e-05,0.00011293474628262286,1.0,0.030189130221605624,0.017702801250886295
0.15000000000000002,8.373962363062478e-15,5.905565969307697e-14,1.5382214595506142e-14,4.322753271545275e-14,-7.515850125926719e-13,-8.823396511398365e-11,2.1096542669602823e-09,1.6546899799141366e-07,-2.3352065083631154e-06,-0.00015524242392521263,0.0005577488717818654,1.0,0.06592805670114824,0.033836788231961186
0.2,6.737362461469515e-14,9.63520101186684e-13,2.6085702236244516e-13,7.09876808903968e-13,-1.2774004384116012e-11,-7.844201493533543e-10,1.9984268017067338e-08,8.310359417013498e-07,-1.251544926512161e-05,-0.0004594637965506513,0.001703734905533731,1.0,0.1125399189453194,0.04669706807545329
0.25,-1.173635898507585e-13,8.052400727060644e-12,2.2841107681641064e-12,5.978290199600559e-12,-1.1231206396072159e-10,-3.983292324135476e-09,1.1126900685325062e-07,2.7215101748303913e-06,-4.494896335257784e-05,-0.0010299369112136613,0.003984202359501733,1.0,0.1672171656622413,0.04949453571564492
0.30000000000000004,-4.620687623933451e-12,4.3664211871889513e-11,1.3109252320899386e-11,3.264985669854034e-11,-6.480009039607563e-10,-1.3805053747415643e-08,4.400691689272515e-07,6.637783445646253e-06,-0.0001247243363623615,-0.0019206590291022166,0.00784616455126488,1.0,0.22708455932956112,0.036917193633481525
0.35000000000000003,-3.423771821666666e-11,1.7425311383126195e-10,5.594095110318527e-11,1.309582263435661e-10,-2.7834857736751865e-09,-3.5304576454301576e-08,1.3674747811754918e-06,1.2781719054420398e-05,-0.0002884999972029281,-0.0031294004805723654,0.013695234357403642,1.0,0.28954289247623227,0.006520508208529661
0.4,-1.5323537307444087e-10,5.510603326038842e-10,1.912187496281502e-10,4.144578599297359e-10,-9.595093154876556e-09,-6.71055979061293e-08,3.5441479646574894e-06,1.9585559696946453e-05,-0.0005820408170406728,-0.004579930050124118,0.021848639412070624,1.0,0.35249767158319767,-0.04050753607305517
0.45,-4.937535675352478e-10,1.4457670638504203e-09,5.491743531116679e-10,1.0797410691887627e-09,-2.7848140720712956e-08,-8.298546395740806e-08,7.957456043235382e-06,2.220214998149607e-05,-0.0010543294813936664,-0.006114383349409041,0.03250191375473264,1.0,0.41446295531753824,-0.09938460386924274
