t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14
0.1,0.21624459183515435,,2.119790478427112,0.28239482919683867,0.080055706618066,0.08003665613943704,0.07970903954929054,0.07970494682037998,0.07970065566538408,0.07815015329644988,0.07659225235423553,0.07815022968821468,0.07969394633397146,0.07970007506934096,0.07970259594393295
0.11,0.25550726310993416,,1.956241703180193,0.3236849898941186,0.09708987996199415,0.09527234947887497,0.09486732657591922,0.0948584684176578,0.0948476460349242,0.09262266099721686,0.09039206481534105,0.09263350280508573,0.09484492016973538,0.09485356956693146,0.09485495497031206
0.12,0.29601523811120745,,1.784894272407308,0.3627723130064395,0.1156145007765521,0.11134574230167175,0.11087457962616608,0.11085949268574594,0.11084198736453671,0.10776053637733976,0.10467533955525006,0.1077889697426853,0.11084607413804581,0.11085493133183057,0.11085461497311622
0.13,0.33712362446174576,,1.6074831208862,0.3985443989133275,0.13550272789261947,0.12812816243758215,0.12761161246523492,0.12758903266538052,0.127566081301513,0.12342298569515399,0.11927793446354486,0.12347459646974387,0.12757350484772767,0.12758516209759047,0.12758487806611288
0.14,0.3781585040916504,,1.4257880407717634,0.4299661114845338,0.1565582067099786,0.14546058711613427,0.14493095356867808,0.1448996352143261,0.1448718689132252,0.13944054498715838,0.1340107618380643,0.13952253041390184,0.14487630286548397,0.14489864559448837,0.14490076602267524
0.15,0.41840096892476714,,1.2416198349254985,0.45609910465069536,0.17853303582269076,0.16316421318407603,0.1626685222407861,0.1626269088739427,0.1625919467287432,0.15562725043809103,0.1486733748366631,0.15575367509308788,0.16259134048770316,0.16263076533107404,0.16263550547253494
0.16,0.45712003876161666,,1.056749624372683,0.476149264846932,0.20116574174542784,0.18108016253125492,0.18068276758502358,0.18062871875599992,0.18057998513717136,0.1718207720884985,0.16309249720775204,0.17201544353652978,0.18057971171320472,0.1806355681666886,0.1806403462639768
0.17,0.49362637327482983,,1.0449760804089572,0.4894888248997347,0.22416963124710823,0.19906331678143027,0.19884631770225566,0.19877788464812368,0.1987048729544756,0.1878776606543796,0.17711578181015492,0.18817139460015916,0.1987130411773309,0.1987818580129329,0.1987839530132882
0.18,0.527283536396445,,1.2201152491955058,0.4956590071800986,0.24719685632526217,0.2170126997231094,0.21700501401343467,0.2169201605063705,0.21681196840711683,0.20363722043510155,0.19057684650782716,0.20406233124910056,0.21683174156116666,0.2169171661921469,0.2169169538926706
0.19,0.5574871049647966,,1.3913221210020377,0.494393892949364,0.2698553952571949,0.2352370674780392,0.23498211035826086,0.23488010019174824,0.23472774491296294,0.21892619441064484,0.20330141203464427,0.21951457876565678,0.23475531076794132,0.23487068126441904,0.23487167052102514
