t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.1,-0.9997118255873783,0.0362206569123218,-0.0403470956030684,-0.9961686015320921,-0.9999914695592107,-0.9999986807557124,-0.9999991320231373,-0.9999987543845205,-0.999954002954749,-0.9824937673916537,0.9694099234350708,-0.9869713717114013,-0.999985732361075,-0.9999985002080143,-0.9999996143206089
0.11,-0.9994592283697723,0.017388018701127706,-0.021670242765709204,-0.9962647715555386,-0.9999906551550566,-0.9999990749933201,-0.999998821513434,-0.9999990243728009,-0.9999350440224982,-0.979404246401393,0.964984665805527,-0.9856556093568066,-0.9999856352758452,-0.9999986465309652,-0.999999551037016
0.12,-0.9993156589032497,0.003921411203160871,-0.008061465230529488,-0.9965505203201797,-0.9999900635405053,-0.9999991475308719,-0.9999991865647018,-0.9999987445730895,-0.9999110654513134,-0.9762341518043454,0.96077147381236,-0.9846375123565325,-0.9999867564761312,-0.9999990344601566,-0.9999994880907882
0.13,-0.9993580202470504,-0.0010780525782193048,-0.0025714931640275496,-0.996999007049544,-0.9999896544793492,-0.9999983771572937,-0.999998725079628,-0.9999987657211316,-0.9998813029546821,-0.9730291267323693,0.956865462613459,-0.9839651293114953,-0.9999882602041964,-0.9999992908816386,-0.9999994261575608
0.14,-0.9995619399921688,0.0035106789547647474,-0.0063925426375691895,-0.9975622257649014,-0.9999908484192264,-0.9999997207432213,-0.9999992949619831,-0.9999986303915978,-0.9998451829010917,-0.9698375558519451,0.9533454397098716,-0.9836703033945612,-0.9999895864350039,-0.9999991693000627,-0.9999993660209374
0.15,-0.9998166138682832,0.01657916969676408,-0.018589259040642916,-0.9981784491910801,-0.9999914519156076,-0.9999981745618111,-0.9999986123895808,-0.9999983892946072,-0.9998034652004327,-0.9667075300855088,0.9502719362536732,-0.98376719059664,-0.9999907277775848,-0.9999987436835106,-0.9999993086741703
0.16,-0.9999822173618854,0.035064835259912726,-0.03630739546782617,-0.9987792809303438,-0.9999935197859232,-0.9999994738446163,-0.9999993878290592,-0.9999982475982402,-0.9997546861749337,-0.963684424252906,0.9476859846419976,-0.9842512713105143,-0.9999919667302407,-0.9999983312917147,-0.9999992551239638
0.17,-0.9999639882244037,0.05468615801624741,-0.05542309480569591,-0.9993021496726029,-0.9999938043154715,-0.9999986503321072,-0.9999985432193969,-0.9999978264124434,-0.9996991998804526,-0.9608137009629327,0.9456087338938466,-0.9850991818219241,-0.9999933862404419,-0.999998220763509,-0.9999992061301574
0.18,-0.999767415072287,0.07095594525027898,-0.07149228499276626,-0.9996993582312842,-0.9999941872530456,-0.9999990356124061,-0.999999420597519,-0.9999975012093409,-0.999637367232066,-0.9581386123051562,0.9440419125267758,-0.9862696866776228,-0.9999946400738406,-0.9999984395021121,-0.9999991621079609
0.19,-0.999500939425636,0.08021450097575053,-0.08077944361340289,-0.9999370167282353,-0.9999955288470369,-0.9999988428486417,-0.9999985412382162,-0.9999968865976233,-0.9995691714433849,-0.9556984775506855,0.9429690514002428,-0.98770584398385,-0.9999952028073525,-0.999998750732685,-0.9999991233673617
0.2,-0.9993168445319065,0.0804326725819809,-0.08112224273958409,-0.9999951237064778,-0.9999952336341165,-0.9999990372393226,-0.9999993849906303,-0.9999963476330139,-0.9994946400481131,-0.9535298890116759,0.9423575057443627,-0.9893380608768406,-0.999994851445997,-0.999998867870691,-0.9999990904113785
0.21,-0.9993212714752948,0.07161786452422547,-0.07242851265478187,-0.9998692773640289,-0.9999952832810207,-0.9999988188816834,-0.9999985924656586,-0.9999953113209501,-0.9994150959660969,-0.9516648403799959,0.9421612050543563,-0.9910876345254626,-0.9999939206160429,-0.9999986929158021,-0.9999990640911858
0.22,-0.9995103828247307,0.055770763421193734,-0.0566945631544944,-0.9995681227751687,-0.9999950288960386,-0.9999988819925916,-0.999999307093701,-0.9999947051282752,-0.9993302998672616,-0.9501303592751367,0.9423239261132283,-0.9928705222247266,-0.9999931011341623,-0.9999983791023831,-0.9999990453840828
0.23,-0.9997746732352927,0.03643283508511668,-0.03754609900890205,-0.9991147343001027,-0.9999943089515877,-0.9999991586284416,-0.9999986562068547,-0.9999928815268277,-0.999241936584777,-0.9489486958822082,0.9427829636882734,-0.9946012766461227,-0.9999929600833688,-0.9999981807385795,-0.9999990349426082
0.24,-0.9999660436386875,0.017920047718054135,-0.01940531038093429,-0.998551090948289,-0.9999932308311078,-0.9999985143965143,-0.9999992329754859,-0.9999923633570598,-0.9991503902745406,-0.9481356156160241,0.9434729666146394,-0.9961971291972493,-0.9999935829040673,-0.9999982342917697,-0.9999990327089667
0.25,-0.9999818837218499,0.004385920968791252,-0.006472527089702301,-0.9979341957734544,-0.9999943555633322,-0.9999993085237961,-0.9999986846471131,-0.9999894843143019,-0.9990561645687911,-0.9477019919700235,0.9443296710242525,-0.9975820527959247,-0.9999946067512867,-0.9999984602514519,-0.9999990379291446
0.26,-0.9998171459434542,-0.0010993798452762571,-0.0017575567701192804,-0.9973289842612915,-0.9999944255765398,-0.9999987115804889,-0.9999992043787362,-0.999988999473209,-0.998962567157671,-0.9476533700380138,0.9452933965316572,-0.9986904612396924,-0.9999955560851191,-0.999998656123845,-0.9999990494938223
0.27,-0.9995624597998904,0.002749252799743034,-0.006387390704936027,-0.9968026468421658,-0.9999943419405017,-0.9999988434308288,-0.9999986459462675,-0.999985085797628,-0.9988673017354537,-0.9479878457274803,0.9463120614025811,-0.9994702058892263,-0.9999961530257384,-0.9999986808570741,-0.9999990663585643
0.28,-0.999355765591483,0.01511788821041461,-0.019351799180404167,-0.9964131016968103,-0.9999958025220361,-0.9999992173367629,-0.9999992344108046,-0.9999842687840568,-0.9987749233149025,-0.9486994458581799,0.9473435646316206,-0.999884752532389,-0.9999963749275737,-0.999998561855075,-0.9999990877130526
0.29,-0.9993112496410056,0.033246042355706946,-0.0377375508818034,-0.9961981091998434,-0.999995512801793,-0.999998578559429,-0.9999985436111755,-0.999979645036723,-0.9986844720255612,-0.9497772656574855,0.9483575808057632,-0.9999146485273323,-0.9999963116384842,-0.9999984425295653,-0.9999991129152808
0.3,-0.9994569208902744,0.053019734546430046,-0.05738808689675127,-0.9961739412717892,-0.9999967884672364,-0.9999991746422527,-0.9999992937916802,-0.9999779253949054,-0.9985986177893109,-0.9512023285683925,0.9493365905564835,-0.999558395863274,-0.9999960304215544,-0.9999984389011359,-0.9999991412041543
0.31,-0.999713892321978,0.0698889344790541,-0.07383834392304892,-0.9963362446350105,-0.9999975883253412,-0.9999988651239962,-0.9999984236202203,-0.9999730138521422,-0.9985164018174995,-0.9529525140937621,0.9502760856220029,-0.9988326913653999,-0.9999955801266308,-0.9999985452362342,-0.9999991716391478
0.32,-0.9999361742349344,0.07991873587815768,-0.08332016312232705,-0.9966623152865514,-0.999997813740989,-0.999998898807886,-0.9999993163552338,-0.9999699019172205,-0.9984420343714399,-0.9550018499691313,0.9511841419152114,-0.9977718639693894,-0.9999950767854374,-0.9999986637229601,-0.9999992031585447
0.33,-0.9999948871744696,0.08073439221657047,-0.08361936304167424,-0.9971192019739625,-0.9999975093261535,-0.9999989753030595,-0.9999983579274162,-0.9999649503241457,-0.9983739448371214,-0.9573163038938771,0.9520803148987916,-0.9964263712337984,-0.9999947195012424,-0.9999987118725979,-0.9999992347898066
