t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.0,0.0,0.0,0.9999999843497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.007154267460918802,0.0,0.9998432316822099,0.007487690812289089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.015861867195841983,0.0,0.999424812405386,0.015610140321425377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.02680455650957689,0.0,0.9988431596345482,0.02482806548144488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.039399084757911,0.0,0.9981211795075344,0.03529004306764072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.047293453157199926,0.0,0.9970750563426168,0.04671232139218165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.055499219409417024,0.0,0.995613149800287,0.05805566520942372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.06574205156294989,0.0,0.9938926828551952,0.06744694554596364,0.0002859504877029775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.07754232005686498,0.0,0.9918637563325299,0.07616116102115911,0.001727953756972176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.08553804674968411,0.0,0.9893520716794161,0.08555023576848501,0.0016373478941395232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.09282097040101113,0.0,0.9864388497411976,0.09573529983633272,0.0014359381541164799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.10181395611559178,0.0,0.9832991712009542,0.10618762347642262,0.0017739274842937106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.11212194440544801,0.0,0.9797629365759537,0.11607211249558919,0.00278610996485617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.11913226813014101,0.0,0.9752051160955337,0.12534655295665262,0.0044114643403686355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.12469176555052844,0.0,0.9701898700307664,0.13477927115294253,0.006429398869291834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.13155738080321472,0.0,0.9651208479339625,0.1447516782326791,0.008458310489962644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.1394351933466219,0.0,0.9600498130291177,0.15481637472696694,0.010091900233804045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.14428438447395783,0.0,0.9541991144401776,0.16373427848598793,0.01136112467018283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.14701964199217538,0.0,0.9473320576044936,0.17161476374169637,0.012655634172780657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.15065794748549963,0.0,0.9405496679194496,0.17970412766885183,0.01421528660374869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.1550416019663137,0.0,0.9339762921543442,0.1885967036249949,0.016054290305539627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.1567828353168485,0.0,0.9273251785397314,0.19827517451723695,0.018043340188184934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.15565629790592597,0.0,0.9203066958457098,0.20801206804746838,0.02002342289392849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.1550958160767561,0.0,0.9133737119821235,0.21480629209293414,0.021947243248879877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.15511970118050433,0.0,0.9067671854005801,0.22068102356092492,0.023913217385555376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.15316303104225384,0.0,0.9002887620844946,0.2271538386186719,0.026045929104500754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.1476242594315739,0.0,0.8941203988170056,0.2344018646067176,0.028368550904341677,7.71834557284285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.14243992074907894,0.0,0.8887661175967716,0.24218089093378176,0.030737702495120516,0.000766511009776183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.1378367679589367,0.0,0.8843809962987852,0.2496985868363338,0.03287347999649531,0.0010269645085826504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
