t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.0,0.0,0.0,0.9999999843497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0006208268611118548,0.0,0.9996247884619669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.004670419080874243,0.0,0.998758192687954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.014257281342082125,0.0,0.9979382331257749,0.010941197171431761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.029456792580155818,0.0,0.997509917818827,0.030496233597648838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.048303397497074525,0.0,0.9972163196774221,0.04605266881804587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.05297289984236289,0.0,0.9950988712776263,0.04434051172923652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0563213329556339,0.0,0.9926655554372973,0.0492708354532123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0648690457144101,0.0,0.990804952297534,0.06313075750882345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.07908247930860117,0.0,0.9898028982212423,0.08384671088160757,0.0008597663898764288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.09742806671531615,0.0,0.9888016773532723,0.09237331076717852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.10600109367969593,0.0,0.9852282473784256,0.09224550413349879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.10892956727661196,0.0,0.9813263370867552,0.09948678662417662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.11658776792644693,0.0,0.978380843719731,0.11516907446913383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.12976420940044883,0.0,0.9765515285524898,0.13504251787469806,0.00479140348359899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.1472858076312216,0.0,0.9744065988438875,0.13862894100860698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.1597122810734351,0.0,0.9695626016834379,0.1403665585156835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.16261779269379645,0.0,0.9643619160679071,0.14961691131171206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.16958409546490105,0.0,0.9603028379849875,0.16624871062293417,0.010065006367721407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.1817503353974557,0.0,0.9573428569452452,0.1826927712957793,0.008485393925445209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.19830736360232107,0.0,0.953654898742513,0.18461704976705695,0.002401340500697331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.2137930747490647,0.0,0.9475848680964019,0.18817873907497343,0.003546494889170271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.2172760673188399,0.0,0.941295325147111,0.19887381859352965,0.012263336181550543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.22372982226051605,0.0,0.9361389993594733,0.21530242518803758,0.020628930272033993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.23489557896017854,0.0,0.9317458366442305,0.22766151286152528,0.01545083766871508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25032691431382115,0.0,0.9261798547446105,0.22981446989885382,0.012810960665871687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
