t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.0,2.353743514295591e-46,1.0,-1.0000000000000002,2.1621597398761826e-46,4.515903254171774e-47,1.984260520772446e-46,2.901125726922473e-46,3.557984382074731e-46,3.2021859438672578e-46,3.311662386392634e-46,-1.3684555315672042e-48,3.1885013885515857e-46,2.5453272887149998e-46,2.2168979611388708e-46,2.299005293032903e-46
0.01,-1.2056254246710932e-05,0.9999999474837362,-0.9996243427926094,-1.4704854842896651e-05,-1.2656876122168895e-06,-7.924703134172279e-07,-5.729666196077957e-07,-4.429876670713584e-07,-3.548171341910577e-07,-1.5907559849112716e-07,-1.7722189365435188e-10,-9.930911563585257e-08,-1.8824979004146707e-07,-1.662864798905757e-07,-7.771763024723866e-08
0.02,-0.0001662001740598591,0.9999993628330506,-0.9987330714968966,-0.0001958950353096472,-1.3551457642126986e-05,-8.250835698445135e-06,-5.887872559576885e-06,-4.544524328281194e-06,-3.684035718882388e-06,-1.6732891609138505e-06,6.021904081074045e-10,-1.0667088035969585e-06,-2.0199265766678454e-06,-1.7997446036608754e-06,-8.505077515123241e-07
0.03,-0.0006606474545796466,0.9999977258383456,-0.9977079179158335,-0.0007380078656687402,-3.230406720147695e-05,-1.8546376839339174e-05,-1.2910177462591805e-05,-9.979410447563978e-06,-8.363278425504387e-06,-3.9251387763501126e-06,1.0706106775421054e-08,-2.6553940605691766e-06,-5.039240529691952e-06,-4.600991334799409e-06,-2.2324020659391514e-06
0.04,-0.001514144972974542,0.9999945357304195,-0.9965529153930115,-0.001586068091305169,-2.4436444996988552e-05,-1.1502427670007087e-05,-7.341343650058615e-06,-5.74584160859936e-06,-5.482640636254345e-06,-2.9016607823342637e-06,2.5007628329243303e-08,-2.3353096102059732e-06,-4.519358978172412e-06,-4.441361341600298e-06,-2.310168660521906e-06
0.05,-0.0025444041872550536,0.9999879800567137,-0.9948931925254101,-0.0025214363081118483,1.2526490932709099e-05,1.0621367186879581e-05,8.106774721163435e-06,6.272768820234781e-06,4.650298057943918e-06,1.6981349082343875e-06,4.069551409616526e-08,8.960277476425214e-07,1.4096526644966252e-06,8.054474667216517e-07,1.4412341913959056e-07
0.06,-0.0036095356151870815,0.9999746313801445,-0.9924880264203388,-0.0035046024595642,2.0261977032478944e-05,1.0619819228965821e-05,6.491411769420606e-06,5.2347776734905024e-06,5.485447355246982e-06,2.4832359976686286e-06,1.6358417875058512e-07,2.848255083486191e-06,4.883443830381966e-06,4.655554592773725e-06,2.3358965450899147e-06
0.07,-0.004794293240098106,0.9999515442837826,-0.9895489684279221,-0.004737022853311619,-3.269218652846191e-05,-2.2130228315828462e-05,-1.7240320911783222e-05,-1.3231282415236863e-05,-9.330377867811795e-06,-4.508593956342732e-06,3.9350899180140564e-07,-5.964630633067264e-07,-2.0039865795823397e-06,-7.86206069750689e-07,1.2884722675864796e-07
0.08,-0.006297333859573942,0.9999183208801506,-0.9864366114975677,-0.006343479853615415,-7.693831592755877e-05,-3.7273145693640305e-05,-2.5130506712852177e-05,-1.970171442463621e-05,-1.753807207748731e-05,-9.97225182387644e-06,7.053261344737438e-07,-5.1084020813284975e-06,-1.1124851085507134e-05,-9.740323487727326e-06,-4.512255780152186e-06
0.09,-0.008172034957065392,0.9998744187490557,-0.9831651316338703,-0.008175008789371836,-4.025774408153611e-05,-2.595364684389659e-06,1.587499889056307e-06,8.920141800830561e-07,-2.6892892532829477e-06,-4.963374928822553e-06,1.0915781308504235e-06,-2.9999017098440023e-06,-7.993208061652518e-06,-8.751478208378696e-06,-4.968493419252665e-06
