t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.0,1.109138822452671e-16,5.5402731014009277e-17,5.5402731014009277e-17,2.7647155398380363e-17,1.3769367590565906e-17,6.830473686658678e-18,3.3610267347050637e-18,1.6263032587282567e-18,7.589415207398531e-19,3.2526065174565133e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0
0.01,7.916031111859789e-17,1.9018261358111355e-16,2.1793818919674246e-16,-5.961756695954668e-17,5.140473550296898e-17,-1.1045309632196076e-17,5.4874182454922593e-17,2.3649159887340065e-17,1.497554250745603e-17,-3.2390539903004445e-18,3.508613755434653e-16,-1.4840017235895342e-17,-1.4785807127271067e-17,-2.427257613651923e-17,-4.117257750013703e-17
0.02,2.310028253751928e-16,6.446937168141931e-17,1.7549167414393496e-16,-3.267514297328189e-17,1.1998052291267713e-16,1.589711435406871e-17,-2.9205696021328276e-17,-3.787931340121231e-17,-1.792999342747903e-17,1.1519648082658485e-18,-2.4908189660138857e-16,3.768957802102735e-17,2.6630715861675203e-17,4.210770187390578e-17,7.123208273229764e-17
0.03,-4.359847986107335e-17,-2.6564308478610466e-16,-1.54620782323589e-16,1.191267137018448e-17,-1.5842904245444434e-17,6.048492869753508e-17,7.436271650534954e-17,7.436271650534954e-17,-2.303929616531697e-19,-1.5409223376450232e-17,1.5382118322138094e-17,-4.8152128985512466e-17,-4.869423007175522e-17,-6.398148070380083e-17,-9.638557313396134e-17
0.04,2.0476513280104358e-16,1.4925398156978575e-16,3.7129858649481706e-16,1.0476103491641187e-17,5.904836081899179e-17,-1.7279472123987727e-17,-6.871131268126884e-18,-5.544338859547748e-17,2.236166980751353e-18,3.389487041732808e-17,2.088851010564885e-16,7.466087210278305e-17,5.980730233973164e-17,7.932294144447072e-17,1.0531668852981069e-16
0.05,1.1413260744483344e-16,-2.1893429994271352e-16,-2.7444545117397134e-16,-1.0791199748019786e-16,-2.4645270633311123e-17,4.474366840576116e-17,5.5152009261622004e-17,1.2193886308672908e-16,1.8722816266109055e-17,-5.803869754586466e-17,-3.22041926546085e-16,-8.866740891858016e-17,-7.999379153869612e-17,-9.231303872356267e-17,-1.1363794020363693e-16
0.06,-4.733897735614834e-17,2.302167788001408e-16,5.077725349564299e-16,1.4695005195325406e-16,3.5927749490738403e-17,-9.591123468349894e-17,-8.203344687568448e-17,-9.244178773154532e-17,-1.802486111757151e-18,7.495902770021656e-17,2.8388478633817327e-16,1.1713449220990269e-16,9.116785017887485e-17,1.0100698489418081e-16,1.1753429176100672e-16
0.07,-4.662069341687669e-18,-2.822178254979768e-16,-4.662069341687669e-18,-2.26706674266719e-16,-1.1568437180420332e-16,3.69712940817557e-17,7.513521055324546e-17,1.115644035487584e-16,1.8323016715005025e-17,-9.443400922348744e-17,-1.0007186052041206e-16,-1.4203048459560108e-16,-8.879615792656281e-17,-1.1081901455517462e-16,-1.1095453982673531e-16
0.08,4.875521644395753e-17,3.2631097260024666e-16,4.373332750627623e-16,4.875521644395753e-17,3.487742863614307e-17,-7.614487382637258e-17,-6.920597992246535e-17,-9.175738511016385e-17,-5.0212113113234924e-18,1.0903685723415157e-16,-1.3577599331307533e-16,1.4687551305389568e-16,9.155409720282282e-17,1.181441554830298e-16,9.028015965015235e-17
0.09,1.1066316049287983e-16,1.6617431172413766e-16,-2.8114717585264737e-17,-1.668925956634093e-16,4.127422145380755e-17,4.127422145380755e-17,7.94381379252973e-17,9.331592573311176e-17,3.1299561466940906e-17,-7.885537925758634e-17,2.941101680774272e-16,-1.5008746198988399e-16,-9.758497178727343e-17,-1.153658874160357e-16,-6.50589066127083e-17
0.1,2.456395547037471e-17,8.007510670163254e-17,-1.4196949822339877e-16,-1.1421392260776986e-16,1.0089178841335422e-16,1.762506156646748e-17,-4.4824983568697574e-17,-1.246222634636307e-16,-2.3140940118987485e-17,8.462875582607166e-17,-3.234649418974722e-16,1.2604527881501792e-16,1.0639411443871816e-16,1.1565049048631315e-16,4.185020385794047e-17
0.11,2.1123646451806644e-16,1.557253132868086e-16,1.557253132868086e-16,-1.912193819085528e-16,-5.244150383040824e-17,-3.8563716022593786e-17,8.980582119968994e-17,1.1409194986336524e-16,3.906515952736833e-17,-6.870453641769081e-17,2.0711649626262152e-16,-1.0952474821177005e-16,-1.0426636767521535e-16,-1.1212683342573526e-16,-1.0489656018797255e-17
0.12,1.9752808329970284e-17,1.9752808329970284e-17,1.9752808329970284e-17,4.75083839455992e-17,-3.5758342901287543e-17,-7.739170632473091e-17,-6.004447156496284e-17,-9.126949413254537e-17,-1.7110065534536867e-17,6.572298044335567e-17,1.7550522667109103e-18,8.301600509449947e-17,9.12559416053893e-17,1.0440189294677604e-16,-3.1638374645842626e-17
0.13,-1.8106176280507924e-16,1.5200514458246772e-16,-1.452830911130576e-17,-1.452830911130576e-17,-1.5330618718945033e-16,6.873841773558098e-17,9.302454639925628e-17,9.389190813724468e-17,3.838075690598686e-17,-9.389190813724468e-17,-2.183583175385806e-16,-7.036472099430924e-17,-8.59772322781005e-17,-9.679214894864341e-17,6.242294008085292e-17
0.14,-2.744928850190176e-16,-1.079594313252441e-16,1.140851735997872e-16,3.06287113727155e-18,-8.020385570961519e-17,-4.897883314203266e-17,-8.36733026615688e-17,-1.287761130369658e-16,-2.642742795433417e-17,1.2839664227659586e-16,3.18890963982299e-16,7.841492212501411e-17,7.499968528168477e-17,9.225205235136036e-17,-8.897234077959171e-17
0.15,-5.039642748255746e-16,5.114723748700367e-17,-1.153862162067698e-16,-1.847751552458421e-16,-4.363913744254155e-18,2.574980159653073e-18,1.1706672957412234e-16,1.3614868780986722e-16,2.6861108823328372e-17,-1.6699423961707982e-16,-2.810523081625549e-16,-9.733425003488616e-17,-6.37781927964598e-17,-7.551468131361538e-17,1.1236400265096647e-16
0.16,3.901772568232209e-17,-1.6493425548935736e-17,-8.588236458800802e-17,2.1942896718391003e-16,1.1262150066693177e-17,7.792703114739563e-18,-3.2105936832727e-17,-1.040969610857645e-16,-5.205525680646028e-17,1.8321661462289418e-16,1.0938244667663133e-16,1.1171348134747516e-16,5.918388609055247e-17,7.108300493358088e-17,-1.218439953966366e-16
