t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.1,-0.00021960106796009614,0.9999999320950399,-0.9606283870000033,-0.00021885811254385151,-1.0128239885542185e-05,-4.912193834513093e-06,-2.7750006551221693e-06,-1.561007906339016e-06,-7.841808687500287e-07,-2.8271868919999823e-07,1.2871669050821925e-08,2.993442855993701e-07,6.085516973080955e-07,7.753618828880817e-07,4.2932339211899755e-07
0.11,-0.000318436069453068,0.9999999320188075,-0.9525177668441706,-0.00031585399360143767,-1.3753535721060424e-05,-6.125703648547415e-06,-3.072904677401745e-06,-1.350167117879816e-06,-2.5853625829818034e-07,2.6621625231191583e-08,2.4892495443541978e-08,8.303358053758604e-07,1.6708119199007805e-06,1.898010831322453e-06,1.012339801081041e-06
0.12,-0.0004462659388387544,0.9999999424144247,-0.9436963737190605,-0.00044034203433403435,-1.7848449415259994e-05,-7.060527877503079e-06,-2.8530982481123177e-06,-4.963818591257035e-07,9.800516877367534e-07,7.057677869944513e-07,4.6346533232033676e-08,1.770598800149959e-06,3.5462856521741113e-06,3.843348906300048e-06,2.0185134216642395e-06
0.13,-0.0006076603507934564,0.9999999627350392,-0.934180442071413,-0.0005961887772921463,-2.220207231642466e-05,-7.3683198703316665e-06,-1.7438560312522174e-06,1.3802415678729543e-06,3.3116388378711488e-06,1.947846525398038e-06,8.314332119232224e-08,3.3072987055181118e-06,6.603619165395622e-06,6.9784447697608025e-06,3.638808437055833e-06
0.14,-0.0008072660120508515,0.999999986907682,-0.9239874311876695,-0.000787150493580397,-2.6495642575913617e-05,-6.583467591765615e-06,7.388815150720704e-07,4.767761055490306e-06,7.220291657191008e-06,3.997783014210636e-06,1.469114776985153e-07,5.674798282419348e-06,1.1305283683203692e-05,1.1763627457864938e-05,6.11494471502713e-06
0.15,-0.0010497435917501635,0.9999999999973141,-0.913135943673259,-0.0010167909970225859,-3.0287631323856548e-05,-4.10899248855059e-06,5.204416894246994e-06,1.0274506413258143e-05,1.33055227987935e-05,7.159811491888237e-06,2.5344215193331563e-07,9.161606620624856e-06,1.821770368533271e-05,1.8762831179211576e-05,9.746175887140274e-06
0.16,-0.001339704939548097,0.9999999740543931,-0.9016456284171284,-0.0012884016725861996,-3.300033268804729e-05,7.958402363720922e-07,1.2398566594152454e-05,1.863961478209216e-05,2.229221551827991e-05,1.1804367138642646e-05,4.212959066151982e-07,1.411678683456953e-05,2.802005061267401e-05,2.8652699271197474e-05,1.4895818028208145e-05
0.17,-0.0016816426799180547,0.999999863121792,-0.8895371421142265,-0.001604916668103246,-3.3912168768793086e-05,9.022307134399262e-06,2.32093749776448e-05,3.073801850035391e-05,3.503490756782469e-05,1.836766699915809e-05,6.79921667453415e-07,2.0948974501939013e-05,4.150735846237863e-05,4.2226174863973316e-05,2.1995369312788544e-05
0.18,-0.0020798643934672924,0.9999995974123619,-0.8768320855627417,-0.0019688373286129816,-3.214877255913436e-05,2.161974639744099e-05,3.8673754515490153e-05,4.758653737285798e-05,5.2523417921829046e-05,2.735666036974909e-05,1.0687745697195725e-06,3.0131045342139196e-05,5.9595490967639226e-05,6.0398020383840584e-05,3.1550006068866094e-05
0.19,-0.0025384073722762284,0.9999990767345546,-0.8635530972851576,-0.0023821417904597167,-2.6679126318208653e-05,3.9796605958988644e-05,5.997769720564273e-05,7.034357723918489e-05,7.588194152734532e-05,3.934824693219651e-05,1.6430042608357818e-06,4.219908002701543e-05,8.331968873664778e-05,8.42042428016908e-05,4.414118320717581e-05
