t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.13,-0.015048352165606987,0.988934081796476,-0.9562986227059977,-0.01707567366967272,-0.00020541492467329725,1.7199747800011878e-05,3.777137362505345e-05,2.289116903300692e-05,-1.3816466125138316e-05,-5.5470507671767644e-05,3.677539652607864e-05,1.1576573154536973e-06,-1.0273420664591582e-06,5.09885149048428e-06,8.014848068060854e-06
0.14,-0.017134457067072784,0.9855402564636768,-0.948301528922704,-0.019678534542667755,-0.00012422514997517675,3.116999683906718e-05,-1.2048335842812508e-05,-6.499832565648456e-07,7.504216769843586e-06,-4.469398776246747e-05,4.853094835624572e-05,-1.6347808117225804e-05,-2.6253036692458487e-05,-1.2367797612697351e-05,-5.037393722290284e-07
0.15,-0.019177795338779224,0.9814953059329793,-0.9395022072646935,-0.022526898104462123,-0.00010458998053394786,-9.704077122085764e-05,-6.627115089971602e-05,-4.924634066005851e-05,-1.0991442735530654e-05,-4.595025507150852e-05,6.268412276912161e-05,-9.425077173802476e-06,-4.389077463778923e-06,-1.2457129130671873e-05,-1.3917567369126083e-05
0.16,-0.021092279265959663,0.9767278006182036,-0.9296109552301913,-0.025708221670892095,-0.0002532870557368505,-1.8436035493840652e-05,3.47873395302456e-05,1.6452583749826388e-05,-1.8333761721334163e-05,-9.040308726074309e-05,8.017963622336532e-05,4.558312541258491e-06,1.857046129921658e-05,2.6264815649879036e-06,-5.328169633195268e-06
0.17,-0.02290830454188486,0.9712329530262391,-0.9187913967680281,-0.028885732864381758,-0.0003235703083689645,5.212745979124578e-05,3.6890762529495635e-06,1.209049851028099e-05,-3.979013120242181e-06,-0.00010450482825402618,0.0001005065327369381,-1.2251994924661336e-05,-1.0539032010953298e-05,1.3661568450673567e-06,9.92701222476966e-06
0.18,-0.024688814960226374,0.9650521138430204,-0.9074626025135589,-0.03205916221808297,-0.0002981202850720899,-8.728339480290614e-05,-8.255135599774532e-05,-5.667719296262308e-05,-9.14572945420744e-06,-8.830848177340811e-05,0.0001231432947198241,-3.547573932483061e-05,-3.0624640336485154e-05,-1.0858284605869128e-05,1.0933140245639184e-06
0.19,-0.02640278285200387,0.9581841847019666,-0.8956119846408744,-0.03563330944042167,-0.0003521872467227849,-6.126589133037541e-05,2.308747805124245e-05,3.6994740185425368e-06,-1.2659332367992437e-05,-0.00012285267450767856,0.00014961554815134948,-2.8065672519145268e-05,3.487043970878956e-06,-9.918555256782646e-06,-1.651151240950055e-05
0.2,-0.02790964042703689,0.9505631218438743,-0.882874058423827,-0.039440014024422626,-0.0005030452840198985,5.528183864966785e-05,2.293992509394549e-05,2.480267764351507e-05,-1.2612620647473038e-05,-0.00017048238869440957,0.00018073938367613174,-2.191078528629431e-05,1.7952405958476803e-05,-2.3016789935104143e-06,-8.164254668291404e-06
0.21,-0.029090818397594947,0.9421603978939913,-0.8692565909463762,-0.04302608719256429,-0.0006210244008677535,-6.151041499810606e-05,-9.240342085672926e-05,-5.7332710601154524e-05,-2.0606726084865246e-05,-0.00016092946270779285,0.00021493769002128849,-5.349119110964473e-05,-2.1834564585376803e-05,-2.5226120074495206e-06,1.1513396247386787e-05
0.22,-0.029969501358784956,0.9330713305660598,-0.8552152186063376,-0.04668655566867044,-0.0006377044372778973,-9.89954813767624e-05,3.063029292205144e-06,-1.3343757837680492e-05,-7.0964790467864525e-06,-0.0001644081216307658,0.0002520449054200513,-8.5598676026033e-05,-3.138157247417617e-05,-5.290559238146919e-06,3.504587222091793e-06
0.23,-0.030644102642545523,0.9234368641245213,-0.8409967154018887,-0.05080825821317908,-0.0007198096790713149,3.549248748369038e-05,4.27696115684606e-05,3.4917446686155706e-05,-7.235380679593284e-06,-0.00022081533471099424,0.00029398420504328504,-8.642414384413266e-05,1.0173146059888616e-05,-7.4070689404237555e-06,-1.8410325126227978e-05
0.24,-0.03110732224052476,0.9133025354375015,-0.8264442721957184,-0.05493982412792281,-0.0009723580404360499,-3.0432634036348105e-05,-9.21546021137587e-05,-5.0137918401804704e-05,-3.74750081280073e-05,-0.00023722771525919173,0.0003406332271305712,-0.00010036218191306068,1.1102853878730556e-05,-1.0380685003863466e-05,-1.1385919263473543e-05
0.25,-0.03121178818668552,0.9026374276755152,-0.8114891085153383,-0.0587510498891321,-0.0011261000976669489,-0.00012104362357667764,-2.3199683301833307e-05,-3.184951352286358e-05,-1.6207690007818965e-05,-0.00021538142473642718,0.0003907504890627578,-0.00015486333360975602,-3.4191430340002604e-05,-4.971361914130057e-06,1.256960050638467e-05
0.26,-0.030855033250303476,0.891501037140157,-0.7963746749058811,-0.06274190450447953,-0.0011239886984678593,-3.489007230739194e-06,5.8933525853843705e-05,3.983197476947753e-05,9.883228970331004e-06,-0.00025090324310966805,0.0004453091326246661,-0.00020141817266033923,-3.080620804302159e-05,3.954477772794007e-06,6.9489277020329254e-06
0.27,-0.030120758287228933,0.8801026496631136,-0.7813619374288744,-0.06710247638059713,-0.0013460962471418259,-8.13800317495117e-06,-8.088247178150709e-05,-3.6163436819391936e-05,-4.1918352244207924e-05,-0.0002933372333186468,0.0005045150705130785,-0.00022065844192259432,1.1462100214021387e-05,-5.496117835679382e-06,-1.8860906566720015e-05
0.28,-0.029155170187296853,0.8686563651033841,-0.766582810552008,-0.07128004162346302,-0.0017065221447264967,-0.0001248685498039248,-5.2496537672530597e-05,-4.8587483881978866e-05,-4.295995240732875e-05,-0.0002608723677490765,0.0005667349865341453,-0.0002687884646676575,-2.865408917307466e-06,-1.9731952220936044e-05,-1.4630869047682626e-05
0.29,-0.027956620700746282,0.8572488373392417,-0.752158592956418,-0.07515787688370706,-0.0017878562827552402,-5.22004764538786e-05,6.74774140362322e-05,3.7967226138524435e-05,2.299291154833627e-05,-0.00024296762008835238,0.0006332455223434508,-0.0003600319835135313,-4.934077146973026e-05,-4.842151216100099e-06,1.318932677918383e-05
