t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.0,1.109138822452671e-16,5.5402731014009277e-17,5.5402731014009277e-17,2.7647155398380363e-17,1.3769367590565906e-17,6.830473686658678e-18,3.3610267347050637e-18,1.6263032587282567e-18,7.589415207398531e-19,3.2526065174565133e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0
0.01,-1.504059463780516e-16,-9.489479514679378e-17,-9.489479514679378e-17,-6.713921953116486e-17,-6.713921953116486e-17,-1.3652815857023715e-16,-6.713921953116486e-17,-9.489479514679378e-17,-8.882326298087495e-17,-9.055798645685176e-17,2.15485181781494e-17,-8.87148427636264e-17,-8.996167526198473e-17,-8.256199543477116e-17,-8.34564622270717e-17
0.02,-3.429466996843211e-16,-3.429466996843211e-16,-5.094801533780946e-16,-2.3192439722180547e-16,-2.0416882160617655e-16,-1.0008541304756813e-16,-1.7294379903859403e-16,-1.5559656427882596e-16,-1.2090209475928981e-16,-1.165652860693478e-16,1.6012310834895294e-16,-1.178663286763304e-16,-1.242089113853706e-16,-1.3136464572377493e-16,-1.2488653774317404e-16
0.03,-3.692006552910576e-15,1.4705305115964018e-15,1.5260416628276596e-15,-6.388932351913956e-16,8.275173081495613e-17,6.887394300714167e-17,-1.0806785154249265e-16,-6.469976464307248e-17,-9.245534025870139e-17,-4.983806336372743e-16,-9.604160999474032e-15,-4.982722134200257e-16,-1.0335157209218071e-16,-1.1896408337597197e-16,-1.1415293623556755e-16
0.04,1.208614371778216e-15,1.1034088139710851e-14,1.1200621593404625e-14,4.869694057718643e-16,1.5390249838431735e-16,4.28801959218017e-17,-7.85504473965748e-17,-2.1304572689340162e-17,-2.806457323478728e-16,-1.4243434990485193e-14,7.487061101305037e-14,-1.4344374212743594e-14,-2.7554998213719095e-16,-3.656471826707364e-17,-3.74049749507499e-17
0.05,1.744783516884757e-14,3.4485260513080623e-13,3.024975967413565e-13,2.0140126003563574e-14,3.9203395304360233e-16,2.0468381763810717e-16,2.1856160544592163e-16,1.9601020025822313e-16,-3.346295137686417e-15,-3.386171687014619e-13,-9.484685308197918e-13,-3.3645895585691227e-13,-2.6920333367000393e-15,1.5632840074525367e-16,5.610746242612485e-17
0.06,8.433000391744327e-14,1.1363218309010104e-12,9.15553982454298e-13,1.0237112806760207e-13,-3.3068166260807885e-17,-8.857931749206571e-17,1.7856809780836258e-16,8.603144238672478e-16,-2.690913897956948e-14,-1.7790154115474022e-12,1.3313763069441875e-12,-1.7816722489710779e-12,-2.1704643290987313e-14,9.2222236791617e-16,1.4417178388625995e-16
0.07,8.29447323541857e-14,1.5569323309977748e-12,1.3396061739274004e-12,1.1028397433558018e-13,-1.0713950343230194e-15,2.4005591351544675e-16,1.290336110529311e-16,2.0511072224352334e-15,-1.479479245277554e-14,-2.4175238498352555e-12,-7.897280689095863e-12,-2.382404373064105e-12,-4.394745743534212e-15,2.2112980934199666e-15,1.6455478472898744e-16
0.08,1.8377950528579434e-13,5.745224988026182e-13,1.2199559396540438e-13,1.9174535548747984e-13,3.5209194500923635e-15,-6.701724678676024e-16,3.7594710330934866e-17,6.083187339273044e-16,-1.1920903175179076e-13,-2.976595668080853e-12,2.317435097444996e-11,-3.0981553314577553e-12,-1.0435979879742929e-13,1.899007210162673e-15,1.1867948030569453e-16
0.09,1.767705854740717e-13,-1.433080555808021e-12,-1.7734194240068626e-12,1.0993515939163728e-13,9.62650911675439e-15,3.977802245577755e-16,-1.1222847737940578e-16,-3.203505711570076e-15,-1.8400766208046676e-13,5.443643582778157e-16,4.4951607310029194e-11,-3.0970756829343943e-13,-1.8662660663821412e-13,-2.439875016434223e-15,5.299038118022903e-17
